s,C,C,kg/m2
Time,"null","null","null"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.5420000E-002
 5.0000000E+000, 2.0480000E+001, 2.0091927E+001, 1.5420000E-002
 1.0000000E+001, 2.1280000E+001, 2.0558655E+001, 1.5420000E-002
 1.5000000E+001, 2.2208000E+001, 2.1238127E+001, 1.5420000E-002
 2.0000000E+001, 2.3040000E+001, 2.2004612E+001, 1.5420000E-002
 2.4000000E+001, 2.3760000E+001, 2.2643480E+001, 1.5420000E-002
 2.9000000E+001, 2.4480000E+001, 2.3273505E+001, 1.5420000E-002
 3.4000000E+001, 2.5280000E+001, 2.3975750E+001, 1.5420000E-002
 3.9000000E+001, 2.6208000E+001, 2.4716046E+001, 1.5420000E-002
 4.4000000E+001, 2.7040000E+001, 2.5513964E+001, 1.5420000E-002
 4.8000000E+001, 2.7760000E+001, 2.6176643E+001, 1.5420000E-002
 5.3000000E+001, 2.8480000E+001, 2.6831946E+001, 1.5420000E-002
 5.8000000E+001, 2.9280000E+001, 2.7564716E+001, 1.5420000E-002
 6.3000000E+001, 3.0208000E+001, 2.8338349E+001, 1.5420000E-002
 6.8000000E+001, 3.1040000E+001, 2.9169027E+001, 1.5420000E-002
 7.2000000E+001, 3.1760000E+001, 2.9857487E+001, 1.5420000E-002
 7.7000000E+001, 3.2480000E+001, 3.0535220E+001, 1.5420000E-002
 8.2000000E+001, 3.3280000E+001, 3.1287774E+001, 1.5420000E-002
 8.7000000E+001, 3.4208000E+001, 3.2076836E+001, 1.5420000E-002
 9.2000000E+001, 3.5040000E+001, 3.2919371E+001, 1.5420000E-002
 9.6000000E+001, 3.5760000E+001, 3.3616756E+001, 1.5420000E-002
 1.0100000E+002, 3.6480000E+001, 3.4305600E+001, 1.5420000E-002
 1.0600000E+002, 3.7280000E+001, 3.5073631E+001, 1.5420000E-002
 1.1100000E+002, 3.8208000E+001, 3.5881778E+001, 1.5420000E-002
 1.1600000E+002, 3.9040000E+001, 3.6743649E+001, 1.5420000E-002
 1.2000000E+002, 3.9760000E+001, 3.7455631E+001, 1.5420000E-002
 1.2500000E+002, 4.0480000E+001, 3.8156574E+001, 1.5420000E-002
 1.3000000E+002, 4.1280000E+001, 3.8934349E+001, 1.5420000E-002
 1.3500000E+002, 4.2208000E+001, 3.9749932E+001, 1.5420000E-002
 1.4000000E+002, 4.3040000E+001, 4.0617782E+001, 1.5420000E-002
 1.4400000E+002, 4.3760000E+001, 4.1335000E+001, 1.5420000E-002
 1.4900000E+002, 4.4480000E+001, 4.2043561E+001, 1.5420000E-002
 1.5400000E+002, 4.5280000E+001, 4.2831704E+001, 1.5420000E-002
 1.5900000E+002, 4.6208000E+001, 4.3659397E+001, 1.5420000E-002
 1.6400000E+002, 4.7040000E+001, 4.4538002E+001, 1.5420000E-002
 1.6800000E+002, 4.7760000E+001, 4.5262436E+001, 1.5420000E-002
 1.7300000E+002, 4.8480000E+001, 4.5977108E+001, 1.5420000E-002
 1.7800000E+002, 4.9280000E+001, 4.6770449E+001, 1.5420000E-002
 1.8300000E+002, 5.0208000E+001, 4.7603050E+001, 1.5420000E-002
 1.8800000E+002, 5.1040000E+001, 4.8485470E+001, 1.5420000E-002
 1.9200000E+002, 5.1760000E+001, 4.9212513E+001, 1.5420000E-002
 1.9700000E+002, 5.2480000E+001, 4.9930722E+001, 1.5420000E-002
 2.0200000E+002, 5.3280000E+001, 5.0728463E+001, 1.5420000E-002
 2.0700000E+002, 5.4208000E+001, 5.1566593E+001, 1.5420000E-002
 2.1200000E+002, 5.5040000E+001, 5.2453705E+001, 1.5420000E-002
 2.1600000E+002, 5.5760000E+001, 5.3183789E+001, 1.5420000E-002
 2.2100000E+002, 5.6480000E+001, 5.3904995E+001, 1.5420000E-002
 2.2600000E+002, 5.7280000E+001, 5.4707963E+001, 1.5420000E-002
 2.3100000E+002, 5.8208000E+001, 5.5560990E+001, 1.5420000E-002
 2.3600000E+002, 5.9040000E+001, 5.6464821E+001, 1.5420000E-002
 2.4000000E+002, 5.9760000E+001, 5.7196523E+001, 1.5420000E-002
 2.4500000E+002, 6.0480000E+001, 5.7920295E+001, 1.5420000E-002
 2.5000000E+002, 6.1280000E+001, 5.8733431E+001, 1.5420000E-002
 2.5500000E+002, 6.2208000E+001, 5.9645110E+001, 1.5420000E-002
 2.6000000E+002, 6.3040000E+001, 6.0605748E+001, 1.5420000E-002
 2.6400000E+002, 6.3760000E+001, 6.1349315E+001, 1.5420000E-002
 2.6900000E+002, 6.4480000E+001, 6.2073558E+001, 1.5420000E-002
 2.7400000E+002, 6.5280000E+001, 6.2876597E+001, 1.5420000E-002
 2.7900000E+002, 6.6208000E+001, 6.3722374E+001, 1.5420000E-002
 2.8400000E+002, 6.7040000E+001, 6.4614344E+001, 1.5420000E-002
 2.8800000E+002, 6.7760000E+001, 6.5345386E+001, 1.5420000E-002
 2.9300000E+002, 6.8480000E+001, 6.6069457E+001, 1.5420000E-002
 2.9800000E+002, 6.9280000E+001, 6.6873710E+001, 1.5420000E-002
 3.0300000E+002, 7.0208000E+001, 6.7722098E+001, 1.5420000E-002
 3.0800000E+002, 7.1040000E+001, 6.8615833E+001, 1.5420000E-002
 3.1200000E+002, 7.1760000E+001, 6.9347784E+001, 1.5420000E-002
 3.1700000E+002, 7.2480000E+001, 7.0072899E+001, 1.5420000E-002
 3.2200000E+002, 7.3280000E+001, 7.0877735E+001, 1.5420000E-002
 3.2700000E+002, 7.4208000E+001, 7.1726917E+001, 1.5420000E-002
 3.3200000E+002, 7.5040000E+001, 7.2620098E+001, 1.5420000E-002
 3.3600000E+002, 7.5760000E+001, 7.3351269E+001, 1.5420000E-002
 3.4100000E+002, 7.6480000E+001, 7.4076606E+001, 1.5420000E-002
 3.4600000E+002, 7.7280000E+001, 7.4882420E+001, 1.5420000E-002
 3.5100000E+002, 7.8208000E+001, 7.5734072E+001, 1.5420000E-002
 3.5600000E+002, 7.9040000E+001, 7.6628912E+001, 1.5420000E-002
 3.6000000E+002, 7.9760000E+001, 7.7361114E+001, 1.5420000E-002
 3.6500000E+002, 8.0480000E+001, 7.8087710E+001, 1.5420000E-002
 3.7000000E+002, 8.1280000E+001, 7.8894642E+001, 1.5420000E-002
 3.7500000E+002, 8.2208000E+001, 7.9747966E+001, 1.5420000E-002
 3.8000000E+002, 8.3040000E+001, 8.0643188E+001, 1.5420000E-002
 3.8400000E+002, 8.3760000E+001, 8.1375377E+001, 1.5420000E-002
 3.8900000E+002, 8.4480000E+001, 8.2102411E+001, 1.5420000E-002
 3.9400000E+002, 8.5280000E+001, 8.2909846E+001, 1.5419999E-002
 3.9900000E+002, 8.6208000E+001, 8.3764456E+001, 1.5419999E-002
 4.0400000E+002, 8.7040000E+001, 8.4659744E+001, 1.5419999E-002
 4.0800000E+002, 8.7760000E+001, 8.5391694E+001, 1.5419999E-002
 4.1300000E+002, 8.8480000E+001, 8.6118844E+001, 1.5419999E-002
 4.1800000E+002, 8.9280000E+001, 8.6926314E+001, 1.5419998E-002
 4.2300000E+002, 9.0208000E+001, 8.7781630E+001, 1.5419998E-002
 4.2800000E+002, 9.1040000E+001, 8.8676341E+001, 1.5419998E-002
 4.3200000E+002, 9.1760000E+001, 8.9407581E+001, 1.5419997E-002
 4.3700000E+002, 9.2480000E+001, 9.0134495E+001, 1.5419997E-002
 4.4200000E+002, 9.3280000E+001, 9.0941876E+001, 1.5419996E-002
 4.4700000E+002, 9.4208000E+001, 9.1798131E+001, 1.5419995E-002
 4.5200000E+002, 9.5040000E+001, 9.2692825E+001, 1.5419995E-002
 4.5600000E+002, 9.5760000E+001, 9.3424113E+001, 1.5419993E-002
 4.6100000E+002, 9.6480000E+001, 9.4151559E+001, 1.5419992E-002
 4.6600000E+002, 9.7280000E+001, 9.4959563E+001, 1.5419991E-002
 4.7100000E+002, 9.8208000E+001, 9.5817180E+001, 1.5419989E-002
 4.7600000E+002, 9.9040000E+001, 9.6711949E+001, 1.5419987E-002
 4.8000000E+002, 9.9760000E+001, 9.7443198E+001, 1.5419984E-002
 4.8500000E+002, 1.0048000E+002, 9.8170914E+001, 1.5419981E-002
 4.9000000E+002, 1.0128000E+002, 9.8979185E+001, 1.5419978E-002
 4.9500000E+002, 1.0220800E+002, 9.9837800E+001, 1.5419973E-002
 5.0000000E+002, 1.0304000E+002, 1.0073231E+002, 1.5419968E-002
 5.0400000E+002, 1.0376000E+002, 1.0146330E+002, 1.5419962E-002
 5.0900000E+002, 1.0448000E+002, 1.0219107E+002, 1.5419956E-002
 5.1400000E+002, 1.0528000E+002, 1.0299936E+002, 1.5419947E-002
 5.1900000E+002, 1.0620800E+002, 1.0385871E+002, 1.5419937E-002
 5.2400000E+002, 1.0704000E+002, 1.0475387E+002, 1.5419925E-002
 5.2800000E+002, 1.0776000E+002, 1.0548823E+002, 1.5419912E-002
 5.3300000E+002, 1.0848000E+002, 1.0622161E+002, 1.5419897E-002
 5.3800000E+002, 1.0928000E+002, 1.0702988E+002, 1.5419877E-002
 5.4300000E+002, 1.1020800E+002, 1.0789028E+002, 1.5419854E-002
 5.4800000E+002, 1.1104000E+002, 1.0878929E+002, 1.5419826E-002
 5.5200000E+002, 1.1176000E+002, 1.0954091E+002, 1.5419797E-002
 5.5700000E+002, 1.1248000E+002, 1.1028925E+002, 1.5419762E-002
 5.6200000E+002, 1.1328000E+002, 1.1110115E+002, 1.5419718E-002
 5.6700000E+002, 1.1420800E+002, 1.1196119E+002, 1.5419666E-002
 5.7200000E+002, 1.1504000E+002, 1.1285363E+002, 1.5419603E-002
 5.7600000E+002, 1.1576000E+002, 1.1358277E+002, 1.5419538E-002
 5.8100000E+002, 1.1648000E+002, 1.1430963E+002, 1.5419462E-002
 5.8600000E+002, 1.1728000E+002, 1.1511702E+002, 1.5419364E-002
 5.9100000E+002, 1.1820800E+002, 1.1597813E+002, 1.5419249E-002
 5.9600000E+002, 1.1904000E+002, 1.1687045E+002, 1.5419112E-002
 6.0000000E+002, 1.1976000E+002, 1.1759969E+002, 1.5418969E-002
 6.0500000E+002, 1.2048000E+002, 1.1832689E+002, 1.5418804E-002
 6.1000000E+002, 1.2128000E+002, 1.1913466E+002, 1.5418592E-002
 6.1500000E+002, 1.2220800E+002, 1.1999683E+002, 1.5418344E-002
 6.2000000E+002, 1.2304000E+002, 1.2088891E+002, 1.5418049E-002
 6.2400000E+002, 1.2376000E+002, 1.2161814E+002, 1.5417742E-002
 6.2900000E+002, 1.2448000E+002, 1.2234553E+002, 1.5417388E-002
 6.3400000E+002, 1.2528000E+002, 1.2315351E+002, 1.5416935E-002
 6.3900000E+002, 1.2620800E+002, 1.2401661E+002, 1.5416408E-002
 6.4400000E+002, 1.2704000E+002, 1.2490844E+002, 1.5415784E-002
 6.4800000E+002, 1.2776000E+002, 1.2563775E+002, 1.5415135E-002
 6.5300000E+002, 1.2848000E+002, 1.2636547E+002, 1.5414388E-002
 6.5800000E+002, 1.2928000E+002, 1.2717386E+002, 1.5413436E-002
 6.6300000E+002, 1.3020800E+002, 1.2803813E+002, 1.5412331E-002
 6.6800000E+002, 1.3104000E+002, 1.2892996E+002, 1.5411028E-002
 6.7200000E+002, 1.3176000E+002, 1.2965964E+002, 1.5409676E-002
 6.7700000E+002, 1.3248000E+002, 1.3038802E+002, 1.5408127E-002
 6.8200000E+002, 1.3328000E+002, 1.3119725E+002, 1.5406155E-002
 6.8700000E+002, 1.3420800E+002, 1.3206314E+002, 1.5403873E-002
 6.9200000E+002, 1.3504000E+002, 1.3295546E+002, 1.5401192E-002
 6.9600000E+002, 1.3576000E+002, 1.3368603E+002, 1.5398419E-002
 7.0100000E+002, 1.3648000E+002, 1.3441553E+002, 1.5395249E-002
 7.0600000E+002, 1.3728000E+002, 1.3522612E+002, 1.5391227E-002
 7.1100000E+002, 1.3820800E+002, 1.3609420E+002, 1.5386586E-002
 7.1600000E+002, 1.3904000E+002, 1.3698771E+002, 1.5381150E-002
 7.2000000E+002, 1.3976000E+002, 1.3772003E+002, 1.5375544E-002
 7.2500000E+002, 1.4048000E+002, 1.3845170E+002, 1.5369156E-002
 7.3000000E+002, 1.4128000E+002, 1.3926480E+002, 1.5361073E-002
 7.3500000E+002, 1.4220800E+002, 1.4013619E+002, 1.5351776E-002
 7.4000000E+002, 1.4304000E+002, 1.4103243E+002, 1.5340925E-002
 7.4400000E+002, 1.4376000E+002, 1.4176857E+002, 1.5329769E-002
 7.4900000E+002, 1.4448000E+002, 1.4250495E+002, 1.5317096E-002
 7.5400000E+002, 1.4528000E+002, 1.4332417E+002, 1.5301106E-002
 7.5900000E+002, 1.4620800E+002, 1.4420333E+002, 1.5282775E-002
 7.6400000E+002, 1.4704000E+002, 1.4510657E+002, 1.5261459E-002
 7.6800000E+002, 1.4776000E+002, 1.4585030E+002, 1.5239617E-002
 7.7300000E+002, 1.4848000E+002, 1.4659527E+002, 1.5214890E-002
 7.7800000E+002, 1.4928000E+002, 1.4742534E+002, 1.5183804E-002
 7.8300000E+002, 1.5020800E+002, 1.4831774E+002, 1.5148305E-002
 7.8800000E+002, 1.5104000E+002, 1.4923493E+002, 1.5107206E-002
 7.9200000E+002, 1.5176000E+002, 1.4999528E+002, 1.5065268E-002
 7.9700000E+002, 1.5248000E+002, 1.5075990E+002, 1.5017975E-002
 8.0200000E+002, 1.5328000E+002, 1.5161310E+002, 1.4958765E-002
 8.0700000E+002, 1.5420800E+002, 1.5253200E+002, 1.4891485E-002
 8.1200000E+002, 1.5504000E+002, 1.5346749E+002, 1.4814078E-002
 8.1600000E+002, 1.5576000E+002, 1.5424136E+002, 1.4735703E-002
 8.2100000E+002, 1.5648000E+002, 1.5502117E+002, 1.4648086E-002
 8.2600000E+002, 1.5728000E+002, 1.5589691E+002, 1.4539470E-002
 8.3100000E+002, 1.5820800E+002, 1.5684926E+002, 1.4417280E-002
 8.3600000E+002, 1.5904000E+002, 1.5782163E+002, 1.4278280E-002
 8.4000000E+002, 1.5976000E+002, 1.5864278E+002, 1.4139066E-002
 8.4500000E+002, 1.6048000E+002, 1.5948353E+002, 1.3985099E-002
 8.5000000E+002, 1.6128000E+002, 1.6043784E+002, 1.3796211E-002
 8.5500000E+002, 1.6220800E+002, 1.6145524E+002, 1.3586800E-002
 8.6000000E+002, 1.6304000E+002, 1.6248610E+002, 1.3353383E-002
 8.6400000E+002, 1.6376000E+002, 1.6337962E+002, 1.3124547E-002
 8.6900000E+002, 1.6448000E+002, 1.6430073E+002, 1.2877090E-002
 8.7400000E+002, 1.6528000E+002, 1.6535566E+002, 1.2581219E-002
 8.7900000E+002, 1.6620800E+002, 1.6650065E+002, 1.2262885E-002
 8.8400000E+002, 1.6704000E+002, 1.6767607E+002, 1.1919494E-002
 8.8800000E+002, 1.6776000E+002, 1.6869273E+002, 1.1594661E-002
 8.9300000E+002, 1.6848000E+002, 1.6971708E+002, 1.1258644E-002
 8.9800000E+002, 1.6928000E+002, 1.7085880E+002, 1.0877998E-002
 9.0300000E+002, 1.7020800E+002, 1.7205788E+002, 1.0495378E-002
 9.0800000E+002, 1.7104000E+002, 1.7324396E+002, 1.0113912E-002
 9.1200000E+002, 1.7176000E+002, 1.7423373E+002, 9.7812913E-003
 9.1700000E+002, 1.7248000E+002, 1.7518169E+002, 9.4660282E-003
 9.2200000E+002, 1.7328000E+002, 1.7617615E+002, 9.1401247E-003
 9.2700000E+002, 1.7420800E+002, 1.7716197E+002, 8.8435177E-003
 9.3200000E+002, 1.7504000E+002, 1.7807585E+002, 8.5750943E-003
 9.3600000E+002, 1.7576000E+002, 1.7879120E+002, 8.3597065E-003
 9.4100000E+002, 1.7648000E+002, 1.7945479E+002, 8.1695411E-003
 9.4600000E+002, 1.7728000E+002, 1.8014496E+002, 7.9836045E-003
 9.5100000E+002, 1.7820800E+002, 1.8085866E+002, 7.8214045E-003
 9.5600000E+002, 1.7904000E+002, 1.8153925E+002, 7.6782073E-003
 9.6000000E+002, 1.7976000E+002, 1.8208381E+002, 7.5643453E-003
 9.6500000E+002, 1.8048000E+002, 1.8261605E+002, 7.4635812E-003
 9.7000000E+002, 1.8128000E+002, 1.8320103E+002, 7.3639677E-003
 9.7500000E+002, 1.8220800E+002, 1.8385026E+002, 7.2754498E-003
 9.8000000E+002, 1.8304000E+002, 1.8449801E+002, 7.1954695E-003
 9.8400000E+002, 1.8376000E+002, 1.8503530E+002, 7.1303181E-003
 9.8900000E+002, 1.8448000E+002, 1.8557702E+002, 7.0712050E-003
 9.9400000E+002, 1.8528000E+002, 1.8618546E+002, 7.0113162E-003
 9.9900000E+002, 1.8620800E+002, 1.8686816E+002, 6.9567374E-003
 1.0040000E+003, 1.8704000E+002, 1.8755411E+002, 6.9062484E-003
 1.0080000E+003, 1.8776000E+002, 1.8812921E+002, 6.8642702E-003
 1.0130000E+003, 1.8848000E+002, 1.8871106E+002, 6.8254601E-003
 1.0180000E+003, 1.8928000E+002, 1.8936502E+002, 6.7854649E-003
 1.0230000E+003, 1.9020800E+002, 1.9009316E+002, 6.7484082E-003
 1.0280000E+003, 1.9104000E+002, 1.9082127E+002, 6.7136262E-003
 1.0320000E+003, 1.9176000E+002, 1.9143200E+002, 6.6843566E-003
 1.0370000E+003, 1.9248000E+002, 1.9204749E+002, 6.6570054E-003
