s,kg/m2,kW
Time,"null","null"
 1.5903241E+002, 3.0618547E+001, 1.1468076E+000
 1.6053861E+002, 3.0607484E+001, 1.1441139E+000
 1.6202846E+002, 3.0596588E+001, 1.1486331E+000
 1.6355874E+002, 3.0585820E+001, 1.1456955E+000
 1.6500488E+002, 3.0575405E+001, 1.1636451E+000
 1.6651624E+002, 3.0565165E+001, 1.1714854E+000
 1.6801613E+002, 3.0554944E+001, 1.1524723E+000
 1.6952237E+002, 3.0544808E+001, 1.1426576E+000
 1.7100613E+002, 3.0534821E+001, 1.1179545E+000
 1.7251534E+002, 3.0524958E+001, 1.1264158E+000
 1.7403823E+002, 3.0514948E+001, 1.1243085E+000
 1.7551237E+002, 3.0505108E+001, 1.1509231E+000
 1.7704598E+002, 3.0495373E+001, 1.1131547E+000
 1.7854765E+002, 3.0485565E+001, 1.1228662E+000
 1.8002181E+002, 3.0476115E+001, 1.1264845E+000
 1.8151251E+002, 3.0466699E+001, 1.1209819E+000
 1.8300318E+002, 3.0457200E+001, 1.1333360E+000
 1.8451264E+002, 3.0447590E+001, 1.0953537E+000
 1.8602806E+002, 3.0437989E+001, 1.0806912E+000
 1.8754770E+002, 3.0428571E+001, 1.1058710E+000
 1.8900914E+002, 3.0419386E+001, 1.0946132E+000
 1.9050867E+002, 3.0410318E+001, 1.0929965E+000
 1.9204779E+002, 3.0401100E+001, 1.0962879E+000
 1.9350664E+002, 3.0391981E+001, 1.1030125E+000
 1.9504717E+002, 3.0382856E+001, 1.0769212E+000
 1.9654364E+002, 3.0373690E+001, 1.0669324E+000
 1.9800802E+002, 3.0364759E+001, 1.0767514E+000
 1.9952875E+002, 3.0355747E+001, 1.0608567E+000
 2.0104726E+002, 3.0346350E+001, 1.0424118E+000
 2.0257194E+002, 3.0336824E+001, 1.0455895E+000
 2.0400202E+002, 3.0327381E+001, 1.0446505E+000
 2.0552681E+002, 3.0317884E+001, 1.0478375E+000
 2.0703372E+002, 3.0308185E+001, 1.0159397E+000
 2.0856097E+002, 3.0298521E+001, 1.0138148E+000
 2.1002441E+002, 3.0289133E+001, 1.0216651E+000
 2.1153162E+002, 3.0279830E+001, 1.0108316E+000
 2.1304691E+002, 3.0270480E+001, 1.0253623E+000
 2.1450699E+002, 3.0261336E+001, 1.0282556E+000
 2.1600803E+002, 3.0252251E+001, 1.0236939E+000
 2.1751214E+002, 3.0243074E+001, 1.0168524E+000
 2.1906915E+002, 3.0233986E+001, 1.0172288E+000
 2.2056484E+002, 3.0225001E+001, 1.0218208E+000
 2.2202938E+002, 3.0216420E+001, 1.0160599E+000
 2.2350706E+002, 3.0208020E+001, 1.0089043E+000
 2.2500187E+002, 3.0199580E+001, 9.9632366E-001
 2.2652028E+002, 3.0191096E+001, 1.0073387E+000
 2.2801368E+002, 3.0182625E+001, 9.9309732E-001
