s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.8704000E+001, 0.0000000E+000
 2.5000000E+000, 3.8704000E+001, 0.0000000E+000
 5.1000000E+000, 3.8704000E+001, 0.0000000E+000
 7.6000000E+000, 3.8704000E+001, 2.1288669E-008
 1.0100000E+001, 3.8704000E+001, 4.6439625E-007
 1.2600000E+001, 3.8704000E+001, 5.3076292E-006
 1.5100000E+001, 3.8703999E+001, 4.1301361E-005
 1.7600000E+001, 3.8703994E+001, 2.4432255E-004
 2.0000000E+001, 3.8703969E+001, 1.1296635E-003
 2.2500000E+001, 3.8703866E+001, 4.4968123E-003
 2.5000000E+001, 3.8703485E+001, 1.5841792E-002
 2.7500000E+001, 3.8702270E+001, 4.8706155E-002
 3.0012599E+001, 3.8698940E+001, 1.3361903E-001
 3.2525126E+001, 3.8691410E+001, 3.0796470E-001
 3.5015322E+001, 3.8678066E+001, 5.8031219E-001
 3.7515780E+001, 3.8659440E+001, 9.1221378E-001
 4.0012777E+001, 3.8635725E+001, 1.2351355E+000
 4.2501417E+001, 3.8609570E+001, 1.4870469E+000
 4.5021125E+001, 3.8583349E+001, 1.6102880E+000
 4.7507507E+001, 3.8556437E+001, 1.7096065E+000
 5.0024855E+001, 3.8524809E+001, 1.8431973E+000
 5.2516859E+001, 3.8492011E+001, 1.9299200E+000
 5.5022757E+001, 3.8460173E+001, 1.9492871E+000
 5.7502668E+001, 3.8424965E+001, 2.0147517E+000
 6.0004234E+001, 3.8393267E+001, 2.1470217E+000
 6.2504294E+001, 3.8363249E+001, 2.1563067E+000
 6.5000628E+001, 3.8333796E+001, 2.1122420E+000
 6.7501398E+001, 3.8300629E+001, 2.1116286E+000
 7.0003531E+001, 3.8266165E+001, 2.1438333E+000
 7.2508471E+001, 3.8233490E+001, 2.1422690E+000
 7.5018192E+001, 3.8202218E+001, 2.1485032E+000
 7.7512074E+001, 3.8169795E+001, 2.2131393E+000
 8.0005805E+001, 3.8136700E+001, 2.2159484E+000
 8.2517675E+001, 3.8106503E+001, 2.2358129E+000
 8.5009764E+001, 3.8073665E+001, 2.2405211E+000
 8.7515322E+001, 3.8036298E+001, 2.2455364E+000
 9.0024336E+001, 3.8002089E+001, 2.2271460E+000
 9.2504061E+001, 3.7966742E+001, 2.2642126E+000
 9.5000412E+001, 3.7934843E+001, 2.2561105E+000
 9.7510592E+001, 3.7907387E+001, 2.2117107E+000
 1.0001382E+002, 3.7880918E+001, 2.2161263E+000
 1.0251800E+002, 3.7854882E+001, 2.2327927E+000
 1.0502054E+002, 3.7828181E+001, 2.1919854E+000
 1.0750196E+002, 3.7799599E+001, 2.2054758E+000
 1.1000640E+002, 3.7771073E+001, 2.1892263E+000
 1.1252089E+002, 3.7743654E+001, 2.1719362E+000
 1.1501602E+002, 3.7713194E+001, 2.2033398E+000
 1.1750821E+002, 3.7683362E+001, 2.1579651E+000
 1.2001115E+002, 3.7653144E+001, 2.1606125E+000
 1.2250560E+002, 3.7623010E+001, 2.2205624E+000
 1.2501936E+002, 3.7593781E+001, 2.2057126E+000
 1.2752133E+002, 3.7564806E+001, 2.1511066E+000
 1.3001388E+002, 3.7538778E+001, 2.1428017E+000
 1.3250562E+002, 3.7513403E+001, 2.1692755E+000
 1.3500963E+002, 3.7486789E+001, 2.1663986E+000
 1.3750760E+002, 3.7458860E+001, 2.1056345E+000
 1.4000418E+002, 3.7432723E+001, 2.0918112E+000
 1.4251343E+002, 3.7407545E+001, 2.0928918E+000
 1.4500609E+002, 3.7382142E+001, 2.0400895E+000
 1.4750728E+002, 3.7356950E+001, 2.0663458E+000
 1.5000056E+002, 3.7331996E+001, 2.1146887E+000
 1.5250852E+002, 3.7306244E+001, 2.0923795E+000
 1.5500700E+002, 3.7278792E+001, 2.0599985E+000
 1.5750672E+002, 3.7251160E+001, 2.0746516E+000
 1.6000286E+002, 3.7223347E+001, 2.0809107E+000
 1.6251705E+002, 3.7195837E+001, 2.0749247E+000
 1.6500816E+002, 3.7168732E+001, 2.0227545E+000
 1.6750517E+002, 3.7142005E+001, 2.0173992E+000
 1.7000752E+002, 3.7114690E+001, 2.0228193E+000
 1.7251782E+002, 3.7086461E+001, 1.9826469E+000
 1.7501074E+002, 3.7058696E+001, 1.9692908E+000
 1.7750454E+002, 3.7029837E+001, 1.9760798E+000
 1.8000794E+002, 3.7001847E+001, 1.9390171E+000
 1.8252217E+002, 3.6975710E+001, 1.9148838E+000
 1.8501113E+002, 3.6949978E+001, 1.8923446E+000
 1.8750473E+002, 3.6923789E+001, 1.9075673E+000
 1.9001631E+002, 3.6896006E+001, 1.9136729E+000
