s,C,C,kg/m2,kW/kg
Time,"null","null","null","hrrpum"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.6000000E-002, 0.0000000E+000
 1.0000000E+000, 2.0960000E+001, 2.0000000E+001, 1.6000000E-002, 9.9098080E-021
 2.0000000E+000, 2.2080000E+001, 2.0146185E+001, 1.6000000E-002, 9.9098080E-021
 3.0000000E+000, 2.3040000E+001, 2.0566467E+001, 1.6000000E-002, 1.0476758E-020
 4.0000000E+000, 2.4000000E+001, 2.1031054E+001, 1.6000000E-002, 1.2290392E-020
 5.0000000E+000, 2.4960000E+001, 2.1653238E+001, 1.6000000E-002, 1.4655119E-020
 6.0000000E+000, 2.6080000E+001, 2.2383532E+001, 1.6000000E-002, 1.8533224E-020
 7.0000000E+000, 2.7040000E+001, 2.3218547E+001, 1.6000000E-002, 2.4383293E-020
 8.0000000E+000, 2.8000000E+001, 2.4123514E+001, 1.6000000E-002, 3.3311062E-020
 9.0000000E+000, 2.8960000E+001, 2.5054869E+001, 1.6000000E-002, 4.6621589E-020
 1.0000000E+001, 3.0080000E+001, 2.6001393E+001, 1.6000000E-002, 6.5751884E-020
 1.1000000E+001, 3.1040000E+001, 2.6988032E+001, 1.6000000E-002, 9.3050395E-020
 1.2000000E+001, 3.2000000E+001, 2.7998758E+001, 1.6000000E-002, 1.3332054E-019
 1.3000000E+001, 3.2960000E+001, 2.9002661E+001, 1.6000000E-002, 1.9223755E-019
 1.4000000E+001, 3.4080000E+001, 2.9998546E+001, 1.6000000E-002, 2.7583165E-019
 1.5000000E+001, 3.5040000E+001, 3.1019462E+001, 1.6000000E-002, 3.9371418E-019
 1.6000000E+001, 3.6000000E+001, 3.2053659E+001, 1.6000000E-002, 5.6564163E-019
 1.7000000E+001, 3.6960000E+001, 3.3072601E+001, 1.6000000E-002, 8.1449054E-019
 1.8000000E+001, 3.8080000E+001, 3.4077838E+001, 1.6000000E-002, 1.1636952E-018
 1.9000000E+001, 3.9040000E+001, 3.5105332E+001, 1.6000000E-002, 1.6508618E-018
 2.0000000E+001, 4.0000000E+001, 3.6143892E+001, 1.6000000E-002, 2.3545649E-018
 2.1000000E+001, 4.0960000E+001, 3.7164736E+001, 1.6000000E-002, 3.3631078E-018
 2.2000000E+001, 4.2080000E+001, 3.8170358E+001, 1.6000000E-002, 4.7633242E-018
 2.3000000E+001, 4.3040000E+001, 3.9198367E+001, 1.6000000E-002, 6.6967738E-018
 2.4000000E+001, 4.4000000E+001, 4.0237199E+001, 1.6000000E-002, 9.4649738E-018
 2.5000000E+001, 4.4960000E+001, 4.1257191E+001, 1.6000000E-002, 1.3395673E-017
 2.6000000E+001, 4.6080000E+001, 4.2261374E+001, 1.6000000E-002, 1.8797246E-017
 2.7000000E+001, 4.7040000E+001, 4.3288727E+001, 1.6000000E-002, 2.6183264E-017
