s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 2.5000000E+000, 3.1540800E+001, 0.0000000E+000
 5.1000000E+000, 3.1540800E+001, 0.0000000E+000
 7.6000000E+000, 3.1540800E+001, 8.4363421E-009
 1.0100000E+001, 3.1540800E+001, 1.7960907E-007
 1.2600000E+001, 3.1540800E+001, 1.5242321E-006
 1.5100000E+001, 3.1540800E+001, 9.1746145E-006
 1.7600000E+001, 3.1540799E+001, 4.2927048E-005
 2.0000000E+001, 3.1540798E+001, 1.6174281E-004
 2.2500000E+001, 3.1540792E+001, 5.3380143E-004
 2.5000000E+001, 3.1540774E+001, 1.5949698E-003
 2.7500000E+001, 3.1540725E+001, 4.3010851E-003
 3.0000000E+001, 3.1540600E+001, 1.0577305E-002
 3.2500000E+001, 3.1540310E+001, 2.3794637E-002
 3.5000000E+001, 3.1539698E+001, 4.8696980E-002
 3.7500000E+001, 3.1538525E+001, 8.9717594E-002
 4.0000000E+001, 3.1536481E+001, 1.5014600E-001
 4.2500000E+001, 3.1533342E+001, 2.2365159E-001
 4.5000000E+001, 3.1528978E+001, 2.9786046E-001
 4.7500000E+001, 3.1523331E+001, 3.6671472E-001
 5.0018071E+001, 3.1516804E+001, 4.3102729E-001
 5.2544742E+001, 3.1509379E+001, 4.8919177E-001
 5.5010974E+001, 3.1501380E+001, 5.3240054E-001
 5.7536847E+001, 3.1492682E+001, 5.5108956E-001
 6.0016611E+001, 3.1483157E+001, 6.0271840E-001
 6.2505175E+001, 3.1473126E+001, 6.2631272E-001
 6.5002592E+001, 3.1462486E+001, 6.6674912E-001
 6.7552969E+001, 3.1451160E+001, 6.8803899E-001
 7.0045812E+001, 3.1439263E+001, 7.2176378E-001
 7.2547254E+001, 3.1426681E+001, 7.5098661E-001
 7.5055736E+001, 3.1413716E+001, 7.6270945E-001
 7.7585479E+001, 3.1400530E+001, 7.7346690E-001
 8.0061804E+001, 3.1386476E+001, 7.9189405E-001
 8.2546131E+001, 3.1372175E+001, 8.1134817E-001
 8.5037307E+001, 3.1357704E+001, 8.2793505E-001
 8.7528779E+001, 3.1343180E+001, 8.4587641E-001
 9.0065145E+001, 3.1328271E+001, 8.3870801E-001
 9.2502033E+001, 3.1313018E+001, 8.6731438E-001
 9.5015162E+001, 3.1297736E+001, 8.6446581E-001
 9.7570732E+001, 3.1282336E+001, 8.8586370E-001
 1.0003605E+002, 3.1267316E+001, 9.0224317E-001
 1.0253000E+002, 3.1252632E+001, 9.0167731E-001
 1.0504369E+002, 3.1237825E+001, 9.2986009E-001
 1.0750638E+002, 3.1222965E+001, 9.2852524E-001
 1.1001977E+002, 3.1207419E+001, 9.0040849E-001
 1.1250517E+002, 3.1191639E+001, 9.1407846E-001
 1.1502891E+002, 3.1176131E+001, 9.1282055E-001
 1.1753881E+002, 3.1160830E+001, 9.3014555E-001
 1.2002855E+002, 3.1145637E+001, 9.2624004E-001
 1.2250655E+002, 3.1130366E+001, 9.4825992E-001
 1.2505699E+002, 3.1115229E+001, 9.1396930E-001
 1.2756102E+002, 3.1100043E+001, 9.3364376E-001
 1.3006929E+002, 3.1084893E+001, 9.3748775E-001
 1.3254994E+002, 3.1069665E+001, 9.1796390E-001
 1.3503150E+002, 3.1054070E+001, 9.4442299E-001
 1.3757364E+002, 3.1038174E+001, 9.3216327E-001
 1.4008417E+002, 3.1022541E+001, 9.2681165E-001
 1.4252924E+002, 3.1007211E+001, 9.4132185E-001
 1.4501251E+002, 3.0991747E+001, 9.3626602E-001
 1.4753658E+002, 3.0976021E+001, 9.2648173E-001
 1.5001345E+002, 3.0960752E+001, 9.3302720E-001
 1.5251695E+002, 3.0946207E+001, 9.4491236E-001
 1.5502092E+002, 3.0931620E+001, 9.0571285E-001
 1.5751499E+002, 3.0916520E+001, 8.9751310E-001
 1.6001773E+002, 3.0900920E+001, 8.9801281E-001
 1.6254439E+002, 3.0884902E+001, 9.0853274E-001
 1.6503076E+002, 3.0868794E+001, 9.3998116E-001
 1.6751010E+002, 3.0852859E+001, 9.5098827E-001
 1.7000542E+002, 3.0837217E+001, 9.3864051E-001
 1.7250984E+002, 3.0821688E+001, 9.1981706E-001
 1.7502274E+002, 3.0805909E+001, 9.5616549E-001
