s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 1.5000000E+000, 3.1540800E+001, 0.0000000E+000
 3.0000000E+000, 3.1540800E+001, 3.2744178E-005
 4.5000000E+000, 3.1540761E+001, 9.9559717E-003
 6.1000000E+000, 3.1538721E+001, 4.1407175E-001
 7.5083030E+000, 3.1527485E+001, 1.5413552E+000
 9.0622652E+000, 3.1507618E+001, 2.1378023E+000
 1.0521756E+001, 3.1482964E+001, 2.5803982E+000
 1.2029508E+001, 3.1455273E+001, 2.8210350E+000
 1.3537067E+001, 3.1424733E+001, 3.0181757E+000
 1.5004108E+001, 3.1393919E+001, 2.9999816E+000
 1.6502165E+001, 3.1361947E+001, 3.1928084E+000
 1.8035959E+001, 3.1329530E+001, 3.2134471E+000
 1.9523050E+001, 3.1296469E+001, 3.3507776E+000
 2.1023913E+001, 3.1263164E+001, 3.4270223E+000
 2.2509454E+001, 3.1229423E+001, 4.1569286E+000
 2.4038865E+001, 3.1192259E+001, 4.8864619E+000
 2.5516359E+001, 3.1152488E+001, 5.2457812E+000
 2.7024043E+001, 3.1112077E+001, 5.0747001E+000
 2.8537982E+001, 3.1072240E+001, 4.7888040E+000
 3.0019516E+001, 3.1031127E+001, 5.2595617E+000
 3.1508824E+001, 3.0987579E+001, 5.0695667E+000
 3.3010286E+001, 3.0944115E+001, 4.7834145E+000
 3.4519318E+001, 3.0905631E+001, 4.3744010E+000
 3.6009378E+001, 3.0867262E+001, 4.0565133E+000
 3.7504426E+001, 3.0828505E+001, 4.1888247E+000
 3.9009698E+001, 3.0789521E+001, 4.5401036E+000
 4.0512021E+001, 3.0750700E+001, 4.8631749E+000
 4.2003661E+001, 3.0712689E+001, 5.0722492E+000
 4.3504517E+001, 3.0675409E+001, 4.9122531E+000
 4.5007775E+001, 3.0638259E+001, 4.6108520E+000
 4.6502618E+001, 3.0601517E+001, 4.3091258E+000
 4.8000173E+001, 3.0564774E+001, 4.1504244E+000
 4.9517183E+001, 3.0527687E+001, 3.9274932E+000
 5.1025689E+001, 3.0490487E+001, 3.9241750E+000
 5.2538626E+001, 3.0452835E+001, 4.2490481E+000
 5.4015300E+001, 3.0416121E+001, 4.5103579E+000
 5.5536848E+001, 3.0380116E+001, 4.5162903E+000
 5.7016623E+001, 3.0344678E+001, 4.4861942E+000
 5.8515412E+001, 3.0309675E+001, 4.0821450E+000
 6.0008751E+001, 3.0275009E+001, 3.8620874E+000
 6.1510252E+001, 3.0241948E+001, 3.8485765E+000
 6.3018911E+001, 3.0209010E+001, 4.0247624E+000
 6.4511466E+001, 3.0175709E+001, 4.0270502E+000
 6.6001236E+001, 3.0142772E+001, 3.9917193E+000
 6.7531804E+001, 3.0110590E+001, 3.8872900E+000
 6.9046142E+001, 3.0078506E+001, 3.6693086E+000
 7.0513432E+001, 3.0048101E+001, 3.6193988E+000
 7.2004217E+001, 3.0018351E+001, 3.6732159E+000
 7.3519788E+001, 2.9987908E+001, 3.7618777E+000
 7.5047903E+001, 2.9957140E+001, 3.6046308E+000
 7.6503648E+001, 2.9927363E+001, 3.5336367E+000
 7.8041636E+001, 2.9897975E+001, 3.4234155E+000
 7.9548011E+001, 2.9868480E+001, 3.3863885E+000
 8.1030477E+001, 2.9839627E+001, 3.3781219E+000
 8.2543150E+001, 2.9810366E+001, 3.3657319E+000
 8.4017222E+001, 2.9781551E+001, 3.3060934E+000
 8.5512514E+001, 2.9753841E+001, 3.2685294E+000
 8.7006525E+001, 2.9726753E+001, 3.0889846E+000
 8.8505361E+001, 2.9700542E+001, 3.0557750E+000
 9.0042910E+001, 2.9674653E+001, 2.9732525E+000
 9.1524303E+001, 2.9649136E+001, 2.9410324E+000
 9.3051028E+001, 2.9624164E+001, 2.9121189E+000
 9.4535292E+001, 2.9599468E+001, 2.8091872E+000
 9.6012424E+001, 2.9575745E+001, 2.7383936E+000
 9.7506017E+001, 2.9552583E+001, 2.7179082E+000
 9.9041536E+001, 2.9529505E+001, 2.6754061E+000
 1.0052943E+002, 2.9507102E+001, 2.6871264E+000
 1.0201147E+002, 2.9485487E+001, 2.5576068E+000
 1.0352825E+002, 2.9464146E+001, 2.5038528E+000
 1.0504035E+002, 2.9443131E+001, 2.4729134E+000
