s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.8704000E+001, 0.0000000E+000
 1.5000000E+000, 3.8704000E+001, 0.0000000E+000
 3.0000000E+000, 3.8704000E+001, 8.9503778E-008
 4.5000000E+000, 3.8704000E+001, 1.9580889E-005
 6.1000000E+000, 3.8703987E+001, 1.2513686E-003
 7.6000000E+000, 3.8703665E+001, 2.9623460E-002
 9.0274483E+000, 3.8700122E+001, 3.1594671E-001
 1.0520741E+001, 3.8683855E+001, 1.4328787E+000
 1.2009115E+001, 3.8652691E+001, 3.0936417E+000
 1.3506795E+001, 3.8613724E+001, 4.1097570E+000
 1.5007073E+001, 3.8571566E+001, 4.1953668E+000
 1.6514166E+001, 3.8529455E+001, 4.2804167E+000
 1.8000694E+001, 3.8489157E+001, 5.1611718E+000
 1.9506479E+001, 3.8445896E+001, 5.0605580E+000
 2.1009999E+001, 3.8399270E+001, 4.8930333E+000
 2.2510963E+001, 3.8355963E+001, 5.2139358E+000
 2.4005865E+001, 3.8312903E+001, 5.3560467E+000
 2.5503746E+001, 3.8269486E+001, 5.9212178E+000
 2.7005710E+001, 3.8228588E+001, 5.4968741E+000
 2.8512034E+001, 3.8181801E+001, 5.7568951E+000
 3.0005571E+001, 3.8126766E+001, 5.6436196E+000
 3.1516927E+001, 3.8069291E+001, 5.5949249E+000
 3.3002498E+001, 3.8018459E+001, 5.6578307E+000
 3.4511516E+001, 3.7961769E+001, 5.8860723E+000
 3.6015898E+001, 3.7902314E+001, 5.3024408E+000
 3.7509067E+001, 3.7848983E+001, 5.5699831E+000
 3.9011899E+001, 3.7802742E+001, 5.7887045E+000
 4.0514087E+001, 3.7760531E+001, 5.9132252E+000
 4.2002854E+001, 3.7713336E+001, 5.7558542E+000
 4.3506518E+001, 3.7665657E+001, 5.7859172E+000
 4.5017331E+001, 3.7620223E+001, 5.4688831E+000
 4.6509673E+001, 3.7575992E+001, 5.4251607E+000
 4.8011007E+001, 3.7522741E+001, 5.7089192E+000
 4.9502130E+001, 3.7469953E+001, 5.7153070E+000
 5.1013496E+001, 3.7414934E+001, 5.6469051E+000
 5.2511691E+001, 3.7365528E+001, 5.7771410E+000
 5.4022189E+001, 3.7322336E+001, 5.3161287E+000
 5.5514108E+001, 3.7281207E+001, 5.0640117E+000
 5.7003042E+001, 3.7241053E+001, 4.9988093E+000
 5.8516995E+001, 3.7197481E+001, 4.9650648E+000
 6.0010827E+001, 3.7153716E+001, 4.9653422E+000
 6.1504864E+001, 3.7110897E+001, 4.9549012E+000
 6.3001033E+001, 3.7072493E+001, 4.9207912E+000
 6.4509583E+001, 3.7035421E+001, 4.7971922E+000
 6.6019316E+001, 3.6995431E+001, 4.6590207E+000
 6.7503667E+001, 3.6955185E+001, 4.6057227E+000
 6.9004445E+001, 3.6915669E+001, 4.5682695E+000
 7.0507192E+001, 3.6877494E+001, 4.5377845E+000
 7.2011442E+001, 3.6841463E+001, 4.4431945E+000
 7.3505971E+001, 3.6807035E+001, 4.3183829E+000
 7.5014326E+001, 3.6773140E+001, 4.2044176E+000
 7.6511660E+001, 3.6740895E+001, 4.0890539E+000
 7.8000751E+001, 3.6709428E+001, 3.9993691E+000
 7.9505584E+001, 3.6677732E+001, 3.9053349E+000
 8.1013107E+001, 3.6646914E+001, 3.8328677E+000
 8.2517148E+001, 3.6618167E+001, 3.6831309E+000
 8.4009743E+001, 3.6591768E+001, 3.5826215E+000
 8.5517192E+001, 3.6566861E+001, 3.5756987E+000
 8.7017341E+001, 3.6542492E+001, 3.4432292E+000
 8.8522244E+001, 3.6519165E+001, 3.3126004E+000
 9.0017722E+001, 3.6497727E+001, 3.2210992E+000
 9.1521762E+001, 3.6477558E+001, 3.1206076E+000
 9.3012310E+001, 3.6457938E+001, 3.0236924E+000
 9.4516194E+001, 3.6438885E+001, 2.9090882E+000
 9.6000160E+001, 3.6420216E+001, 2.7928727E+000
 9.7500889E+001, 3.6401335E+001, 2.7751220E+000
 9.9014024E+001, 3.6381797E+001, 2.7456406E+000
 1.0052213E+002, 3.6361468E+001, 2.7267035E+000
 1.0200241E+002, 3.6340446E+001, 2.7194590E+000
 1.0350194E+002, 3.6318855E+001, 2.7263635E+000
 1.0500969E+002, 3.6296421E+001, 2.7390696E+000
 1.0651510E+002, 3.6273556E+001, 2.7413885E+000
 1.0801386E+002, 3.6250677E+001, 2.7527100E+000
 1.0951025E+002, 3.6227686E+001, 2.7421147E+000
 1.1100010E+002, 3.6204762E+001, 2.7621274E+000
 1.1250507E+002, 3.6181598E+001, 2.7534305E+000
 1.1400749E+002, 3.6157867E+001, 2.7441705E+000
