s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.8704000E+001, 0.0000000E+000
 1.5000000E+000, 3.8704000E+001, 5.0565621E-009
 3.0000000E+000, 3.8703998E+001, 2.3934714E-004
 4.5552923E+000, 3.8702667E+001, 1.6913181E-001
 6.0166039E+000, 3.8675514E+001, 3.4168616E+000
 7.5156184E+000, 3.8614500E+001, 7.1441833E+000
 9.0062516E+000, 3.8551457E+001, 6.4034002E+000
 1.0509745E+001, 3.8485187E+001, 7.8765595E+000
 1.2006809E+001, 3.8420951E+001, 8.3345965E+000
 1.3509785E+001, 3.8347314E+001, 8.2655842E+000
 1.5000496E+001, 3.8268992E+001, 8.1827061E+000
 1.6517189E+001, 3.8192563E+001, 8.4903878E+000
 1.8004183E+001, 3.8121326E+001, 8.5593500E+000
 1.9506058E+001, 3.8045446E+001, 8.1397936E+000
 2.1014165E+001, 3.7965679E+001, 9.0583339E+000
 2.2506837E+001, 3.7888005E+001, 8.8354298E+000
 2.4012183E+001, 3.7810091E+001, 8.9625965E+000
 2.5506370E+001, 3.7733934E+001, 8.6957619E+000
 2.7008919E+001, 3.7658367E+001, 8.3082894E+000
 2.8503990E+001, 3.7591472E+001, 7.9481474E+000
 3.0002126E+001, 3.7522791E+001, 7.4743504E+000
 3.1500477E+001, 3.7453148E+001, 7.6848276E+000
 3.3004846E+001, 3.7387120E+001, 7.4296063E+000
 3.4512605E+001, 3.7327513E+001, 7.1335740E+000
 3.6004460E+001, 3.7272040E+001, 6.9182477E+000
 3.7508261E+001, 3.7222048E+001, 6.4996119E+000
 3.9003100E+001, 3.7170382E+001, 6.2613788E+000
 4.0500625E+001, 3.7115437E+001, 6.2305557E+000
 4.2000586E+001, 3.7066968E+001, 5.9494124E+000
 4.3508456E+001, 3.7022237E+001, 5.6445980E+000
 4.5005816E+001, 3.6975566E+001, 5.6865461E+000
 4.6501523E+001, 3.6928061E+001, 5.6828054E+000
 4.8013746E+001, 3.6883258E+001, 5.3972770E+000
 4.9511510E+001, 3.6840438E+001, 5.1695392E+000
 5.1010367E+001, 3.6798903E+001, 5.2361670E+000
 5.2511217E+001, 3.6758954E+001, 5.1186966E+000
 5.4001454E+001, 3.6718816E+001, 5.0717380E+000
 5.5513500E+001, 3.6678969E+001, 5.0034043E+000
 5.7005408E+001, 3.6638136E+001, 4.9264595E+000
 5.8501886E+001, 3.6600311E+001, 4.7371357E+000
 6.0001490E+001, 3.6564269E+001, 4.5370657E+000
 6.1513678E+001, 3.6527653E+001, 4.4766446E+000
 6.3007010E+001, 3.6492227E+001, 4.4070712E+000
 6.4505991E+001, 3.6459213E+001, 4.3744292E+000
 6.6005478E+001, 3.6428955E+001, 4.1342825E+000
 6.7504417E+001, 3.6401025E+001, 3.8974890E+000
 6.9005647E+001, 3.6373779E+001, 3.7779666E+000
 7.0512254E+001, 3.6346130E+001, 3.6978595E+000
 7.2010773E+001, 3.6317844E+001, 3.6155434E+000
 7.3519293E+001, 3.6288622E+001, 3.6353096E+000
 7.5007302E+001, 3.6258496E+001, 3.6383075E+000
 7.6500663E+001, 3.6227984E+001, 3.6381079E+000
 7.8014578E+001, 3.6196962E+001, 3.6322172E+000
 7.9518817E+001, 3.6165243E+001, 3.6220474E+000
 8.1000147E+001, 3.6133449E+001, 3.5965454E+000
 8.2518860E+001, 3.6101605E+001, 3.5011079E+000
 8.4002293E+001, 3.6069630E+001, 3.4661045E+000
 8.5517758E+001, 3.6037774E+001, 3.3951143E+000
 8.7007615E+001, 3.6006219E+001, 3.2898759E+000
 8.8506301E+001, 3.5974909E+001, 3.2046912E+000
 9.0001559E+001, 3.5943285E+001, 3.1692223E+000
 9.1519031E+001, 3.5911205E+001, 3.1434707E+000
 9.3017184E+001, 3.5878634E+001, 3.1141835E+000
 9.4508565E+001, 3.5846403E+001, 3.0808403E+000
 9.6012717E+001, 3.5815027E+001, 2.9729104E+000
 9.7506076E+001, 3.5784804E+001, 2.8612235E+000
 9.9015685E+001, 3.5756117E+001, 2.7261025E+000
 1.0051750E+002, 3.5729065E+001, 2.5811209E+000
 1.0202177E+002, 3.5703601E+001, 2.4014102E+000
 1.0351340E+002, 3.5679859E+001, 2.2428877E+000
 1.0501418E+002, 3.5657927E+001, 2.0713001E+000
 1.0652411E+002, 3.5637857E+001, 1.8895507E+000
 1.0800830E+002, 3.5619166E+001, 1.7608208E+000
 1.0952738E+002, 3.5600430E+001, 1.6734867E+000
 1.1101149E+002, 3.5580820E+001, 1.6762703E+000
 1.1251952E+002, 3.5560218E+001, 1.7590349E+000
 1.1401209E+002, 3.5538535E+001, 1.8710013E+000
