s,C,C,kg/m2,kW/kg
Time,"null","null","null","hrrpum"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 1.5420000E-002, 0.0000000E+000
 1.0000000E+000, 2.0960000E+001, 2.0000000E+001, 1.5420000E-002, 5.0821482E-013
 2.0000000E+000, 2.2080000E+001, 2.0150823E+001, 1.5420000E-002, 5.0821482E-013
 3.0000000E+000, 2.3040000E+001, 2.0582984E+001, 1.5420000E-002, 5.3498406E-013
 4.0000000E+000, 2.4000000E+001, 2.1057107E+001, 1.5420000E-002, 6.1958357E-013
 5.0000000E+000, 2.4960000E+001, 2.1690763E+001, 1.5420000E-002, 7.2751082E-013
 6.0000000E+000, 2.6080000E+001, 2.2432236E+001, 1.5420000E-002, 9.0092109E-013
 7.0000000E+000, 2.7040000E+001, 2.3278048E+001, 1.5420000E-002, 1.1556761E-012
 8.0000000E+000, 2.8000000E+001, 2.4192384E+001, 1.5420000E-002, 1.5329731E-012
 9.0000000E+000, 2.8960000E+001, 2.5130694E+001, 1.5420000E-002, 2.0768160E-012
 1.0000000E+001, 3.0080000E+001, 2.6082144E+001, 1.5420000E-002, 2.8305462E-012
 1.1000000E+001, 3.1040000E+001, 2.7073085E+001, 1.5420000E-002, 3.8669885E-012
 1.2000000E+001, 3.2000000E+001, 2.8087162E+001, 1.5420000E-002, 5.3404463E-012
 1.3000000E+001, 3.2960000E+001, 2.9092779E+001, 1.5420000E-002, 7.4149793E-012
 1.4000000E+001, 3.4080000E+001, 3.0089246E+001, 1.5420000E-002, 1.0244725E-011
 1.5000000E+001, 3.5040000E+001, 3.1111016E+001, 1.5420000E-002, 1.4083265E-011
 1.6000000E+001, 3.6000000E+001, 3.2145872E+001, 1.5420000E-002, 1.9474500E-011
 1.7000000E+001, 3.6960000E+001, 3.3164446E+001, 1.5420000E-002, 2.6982440E-011
 1.8000000E+001, 3.8080000E+001, 3.4168700E+001, 1.5420000E-002, 3.7112899E-011
 1.9000000E+001, 3.9040000E+001, 3.5195927E+001, 1.5420000E-002, 5.0714528E-011
 2.0000000E+001, 4.0000000E+001, 3.6234338E+001, 1.5420000E-002, 6.9649606E-011
 2.1000000E+001, 4.0960000E+001, 3.7254214E+001, 1.5420000E-002, 9.5782151E-011
 2.2000000E+001, 4.2080000E+001, 3.8258433E+001, 1.5420000E-002, 1.3069865E-010
 2.3000000E+001, 4.3040000E+001, 3.9285921E+001, 1.5420000E-002, 1.7714539E-010
 2.4000000E+001, 4.4000000E+001, 4.0324441E+001, 1.5420000E-002, 2.4130174E-010
 2.5000000E+001, 4.4960000E+001, 4.1343339E+001, 1.5420000E-002, 3.2911507E-010
