s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0999999E-001,-1.7722771E-004,-1.8247322E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0011054E+000, 2.0999999E-001, 9.9810499E-002, 1.0071978E-001, 5.0173753E+001, 3.4759531E+001, 1.7000075E+001, 1.4217022E+001, 1.1306428E+001, 7.8357907E+000, 6.3239442E+000, 4.7146640E+000, 4.1338957E+000, 3.9245928E+000, 3.4888851E+000, 3.1111120E+000, 2.6089086E+000, 2.0973641E+000, 1.9471920E+000, 1.4783643E+000, 1.1322064E+000, 1.0534349E+000, 9.7158139E-001, 8.5396217E-001, 8.7172486E-001, 8.7000394E-001, 8.2796316E-001, 5.9011252E-001, 3.8148698E-001, 2.9515868E-001, 2.0366252E-001, 1.3447652E-001, 1.1498322E-001, 7.5110493E-002, 6.3015940E-002, 4.4393586E-002, 3.1847954E-002, 2.8106153E-002, 2.0828540E-002, 1.5051981E-002, 1.3005425E-002, 8.2115172E-003, 4.5992713E-003, 3.8023005E-003, 2.0316244E-003, 1.5152863E-003, 6.2291320E-004, 1.3360619E-004, 4.5796487E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0007642E+000, 2.0999999E-001, 8.9080938E-001, 9.3313858E-001, 4.6022366E+001, 6.2068211E+001, 4.7863910E+001, 4.0501321E+001, 3.2737415E+001, 2.7712273E+001, 2.6172468E+001, 2.2900523E+001, 1.9000476E+001, 1.7904117E+001, 1.5564768E+001, 1.4482474E+001, 1.1618355E+001, 8.6546662E+000, 7.2896054E+000, 4.8857037E+000, 3.3400500E+000, 2.8900672E+000, 2.2533994E+000, 1.8469295E+000, 1.6659288E+000, 1.2729725E+000, 1.0802658E+000, 7.3859894E-001, 4.4841599E-001, 3.5354344E-001, 2.2092128E-001, 1.7282167E-001, 1.6154910E-001, 1.3322166E-001, 1.1613219E-001, 9.3376457E-002, 7.7951985E-002, 7.0912745E-002, 7.0549511E-002, 6.2952401E-002, 6.2661702E-002, 5.7546935E-002, 4.8769845E-002, 4.3866909E-002, 3.1843640E-002, 2.6060361E-002, 1.6680358E-002, 1.0705041E-002, 8.5322459E-003, 4.6422670E-003, 1.5658366E-003, 8.5247147E-004, 1.6437706E-005, 0.0000000E+000
 3.0000147E+000, 2.0999999E-001, 1.3211355E+000, 1.3712964E+000, 4.9889560E+001, 6.6867734E+001, 5.1263607E+001, 4.3579119E+001, 3.7139869E+001, 3.4297899E+001, 3.2448386E+001, 2.9215397E+001, 2.5386957E+001, 2.4988044E+001, 2.3306957E+001, 2.2088851E+001, 2.0190358E+001, 1.8168670E+001, 1.7150515E+001, 1.4838354E+001, 1.2936193E+001, 1.1971050E+001, 1.0265910E+001, 8.4130424E+000, 7.3439480E+000, 5.6681695E+000, 4.8632646E+000, 3.5547088E+000, 2.6274761E+000, 2.3097619E+000, 1.7959192E+000, 1.4000443E+000, 1.1771861E+000, 8.3743894E-001, 7.0330090E-001, 5.4464081E-001, 4.0733257E-001, 3.4194096E-001, 2.4188437E-001, 1.6486759E-001, 1.3652197E-001, 9.6428382E-002, 6.9330282E-002, 5.6436101E-002, 3.7988983E-002, 3.2464566E-002, 2.3669339E-002, 1.8961615E-002, 1.7326970E-002, 1.4703587E-002, 1.1839216E-002, 1.0780889E-002, 8.0807482E-003, 5.4491923E-003
 4.0013007E+000, 2.0999999E-001, 1.4544712E+000, 1.5257977E+000, 4.8040711E+001, 6.4467462E+001, 4.9051157E+001, 3.9354028E+001, 3.1991933E+001, 2.9857815E+001, 2.9218573E+001, 2.7423680E+001, 2.4680466E+001, 2.4524818E+001, 2.4100235E+001, 2.3105094E+001, 2.0826724E+001, 1.8536080E+001, 1.7718813E+001, 1.6541649E+001, 1.5316854E+001, 1.4588101E+001, 1.2673582E+001, 1.0814527E+001, 9.7875762E+000, 7.7507912E+000, 7.0599762E+000, 5.8250937E+000, 4.6597061E+000, 4.0712154E+000, 2.9247655E+000, 2.1127280E+000, 1.7832701E+000, 1.3227236E+000, 1.1303583E+000, 8.7993869E-001, 7.2317841E-001, 6.7179478E-001, 5.8877973E-001, 5.1810341E-001, 4.7557167E-001, 2.5424866E-001, 1.8002419E-001, 1.5762460E-001, 1.3005190E-001, 1.2291873E-001, 1.0054014E-001, 7.5839916E-002, 6.5218936E-002, 4.4763462E-002, 3.1204365E-002, 2.7399571E-002, 1.9317539E-002, 1.3399144E-002
 5.0007585E+000, 2.0999999E-001, 1.4045343E+000, 1.4649482E+000, 4.7941763E+001, 6.4002276E+001, 4.7458523E+001, 4.0904429E+001, 3.6310930E+001, 3.2337905E+001, 3.0920513E+001, 2.8456597E+001, 2.5616802E+001, 2.5272127E+001, 2.4053290E+001, 2.3228996E+001, 2.1625046E+001, 1.9395186E+001, 1.8339752E+001, 1.6147957E+001, 1.4028997E+001, 1.3000598E+001, 1.1600577E+001, 1.0721213E+001, 1.0195518E+001, 8.5974279E+000, 7.6242629E+000, 6.1225344E+000, 4.5303489E+000, 3.9909948E+000, 3.0756039E+000, 2.3741362E+000, 2.0542774E+000, 1.4540739E+000, 1.1745304E+000, 7.3371824E-001, 4.7708205E-001, 3.7645393E-001, 2.2447119E-001, 1.5150382E-001, 1.2748372E-001, 7.8498251E-002, 5.1751347E-002, 4.0428432E-002, 2.6950007E-002, 2.0484321E-002, 1.2722124E-002, 8.3736177E-003, 6.4387429E-003, 4.1195880E-003, 2.4594243E-003, 2.0889575E-003, 1.4108947E-003, 1.2449796E-003
 6.0004723E+000, 2.0999999E-001, 1.4857855E+000, 1.5829793E+000, 5.1908240E+001, 6.4772623E+001, 5.1941304E+001, 4.5405955E+001, 3.8315861E+001, 3.5267581E+001, 3.3426832E+001, 3.0736546E+001, 2.6694424E+001, 2.5812465E+001, 2.2542233E+001, 2.1549460E+001, 1.9726945E+001, 1.7831324E+001, 1.7019176E+001, 1.5705860E+001, 1.3705812E+001, 1.2902605E+001, 1.1262368E+001, 9.9688132E+000, 9.0908032E+000, 8.2702349E+000, 8.1532520E+000, 7.9676889E+000, 7.7414245E+000, 7.1496409E+000, 6.0217378E+000, 4.5188775E+000, 3.6516528E+000, 2.3762526E+000, 1.9861659E+000, 1.3769861E+000, 1.0303826E+000, 8.3820039E-001, 5.8491738E-001, 4.1293467E-001, 3.5088745E-001, 2.4424362E-001, 1.6893736E-001, 1.4092713E-001, 8.2426654E-002, 6.3451506E-002, 3.3155571E-002, 1.5942851E-002, 1.0663518E-002, 5.3431660E-003, 3.5428019E-003, 3.3640317E-003, 3.0521224E-003, 2.6437428E-003
 7.0007321E+000, 2.0999999E-001, 1.4645105E+000, 1.4979101E+000, 4.9627835E+001, 6.8267045E+001, 4.4898184E+001, 3.6508354E+001, 3.0066291E+001, 2.8257183E+001, 2.7711024E+001, 2.6761562E+001, 2.4333620E+001, 2.4238142E+001, 2.2820308E+001, 2.1869361E+001, 1.8858313E+001, 1.5970771E+001, 1.4893120E+001, 1.3379847E+001, 1.1916707E+001, 1.0859612E+001, 9.2928540E+000, 8.4724151E+000, 8.3215051E+000, 7.8109077E+000, 7.4141126E+000, 6.2008312E+000, 5.2336658E+000, 4.8399763E+000, 4.5096455E+000, 4.0726865E+000, 3.8179464E+000, 3.4133335E+000, 3.2571165E+000, 2.9513728E+000, 2.6400411E+000, 2.5827108E+000, 1.7694228E+000, 1.0942587E+000, 7.9550709E-001, 4.2540348E-001, 2.6349113E-001, 2.2632788E-001, 1.6118233E-001, 1.6632249E-001, 1.3649606E-001, 1.1016681E-001, 9.2135950E-002, 5.9838916E-002, 3.9689652E-002, 3.2559112E-002, 2.1549500E-002, 1.4729728E-002
 8.0005201E+000, 2.0999999E-001, 1.4612750E+000, 1.5620427E+000, 4.9565539E+001, 6.6798728E+001, 5.2562617E+001, 4.2963473E+001, 3.5092638E+001, 3.0746201E+001, 2.9364945E+001, 2.7282005E+001, 2.5198238E+001, 2.4849711E+001, 2.4609948E+001, 2.4357121E+001, 2.3464357E+001, 2.2634106E+001, 2.1573468E+001, 1.9353978E+001, 1.7408067E+001, 1.5944969E+001, 1.3856585E+001, 1.2196646E+001, 1.1377845E+001, 1.0120757E+001, 9.4079555E+000, 8.4103148E+000, 7.1490648E+000, 6.5181733E+000, 5.2086526E+000, 4.0654550E+000, 3.5871523E+000, 2.7412844E+000, 2.2899610E+000, 1.7166390E+000, 1.2527020E+000, 1.0869028E+000, 8.1781295E-001, 5.1820936E-001, 4.2040679E-001, 2.8162433E-001, 1.8328606E-001, 1.4591336E-001, 8.9869631E-002, 7.2827882E-002, 4.9991347E-002, 3.7077513E-002, 3.1945116E-002, 2.3422870E-002, 1.6784877E-002, 1.2723715E-002, 7.8414719E-003, 4.9925003E-003
 9.0006634E+000, 2.0999999E-001, 1.4895392E+000, 1.5381477E+000, 5.6506063E+001, 6.8587929E+001, 5.4536636E+001, 4.7568649E+001, 4.0021354E+001, 3.6818489E+001, 3.5423730E+001, 3.1722572E+001, 2.8093794E+001, 2.6848335E+001, 2.3652878E+001, 2.2859283E+001, 2.1017301E+001, 1.8990452E+001, 1.8578141E+001, 1.7050224E+001, 1.5060211E+001, 1.3910326E+001, 1.1652317E+001, 9.9349612E+000, 9.0469010E+000, 7.2857268E+000, 6.4081842E+000, 4.9689534E+000, 3.7058468E+000, 3.0603751E+000, 2.3349100E+000, 1.7463812E+000, 1.5595708E+000, 1.1922882E+000, 1.0360934E+000, 7.9455120E-001, 6.3629134E-001, 5.6723043E-001, 4.5778526E-001, 3.8623125E-001, 3.8328567E-001, 3.1238363E-001, 2.4830932E-001, 2.0682964E-001, 1.4022782E-001, 1.1333228E-001, 7.3728867E-002, 4.7532286E-002, 3.8863410E-002, 2.5510802E-002, 1.7560754E-002, 1.4728918E-002, 1.0754921E-002, 8.5522710E-003
 1.0001488E+001, 2.0999999E-001, 1.5063379E+000, 1.5795453E+000, 5.4005019E+001, 6.6700982E+001, 4.3055672E+001, 3.5889817E+001, 2.9463153E+001, 2.7386816E+001, 2.7337961E+001, 2.4738969E+001, 2.0897852E+001, 2.0051003E+001, 1.8252798E+001, 1.7690539E+001, 1.6251164E+001, 1.4906571E+001, 1.4149337E+001, 1.2752037E+001, 1.1482249E+001, 1.1049901E+001, 9.7581273E+000, 8.7049001E+000, 8.2970424E+000, 7.6118119E+000, 7.5114252E+000, 6.9083741E+000, 5.9644267E+000, 5.5429912E+000, 4.7085555E+000, 3.7841786E+000, 3.4127305E+000, 2.6282557E+000, 2.3013633E+000, 1.7336263E+000, 1.3454175E+000, 1.1758361E+000, 8.2827693E-001, 5.4875929E-001, 4.3871884E-001, 2.9225542E-001, 1.9522257E-001, 1.6195938E-001, 1.0587135E-001, 8.7098821E-002, 5.7635500E-002, 4.1709009E-002, 3.5227192E-002, 2.5413351E-002, 1.9406040E-002, 1.7195730E-002, 1.3074503E-002, 1.0241223E-002
 1.1000872E+001, 2.0641129E-001, 1.4098710E+000, 1.5003068E+000, 4.6536041E+001, 6.6803759E+001, 4.7577095E+001, 4.0031516E+001, 3.2132660E+001, 2.8702660E+001, 2.7738025E+001, 2.6738760E+001, 2.4492587E+001, 2.4207491E+001, 2.3320630E+001, 2.2610637E+001, 2.1093267E+001, 1.8751513E+001, 1.7941317E+001, 1.7218680E+001, 1.7034058E+001, 1.6738635E+001, 1.5789337E+001, 1.4354362E+001, 1.3475500E+001, 1.1966129E+001, 1.1224148E+001, 9.4117519E+000, 8.4078245E+000, 7.7865115E+000, 6.4710766E+000, 4.8855490E+000, 4.1869580E+000, 2.9380807E+000, 2.4069956E+000, 1.4802216E+000, 9.1453738E-001, 7.3035365E-001, 4.6883025E-001, 3.1587694E-001, 2.6027452E-001, 1.7673118E-001, 1.2158297E-001, 1.0231868E-001, 7.0446271E-002, 6.0316628E-002, 4.1676583E-002, 2.9062802E-002, 2.3792252E-002, 1.5829327E-002, 9.8522392E-003, 8.0790453E-003, 5.4421195E-003, 3.2764898E-003
