m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
-2.4688000E-001, 2.1268109E+001, 3.5482926E+001, 2.0613289E-001, 2.1502277E+001, 3.5395988E+001, 2.0782276E-001
-2.4062987E-001, 2.1373324E+001, 3.6045374E+001, 2.0515739E-001, 2.1525501E+001, 3.5873419E+001, 2.0782261E-001
-2.3437975E-001, 2.1441301E+001, 3.6494507E+001, 2.0332322E-001, 2.1549372E+001, 3.6415623E+001, 2.0782239E-001
-2.2812962E-001, 2.1453203E+001, 3.6925084E+001, 2.0067882E-001, 2.1573270E+001, 3.6949724E+001, 2.0782211E-001
-2.2187949E-001, 2.1423409E+001, 3.7267413E+001, 1.9777005E-001, 2.1597856E+001, 3.7523167E+001, 2.0782155E-001
-2.1562937E-001, 2.1357368E+001, 3.7433851E+001, 1.9498218E-001, 2.1625375E+001, 3.8127615E+001, 2.0781840E-001
-2.0937924E-001, 2.1246697E+001, 3.7497111E+001, 1.9212776E-001, 2.1657324E+001, 3.8761488E+001, 2.0779753E-001
-2.0312911E-001, 2.1078266E+001, 3.7570069E+001, 1.8890584E-001, 2.1696673E+001, 3.9443464E+001, 2.0771443E-001
-1.9687899E-001, 2.0861311E+001, 3.7697633E+001, 1.8528070E-001, 2.1738565E+001, 4.0162477E+001, 2.0754613E-001
-1.9062886E-001, 2.0669033E+001, 3.7992739E+001, 1.8221004E-001, 2.1780690E+001, 4.0936491E+001, 2.0732232E-001
-1.8437873E-001, 2.0550301E+001, 3.8465453E+001, 1.8023951E-001, 2.1825256E+001, 4.1752660E+001, 2.0701280E-001
-1.7812861E-001, 2.0498275E+001, 3.9132586E+001, 1.7915110E-001, 2.1870179E+001, 4.2583408E+001, 2.0651982E-001
-1.7187848E-001, 2.0485740E+001, 3.9974613E+001, 1.7860657E-001, 2.1913846E+001, 4.3461333E+001, 2.0589500E-001
-1.6562835E-001, 2.0498367E+001, 4.0903899E+001, 1.7841854E-001, 2.1948313E+001, 4.4357153E+001, 2.0499809E-001
-1.5937823E-001, 2.0521570E+001, 4.1953714E+001, 1.7839433E-001, 2.1975042E+001, 4.5315066E+001, 2.0387348E-001
-1.5312810E-001, 2.0546176E+001, 4.2960235E+001, 1.7839332E-001, 2.1983678E+001, 4.6250449E+001, 2.0236502E-001
-1.4687797E-001, 2.0574074E+001, 4.4248302E+001, 1.7839452E-001, 2.1988375E+001, 4.7260412E+001, 2.0055861E-001
-1.4062785E-001, 2.0599820E+001, 4.5330660E+001, 1.7839553E-001, 2.1984741E+001, 4.8304696E+001, 1.9868039E-001
-1.3437772E-001, 2.0629889E+001, 4.6755480E+001, 1.7839653E-001, 2.1976811E+001, 4.9611118E+001, 1.9674199E-001
-1.2812759E-001, 2.0661072E+001, 4.8173016E+001, 1.7839770E-001, 2.2024174E+001, 5.1612888E+001, 1.9501220E-001
-1.2187747E-001, 2.0694653E+001, 4.9696973E+001, 1.7839863E-001, 2.2899308E+001, 5.4150464E+001, 1.9311515E-001
-1.1562734E-001, 2.0731911E+001, 5.1394339E+001, 1.7840013E-001, 2.7228203E+001, 6.0706704E+001, 1.9100098E-001
-1.0937722E-001, 2.0772995E+001, 5.3223153E+001, 1.7840156E-001, 3.7578011E+001, 7.9433973E+001, 1.8827946E-001
-1.0312709E-001, 2.0817169E+001, 5.5252282E+001, 1.7840335E-001, 5.7645798E+001, 1.1321418E+002, 1.8481742E-001
-9.6876962E-002, 2.0863379E+001, 5.7353328E+001, 1.7840503E-001, 8.9126207E+001, 1.6109038E+002, 1.8001657E-001
-9.0626835E-002, 2.0925996E+001, 5.9765260E+001, 1.7840573E-001, 1.2290874E+002, 2.1033698E+002, 1.7464308E-001
-8.4376709E-002, 2.1279002E+001, 6.2384043E+001, 1.7837625E-001, 1.5997508E+002, 2.6087507E+002, 1.6898975E-001
-7.8126582E-002, 2.3757486E+001, 6.7449985E+001, 1.7814131E-001, 2.0068261E+002, 3.1619221E+002, 1.6297506E-001
-7.1876456E-002, 3.4629755E+001, 9.0012579E+001, 1.7706536E-001, 2.4336325E+002, 3.7473525E+002, 1.5687675E-001
-6.5626329E-002, 6.1559786E+001, 1.4423730E+002, 1.7416185E-001, 2.9668494E+002, 4.3684382E+002, 1.4976673E-001
-5.9376203E-002, 9.6592127E+001, 2.0588894E+002, 1.7029553E-001, 3.5454981E+002, 4.9441826E+002, 1.4228993E-001
-5.3126076E-002, 1.3807423E+002, 2.6513557E+002, 1.6586928E-001, 4.1104068E+002, 5.4345636E+002, 1.3487888E-001
-4.6875949E-002, 2.0128698E+002, 3.4867593E+002, 1.5914372E-001, 4.7243955E+002, 5.9240560E+002, 1.2703050E-001
-4.0625823E-002, 2.9506077E+002, 4.4917819E+002, 1.4853202E-001, 5.1415788E+002, 6.2357519E+002, 1.2153638E-001
-3.4375696E-002, 4.3676549E+002, 5.8153587E+002, 1.3189709E-001, 5.6298209E+002, 6.5797444E+002, 1.1520152E-001
-2.8125570E-002, 5.6502308E+002, 6.7593909E+002, 1.1373943E-001, 6.1940444E+002, 6.9746511E+002, 1.0790852E-001
-2.1875443E-002, 6.5938392E+002, 7.2074191E+002, 9.7481178E-002, 6.7588569E+002, 7.3383209E+002, 1.0048414E-001
-1.5625316E-002, 7.5751672E+002, 7.6515441E+002, 8.0408402E-002, 7.2169731E+002, 7.6068405E+002, 9.3968272E-002
-9.3751899E-003, 8.0776527E+002, 7.8935239E+002, 6.8592982E-002, 7.5863950E+002, 7.7671627E+002, 8.8703943E-002
-3.1250633E-003, 8.3045400E+002, 7.9509669E+002, 6.2702348E-002, 7.7512906E+002, 7.8075624E+002, 8.5671384E-002
 3.1250633E-003, 8.4038548E+002, 7.9540138E+002, 6.1375888E-002, 7.7324985E+002, 7.7623523E+002, 8.5267270E-002
 9.3751899E-003, 8.1921055E+002, 7.8655938E+002, 6.7104735E-002, 7.7884134E+002, 7.8206042E+002, 8.5328675E-002
 1.5625316E-002, 7.8109321E+002, 7.7697207E+002, 7.8154307E-002, 7.6414223E+002, 7.7409756E+002, 8.8418028E-002
 2.1875443E-002, 6.9794861E+002, 7.3813976E+002, 9.4794490E-002, 7.0710473E+002, 7.3928556E+002, 9.5896771E-002
 2.8125570E-002, 5.8538324E+002, 6.7347296E+002, 1.1298531E-001, 6.4832490E+002, 7.0366911E+002, 1.0362881E-001
 3.4375696E-002, 4.4583388E+002, 5.7276941E+002, 1.3143468E-001, 5.9369037E+002, 6.6572052E+002, 1.1094892E-001
 4.0625823E-002, 3.2608851E+002, 4.7440882E+002, 1.4616678E-001, 5.5159119E+002, 6.3617021E+002, 1.1646956E-001
 4.6875949E-002, 2.2141786E+002, 3.6142420E+002, 1.5807301E-001, 4.9244164E+002, 5.9648358E+002, 1.2396543E-001
 5.3126076E-002, 1.3191141E+002, 2.3867812E+002, 1.6742571E-001, 4.2361980E+002, 5.4762267E+002, 1.3267132E-001
 5.9376203E-002, 7.1931884E+001, 1.5557168E+002, 1.7341021E-001, 3.6366125E+002, 5.0022989E+002, 1.4030410E-001
 6.5626329E-002, 3.7860383E+001, 9.9784216E+001, 1.7679806E-001, 3.1400091E+002, 4.5160687E+002, 1.4663122E-001
 7.1876456E-002, 2.3267608E+001, 7.6533084E+001, 1.7820326E-001, 2.7428941E+002, 4.1328059E+002, 1.5170233E-001
 7.8126582E-002, 2.1117598E+001, 6.7969556E+001, 1.7840416E-001, 2.3002553E+002, 3.6505682E+002, 1.5761524E-001
