m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
-2.4688000E-001, 1.9998709E+001, 3.1529576E+001, 2.0990413E-001, 1.9997405E+001, 3.1950628E+001, 2.0999999E-001
-2.4062987E-001, 1.9998710E+001, 3.1956085E+001, 2.0939121E-001, 1.9997398E+001, 3.2339552E+001, 2.0999999E-001
-2.3437975E-001, 1.9998725E+001, 3.2415311E+001, 2.0765650E-001, 1.9997412E+001, 3.2742074E+001, 2.0999999E-001
-2.2812962E-001, 1.9998750E+001, 3.2878678E+001, 2.0482604E-001, 1.9997429E+001, 3.3156139E+001, 2.0999999E-001
-2.2187949E-001, 1.9998762E+001, 3.3109233E+001, 2.0129596E-001, 1.9997440E+001, 3.3586912E+001, 2.0999999E-001
-2.1562937E-001, 1.9998760E+001, 3.3091025E+001, 1.9783844E-001, 1.9997440E+001, 3.4040709E+001, 2.0999999E-001
-2.0937924E-001, 1.9998756E+001, 3.2985472E+001, 1.9457324E-001, 1.9997434E+001, 3.4515793E+001, 2.0999999E-001
-2.0312911E-001, 1.9998747E+001, 3.2953297E+001, 1.9093067E-001, 1.9997428E+001, 3.5022321E+001, 2.0999998E-001
-1.9687899E-001, 1.9998731E+001, 3.3078760E+001, 1.8684488E-001, 1.9997424E+001, 3.5545110E+001, 2.0999996E-001
-1.9062886E-001, 1.9998721E+001, 3.3397462E+001, 1.8343044E-001, 1.9997424E+001, 3.6103715E+001, 2.0999985E-001
-1.8437873E-001, 1.9998718E+001, 3.3848813E+001, 1.8138678E-001, 1.9997426E+001, 3.6671211E+001, 2.0999877E-001
-1.7812861E-001, 1.9998712E+001, 3.4406218E+001, 1.8050056E-001, 1.9997428E+001, 3.7284105E+001, 2.0998315E-001
-1.7187848E-001, 1.9998707E+001, 3.5039022E+001, 1.8022697E-001, 1.9997429E+001, 3.7922386E+001, 2.0982994E-001
-1.6562835E-001, 1.9998702E+001, 3.5699365E+001, 1.8018863E-001, 1.9997427E+001, 3.8577539E+001, 2.0947803E-001
-1.5937823E-001, 1.9998698E+001, 3.6427388E+001, 1.8018593E-001, 1.9997423E+001, 3.9283723E+001, 2.0897669E-001
-1.5312810E-001, 1.9998697E+001, 3.7140010E+001, 1.8018679E-001, 1.9997401E+001, 3.9980168E+001, 2.0818310E-001
-1.4687797E-001, 1.9998696E+001, 3.8011547E+001, 1.8018810E-001, 1.9998667E+001, 4.0752809E+001, 2.0697503E-001
-1.4062785E-001, 1.9998696E+001, 3.8798106E+001, 1.8018908E-001, 2.0053661E+001, 4.1832795E+001, 2.0509551E-001
-1.3437772E-001, 1.9998696E+001, 3.9754977E+001, 1.8019038E-001, 2.0418014E+001, 4.2849965E+001, 2.0272455E-001
-1.2812759E-001, 1.9998696E+001, 4.0739761E+001, 1.8019157E-001, 2.1564461E+001, 4.4258258E+001, 2.0028178E-001
-1.2187747E-001, 1.9998696E+001, 4.1811364E+001, 1.8019267E-001, 2.5254098E+001, 4.7748759E+001, 1.9755117E-001
-1.1562734E-001, 1.9998696E+001, 4.2963636E+001, 1.8019448E-001, 3.2408962E+001, 5.6308364E+001, 1.9465804E-001
-1.0937722E-001, 1.9998696E+001, 4.4218811E+001, 1.8019600E-001, 4.2166882E+001, 7.0679262E+001, 1.9176218E-001
-1.0312709E-001, 1.9998696E+001, 4.5604371E+001, 1.8019774E-001, 5.4565635E+001, 9.0738102E+001, 1.8868694E-001
-9.6876962E-002, 1.9998698E+001, 4.7060054E+001, 1.8019947E-001, 7.4186521E+001, 1.2190946E+002, 1.8497223E-001
-9.0626835E-002, 1.9998837E+001, 4.8690733E+001, 1.8020127E-001, 1.0386349E+002, 1.7589023E+002, 1.7994011E-001
-8.4376709E-002, 2.0007738E+001, 5.0382447E+001, 1.8020277E-001, 1.3306198E+002, 2.2446192E+002, 1.7504697E-001
-7.8126582E-002, 2.0309960E+001, 5.2479876E+001, 1.8017537E-001, 1.6927460E+002, 2.7638502E+002, 1.6965427E-001
-7.1876456E-002, 2.3799752E+001, 5.6747734E+001, 1.7983906E-001, 2.0861086E+002, 3.2443246E+002, 1.6409267E-001
-6.5626329E-002, 3.7827599E+001, 7.3242345E+001, 1.7843561E-001, 2.4585797E+002, 3.6113049E+002, 1.5872513E-001
-5.9376203E-002, 6.6125883E+001, 1.1414113E+002, 1.7547349E-001, 2.8815394E+002, 4.0008380E+002, 1.5296398E-001
-5.3126076E-002, 1.1548974E+002, 1.9123208E+002, 1.7033024E-001, 3.3913707E+002, 4.4918764E+002, 1.4634529E-001
-4.6875949E-002, 1.9048140E+002, 2.9694284E+002, 1.6247979E-001, 4.0207752E+002, 5.0774443E+002, 1.3823548E-001
-4.0625823E-002, 2.7825812E+002, 4.0509379E+002, 1.5263739E-001, 4.8527958E+002, 5.7926348E+002, 1.2792482E-001
-3.4375696E-002, 3.7920886E+002, 5.0624245E+002, 1.4074337E-001, 5.5010116E+002, 6.3569768E+002, 1.1943214E-001
-2.8125570E-002, 4.9056251E+002, 6.0086335E+002, 1.2640461E-001, 5.9620636E+002, 6.6672784E+002, 1.1333884E-001
-2.1875443E-002, 6.0130139E+002, 6.8291569E+002, 1.1003924E-001, 6.4454316E+002, 6.9725659E+002, 1.0726319E-001
-1.5625316E-002, 7.1226538E+002, 7.4805990E+002, 9.2505423E-002, 6.9626780E+002, 7.2665235E+002, 1.0044338E-001
-9.3751899E-003, 7.9829607E+002, 7.9548221E+002, 7.7039959E-002, 7.3221514E+002, 7.4673245E+002, 9.5413785E-002
-3.1250633E-003, 8.2491523E+002, 7.9919516E+002, 6.9570736E-002, 7.4469897E+002, 7.5351273E+002, 9.3599509E-002
 3.1250633E-003, 8.2074994E+002, 7.8691613E+002, 6.8796334E-002, 7.5491770E+002, 7.6114361E+002, 9.2522737E-002
 9.3751899E-003, 7.8702106E+002, 7.8484731E+002, 7.6538869E-002, 7.3863394E+002, 7.5001373E+002, 9.4587859E-002
 1.5625316E-002, 7.3063955E+002, 7.6990001E+002, 9.1342047E-002, 7.1424554E+002, 7.3531679E+002, 9.8403677E-002
 2.1875443E-002, 6.0294723E+002, 6.9062544E+002, 1.1163567E-001, 6.6336426E+002, 7.0212848E+002, 1.0529524E-001
 2.8125570E-002, 4.8913463E+002, 6.1889330E+002, 1.2810740E-001, 6.0909870E+002, 6.7073626E+002, 1.1187674E-001
 3.4375696E-002, 3.7771300E+002, 5.2317524E+002, 1.4258256E-001, 5.7209406E+002, 6.5000692E+002, 1.1669467E-001
 4.0625823E-002, 2.6073823E+002, 3.9749185E+002, 1.5590224E-001, 5.2486902E+002, 6.1495317E+002, 1.2284846E-001
 4.6875949E-002, 1.6570492E+002, 2.8594024E+002, 1.6579977E-001, 4.6930098E+002, 5.7401262E+002, 1.2981694E-001
 5.3126076E-002, 9.9609218E+001, 1.9155553E+002, 1.7241400E-001, 4.1241011E+002, 5.2828776E+002, 1.3694363E-001
 5.9376203E-002, 5.1698288E+001, 1.2420208E+002, 1.7710566E-001, 3.5542172E+002, 4.8204779E+002, 1.4424092E-001
 6.5626329E-002, 2.8138550E+001, 8.9797276E+001, 1.7941419E-001, 2.9792661E+002, 4.2931138E+002, 1.5166548E-001
 7.1876456E-002, 2.1187535E+001, 6.9092529E+001, 1.8009181E-001, 2.4824727E+002, 3.8130568E+002, 1.5842235E-001
 7.8126582E-002, 2.0066487E+001, 5.5423731E+001, 1.8019799E-001, 1.9477443E+002, 3.1833027E+002, 1.6598508E-001
 8.4376709E-002, 2.0000113E+001, 5.0767701E+001, 1.8020258E-001, 1.4541304E+002, 2.5455221E+002, 1.7315417E-001
 9.0626835E-002, 1.9998717E+001, 4.8682039E+001, 1.8020071E-001, 1.0744436E+002, 1.9722627E+002, 1.7916094E-001
 9.6876962E-002, 1.9998696E+001, 4.7066262E+001, 1.8019871E-001, 7.5320515E+001, 1.4390328E+002, 1.8442831E-001
 1.0312709E-001, 1.9998696E+001, 4.5597633E+001, 1.8019682E-001, 4.7096903E+001, 9.3185962E+001, 1.8919053E-001
 1.0937722E-001, 1.9998696E+001, 4.4180398E+001, 1.8019508E-001, 2.7935326E+001, 6.2678837E+001, 1.9283723E-001
 1.1562734E-001, 1.9998696E+001, 4.2933123E+001, 1.8019352E-001, 2.1029627E+001, 5.2196946E+001, 1.9519981E-001
