s,mol/mol,kW/kW,s,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","CHI_R","tcpu","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001, 0.0000000E+000, 7.0836439E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002345E+000, 2.0549551E-001, 2.3706941E-001, 4.8792913E+002, 1.4908256E-002, 1.3606803E-002, 0.0000000E+000, 2.7364428E+001, 1.8903076E+001, 1.8204512E+001, 1.5267758E+001, 1.2763161E+001, 1.0059996E+001, 7.8290550E+000, 5.8613510E+000, 4.7746633E+000, 4.0555762E+000, 3.5530348E+000, 2.6206575E+000, 1.8794965E+000, 1.4092432E+000, 1.0964899E+000, 6.7007058E-001, 3.9407131E-001, 2.0708297E-001, 8.4157076E-002, 4.5418550E-002, 2.6848291E-002, 1.6546209E-002, 1.0130042E-002, 7.3283737E-003, 5.0088150E-003, 3.2002518E-003, 1.9220230E-003, 1.4395548E-003, 1.0974099E-003, 7.9467520E-004, 4.0120716E-004, 2.3770880E-004, 1.3705188E-004, 2.6030855E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0006149E+000, 2.0412664E-001, 2.3462353E-001, 1.4738147E+003, 5.0034807E-001, 4.7242499E-001, 0.0000000E+000, 4.2503838E+001, 3.0491439E+001, 2.7947596E+001, 2.8939557E+001, 2.8735900E+001, 2.8043318E+001, 2.6607919E+001, 2.2466565E+001, 2.0616341E+001, 1.9230786E+001, 1.8540581E+001, 1.7159518E+001, 1.4897565E+001, 1.2335663E+001, 1.0257373E+001, 7.7835037E+000, 6.4576975E+000, 5.3998447E+000, 4.1500364E+000, 3.3079628E+000, 2.6628257E+000, 2.1379663E+000, 1.5910582E+000, 1.1994450E+000, 8.3647147E-001, 5.4411317E-001, 2.8167818E-001, 1.6970870E-001, 9.3173094E-002, 5.7119331E-002, 6.8828527E-002, 4.5054688E-002, 1.4581944E-002, 4.8797861E-003, 2.6115272E-003, 1.7528130E-003, 1.2581084E-003, 7.8600630E-004, 5.2837076E-004, 3.8107346E-004, 2.3773522E-004, 1.2242040E-004, 5.9827979E-005, 2.0472179E-005, 9.9144241E-006, 3.1668536E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0002077E+000, 2.0243762E-001, 2.3165882E-001, 2.5071498E+003, 8.1950651E-001, 8.8063038E-001, 0.0000000E+000, 4.2960038E+001, 3.1734271E+001, 3.1182535E+001, 3.3671135E+001, 3.4821443E+001, 3.5386912E+001, 3.6026694E+001, 3.3329773E+001, 3.1727298E+001, 3.0190987E+001, 2.8895532E+001, 2.6003652E+001, 2.3491542E+001, 2.1265161E+001, 1.9216959E+001, 1.7270459E+001, 1.6011535E+001, 1.4994462E+001, 1.3800902E+001, 1.2593981E+001, 1.1275132E+001, 9.8188301E+000, 7.7353108E+000, 6.2215982E+000, 4.7563335E+000, 3.1515013E+000, 1.7326238E+000, 1.0275462E+000, 5.5940872E-001, 3.3032102E-001, 1.8231854E-001, 1.1558185E-001, 7.0726620E-002, 3.5630602E-002, 2.1033488E-002, 1.3210182E-002, 8.2536615E-003, 4.6481718E-003, 2.7946072E-003, 1.5052066E-003, 8.8575775E-004, 3.5867680E-004, 2.0196972E-004, 1.4139807E-004, 1.1800330E-004, 9.9245468E-005, 7.2349493E-005, 4.9555790E-005, 1.5866802E-005
 4.0001704E+000, 2.0066289E-001, 2.2854588E-001, 3.5629264E+003, 9.0568361E-001, 9.3534739E-001, 0.0000000E+000, 4.2895813E+001, 3.1915886E+001, 3.0309988E+001, 3.1914632E+001, 3.3270394E+001, 3.3527289E+001, 3.3528307E+001, 3.1609840E+001, 3.1121511E+001, 2.8849866E+001, 2.5857226E+001, 2.2908445E+001, 2.1169852E+001, 1.9677583E+001, 1.8562517E+001, 1.6228247E+001, 1.4639212E+001, 1.2956698E+001, 1.0910401E+001, 9.4825274E+000, 8.1629421E+000, 7.2488170E+000, 6.1377435E+000, 5.0064670E+000, 3.9553897E+000, 3.0965127E+000, 2.0493928E+000, 1.5135107E+000, 1.1234726E+000, 8.5621905E-001, 5.6887419E-001, 4.1326055E-001, 2.9569703E-001, 1.7510743E-001, 1.2064269E-001, 8.1792008E-002, 5.8560064E-002, 3.8468889E-002, 2.9096674E-002, 2.1746126E-002, 1.6560652E-002, 1.1394103E-002, 8.0922700E-003, 5.6166245E-003, 3.9997975E-003, 2.4869445E-003, 1.6600075E-003, 1.1191060E-003, 5.5361934E-004
 5.0006308E+000, 1.9886924E-001, 2.2535882E-001, 4.6137544E+003, 8.9228133E-001, 9.6578377E-001, 0.0000000E+000, 4.4047462E+001, 3.1652477E+001, 3.0323409E+001, 3.3040063E+001, 3.4984999E+001, 3.5100072E+001, 3.4796717E+001, 3.1813608E+001, 3.1351247E+001, 3.1237550E+001, 3.0985291E+001, 2.9388101E+001, 2.7588158E+001, 2.5270992E+001, 2.2691824E+001, 1.9260482E+001, 1.7044432E+001, 1.5084794E+001, 1.2863605E+001, 1.0942991E+001, 8.6385134E+000, 6.7794009E+000, 4.9383794E+000, 4.0666108E+000, 3.2619936E+000, 2.7409585E+000, 2.2191373E+000, 1.8519821E+000, 1.5617121E+000, 1.3617279E+000, 1.1748306E+000, 1.0724376E+000, 9.3978954E-001, 7.1056248E-001, 6.0268031E-001, 5.8616899E-001, 5.0422579E-001, 3.7693911E-001, 2.8621075E-001, 2.0193596E-001, 1.4618832E-001, 9.6721575E-002, 7.1010479E-002, 5.7050297E-002, 4.1117387E-002, 2.1058247E-002, 1.0930599E-002, 6.0157970E-003, 3.1719653E-003
 6.0005152E+000, 1.9707202E-001, 2.2217176E-001, 5.6917710E+003, 9.5947734E-001, 8.8892519E-001, 0.0000000E+000, 4.2691427E+001, 3.1189990E+001, 2.9881015E+001, 3.1338477E+001, 3.2781825E+001, 3.3874886E+001, 3.3735105E+001, 3.0926156E+001, 2.9871357E+001, 2.8724052E+001, 2.7149851E+001, 2.4792243E+001, 2.3271974E+001, 2.1662648E+001, 1.9620229E+001, 1.6659196E+001, 1.4767689E+001, 1.2426468E+001, 9.6472612E+000, 7.9837424E+000, 6.4695163E+000, 5.3287458E+000, 4.4587503E+000, 3.8935107E+000, 3.2183693E+000, 2.5332600E+000, 1.9233263E+000, 1.5594602E+000, 1.2140332E+000, 1.0004516E+000, 8.1221575E-001, 6.5357825E-001, 4.6833765E-001, 2.9879862E-001, 2.1198088E-001, 1.5269201E-001, 1.0083717E-001, 6.7977607E-002, 4.1289250E-002, 2.2747714E-002, 1.2636546E-002, 6.1860923E-003, 3.2950112E-003, 1.8608331E-003, 1.1216432E-003, 6.9952830E-004, 4.8411567E-004, 3.9751417E-004, 2.8994346E-004
 7.0000799E+000, 1.9527688E-001, 2.1898471E-001, 6.7567077E+003, 9.0962973E-001, 9.2654163E-001, 0.0000000E+000, 4.0924611E+001, 3.0810891E+001, 3.1471085E+001, 3.2948019E+001, 3.3747207E+001, 3.4920941E+001, 3.5187990E+001, 3.3876494E+001, 3.3818031E+001, 3.3473537E+001, 3.2526064E+001, 3.0119751E+001, 2.8135714E+001, 2.6173147E+001, 2.3907442E+001, 2.0401669E+001, 1.7990723E+001, 1.6060456E+001, 1.3300551E+001, 1.1339448E+001, 9.4033278E+000, 7.7406005E+000, 6.4029899E+000, 5.7159521E+000, 4.7871555E+000, 3.7192046E+000, 2.7175221E+000, 2.2455402E+000, 1.6344652E+000, 1.1336640E+000, 7.2520846E-001, 5.1520307E-001, 3.6617347E-001, 2.5168407E-001, 1.9617283E-001, 1.5835785E-001, 1.3170096E-001, 1.0065365E-001, 7.3636201E-002, 5.5444359E-002, 4.1526387E-002, 2.6833179E-002, 1.3872729E-002, 7.0130126E-003, 3.7928672E-003, 1.8713948E-003, 1.2037003E-003, 7.6891390E-004, 4.1214859E-004
 8.0002168E+000, 1.9347953E-001, 2.1587176E-001, 7.8142478E+003, 8.9474448E-001, 8.8252979E-001, 0.0000000E+000, 4.0764171E+001, 3.0019711E+001, 2.7629467E+001, 3.1141278E+001, 3.4051742E+001, 3.5229826E+001, 3.4731857E+001, 3.2851678E+001, 3.2433182E+001, 3.0635990E+001, 2.8185085E+001, 2.5425577E+001, 2.3180811E+001, 2.0945855E+001, 1.9099277E+001, 1.6536912E+001, 1.4797967E+001, 1.3323080E+001, 1.1194608E+001, 9.7004881E+000, 8.2646421E+000, 6.9311565E+000, 5.4735167E+000, 4.5689381E+000, 3.6540235E+000, 2.7023502E+000, 1.6878483E+000, 1.1958954E+000, 8.4887344E-001, 5.9860957E-001, 4.1019433E-001, 3.1161104E-001, 2.2655917E-001, 1.6593081E-001, 1.1377279E-001, 7.4775080E-002, 4.4338262E-002, 2.1034052E-002, 1.1811614E-002, 6.7340246E-003, 3.8387237E-003, 1.7782925E-003, 1.0980481E-003, 7.5308805E-004, 5.3651720E-004, 2.8755322E-004, 1.2129417E-004, 7.0263676E-005, 4.4879149E-005
