s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6222935E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6222935E-011, 0.0000000E+000, 0.0000000E+000
 1.0002065E+000, 1.5766137E+001,-4.0273062E+000, 1.8725163E-001,-1.1013332E-001,-3.7324628E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1721489E+001, 1.1815576E+001, 4.3807321E-004, 3.1078016E-002
 2.0002372E+000, 4.0563459E+001,-1.0286230E+001,-1.6585480E+001, 7.7717428E-002,-2.3278942E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3478794E+001, 1.3769234E+001, 8.9713731E-004, 6.3930884E-002
 3.0004778E+000, 4.8420060E+001,-1.2100950E+001,-3.5250018E+001, 1.2149190E-001,-2.1969589E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2477065E-001, 1.1903639E+000, 9.9074568E-004, 7.1116227E-002
 4.0002232E+000, 4.9853530E+001,-1.2347674E+001,-3.6870585E+001, 1.2873900E-001,-2.2090000E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7563294E-001, 7.6378831E-001, 1.0043491E-003, 7.2690723E-002
 5.0000758E+000, 5.0295302E+001,-1.2248006E+001,-3.6588720E+001, 1.2266593E-001,-2.2363870E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4371350E+000, 1.5810191E+000, 1.0062084E-003, 7.3451122E-002
 6.0002308E+000, 4.9176864E+001,-1.1873372E+001,-3.8110667E+001, 1.2229630E-001,-2.1734445E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5522652E-001,-6.8509588E-001, 1.0064605E-003, 7.4110145E-002
 7.0003653E+000, 5.0465996E+001,-1.1986065E+001,-3.6599076E+001, 1.2473185E-001,-2.2768401E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7559747E+000, 2.0053600E+000, 1.0064947E-003, 7.4765667E-002
 8.0003939E+000, 4.9429035E+001,-1.1570925E+001,-3.8163499E+001, 1.2666208E-001,-2.1700835E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7528891E-001,-1.7894334E-001, 1.0064993E-003, 7.5431192E-002
 9.0004864E+000, 4.9858592E+001,-1.1546978E+001,-3.9647417E+001, 1.2024451E-001,-2.1984096E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3947645E+000,-1.2157783E+000, 1.0064999E-003, 7.6108793E-002
 1.0000209E+001, 4.9899479E+001,-1.1439196E+001,-3.6943706E+001, 1.1728651E-001,-2.1345146E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3926639E+000, 1.6336510E+000, 1.0065000E-003, 7.6799020E-002
 1.1000036E+001, 5.0380517E+001,-1.1424184E+001,-4.0337627E+001, 1.0855985E-001,-2.1722227E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4533235E+000,-1.2729514E+000, 1.0065000E-003, 7.7502287E-002
 1.2000501E+001, 4.9729757E+001,-1.1129978E+001,-3.8339776E+001, 1.1621469E-001,-2.1968829E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1566815E-002, 3.7599755E-001, 1.0065000E-003, 7.8219318E-002
 1.3000062E+001, 4.9758354E+001,-1.0958286E+001,-3.6480580E+001, 1.0982695E-001,-2.1680442E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0841513E+000, 2.4290986E+000, 1.0065000E-003, 7.8950191E-002
 1.4000249E+001, 4.9354255E+001,-1.0741041E+001,-3.9373116E+001, 1.1876894E-001,-2.1447703E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3785829E-001,-6.4134684E-001, 1.0065000E-003, 7.9695238E-002
 1.5000544E+001, 5.0191776E+001,-1.0919422E+001,-3.7384432E+001, 1.1897493E-001,-2.1967333E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6603041E+000, 2.0066769E+000, 1.0065000E-003, 8.0455279E-002
 1.6000471E+001, 4.9871790E+001,-1.0599453E+001,-4.1045214E+001, 9.2924451E-002,-2.1482289E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9168065E+000,-1.6801673E+000, 1.0065000E-003, 8.1230404E-002
 1.7000652E+001, 4.9665153E+001,-1.0523657E+001,-4.0012341E+001, 1.0529507E-001,-2.1759506E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3482983E-001,-7.6576813E-001, 1.0065000E-003, 8.2021180E-002
 1.8000504E+001, 4.9491370E+001,-1.0190157E+001,-3.7667906E+001, 1.0161245E-001,-2.1727983E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5631258E+000, 1.7347018E+000, 1.0065000E-003, 8.2827978E-002
 1.9000568E+001, 5.0371364E+001,-1.0268996E+001,-4.1857471E+001, 9.7632689E-002,-2.1378089E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0647098E+000,-1.6576835E+000, 1.0065000E-003, 8.3651327E-002
 2.0000629E+001, 4.9377280E+001,-1.0000485E+001,-3.8688002E+001, 9.8029623E-002,-2.0633611E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4611334E-001, 7.8661531E-001, 1.0065000E-003, 8.4491915E-002
 2.1000011E+001, 5.0429167E+001,-9.9156114E+000,-3.9530094E+001, 8.3724727E-002,-2.1041713E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7963852E-001, 1.0669755E+000, 1.0065000E-003, 8.5349901E-002
 2.2000477E+001, 4.9970875E+001,-9.7874625E+000,-4.0154088E+001, 9.4360861E-002,-2.1236869E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5062068E-002, 1.2347373E-001, 1.0065000E-003, 8.6226318E-002
 2.3000561E+001, 4.8835144E+001,-9.5022654E+000,-3.8974750E+001, 9.4239805E-002,-2.0473402E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9407099E-001, 4.5216332E-001, 1.0065000E-003, 8.7121778E-002
 2.4000526E+001, 4.9633519E+001,-9.5774219E+000,-3.9655985E+001, 8.0900521E-002,-2.1149049E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8464891E-001, 4.8080156E-001, 1.0065000E-003, 8.8036431E-002
 2.5000288E+001, 5.0305325E+001,-9.5267871E+000,-3.8966646E+001, 8.4519000E-002,-2.0719942E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5880635E+000, 1.8962033E+000, 1.0065000E-003, 8.8971112E-002
 2.6000006E+001, 4.9753507E+001,-9.2472213E+000,-4.4288284E+001, 8.3816918E-002,-2.1168287E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8578767E+000,-3.6983932E+000, 1.0065000E-003, 8.9926329E-002
 2.7000353E+001, 4.9715229E+001,-9.0938187E+000,-3.7208786E+001, 8.1299893E-002,-2.0525764E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2014422E+000, 3.4937188E+000, 1.0065000E-003, 9.0903328E-002
 2.8000095E+001, 4.9867046E+001,-8.9959280E+000,-4.0764126E+001, 7.4526867E-002,-2.1698531E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6382240E-001, 1.8130147E-001, 1.0065000E-003, 9.1902420E-002
 2.9000546E+001, 4.9994481E+001,-8.8007164E+000,-4.1927214E+001, 7.4714801E-002,-2.1137109E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2536576E-001,-6.5894532E-001, 1.0065000E-003, 9.2924485E-002
 3.0000147E+001, 4.9623678E+001,-8.6098682E+000,-3.9420431E+001, 6.5888982E-002,-2.1473504E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2764291E+000, 1.6590523E+000, 1.0065000E-003, 9.3970296E-002
 3.1000250E+001, 5.0119938E+001,-8.6372114E+000,-4.1856898E+001, 5.7740462E-002,-2.1544960E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9503768E-001,-3.1664620E-001, 1.0065000E-003, 9.5040405E-002
 3.2000233E+001, 4.9851103E+001,-8.5038115E+000,-4.2366219E+001, 6.1894137E-002,-2.2047487E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1651437E+000,-9.5725325E-001, 1.0065000E-003, 9.6136213E-002
 3.3000572E+001, 4.9642726E+001,-8.2740137E+000,-3.9195878E+001, 6.2104454E-002,-2.1478099E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9443128E+000, 2.2347241E+000, 1.0065000E-003, 9.7258507E-002
 3.4000565E+001, 4.9779463E+001,-8.1208262E+000,-4.3894335E+001, 5.7943907E-002,-2.1402283E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3089676E+000,-2.1779686E+000, 1.0065000E-003, 9.8408098E-002
 3.5000183E+001, 4.9472715E+001,-7.9049001E+000,-4.1270040E+001, 6.0485565E-002,-2.2257829E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3589549E-001, 3.5803728E-001, 1.0065000E-003, 9.9585630E-002
 3.6000462E+001, 4.9995323E+001,-8.1593122E+000,-4.0639245E+001, 6.1121792E-002,-2.1548925E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0804135E+000, 1.2576715E+000, 1.0065000E-003, 1.0079267E-001
 3.7000660E+001, 5.0095607E+001,-7.6840896E+000,-4.2698060E+001, 3.9681276E-002,-2.2100514E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7199613E-001,-2.4708194E-001, 1.0065000E-003, 1.0203062E-001
 3.8000778E+001, 4.8906219E+001,-7.0092440E+000,-4.0705303E+001, 4.7888667E-002,-2.2698000E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8057490E-001, 1.2393337E+000, 1.0065000E-003, 1.0330008E-001
 3.9000561E+001, 5.0268414E+001,-6.7562561E+000,-4.3535673E+001, 4.2310646E-002,-2.2528666E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3433082E-001, 1.8570223E-002, 1.0065000E-003, 1.0460230E-001
 4.0000187E+001, 4.8078357E+001,-5.9957626E+000,-4.0386712E+001, 3.8217697E-002,-2.4666329E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3349874E+000, 1.7338540E+000, 1.0065000E-003, 1.0593828E-001
