s,mol/mol,kW/kW,s,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","CHI_R","tcpu","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0729198E-001, 0.0000000E+000, 6.6230000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005677E+000, 2.0496477E-001, 2.3610588E-001, 2.4114700E+002, 4.0174951E-003, 5.2621502E-003, 0.0000000E+000, 2.4606898E+001, 1.8680913E+001, 1.6357334E+001, 1.5344906E+001, 1.4454743E+001, 1.2598428E+001, 1.1023167E+001, 9.3690433E+000, 8.2909977E+000, 6.8460345E+000, 5.2965732E+000, 3.5305758E+000, 2.5657921E+000, 1.8585282E+000, 1.3174787E+000, 9.0146476E-001, 6.8898560E-001, 3.9299453E-001, 1.8502898E-001, 9.0142988E-002, 3.9414325E-002, 2.0704265E-002, 1.0368605E-002, 7.0429070E-003, 4.7971525E-003, 3.5518479E-003, 2.4643265E-003, 1.5784095E-003, 1.1385063E-003, 8.2423527E-004, 4.7695701E-004, 1.8028628E-004, 5.8014982E-005, 9.2429988E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002153E+000, 2.0359691E-001, 2.3373412E-001, 7.3327500E+002, 5.8097702E-001, 5.2467958E-001, 0.0000000E+000, 4.0609885E+001, 2.9230987E+001, 2.7417729E+001, 2.9138867E+001, 3.0078132E+001, 2.9974497E+001, 2.8593894E+001, 2.5435656E+001, 2.3684053E+001, 2.1789624E+001, 1.9343736E+001, 1.6695587E+001, 1.5298902E+001, 1.3366350E+001, 1.1667577E+001, 9.5329277E+000, 7.4810901E+000, 5.9584464E+000, 4.5993866E+000, 3.6649631E+000, 2.9559168E+000, 2.3122776E+000, 1.5716695E+000, 1.1758511E+000, 9.3246769E-001, 7.7499375E-001, 6.3623739E-001, 5.4736232E-001, 4.7816435E-001, 4.3787042E-001, 3.8372464E-001, 3.6367826E-001, 3.2384370E-001, 2.4629242E-001, 1.9720868E-001, 1.4676915E-001, 1.1288419E-001, 8.2186639E-002, 5.8955489E-002, 3.0428424E-002, 1.4423900E-002, 5.9358724E-003, 3.5364774E-003, 2.2507824E-003, 1.4201820E-003, 7.0845159E-004, 4.0966762E-004, 2.4680665E-004, 1.3282018E-004
 3.0000513E+000, 2.0190732E-001, 2.3069529E-001, 1.2465970E+003, 1.0992502E+000, 1.0017680E+000, 0.0000000E+000, 3.9825739E+001, 3.0858941E+001, 3.0720861E+001, 3.2821898E+001, 3.4568831E+001, 3.5158804E+001, 3.4712059E+001, 3.2368119E+001, 3.1993375E+001, 3.0947501E+001, 3.0273828E+001, 2.7627408E+001, 2.5188319E+001, 2.2677328E+001, 2.0092826E+001, 1.6808037E+001, 1.4397572E+001, 1.2173122E+001, 9.3335923E+000, 7.6573567E+000, 6.2669656E+000, 5.0789961E+000, 3.6378069E+000, 2.7816121E+000, 2.1480562E+000, 1.8125060E+000, 1.3020211E+000, 8.9099184E-001, 5.8565724E-001, 4.0304554E-001, 2.0641416E-001, 1.0804142E-001, 5.6200128E-002, 2.5423236E-002, 1.5674514E-002, 1.0532026E-002, 7.6876003E-003, 5.6822310E-003, 4.2133992E-003, 2.8560441E-003, 2.0368397E-003, 1.2910952E-003, 7.9287594E-004, 4.6514134E-004, 2.5693762E-004, 1.4106767E-004, 8.1927065E-005, 1.1539984E-005, 1.8276447E-006
 4.0002880E+000, 2.0013289E-001, 2.2758235E-001, 1.7725840E+003, 1.0354534E+000, 1.0596502E+000, 0.0000000E+000, 4.1521438E+001, 3.1529359E+001, 2.8499429E+001, 3.0236173E+001, 3.1239187E+001, 3.2056917E+001, 3.1864288E+001, 2.9358113E+001, 2.8403382E+001, 2.6765627E+001, 2.5561329E+001, 2.5386758E+001, 2.4673906E+001, 2.3178937E+001, 2.1222691E+001, 1.8620218E+001, 1.6504792E+001, 1.3870929E+001, 1.0472570E+001, 8.6902156E+000, 6.8255996E+000, 5.4632492E+000, 4.0871367E+000, 3.1646747E+000, 2.5488582E+000, 2.0862934E+000, 1.5491975E+000, 1.2036164E+000, 9.4758982E-001, 7.3921595E-001, 4.6728092E-001, 2.7061206E-001, 1.5660695E-001, 4.6486386E-002, 2.3253775E-002, 1.5124639E-002, 1.0698635E-002, 6.1663287E-003, 4.4152374E-003, 3.3228700E-003, 2.4308031E-003, 1.4929104E-003, 1.1223302E-003, 7.1930453E-004, 4.6947414E-004, 2.1033928E-004, 1.0751196E-004, 7.3019370E-005, 9.2339624E-005
 5.0004538E+000, 1.9833926E-001, 2.2439529E-001, 2.2977400E+003, 1.0531882E+000, 1.0608684E+000, 0.0000000E+000, 3.9745874E+001, 3.1128604E+001, 2.9609688E+001, 3.2039173E+001, 3.3771091E+001, 3.4653015E+001, 3.3764796E+001, 3.0570505E+001, 2.9375706E+001, 2.8021609E+001, 2.5989884E+001, 2.3676802E+001, 2.2796557E+001, 2.2122922E+001, 2.1494990E+001, 2.0309516E+001, 1.8654640E+001, 1.6704111E+001, 1.3411952E+001, 1.0502858E+001, 7.7924725E+000, 5.9559478E+000, 4.1521139E+000, 3.1611837E+000, 2.3352406E+000, 1.6691212E+000, 1.1573814E+000, 8.5785215E-001, 5.2932764E-001, 2.9716970E-001, 1.3097974E-001, 7.1848715E-002, 4.4592513E-002, 2.2264420E-002, 1.3666821E-002, 8.5693581E-003, 5.9378739E-003, 2.8468379E-003, 1.8205439E-003, 1.1074719E-003, 6.3388472E-004, 2.7176351E-004, 1.3335173E-004, 4.0625286E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0001416E+000, 1.9654379E-001, 2.2128235E-001, 2.8370820E+003, 1.1521949E+000, 1.0411056E+000, 0.0000000E+000, 4.0916370E+001, 3.1352979E+001, 2.9154448E+001, 3.0854143E+001, 3.2438968E+001, 3.2324066E+001, 3.1482951E+001, 2.9717366E+001, 2.9249075E+001, 2.7453991E+001, 2.5217944E+001, 2.1951682E+001, 1.9674063E+001, 1.7559217E+001, 1.5478569E+001, 1.3589399E+001, 1.2499310E+001, 1.1427699E+001, 9.4778985E+000, 7.7884963E+000, 6.4149195E+000, 5.2492746E+000, 4.1202057E+000, 3.3478516E+000, 2.7808892E+000, 2.4416943E+000, 1.7581472E+000, 1.1229752E+000, 7.2428369E-001, 4.7492406E-001, 2.5459399E-001, 1.6276481E-001, 8.2746838E-002, 2.3684132E-002, 1.0292658E-002, 5.5451019E-003, 4.8975846E-003, 3.8530507E-003, 3.1210185E-003, 2.1620992E-003, 1.4803813E-003, 8.6411754E-004, 5.7353016E-004, 3.7805545E-004, 2.0527964E-004, 8.6352255E-005, 5.4580552E-005, 2.7979954E-005, 1.6455980E-005
 7.0006749E+000, 1.9474682E-001, 2.1809529E-001, 3.3617300E+003, 1.0577845E+000, 1.0360225E+000, 0.0000000E+000, 3.8952363E+001, 2.9046014E+001, 2.7753237E+001, 3.0621042E+001, 3.1982471E+001, 3.2357139E+001, 3.1427472E+001, 2.8516337E+001, 2.7869394E+001, 2.7343790E+001, 2.6781506E+001, 2.5256864E+001, 2.4348623E+001, 2.2828919E+001, 2.0469182E+001, 1.7897945E+001, 1.5885322E+001, 1.3600416E+001, 1.0810107E+001, 8.9384527E+000, 7.4108879E+000, 6.4585571E+000, 6.1855421E+000, 5.9200396E+000, 5.3289269E+000, 4.9422107E+000, 3.9741569E+000, 3.2234543E+000, 2.6682434E+000, 2.1811006E+000, 1.5821977E+000, 1.2500316E+000, 9.7210891E-001, 6.6361860E-001, 4.9257052E-001, 3.4030018E-001, 1.8871984E-001, 6.7732948E-002, 3.6907681E-002, 2.2177137E-002, 1.4370104E-002, 8.1632355E-003, 5.1812239E-003, 3.0580769E-003, 1.9695445E-003, 1.1047178E-003, 6.1003088E-004, 2.0677898E-004, 7.5238147E-006
 8.0001591E+000, 1.9295126E-001, 2.1490824E-001, 3.8803470E+003, 9.8505814E-001, 1.0893010E+000, 0.0000000E+000, 3.9126960E+001, 2.9335125E+001, 2.8108005E+001, 3.0386156E+001, 3.2557997E+001, 3.4109772E+001, 3.4464541E+001, 3.2554463E+001, 3.2376459E+001, 3.1493072E+001, 3.0690851E+001, 2.9614402E+001, 2.7887846E+001, 2.5396892E+001, 2.2573938E+001, 1.9141481E+001, 1.7187214E+001, 1.5371305E+001, 1.3104242E+001, 1.1578363E+001, 1.0162735E+001, 8.8120701E+000, 7.1739044E+000, 6.1583638E+000, 5.4520941E+000, 4.9674341E+000, 4.0321554E+000, 3.2942110E+000, 2.7368170E+000, 2.2531018E+000, 1.7832789E+000, 1.5465122E+000, 1.3348233E+000, 1.0334832E+000, 8.3808010E-001, 6.8208316E-001, 5.4482066E-001, 3.7856822E-001, 2.5370631E-001, 1.5902332E-001, 8.5479610E-002, 3.5304883E-002, 1.9281559E-002, 1.0789839E-002, 6.2320199E-003, 3.1608822E-003, 2.0486845E-003, 1.6878383E-003, 1.4501210E-003
