s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0999999E-001,-1.0358355E-004,-1.0926922E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003770E+000, 2.0999999E-001, 1.8182853E-001, 1.9574817E-001, 1.8025613E+001, 1.0377823E+001, 8.2410308E+000, 6.5037224E+000, 5.3042825E+000, 4.1822633E+000, 3.6399827E+000, 3.0926331E+000, 2.4303001E+000, 1.6845205E+000, 1.2928850E+000, 9.4634063E-001, 7.7053390E-001, 6.7505830E-001, 6.9507654E-001, 7.0438815E-001, 7.5055297E-001, 7.8709230E-001, 8.2007870E-001, 7.4330759E-001, 6.2889826E-001, 4.8936686E-001, 4.1171294E-001, 3.7760904E-001, 3.6290785E-001, 3.4335481E-001, 2.3884096E-001, 1.7885808E-001, 1.3392294E-001, 7.5614491E-002, 2.3842538E-002, 1.0282785E-002, 4.1708999E-003, 1.1610353E-003, 1.5363323E-004, 4.6790679E-005, 2.3704167E-005, 1.0235086E-005, 9.1759725E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0003601E+000, 2.0999999E-001, 9.2466984E-001, 9.6705259E-001, 1.4029890E+001, 1.6184294E+001, 1.4691919E+001, 1.4917915E+001, 1.4284121E+001, 1.3780192E+001, 1.3478332E+001, 1.3873536E+001, 1.4175219E+001, 1.5415825E+001, 1.5868066E+001, 1.5415263E+001, 1.5639827E+001, 1.5156992E+001, 1.3364181E+001, 1.1723629E+001, 9.8198398E+000, 8.1960009E+000, 6.1958232E+000, 4.9996998E+000, 4.2416992E+000, 3.5847473E+000, 3.1557992E+000, 2.2284711E+000, 1.5434994E+000, 1.0415080E+000, 7.6656606E-001, 5.5406041E-001, 3.4295506E-001, 2.2704674E-001, 1.6090424E-001, 9.5030153E-002, 3.6390807E-002, 1.6756794E-002, 5.5260799E-003, 1.9251469E-003, 9.7437084E-004, 6.7146178E-004, 5.1228876E-004, 3.6615971E-004, 2.6815539E-004, 1.8985366E-004, 1.1642921E-004, 6.2762284E-005, 3.5682541E-005, 1.6753766E-005, 1.0351105E-005, 5.6671127E-006, 2.2196798E-006, 8.4487041E-007
 3.0001422E+000, 2.0999999E-001, 1.1422281E+000, 1.1953710E+000, 1.4696730E+001, 1.6971506E+001, 1.4977251E+001, 1.4419288E+001, 1.3937813E+001, 1.4466058E+001, 1.5217053E+001, 1.5748014E+001, 1.5753667E+001, 1.5771836E+001, 1.6280789E+001, 1.5561067E+001, 1.3980618E+001, 1.2450080E+001, 1.0530323E+001, 9.8592017E+000, 9.3731599E+000, 8.9606767E+000, 8.1255386E+000, 7.5084064E+000, 6.3956973E+000, 5.2123746E+000, 4.4250347E+000, 3.7786158E+000, 2.9989909E+000, 2.1392617E+000, 1.5587120E+000, 1.1624619E+000, 8.1117467E-001, 5.2969006E-001, 3.7408187E-001, 3.2410355E-001, 2.5156579E-001, 1.9853934E-001, 1.5591192E-001, 1.3903026E-001, 9.7759997E-002, 7.3650469E-002, 6.1600333E-002, 3.7454018E-002, 6.2355850E-003, 9.3947258E-004, 4.5957032E-004, 2.9109866E-004, 2.2100566E-004, 1.8175505E-004, 1.4672858E-004, 1.1157794E-004, 7.4664322E-005, 5.1796184E-005
 4.0000154E+000, 2.0999999E-001, 1.1900393E+000, 1.2365125E+000, 1.6018333E+001, 1.6678026E+001, 1.5253767E+001, 1.5430230E+001, 1.5258679E+001, 1.5478642E+001, 1.5993055E+001, 1.6522308E+001, 1.7431911E+001, 1.8379051E+001, 1.8358573E+001, 1.7861495E+001, 1.6641667E+001, 1.5350084E+001, 1.3690903E+001, 1.2457758E+001, 1.1267110E+001, 1.0162413E+001, 8.6630551E+000, 7.1735312E+000, 6.4097716E+000, 5.4780412E+000, 4.7282006E+000, 3.8405888E+000, 3.3257643E+000, 2.9187243E+000, 2.5526184E+000, 2.2338363E+000, 2.1590144E+000, 1.9765398E+000, 1.4721256E+000, 1.2861317E+000, 1.2019997E+000, 1.1195334E+000, 8.6091549E-001, 5.6415474E-001, 8.1239304E-002, 1.1840061E-002, 8.1413901E-003, 8.3741040E-003, 8.9020510E-003, 1.2636954E-002, 1.6130181E-002, 1.4907500E-002, 4.6046575E-003, 8.5963741E-004, 4.2031160E-004, 2.9011574E-004, 2.0012993E-004, 1.3817890E-004
 5.0003384E+000, 2.0999999E-001, 1.1770286E+000, 1.2287046E+000, 1.7105122E+001, 1.6997933E+001, 1.5565100E+001, 1.6152684E+001, 1.5660595E+001, 1.5362412E+001, 1.5953038E+001, 1.6472929E+001, 1.6093562E+001, 1.5635107E+001, 1.5809650E+001, 1.5603012E+001, 1.5533014E+001, 1.5168710E+001, 1.4390384E+001, 1.3227397E+001, 1.1353945E+001, 9.9702541E+000, 8.4622549E+000, 7.6652843E+000, 7.3402561E+000, 6.2561050E+000, 5.3385529E+000, 4.1291719E+000, 3.2935538E+000, 2.4529575E+000, 1.8974013E+000, 1.5506188E+000, 1.1356859E+000, 6.6378717E-001, 3.8152640E-001, 2.8259011E-001, 2.1904418E-001, 1.8356174E-001, 1.7713734E-001, 2.0345257E-001, 2.3309406E-001, 9.7438263E-002, 4.1881874E-002, 1.2921337E-002, 4.5567161E-003, 1.7549842E-003, 7.9153286E-004, 3.8350550E-004, 2.1221115E-004, 1.0026100E-004, 5.2279610E-005, 2.7161280E-005, 1.6803626E-005, 7.1557408E-006
 6.0001778E+000, 2.0999999E-001, 1.2044296E+000, 1.2494285E+000, 1.7126743E+001, 1.7085549E+001, 1.5242982E+001, 1.5123113E+001, 1.5371181E+001, 1.4699626E+001, 1.3760200E+001, 1.3353850E+001, 1.3473645E+001, 1.4017502E+001, 1.3736846E+001, 1.2847840E+001, 1.2444985E+001, 1.2439926E+001, 1.1371675E+001, 1.0431927E+001, 9.9734323E+000, 9.2147222E+000, 8.0236530E+000, 6.9812546E+000, 6.0625418E+000, 5.1337105E+000, 4.5779991E+000, 4.1727827E+000, 3.7959232E+000, 3.2436450E+000, 2.7403257E+000, 2.1038329E+000, 1.6936832E+000, 1.4168992E+000, 1.2216275E+000, 1.0677534E+000, 7.9793828E-001, 6.3557983E-001, 4.5558848E-001, 2.5464793E-001, 7.3714102E-002, 2.5788378E-002, 1.2163811E-002, 6.6432665E-003, 5.7539722E-003, 2.5250151E-003, 1.4507312E-003, 3.5628566E-003, 1.2085528E-003, 3.3302319E-004, 2.2098807E-004, 1.5782005E-004, 1.1063616E-004, 7.3102598E-005
 7.0000672E+000, 2.0999999E-001, 1.2006505E+000, 1.2519186E+000, 1.6379172E+001, 1.6714409E+001, 1.5028489E+001, 1.5188561E+001, 1.5245160E+001, 1.5831066E+001, 1.6174020E+001, 1.5560852E+001, 1.4927268E+001, 1.5133974E+001, 1.5168391E+001, 1.4976013E+001, 1.3534863E+001, 1.2791755E+001, 1.1775249E+001, 1.0736288E+001, 1.0303267E+001, 9.8607805E+000, 8.7573744E+000, 7.4662073E+000, 6.1911455E+000, 5.4050703E+000, 4.8769291E+000, 3.9461059E+000, 3.2064043E+000, 2.7134302E+000, 2.3352831E+000, 1.6823421E+000, 1.2921807E+000, 1.1658000E+000, 1.0030334E+000, 8.4808447E-001, 6.6325126E-001, 5.0241652E-001, 3.5722121E-001, 2.9764831E-001, 2.3713740E-001, 1.7063647E-001, 1.1671362E-001, 7.2189305E-002, 2.7685666E-002, 9.7456728E-003, 4.8922173E-003, 1.6647998E-003, 5.0984752E-004, 2.8204136E-004, 1.8177923E-004, 1.0678599E-004, 5.4955091E-005, 2.3982827E-005
 8.0001685E+000, 2.0999999E-001, 1.1680097E+000, 1.2079923E+000, 1.7212375E+001, 1.7196974E+001, 1.5161687E+001, 1.6093910E+001, 1.6007205E+001, 1.5916052E+001, 1.5481465E+001, 1.4919225E+001, 1.3746787E+001, 1.2594341E+001, 1.2567594E+001, 1.1994096E+001, 1.1198182E+001, 1.0355480E+001, 9.5365682E+000, 9.2368765E+000, 8.3850614E+000, 7.4148030E+000, 6.4082863E+000, 5.5579243E+000, 4.8081836E+000, 4.0184425E+000, 3.3222867E+000, 2.6751570E+000, 2.1582790E+000, 1.6333252E+000, 1.2481784E+000, 8.6445286E-001, 6.7209583E-001, 5.9605416E-001, 5.2901785E-001, 5.0641597E-001, 4.5927326E-001, 4.4708790E-001, 4.5902258E-001, 3.9138487E-001, 3.5418765E-001, 3.3423120E-001, 3.7397113E-001, 3.2787551E-001, 2.8667395E-001, 2.2845629E-001, 1.2263202E-001, 3.7117454E-002, 4.2120157E-003, 2.0892409E-003, 4.8420145E-004, 1.6393119E-004, 8.6834757E-005, 3.7645273E-005
