s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001,-1.3916824E-004,-1.4771071E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008190E+000, 2.0782285E-001, 8.0541175E-002, 8.3953719E-002, 0.0000000E+000, 2.6437634E+001, 1.7350276E+001, 1.3556838E+001, 9.5766913E+000, 8.1872194E+000, 7.0515317E+000, 5.6584295E+000, 3.8758232E+000, 2.7106472E+000, 1.8697550E+000, 1.4942229E+000, 1.0936550E+000, 8.5866965E-001, 6.5465511E-001, 6.1351008E-001, 6.0769228E-001, 5.2091358E-001, 4.1654663E-001, 3.0363787E-001, 1.6442505E-001, 5.8325368E-002, 1.3972192E-002, 2.2204341E-003, 2.4374812E-004, 2.9729969E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0005005E+000, 2.0782285E-001, 7.6683315E-001, 7.8884534E-001, 5.7277389E-001, 4.8946469E+001, 3.5808361E+001, 3.0476367E+001, 2.8031885E+001, 2.7512364E+001, 2.6709704E+001, 2.6316952E+001, 2.4162984E+001, 2.2783396E+001, 2.1299667E+001, 2.0509524E+001, 1.8438729E+001, 1.6501407E+001, 1.4443259E+001, 1.2599520E+001, 1.0457654E+001, 9.1336755E+000, 7.7136615E+000, 6.0694368E+000, 4.8555666E+000, 3.4538368E+000, 2.2813175E+000, 1.2602588E+000, 6.6804018E-001, 3.4915385E-001, 2.2788994E-001, 1.3590960E-001, 7.4055598E-002, 3.4979628E-002, 1.6767732E-002, 8.2461389E-003, 5.4408570E-003, 3.8942735E-003, 2.6925779E-003, 2.0305445E-003, 1.5027542E-003, 1.1475445E-003, 7.8995260E-004, 5.9910488E-004, 4.6481472E-004, 3.6359958E-004, 2.4303481E-004, 1.8878973E-004, 1.4088678E-004, 1.0725398E-004, 8.7335951E-005, 8.4597369E-005, 6.2958810E-005, 3.6868258E-005
 3.0004242E+000, 2.0782285E-001, 1.0528450E+000, 1.1002415E+000, 8.2370558E-001, 4.9084930E+001, 3.4156773E+001, 3.0871225E+001, 2.8811685E+001, 2.9004815E+001, 2.9247600E+001, 2.9264305E+001, 2.9653986E+001, 2.9517800E+001, 2.7928240E+001, 2.6984760E+001, 2.5253555E+001, 2.3181483E+001, 2.0814077E+001, 1.8640253E+001, 1.6353650E+001, 1.4045879E+001, 1.2603859E+001, 1.0390510E+001, 9.1746465E+000, 8.3129506E+000, 7.9030950E+000, 7.2554888E+000, 6.5740082E+000, 5.5558499E+000, 4.6031617E+000, 3.5335956E+000, 2.6751795E+000, 2.0497747E+000, 1.5874162E+000, 8.8216939E-001, 4.5661369E-001, 2.3446671E-001, 1.1898527E-001, 7.6992676E-002, 4.9263731E-002, 3.1514563E-002, 1.7089705E-002, 1.1693010E-002, 8.2856050E-003, 6.2145220E-003, 4.2943777E-003, 3.2421952E-003, 2.4356066E-003, 1.8094803E-003, 1.1350414E-003, 7.5978862E-004, 5.7617110E-004, 4.2449787E-004
 4.0005952E+000, 2.0782285E-001, 1.1147421E+000, 1.1669734E+000, 8.0352858E-002, 4.8589578E+001, 3.6798607E+001, 3.3709448E+001, 3.3968292E+001, 3.4053319E+001, 3.3017106E+001, 3.2344648E+001, 3.0472487E+001, 2.9678802E+001, 2.8601522E+001, 2.7184941E+001, 2.4498934E+001, 2.2285998E+001, 2.0494548E+001, 1.9291663E+001, 1.7542233E+001, 1.6040740E+001, 1.4686844E+001, 1.3801319E+001, 1.2893362E+001, 1.1882667E+001, 1.0934134E+001, 9.4652177E+000, 8.1791954E+000, 6.6515252E+000, 5.2800692E+000, 3.8463286E+000, 3.1018961E+000, 2.4568897E+000, 1.8985917E+000, 1.3020748E+000, 8.9888344E-001, 5.3054301E-001, 2.8560626E-001, 1.9699907E-001, 1.5005783E-001, 1.2157660E-001, 9.1660518E-002, 7.0120136E-002, 5.2434283E-002, 3.7658965E-002, 1.8447463E-002, 1.1006449E-002, 7.0074199E-003, 4.7393591E-003, 3.4832866E-003, 3.1951370E-003, 5.6553400E-003, 1.1630918E-002
 5.0004059E+000, 2.0782285E-001, 1.1069764E+000, 1.1570435E+000, 5.0499672E-001, 4.9173884E+001, 3.6095794E+001, 3.2364270E+001, 3.2107369E+001, 3.1729672E+001, 3.1382855E+001, 3.0177396E+001, 2.7783336E+001, 2.6997681E+001, 2.6579746E+001, 2.6129260E+001, 2.6589576E+001, 2.6770431E+001, 2.6861602E+001, 2.5945210E+001, 2.4732426E+001, 2.2921843E+001, 2.1124902E+001, 1.8335670E+001, 1.6546962E+001, 1.4830352E+001, 1.3314941E+001, 1.0886264E+001, 9.2504542E+000, 8.0267458E+000, 7.0601891E+000, 6.1108630E+000, 5.6432742E+000, 5.1783507E+000, 4.9575125E+000, 4.7755440E+000, 4.6650741E+000, 4.2669251E+000, 3.6725625E+000, 3.1586890E+000, 2.6304220E+000, 1.9497761E+000, 1.3031327E+000, 1.0236685E+000, 7.9362116E-001, 6.2661078E-001, 5.0825359E-001, 4.1278779E-001, 3.3047818E-001, 2.7746558E-001, 2.2557632E-001, 1.4833493E-001, 8.3289901E-002, 3.0618924E-002
 6.0002547E+000, 2.0782285E-001, 1.1495079E+000, 1.2082548E+000, 1.0411666E+000, 4.9549936E+001, 3.5320263E+001, 3.1169375E+001, 3.1148560E+001, 3.1417931E+001, 3.1124154E+001, 3.0764509E+001, 3.0195574E+001, 2.9281050E+001, 2.8100711E+001, 2.7354918E+001, 2.5173430E+001, 2.3481685E+001, 2.2549287E+001, 2.1474907E+001, 1.9792987E+001, 1.7909105E+001, 1.6475040E+001, 1.4237009E+001, 1.2537124E+001, 1.1042995E+001, 9.8218326E+000, 8.8618897E+000, 8.0019892E+000, 7.2042421E+000, 6.5566643E+000, 5.6447080E+000, 4.9005793E+000, 4.5720271E+000, 4.1941465E+000, 3.8176126E+000, 3.5030301E+000, 3.0506933E+000, 2.4444170E+000, 2.0900548E+000, 1.8425647E+000, 1.6048036E+000, 1.3028834E+000, 1.0795865E+000, 8.3756176E-001, 6.3173318E-001, 3.8230316E-001, 2.6023629E-001, 1.7906479E-001, 1.2694574E-001, 7.8424130E-002, 5.6255943E-002, 3.9124095E-002, 2.0732288E-002
 7.0000845E+000, 2.0782285E-001, 1.1716742E+000, 1.1995209E+000, 1.1436952E-001, 5.0668102E+001, 3.4809097E+001, 3.0706295E+001, 3.1249697E+001, 3.1328669E+001, 3.0308628E+001, 2.8704083E+001, 2.7051148E+001, 2.6873654E+001, 2.5402885E+001, 2.3497182E+001, 2.0834065E+001, 1.9017310E+001, 1.7468332E+001, 1.5892493E+001, 1.4761349E+001, 1.4443084E+001, 1.3474919E+001, 1.1756532E+001, 1.0354170E+001, 8.8520457E+000, 7.3449231E+000, 5.3836023E+000, 4.1025352E+000, 3.0673306E+000, 2.4876029E+000, 1.9434187E+000, 1.7465542E+000, 1.5680128E+000, 1.5701122E+000, 1.4638709E+000, 1.3158434E+000, 1.1321538E+000, 9.0394281E-001, 7.1491731E-001, 5.2301683E-001, 3.5261930E-001, 1.9240143E-001, 1.2305871E-001, 7.3790579E-002, 4.6799190E-002, 2.3796882E-002, 1.3031947E-002, 8.6839640E-003, 6.2363929E-003, 4.2378870E-003, 3.3743046E-003, 2.6436679E-003, 2.0388859E-003
 8.0003919E+000, 2.0782285E-001, 1.1749326E+000, 1.2105342E+000, 6.0192748E-001, 4.9473590E+001, 3.6033479E+001, 3.2063193E+001, 3.0696263E+001, 2.9743414E+001, 3.0184818E+001, 3.0577103E+001, 3.0234026E+001, 2.9575658E+001, 2.7675490E+001, 2.5966645E+001, 2.4568530E+001, 2.2336517E+001, 2.0392373E+001, 1.7876333E+001, 1.4752767E+001, 1.3227078E+001, 1.1815253E+001, 1.0221389E+001, 9.1106243E+000, 8.2821468E+000, 7.0323801E+000, 5.5489852E+000, 4.6689754E+000, 4.1252228E+000, 3.7455877E+000, 3.3219220E+000, 2.8468540E+000, 2.3253780E+000, 2.0017646E+000, 1.5895041E+000, 1.2985418E+000, 1.0377846E+000, 7.0889416E-001, 4.4756634E-001, 2.4013114E-001, 1.1318096E-001, 3.5194389E-002, 1.7372461E-002, 1.0909782E-002, 7.4616872E-003, 4.9026484E-003, 3.7394088E-003, 3.0613913E-003, 2.4933686E-003, 1.8984800E-003, 1.5759035E-003, 1.2641866E-003, 9.9910608E-004
 9.0004081E+000, 2.0782285E-001, 1.1570988E+000, 1.1938405E+000, 6.5052030E-001, 4.9757240E+001, 3.4625375E+001, 3.0084666E+001, 3.0144205E+001, 3.0316943E+001, 2.9918315E+001, 2.9492305E+001, 2.8288843E+001, 2.8706662E+001, 2.8608974E+001, 2.7620250E+001, 2.5655631E+001, 2.3715690E+001, 2.2273719E+001, 1.9765852E+001, 1.6498253E+001, 1.4621451E+001, 1.3532319E+001, 1.2285103E+001, 1.0912232E+001, 9.1824426E+000, 7.7156809E+000, 6.1408336E+000, 5.1904624E+000, 4.5921906E+000, 4.1407588E+000, 3.6045808E+000, 3.2430867E+000, 2.8183478E+000, 2.3346279E+000, 1.9306846E+000, 1.6495582E+000, 1.3994902E+000, 9.2762710E-001, 7.4420588E-001, 6.2852137E-001, 5.8148084E-001, 4.3967220E-001, 3.7742781E-001, 3.0215676E-001, 2.5762425E-001, 2.0046333E-001, 1.5043503E-001, 1.0612465E-001, 6.6245185E-002, 3.7372727E-002, 2.4699854E-002, 1.5280799E-002, 8.8945740E-003
 1.0000372E+001, 2.0782285E-001, 1.1485611E+000, 1.2051227E+000, 7.3194443E-001, 4.9589957E+001, 3.9667735E+001, 3.6296905E+001, 3.5069840E+001, 3.4121252E+001, 3.3810121E+001, 3.2312835E+001, 2.9776064E+001, 2.8764042E+001, 2.7556691E+001, 2.5817328E+001, 2.3579779E+001, 2.2235657E+001, 2.1019624E+001, 2.0009364E+001, 1.8784049E+001, 1.8192676E+001, 1.6978471E+001, 1.4254587E+001, 1.2670941E+001, 1.0949304E+001, 9.2398846E+000, 7.1661045E+000, 5.8562518E+000, 4.8905001E+000, 4.1978209E+000, 3.3813102E+000, 2.8838353E+000, 2.3230649E+000, 1.9492490E+000, 1.6395761E+000, 1.5854264E+000, 1.5591713E+000, 1.6380131E+000, 1.5232845E+000, 1.2638183E+000, 1.0735000E+000, 8.4562191E-001, 7.1870196E-001, 6.7928535E-001, 6.3170177E-001, 4.8890570E-001, 4.0829770E-001, 3.4304867E-001, 3.0545045E-001, 2.8741683E-001, 2.3331362E-001, 1.7838335E-001, 1.2533229E-001
 1.1000411E+001, 2.0422869E-001, 1.1308851E+000, 1.1823566E+000, 1.5185071E+000, 4.7939840E+001, 3.6526271E+001, 3.3312542E+001, 3.1945175E+001, 3.1934180E+001, 3.0232540E+001, 2.8914766E+001, 2.7397584E+001, 2.6710500E+001, 2.6643376E+001, 2.6621643E+001, 2.6008935E+001, 2.5324372E+001, 2.4015098E+001, 2.1970717E+001, 1.8401067E+001, 1.6217679E+001, 1.4339133E+001, 1.2663646E+001, 1.1562766E+001, 1.0611082E+001, 9.7732806E+000, 8.9634700E+000, 8.0813245E+000, 6.9814849E+000, 5.9137291E+000, 4.6771417E+000, 3.7819211E+000, 3.1360083E+000, 2.6214821E+000, 2.2173770E+000, 1.8199986E+000, 1.5847423E+000, 1.2088825E+000, 8.1776268E-001, 5.5186765E-001, 3.4297236E-001, 1.8305281E-001, 9.9389849E-002, 5.2655574E-002, 3.1650114E-002, 2.4242962E-002, 2.3294405E-002, 1.9534599E-002, 1.5045679E-002, 9.4208324E-003, 6.6659346E-003, 4.7883421E-003, 3.4190054E-003
