s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001,-1.5880725E-004,-1.6312853E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0009816E+000, 2.0782285E-001, 8.6196790E-002, 8.9384781E-002, 4.4912773E+001, 2.1547820E+001, 2.0063615E+001, 2.0339840E+001, 1.8546596E+001, 1.5755720E+001, 1.4624773E+001, 1.1359538E+001, 7.5961374E+000, 6.8333070E+000, 6.0557395E+000, 5.6138345E+000, 4.8266497E+000, 4.5832730E+000, 4.1646297E+000, 3.4268054E+000, 2.5908203E+000, 2.0729560E+000, 1.2978089E+000, 6.7306908E-001, 4.5463831E-001, 1.6269177E-001, 1.2929246E-001, 8.8740208E-002, 6.4546165E-002, 5.6231486E-002, 4.1727069E-002, 3.1342136E-002, 2.8145619E-002, 2.2476672E-002, 1.8879328E-002, 1.3259981E-002, 9.1704025E-003, 7.5994082E-003, 5.9592401E-003, 4.7367376E-003, 4.1792931E-003, 3.2726036E-003, 2.9198197E-003, 2.3274035E-003, 1.7468983E-003, 1.9364515E-003, 2.0807640E-003, 1.8240008E-003, 1.4190183E-003, 1.6757332E-003, 1.1421089E-003, 7.6570974E-004, 4.7560791E-004, 4.9690919E-005
 2.0008023E+000, 2.0782285E-001, 5.6675282E-001, 5.8498315E-001, 2.7468874E+001, 4.3654111E+001, 3.9861471E+001, 4.0422622E+001, 4.1201214E+001, 3.6945186E+001, 3.4928629E+001, 3.1352290E+001, 2.5808386E+001, 2.4287499E+001, 2.1706274E+001, 2.0603527E+001, 1.7925468E+001, 1.4683656E+001, 1.3136903E+001, 1.0374122E+001, 8.5559654E+000, 7.8546023E+000, 6.2500887E+000, 5.2670190E+000, 4.9244022E+000, 4.4542247E+000, 4.2986194E+000, 3.8139891E+000, 3.1693687E+000, 2.9631173E+000, 2.6133379E+000, 1.9183543E+000, 1.5262677E+000, 8.3505318E-001, 6.0131610E-001, 3.1225419E-001, 1.9216447E-001, 1.4398566E-001, 7.7339781E-002, 4.5203821E-002, 3.2895716E-002, 1.7560449E-002, 7.6741175E-003, 5.6680993E-003, 2.1835785E-003, 1.1694296E-003, 4.4695259E-004, 2.1261870E-004, 7.8661373E-005, 6.7044691E-005, 5.9580902E-005, 6.7114643E-006, 0.0000000E+000, 0.0000000E+000
 3.0011614E+000, 2.0782285E-001, 8.1361441E-001, 8.2672357E-001, 2.3234998E+001, 4.3653186E+001, 4.3683059E+001, 4.2389606E+001, 3.8898316E+001, 3.7849683E+001, 3.7704884E+001, 3.7984925E+001, 3.3920784E+001, 3.2733233E+001, 2.9629314E+001, 2.7860435E+001, 2.4641566E+001, 2.1408311E+001, 1.9940847E+001, 1.7047650E+001, 1.3551541E+001, 1.2161906E+001, 9.7456149E+000, 7.9167956E+000, 7.2003536E+000, 6.0410889E+000, 5.3623615E+000, 4.3553176E+000, 3.6628416E+000, 3.2781051E+000, 2.5844519E+000, 2.0932714E+000, 1.8053854E+000, 1.4065372E+000, 1.1800018E+000, 7.8122875E-001, 4.6529778E-001, 3.5336591E-001, 2.0544712E-001, 1.3044553E-001, 9.9040164E-002, 6.5890123E-002, 4.4914634E-002, 3.7061970E-002, 2.5159060E-002, 2.1024905E-002, 1.0193917E-002, 4.4055147E-003, 2.7678438E-003, 1.5002954E-003, 9.6788799E-004, 8.0615426E-004, 5.8308554E-004, 3.7115338E-004
 4.0006401E+000, 2.0782285E-001, 8.5731547E-001, 8.8093532E-001, 2.1642436E+001, 4.2899858E+001, 4.1035285E+001, 3.9980008E+001, 3.8327671E+001, 3.6135621E+001, 3.4912627E+001, 3.2994760E+001, 2.8600725E+001, 2.8538405E+001, 2.6607885E+001, 2.6082366E+001, 2.4089702E+001, 2.1816016E+001, 2.0692027E+001, 1.7854228E+001, 1.4768146E+001, 1.3406049E+001, 1.1140798E+001, 9.5364901E+000, 8.8636977E+000, 7.5933841E+000, 7.1793894E+000, 6.0232693E+000, 4.8268715E+000, 4.4498681E+000, 3.7744483E+000, 2.8625861E+000, 2.4427367E+000, 1.7508625E+000, 1.4731970E+000, 9.9609637E-001, 6.7250129E-001, 5.4835660E-001, 3.2799804E-001, 1.9938294E-001, 1.5309446E-001, 9.9814294E-002, 6.0128445E-002, 4.5277800E-002, 2.9431573E-002, 2.3631051E-002, 1.5553364E-002, 9.5652601E-003, 7.6471756E-003, 5.5649945E-003, 4.6600952E-003, 3.9688271E-003, 2.5977919E-003, 1.6527048E-003
 5.0003695E+000, 2.0782285E-001, 8.4693768E-001, 8.7762176E-001, 2.1515308E+001, 4.3195735E+001, 4.1467865E+001, 4.1440951E+001, 4.1254734E+001, 3.9295078E+001, 3.8295687E+001, 3.6384186E+001, 3.1754484E+001, 3.1051284E+001, 2.8954182E+001, 2.8029369E+001, 2.6306781E+001, 2.3822188E+001, 2.2193607E+001, 1.8874923E+001, 1.6438046E+001, 1.5558499E+001, 1.3726828E+001, 1.2508991E+001, 1.1907167E+001, 1.0528365E+001, 9.5396955E+000, 7.4519766E+000, 5.3903755E+000, 4.6500647E+000, 3.5226620E+000, 2.7020202E+000, 2.3782712E+000, 1.8256419E+000, 1.5624406E+000, 1.2076763E+000, 9.3236791E-001, 8.2227571E-001, 6.7928553E-001, 4.9116232E-001, 3.8635515E-001, 2.3074113E-001, 1.3695155E-001, 9.3467999E-002, 5.3330191E-002, 4.1695161E-002, 2.4977828E-002, 1.3806007E-002, 1.0504811E-002, 3.5560839E-003, 1.5128492E-003, 7.4002056E-004, 3.2143758E-005, 0.0000000E+000
 6.0010600E+000, 2.0782285E-001, 8.7869305E-001, 8.8908347E-001, 2.3660845E+001, 4.4968878E+001, 4.1535561E+001, 4.0223585E+001, 4.0321697E+001, 3.7842972E+001, 3.6484614E+001, 3.3797756E+001, 2.8759443E+001, 2.8433067E+001, 2.6896963E+001, 2.6177389E+001, 2.3423169E+001, 2.1060923E+001, 1.9918015E+001, 1.6780622E+001, 1.3637262E+001, 1.2220104E+001, 9.3603975E+000, 7.6429325E+000, 7.0945502E+000, 6.2234692E+000, 5.8501599E+000, 5.1769879E+000, 4.4261715E+000, 4.0410743E+000, 3.4912593E+000, 2.9146036E+000, 2.6348469E+000, 2.0212994E+000, 1.7986194E+000, 1.3674830E+000, 9.7001686E-001, 8.0791739E-001, 5.7183920E-001, 3.9050644E-001, 3.2038922E-001, 2.1680967E-001, 1.0930420E-001, 7.8777754E-002, 4.1431267E-002, 3.0122313E-002, 1.7190446E-002, 9.3533447E-003, 6.9934639E-003, 3.6953682E-003, 2.5519449E-003, 1.9956505E-003, 1.3040097E-003, 5.5381904E-004
 7.0001772E+000, 2.0782285E-001, 8.6235476E-001, 8.9079039E-001, 2.3378773E+001, 4.4614503E+001, 3.9997778E+001, 3.8824405E+001, 3.7821046E+001, 3.6517472E+001, 3.6241131E+001, 3.3808762E+001, 2.9277314E+001, 2.8627745E+001, 2.7631200E+001, 2.7192832E+001, 2.5245422E+001, 2.2846283E+001, 2.1730237E+001, 1.8737933E+001, 1.5333971E+001, 1.3788486E+001, 1.1289384E+001, 9.2880487E+000, 8.6520353E+000, 7.4368091E+000, 6.7961030E+000, 5.5672835E+000, 4.5365649E+000, 4.1542419E+000, 3.6882037E+000, 3.0321456E+000, 2.8346130E+000, 2.4814915E+000, 2.3768745E+000, 1.8975859E+000, 1.4568277E+000, 1.2973439E+000, 1.0474773E+000, 9.3737316E-001, 8.2833966E-001, 5.3048749E-001, 2.6871046E-001, 1.9679186E-001, 8.1301075E-002, 5.2175440E-002, 2.5541292E-002, 1.0528229E-002, 7.0418121E-003, 3.7070701E-003, 2.3969767E-003, 1.6742930E-003, 8.4445501E-004, 4.5036040E-004
 8.0004650E+000, 2.0782285E-001, 8.4286785E-001, 8.7659142E-001, 2.3725700E+001, 4.8508368E+001, 4.1382229E+001, 4.2007379E+001, 4.2991619E+001, 4.1856375E+001, 3.9193941E+001, 3.4933617E+001, 2.8990642E+001, 2.7981884E+001, 2.6213423E+001, 2.5456349E+001, 2.3675197E+001, 2.1249724E+001, 1.9989486E+001, 1.8168187E+001, 1.6726397E+001, 1.5506288E+001, 1.3776308E+001, 1.1873454E+001, 1.0916839E+001, 9.1145883E+000, 7.9914366E+000, 6.3120819E+000, 4.9948208E+000, 4.3730648E+000, 3.1537855E+000, 2.2334100E+000, 1.9047818E+000, 1.3880054E+000, 1.1487747E+000, 7.3614459E-001, 4.6470143E-001, 3.6513587E-001, 2.1521838E-001, 1.3175525E-001, 1.0227567E-001, 6.2172739E-002, 3.6830412E-002, 3.0374731E-002, 2.0407882E-002, 1.7396951E-002, 1.1407697E-002, 7.7780159E-003, 5.9348598E-003, 3.2962844E-003, 1.5947570E-003, 1.2245503E-003, 6.8565024E-004, 2.4461187E-004
