m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
 2.8125570E-002, 5.1374882E+002, 6.5390160E+002, 1.1840835E-001, 5.6790755E+002, 6.6574447E+002, 1.0743447E-001
 3.4375696E-002, 3.8981502E+002, 5.5668058E+002, 1.3607611E-001, 5.3368656E+002, 6.4336985E+002, 1.1260238E-001
 4.0625823E-002, 2.7724109E+002, 4.4876201E+002, 1.5026206E-001, 4.8662182E+002, 6.1155458E+002, 1.1968746E-001
 4.6875949E-002, 1.7840794E+002, 3.2886193E+002, 1.6190613E-001, 4.3572990E+002, 5.7281301E+002, 1.2767596E-001
 5.3126076E-002, 1.0230951E+002, 2.2241131E+002, 1.7074839E-001, 3.8487593E+002, 5.3175067E+002, 1.3540917E-001
 5.9376203E-002, 5.3332908E+001, 1.3684576E+002, 1.7626861E-001, 3.3179812E+002, 4.8499324E+002, 1.4359878E-001
 6.5626329E-002, 3.1434727E+001, 1.0013595E+002, 1.7891669E-001, 2.7953209E+002, 4.3867837E+002, 1.5147360E-001
 7.1876456E-002, 2.1327064E+001, 9.0904974E+001, 1.8007645E-001, 2.2866562E+002, 3.8988763E+002, 1.5919803E-001
 7.8126582E-002, 2.0006590E+001, 8.6378426E+001, 1.8020573E-001, 1.7843480E+002, 3.3044698E+002, 1.6682590E-001
 8.4376709E-002, 1.9998689E+001, 8.1656891E+001, 1.8020361E-001, 1.3790057E+002, 2.7330083E+002, 1.7339030E-001
 9.0626835E-002, 1.9998681E+001, 7.7704383E+001, 1.8020109E-001, 1.0810321E+002, 2.2680432E+002, 1.7913399E-001
 9.6876962E-002, 1.9998666E+001, 7.4257384E+001, 1.8019850E-001, 7.6767218E+001, 1.7070449E+002, 1.8513552E-001
 1.0312709E-001, 1.9998634E+001, 7.1287078E+001, 1.8020255E-001, 6.1449650E+001, 1.3887677E+002, 1.8796214E-001
 1.0937722E-001, 1.9998635E+001, 6.8379325E+001, 1.8020019E-001, 4.1048464E+001, 1.0206705E+002, 1.9184227E-001
 1.1562734E-001, 1.9998635E+001, 6.5805146E+001, 1.8019901E-001, 2.7489326E+001, 7.5795763E+001, 1.9449338E-001
 1.2187747E-001, 1.9998635E+001, 6.3310282E+001, 1.8019761E-001, 2.1843939E+001, 6.4744955E+001, 1.9638996E-001
 1.2812759E-001, 1.9998635E+001, 6.1118159E+001, 1.8019660E-001, 2.0289911E+001, 6.0715273E+001, 1.9780027E-001
 1.3437772E-001, 1.9998635E+001, 5.8929203E+001, 1.8019541E-001, 2.0013099E+001, 5.8925781E+001, 1.9935457E-001
 1.4062785E-001, 1.9998636E+001, 5.7050786E+001, 1.8019430E-001, 1.9997846E+001, 5.7471490E+001, 2.0139206E-001
 1.4687797E-001, 1.9998636E+001, 5.5171081E+001, 1.8019300E-001, 1.9997454E+001, 5.6319125E+001, 2.0398440E-001
 1.5312810E-001, 1.9998639E+001, 5.3539888E+001, 1.8019218E-001, 1.9997441E+001, 5.5058937E+001, 2.0672871E-001
 1.5937823E-001, 1.9998643E+001, 5.1870547E+001, 1.8019628E-001, 1.9997434E+001, 5.3965443E+001, 2.0868733E-001
 1.6562835E-001, 1.9998649E+001, 5.0441349E+001, 1.8025447E-001, 1.9997428E+001, 5.2734763E+001, 2.0959555E-001
 1.7187848E-001, 1.9998653E+001, 4.9015850E+001, 1.8059377E-001, 1.9997424E+001, 5.1632955E+001, 2.0989435E-001
 1.7812861E-001, 1.9998651E+001, 4.7827481E+001, 1.8195680E-001, 1.9997424E+001, 5.0533272E+001, 2.0998160E-001
 1.8437873E-001, 1.9998649E+001, 4.6825373E+001, 1.8481949E-001, 1.9997425E+001, 4.9448373E+001, 2.0999800E-001
 1.9062886E-001, 1.9998644E+001, 4.6102229E+001, 1.8846587E-001, 1.9997426E+001, 4.8472757E+001, 2.0999977E-001
 1.9687899E-001, 1.9998641E+001, 4.5606164E+001, 1.9174992E-001, 1.9997427E+001, 4.7473543E+001, 2.0999996E-001
 2.0312911E-001, 1.9998646E+001, 4.5287433E+001, 1.9444241E-001, 1.9997427E+001, 4.6585340E+001, 2.0999999E-001
 2.0937924E-001, 1.9998645E+001, 4.5092330E+001, 1.9639265E-001, 1.9997426E+001, 4.5669891E+001, 2.0999999E-001
 2.1562937E-001, 1.9998643E+001, 4.4993124E+001, 1.9826838E-001, 1.9997425E+001, 4.4859986E+001, 2.0999999E-001
 2.2187949E-001, 1.9998643E+001, 4.4910854E+001, 2.0094753E-001, 1.9997423E+001, 4.4024737E+001, 2.0999999E-001
 2.2812962E-001, 1.9998641E+001, 4.4611801E+001, 2.0471107E-001, 1.9997421E+001, 4.3288193E+001, 2.0999999E-001
 2.3437975E-001, 1.9998635E+001, 4.4171896E+001, 2.0800593E-001, 1.9997421E+001, 4.2531190E+001, 2.0999999E-001
 2.4062987E-001, 1.9998634E+001, 4.3587519E+001, 2.0955007E-001, 1.9997421E+001, 4.1865162E+001, 2.0999999E-001
 2.4688000E-001, 1.9998636E+001, 4.2786143E+001, 2.0995433E-001, 1.9997423E+001, 4.1181855E+001, 2.0999999E-001
