s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.7955506E-004, 4.3368087E-022,-4.4116459E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7999622E-004, 0.0000000E+000, 0.0000000E+000
 1.0000573E+000, 1.6994782E+001,-5.6917442E+000, 1.7731612E-001,-4.8549441E-002, 4.2854482E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1237363E+001, 1.1431847E+001, 4.7142605E-004, 3.1228535E-002
 2.0007699E+000, 3.6378526E+001,-1.1199591E+001,-1.1907578E+001, 2.9945229E-002, 3.9918212E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3049281E+001, 1.3301343E+001, 9.6187762E-004, 6.4003655E-002
 3.0004106E+000, 4.8385783E+001,-1.4651447E+001,-2.9972657E+001, 8.5798971E-002, 3.4504995E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6793133E+000, 3.8475129E+000, 1.0621368E-003, 7.1189654E-002
 4.0002589E+000, 4.8183910E+001,-1.4150361E+001,-3.5584240E+001, 7.1173149E-002, 3.3352762E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4982223E+000,-1.4794845E+000, 1.0766959E-003, 7.2763493E-002
 5.0003080E+000, 4.9691977E+001,-1.4411089E+001,-3.2607960E+001, 1.0509523E-001, 3.3963589E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7720947E+000, 2.7780579E+000, 1.0786877E-003, 7.3524000E-002
 6.0008235E+000, 4.9894490E+001,-1.4386817E+001,-3.6162447E+001, 7.6449462E-002, 3.4709483E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6855757E-001,-5.7828963E-001, 1.0789577E-003, 7.4183124E-002
 7.0008450E+000, 4.9081819E+001,-1.3958076E+001,-3.3641013E+001, 9.4372270E-002, 3.4752579E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4652385E+000, 1.5771373E+000, 1.0789943E-003, 7.4838772E-002
 8.0007639E+000, 4.8505851E+001,-1.3696380E+001,-3.5388735E+001, 1.0506454E-001, 3.4043060E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5547372E-001,-4.7416602E-001, 1.0789992E-003, 7.5504200E-002
 9.0008402E+000, 4.9302811E+001,-1.3770585E+001,-3.5347367E+001, 8.5086774E-002, 3.3243114E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8941048E-001, 2.6997853E-001, 1.0789999E-003, 7.6181770E-002
 1.0001689E+001, 4.9341477E+001,-1.3584387E+001,-3.3733190E+001, 1.0958739E-001, 3.3044028E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0709664E+000, 2.1335207E+000, 1.0790000E-003, 7.6872427E-002
 1.1000536E+001, 4.8922044E+001,-1.3320253E+001,-3.8011960E+001, 9.1545149E-002, 3.3391202E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4151492E+000,-2.3185909E+000, 1.0790000E-003, 7.7575756E-002
 1.2000388E+001, 4.9911216E+001,-1.3380390E+001,-3.6670106E+001, 7.5962337E-002, 3.4771634E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7935961E-001,-6.3282662E-002, 1.0790000E-003, 7.8292352E-002
 1.3001157E+001, 4.8961933E+001,-1.2941060E+001,-3.6968816E+001, 1.0596910E-001, 3.4140765E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9627843E-001,-8.4194048E-001, 1.0790000E-003, 7.9023326E-002
 1.4001281E+001, 4.8939087E+001,-1.2973407E+001,-3.5698859E+001, 1.0573239E-001, 3.3900582E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7425413E-001, 3.7258730E-001, 1.0790000E-003, 7.9768838E-002
 1.5001402E+001, 4.8535583E+001,-1.2618152E+001,-3.6452023E+001, 9.4580793E-002, 3.2852228E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0578453E-001,-4.3997774E-001, 1.0790000E-003, 8.0528788E-002
 1.6000690E+001, 4.9480992E+001,-1.2594669E+001,-3.7588149E+001, 9.5372155E-002, 3.3314198E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2577439E-001,-6.0641991E-001, 1.0790000E-003, 8.1303652E-002
 1.7000208E+001, 4.8750101E+001,-1.2294948E+001,-3.6169899E+001, 1.0287135E-001, 3.3451210E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1292078E-001, 3.8815767E-001, 1.0790000E-003, 8.2093936E-002
 1.8000895E+001, 4.9156118E+001,-1.2272390E+001,-3.4216832E+001, 1.0245992E-001, 3.2799790E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6882822E+000, 2.7693892E+000, 1.0790000E-003, 8.2900735E-002
 1.9000788E+001, 5.0311959E+001,-1.2456631E+001,-3.7479997E+001, 7.0799922E-002, 3.3567850E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9512663E-001, 4.4616473E-001, 1.0790000E-003, 8.3724383E-002
 2.0001133E+001, 4.8231910E+001,-1.1641560E+001,-3.8075252E+001, 6.8216181E-002, 3.3308480E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5109138E+000,-1.4166523E+000, 1.0790000E-003, 8.4565090E-002
 2.1000799E+001, 4.8818554E+001,-1.1700275E+001,-3.6661552E+001, 8.5513756E-002, 3.2674705E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8487467E-001, 5.4227382E-001, 1.0790000E-003, 8.5423280E-002
 2.2001169E+001, 4.8981734E+001,-1.1643326E+001,-3.8284800E+001, 7.3204056E-002, 3.2710870E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9271843E-001,-8.7315509E-001, 1.0790000E-003, 8.6299790E-002
 2.3001204E+001, 4.8680392E+001,-1.1235321E+001,-3.8191729E+001, 7.3062430E-002, 3.3040771E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8050749E-001,-6.7356237E-001, 1.0790000E-003, 8.7195236E-002
