s,mol/mol
Time,"null"
 2.0000000E+001, 2.0782285E-001
 2.1000443E+001, 1.8946862E-001
 2.2000763E+001, 1.7771253E-001
 2.3000723E+001, 1.8059589E-001
 2.4000148E+001, 1.8096544E-001
 2.5000305E+001, 1.8101491E-001
 2.6000138E+001, 1.8102160E-001
 2.7000053E+001, 1.8102250E-001
 2.8000342E+001, 1.8102263E-001
 2.9000233E+001, 1.8102264E-001
 3.0000466E+001, 1.8102265E-001
 3.1000422E+001, 1.8102265E-001
 3.2000110E+001, 1.8102265E-001
 3.3000351E+001, 1.8102265E-001
 3.4000526E+001, 1.8102265E-001
 3.5000201E+001, 1.8102265E-001
 3.6000724E+001, 1.8102265E-001
 3.7000162E+001, 1.8102265E-001
 3.8000511E+001, 1.8102264E-001
 3.9000553E+001, 1.8102265E-001
 4.0000000E+001, 1.8102265E-001
