s,mol/mol,kW/kW,s,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","CHI_R","tcpu","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001, 0.0000000E+000, 2.4453725E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0012182E+000, 2.0552175E-001, 3.2045025E-001, 1.0042495E+002, 4.7558603E-002, 5.2618825E-002, 4.8686476E+001, 4.0429203E+001, 3.0147701E+001, 2.7163218E+001, 1.9422633E+001, 1.4430105E+001, 1.2790259E+001, 9.5255027E+000, 6.1177374E+000, 5.2098118E+000, 3.9903396E+000, 3.4518335E+000, 2.7551811E+000, 2.2680888E+000, 2.0681960E+000, 1.6996088E+000, 1.3521447E+000, 1.1694350E+000, 8.2099890E-001, 5.5146878E-001, 4.6299559E-001, 3.2462496E-001, 2.6178663E-001, 1.7937368E-001, 1.1506904E-001, 9.0759579E-002, 5.7533374E-002, 3.5299885E-002, 2.7135362E-002, 1.4964661E-002, 1.1230008E-002, 6.0591621E-003, 1.6554677E-003, 5.2495941E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0016039E+000, 2.0415431E-001, 3.1759425E-001, 2.5883180E+002, 9.5754612E-001, 8.8017283E-001, 4.4593858E+001, 7.2022442E+001, 4.8080639E+001, 4.1726955E+001, 3.4116416E+001, 2.9341050E+001, 2.6865748E+001, 2.2249808E+001, 1.7476479E+001, 1.6571277E+001, 1.4895541E+001, 1.3859238E+001, 1.1746913E+001, 9.4806576E+000, 8.3406047E+000, 6.4233301E+000, 5.2107772E+000, 4.7056181E+000, 3.7181028E+000, 2.8008722E+000, 2.3545395E+000, 1.6131299E+000, 1.3429303E+000, 9.5433719E-001, 7.5832513E-001, 6.9375971E-001, 5.7736588E-001, 5.2348036E-001, 5.0918072E-001, 4.8969296E-001, 4.5341886E-001, 4.0542239E-001, 3.0007537E-001, 2.4146632E-001, 1.8461226E-001, 1.2273997E-001, 9.1267175E-002, 4.9316115E-002, 2.8420732E-002, 2.0678925E-002, 1.2024637E-002, 9.0484149E-003, 5.2768925E-003, 3.1999112E-003, 1.6990592E-003, 5.6754287E-004, 1.8873246E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0007390E+000, 2.0246792E-001, 3.1402425E-001, 4.2721386E+002, 1.2261125E+000, 1.2598885E+000, 4.0302742E+001, 6.7656120E+001, 5.5115900E+001, 4.9680710E+001, 4.2273825E+001, 3.8852076E+001, 3.7277264E+001, 3.4532645E+001, 3.0211655E+001, 2.9145181E+001, 2.6653920E+001, 2.5158631E+001, 2.2544389E+001, 1.9154580E+001, 1.7466847E+001, 1.4223195E+001, 1.1214811E+001, 9.9371487E+000, 8.0581245E+000, 6.4737612E+000, 5.7052288E+000, 4.3056070E+000, 3.7230866E+000, 2.7852701E+000, 1.9473101E+000, 1.6011557E+000, 1.0609840E+000, 6.6667895E-001, 5.1556828E-001, 2.9833023E-001, 2.2726046E-001, 1.2980577E-001, 7.8323227E-002, 6.1105019E-002, 3.9641420E-002, 2.6660896E-002, 2.2642444E-002, 1.6919907E-002, 1.1505752E-002, 9.3769872E-003, 6.6585968E-003, 5.5701129E-003, 3.3014243E-003, 2.0635157E-003, 1.5484484E-003, 1.0768510E-003, 5.7591118E-004, 3.7626490E-004, 1.0790652E-004, 1.1252129E-005
 4.0003229E+000, 2.0069432E-001, 3.1018650E-001, 5.9901664E+002, 1.3592695E+000, 1.3115031E+000, 3.8865808E+001, 6.4756433E+001, 5.3262716E+001, 4.5923429E+001, 3.9799453E+001, 3.3941110E+001, 3.1401637E+001, 2.8464186E+001, 2.4951894E+001, 2.4641970E+001, 2.3928940E+001, 2.3168178E+001, 2.1097169E+001, 1.8183430E+001, 1.6485196E+001, 1.3546109E+001, 1.1212831E+001, 1.0248032E+001, 8.0141326E+000, 6.1649172E+000, 5.3990082E+000, 3.9606788E+000, 3.3295102E+000, 2.4117361E+000, 1.6922859E+000, 1.3754118E+000, 9.4207014E-001, 6.6979121E-001, 5.4507177E-001, 3.0698898E-001, 2.3785122E-001, 1.4498750E-001, 8.9219311E-002, 6.9362532E-002, 4.3150240E-002, 2.6790468E-002, 2.0918082E-002, 1.2747238E-002, 7.0330537E-003, 4.8153002E-003, 3.0491141E-003, 2.6294670E-003, 1.8221396E-003, 1.0040241E-003, 8.0952223E-004, 4.6776091E-004, 2.5573265E-004, 1.7846085E-004, 3.7437762E-005, 0.0000000E+000
 5.0010994E+000, 1.9889918E-001, 3.0643800E-001, 7.7463188E+002, 1.2860260E+000, 1.3516810E+000, 4.2534451E+001, 6.5989536E+001, 5.3398025E+001, 4.8651366E+001, 4.4737826E+001, 4.2223846E+001, 4.0988398E+001, 3.7913025E+001, 3.4029623E+001, 3.3275071E+001, 3.0123553E+001, 2.8183189E+001, 2.4367818E+001, 2.1101837E+001, 1.9477849E+001, 1.6148733E+001, 1.3038718E+001, 1.1751026E+001, 9.6375490E+000, 7.8524484E+000, 6.9287889E+000, 5.2876411E+000, 4.5611121E+000, 3.3254830E+000, 2.3815687E+000, 2.0231274E+000, 1.4275105E+000, 9.8694964E-001, 8.1595149E-001, 5.6664258E-001, 4.7741238E-001, 3.4112839E-001, 2.1700455E-001, 1.6880589E-001, 9.8136376E-002, 5.8062755E-002, 4.6158408E-002, 3.0240925E-002, 1.9247151E-002, 1.4755536E-002, 1.0287514E-002, 8.7136669E-003, 6.7375932E-003, 5.2314051E-003, 4.4194365E-003, 3.1183560E-003, 1.8411225E-003, 1.4844811E-003, 1.1236091E-003, 9.6594404E-004
 6.0012244E+000, 1.9710321E-001, 3.0260025E-001, 9.5638223E+002, 1.3010187E+000, 1.3126244E+000, 3.6388655E+001, 6.5238125E+001, 5.4820579E+001, 5.0411402E+001, 4.3666969E+001, 3.7427771E+001, 3.5003184E+001, 3.1282622E+001, 2.7181948E+001, 2.6212657E+001, 2.4893823E+001, 2.4367379E+001, 2.2396156E+001, 1.9746938E+001, 1.8242497E+001, 1.5628819E+001, 1.4049530E+001, 1.3602197E+001, 1.2281019E+001, 1.0559845E+001, 9.7102330E+000, 8.2012032E+000, 7.5992028E+000, 6.3327639E+000, 5.0842761E+000, 4.5395904E+000, 3.8933278E+000, 3.3939735E+000, 3.0850947E+000, 2.4889059E+000, 2.2377900E+000, 1.7485768E+000, 1.3106488E+000, 1.1346726E+000, 8.1943403E-001, 5.5964444E-001, 4.5220646E-001, 2.7619573E-001, 1.7877515E-001, 1.4333296E-001, 8.8301550E-002, 6.9115729E-002, 4.1282643E-002, 2.4149570E-002, 1.7694734E-002, 1.1420187E-002, 7.3577742E-003, 5.7525760E-003, 3.6909144E-003, 2.3192218E-003
 7.0008339E+000, 1.9530553E-001, 2.9876250E-001, 1.1272355E+003, 1.3362260E+000, 1.3443559E+000, 3.9812245E+001, 6.3368623E+001, 5.4549379E+001, 5.0185982E+001, 4.3574520E+001, 4.0709959E+001, 3.9928093E+001, 3.7193567E+001, 3.2287020E+001, 3.0696498E+001, 2.7490197E+001, 2.5766699E+001, 2.2288987E+001, 1.9592093E+001, 1.8464893E+001, 1.6553305E+001, 1.4245726E+001, 1.3066588E+001, 1.0703878E+001, 8.4679609E+000, 7.4331311E+000, 5.6099408E+000, 4.8282390E+000, 3.5398317E+000, 2.5228224E+000, 2.1213381E+000, 1.4800880E+000, 1.0919784E+000, 9.4765812E-001, 7.0631046E-001, 5.9815539E-001, 4.3216689E-001, 3.0580823E-001, 2.5996243E-001, 1.8490440E-001, 1.3162241E-001, 1.1095260E-001, 7.8277418E-002, 5.7992712E-002, 4.9941786E-002, 3.6868933E-002, 3.2770348E-002, 2.4093731E-002, 1.9737193E-002, 1.6781926E-002, 1.4346673E-002, 1.1818200E-002, 1.1261602E-002, 9.5131327E-003, 6.8041800E-003
 8.0014615E+000, 1.9350710E-001, 2.9492475E-001, 1.2981327E+003, 1.2447022E+000, 1.2734003E+000, 3.7598353E+001, 6.0666972E+001, 4.8963009E+001, 4.5036158E+001, 3.9961508E+001, 3.7071865E+001, 3.5523527E+001, 3.2946124E+001, 3.0043960E+001, 2.9714446E+001, 2.8042370E+001, 2.7257289E+001, 2.4856758E+001, 2.1780175E+001, 2.0423909E+001, 1.7339253E+001, 1.4555444E+001, 1.3163362E+001, 1.0881476E+001, 8.8858887E+000, 8.0428601E+000, 6.4999667E+000, 5.8124335E+000, 4.7602175E+000, 3.8438368E+000, 3.4472281E+000, 2.7524826E+000, 2.2300628E+000, 1.9713576E+000, 1.4984718E+000, 1.3196120E+000, 9.4758922E-001, 6.1901868E-001, 4.8678985E-001, 2.8214785E-001, 1.6072599E-001, 1.2295167E-001, 6.9655216E-002, 3.9700569E-002, 3.0097076E-002, 1.7122839E-002, 1.3245194E-002, 8.8741886E-003, 5.6417900E-003, 4.4988767E-003, 2.7380105E-003, 1.6455982E-003, 1.2514202E-003, 5.0100691E-004, 1.8956268E-004
 9.0001466E+000, 1.9171229E-001, 2.9117625E-001, 1.4669499E+003, 1.2468502E+000, 1.2510910E+000, 4.0363429E+001, 6.3579206E+001, 5.2262432E+001, 4.6861281E+001, 3.9448469E+001, 3.5065345E+001, 3.3921090E+001, 3.2087025E+001, 2.8798000E+001, 2.8400489E+001, 2.7354130E+001, 2.6530528E+001, 2.4890745E+001, 2.2361640E+001, 2.1314619E+001, 1.8312259E+001, 1.5438731E+001, 1.4141071E+001, 1.1975533E+001, 9.9959125E+000, 9.1983713E+000, 7.7270055E+000, 6.9701961E+000, 5.6609247E+000, 4.4718630E+000, 3.9498108E+000, 2.9550735E+000, 2.1841947E+000, 1.8785304E+000, 1.3906405E+000, 1.2123825E+000, 8.7389640E-001, 6.1897604E-001, 5.0182819E-001, 3.4028314E-001, 2.1254550E-001, 1.6520295E-001, 9.7022128E-002, 5.4984569E-002, 4.1174944E-002, 2.3193591E-002, 1.6094863E-002, 8.4210478E-003, 4.5231210E-003, 2.8812653E-003, 1.4468215E-003, 7.0538384E-004, 6.0540257E-004, 2.8545422E-004, 1.5711370E-004
 1.0001412E+001, 1.8991254E-001, 2.8733850E-001, 1.6510435E+003, 1.2776593E+000, 1.2586928E+000, 3.6231550E+001, 5.9948980E+001, 4.8844268E+001, 4.4458871E+001, 4.0876772E+001, 3.8660747E+001, 3.8431406E+001, 3.6860610E+001, 3.3371383E+001, 3.2193786E+001, 2.9838111E+001, 2.8733177E+001, 2.6739451E+001, 2.4510750E+001, 2.3598083E+001, 2.1059413E+001, 1.8543455E+001, 1.7386344E+001, 1.5386165E+001, 1.3186738E+001, 1.2089898E+001, 1.0130565E+001, 9.2381500E+000, 7.3859556E+000, 5.6580060E+000, 4.9506050E+000, 3.6819710E+000, 2.6763863E+000, 2.2765001E+000, 1.5389802E+000, 1.2657770E+000, 8.7763364E-001, 6.6943218E-001, 5.9795067E-001, 4.6489500E-001, 3.0730300E-001, 2.4192504E-001, 1.5298330E-001, 1.0045386E-001, 8.0481640E-002, 5.2193741E-002, 4.1199236E-002, 2.7365646E-002, 1.9489868E-002, 1.5872772E-002, 1.1269227E-002, 7.7032999E-003, 5.8689769E-003, 3.1700901E-003, 1.4893478E-003
 1.1001434E+001, 1.8811529E-001, 2.8350075E-001, 1.8153449E+003, 1.2002903E+000, 1.2407874E+000, 3.9149458E+001, 6.3399242E+001, 5.2323316E+001, 4.9253072E+001, 4.3590058E+001, 3.8275899E+001, 3.5391263E+001, 3.0470794E+001, 2.5893572E+001, 2.4875962E+001, 2.2390278E+001, 2.1008532E+001, 1.9040898E+001, 1.7406315E+001, 1.6539438E+001, 1.5156776E+001, 1.3832561E+001, 1.3169863E+001, 1.1671058E+001, 9.9781327E+000, 9.1612421E+000, 7.6458837E+000, 6.8553174E+000, 5.3055204E+000, 4.1460605E+000, 3.6203167E+000, 2.7064836E+000, 2.0554708E+000, 1.8173429E+000, 1.4519225E+000, 1.3048733E+000, 1.0182231E+000, 7.5768500E-001, 6.4500905E-001, 4.0470376E-001, 2.6854683E-001, 2.2220486E-001, 1.4134068E-001, 8.5865195E-002, 6.8836336E-002, 4.4357885E-002, 3.5396556E-002, 2.3401105E-002, 1.6197629E-002, 1.3309619E-002, 9.3745378E-003, 6.0077833E-003, 4.5053811E-003, 3.0822354E-003, 2.1062051E-003
 1.2001044E+001, 1.8631774E-001, 2.7966300E-001, 1.9706766E+003, 1.1259199E+000, 1.2522941E+000, 3.3202993E+001, 5.5707043E+001, 4.9506831E+001, 4.5681069E+001, 4.1886413E+001, 4.0677985E+001, 4.0493196E+001, 3.8957579E+001, 3.5897748E+001, 3.4674354E+001, 3.0864675E+001, 2.9003278E+001, 2.5434963E+001, 2.1951693E+001, 2.0823969E+001, 1.8916200E+001, 1.6998952E+001, 1.5951812E+001, 1.4222448E+001, 1.2673812E+001, 1.1984551E+001, 1.0705097E+001, 1.0025874E+001, 8.5378213E+000, 6.9421503E+000, 6.1560831E+000, 4.6617545E+000, 3.4593390E+000, 2.9154544E+000, 2.0850983E+000, 1.7761401E+000, 1.2050053E+000, 7.7329659E-001, 6.0990539E-001, 3.7721057E-001, 2.2322791E-001, 1.7191823E-001, 1.0367291E-001, 6.6439247E-002, 5.2310539E-002, 3.3941496E-002, 2.7340053E-002, 1.7662283E-002, 1.1774197E-002, 9.3015696E-003, 5.3322854E-003, 3.0098842E-003, 2.3882597E-003, 1.4913681E-003, 7.7265493E-004
 1.3000363E+001, 1.8452223E-001, 2.7582525E-001, 2.1332941E+003, 1.2655657E+000, 1.2069136E+000, 3.3713518E+001, 5.6413479E+001, 5.2052891E+001, 4.8740484E+001, 4.2523064E+001, 3.8304992E+001, 3.6821584E+001, 3.4038009E+001, 2.9850183E+001, 2.8889754E+001, 2.7447209E+001, 2.6528593E+001, 2.4379462E+001, 2.2503634E+001, 2.1731229E+001, 2.0415585E+001, 1.8555920E+001, 1.7275440E+001, 1.4483079E+001, 1.2174676E+001, 1.0993095E+001, 8.9079535E+000, 7.9373592E+000, 6.2512028E+000, 5.1451149E+000, 4.8476417E+000, 4.3696208E+000, 3.4949636E+000, 2.9306399E+000, 2.0685475E+000, 1.7957554E+000, 1.3012492E+000, 8.6846537E-001, 6.8586613E-001, 4.1073724E-001, 2.2778122E-001, 1.6937971E-001, 9.5592034E-002, 5.8160965E-002, 4.5469129E-002, 2.7684683E-002, 2.2111785E-002, 1.5218079E-002, 1.0010973E-002, 7.7964004E-003, 4.9650550E-003, 3.0358963E-003, 2.1870199E-003, 1.0941845E-003, 4.2157633E-004
 1.4001088E+001, 1.8272422E-001, 2.7207675E-001, 2.2895447E+003, 1.2408619E+000, 1.1917409E+000, 3.3999396E+001, 5.6852142E+001, 4.6383830E+001, 4.0943834E+001, 3.3981551E+001, 3.1513020E+001, 3.0625524E+001, 2.9158344E+001, 2.6607727E+001, 2.6944489E+001, 2.6794074E+001, 2.6291614E+001, 2.5017938E+001, 2.2714795E+001, 2.1649621E+001, 1.8548322E+001, 1.5143756E+001, 1.3487942E+001, 1.0310352E+001, 7.3886548E+000, 6.0641574E+000, 3.9718609E+000, 3.1251713E+000, 2.0358489E+000, 1.3961783E+000, 1.1727803E+000, 8.2839485E-001, 5.8039361E-001, 4.8524653E-001, 3.5014511E-001, 2.9920512E-001, 2.1175364E-001, 1.5336332E-001, 1.3103264E-001, 9.5785099E-002, 8.4829517E-002, 7.7536159E-002, 5.9838300E-002, 4.0887322E-002, 3.4036204E-002, 2.2868125E-002, 1.8281293E-002, 1.2597974E-002, 8.1325935E-003, 6.2250839E-003, 3.4604431E-003, 1.5647621E-003, 1.0725666E-003, 4.9474643E-004, 1.1570048E-004
 1.5000101E+001, 1.8092801E-001, 2.6823900E-001, 2.4334993E+003, 1.1410891E+000, 1.1688692E+000, 3.7022397E+001, 5.8278647E+001, 5.0028252E+001, 4.4532130E+001, 3.7631067E+001, 3.4894313E+001, 3.3693276E+001, 3.1120586E+001, 2.7304674E+001, 2.6441702E+001, 2.4511076E+001, 2.3475478E+001, 2.1609929E+001, 2.0434909E+001, 1.9852073E+001, 1.8502402E+001, 1.6827869E+001, 1.5988335E+001, 1.4842987E+001, 1.3373453E+001, 1.2477141E+001, 1.0787327E+001, 9.8491905E+000, 7.8695139E+000, 6.2418493E+000, 5.5613306E+000, 4.3321635E+000, 3.2095260E+000, 2.7145975E+000, 1.7170269E+000, 1.3317560E+000, 7.7489462E-001, 4.4363649E-001, 3.3156802E-001, 1.8541568E-001, 9.8261661E-002, 7.2683665E-002, 3.9723978E-002, 2.4276012E-002, 1.9653556E-002, 1.2638566E-002, 1.0099380E-002, 7.3075397E-003, 5.7122324E-003, 4.8074752E-003, 3.6186182E-003, 2.6952059E-003, 2.2741450E-003, 1.5330263E-003, 4.9927686E-004
