m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
-2.4688000E-001, 2.0652656E+001, 2.9491777E+001, 2.0730887E-001, 2.0979794E+001, 3.0618815E+001, 2.0782280E-001
-2.3421949E-001, 2.0790442E+001, 3.0516949E+001, 2.0579165E-001, 2.1011264E+001, 3.1352157E+001, 2.0782263E-001
-2.2155897E-001, 2.0848242E+001, 3.1014445E+001, 2.0257722E-001, 2.1040363E+001, 3.2025189E+001, 2.0782221E-001
-2.0889846E-001, 2.0809300E+001, 3.1043049E+001, 1.9760449E-001, 2.1073362E+001, 3.2931125E+001, 2.0782082E-001
-1.9623795E-001, 2.0659048E+001, 3.1164165E+001, 1.9081738E-001, 2.1105867E+001, 3.3796024E+001, 2.0781299E-001
-1.8357744E-001, 2.0451121E+001, 3.1459384E+001, 1.8367834E-001, 2.1147480E+001, 3.4806446E+001, 2.0778030E-001
-1.7091692E-001, 2.0330303E+001, 3.2344797E+001, 1.7965483E-001, 2.1199792E+001, 3.5893945E+001, 2.0763784E-001
-1.5825641E-001, 2.0305940E+001, 3.3166622E+001, 1.7854211E-001, 2.1277805E+001, 3.7183801E+001, 2.0718210E-001
-1.4559590E-001, 2.0325202E+001, 3.4609333E+001, 1.7840412E-001, 2.1617029E+001, 3.8702991E+001, 2.0565285E-001
-1.3293538E-001, 2.0359921E+001, 3.6192037E+001, 1.7839813E-001, 2.3548861E+001, 4.2807089E+001, 2.0295368E-001
-1.2027487E-001, 2.0395576E+001, 3.7664873E+001, 1.7840212E-001, 3.0046649E+001, 5.3948535E+001, 1.9804049E-001
-1.0761436E-001, 2.0446909E+001, 3.9683590E+001, 1.7840589E-001, 4.9736934E+001, 8.6252276E+001, 1.9114897E-001
-9.4953846E-002, 2.0936800E+001, 4.2330059E+001, 1.7837140E-001, 8.1714246E+001, 1.4188033E+002, 1.8223788E-001
-8.2293333E-002, 2.9189874E+001, 5.3547743E+001, 1.7763319E-001, 1.2859613E+002, 2.1318828E+002, 1.7302591E-001
-6.9632821E-002, 7.6558365E+001, 1.1882885E+002, 1.7329121E-001, 1.9786464E+002, 3.0016103E+002, 1.6308096E-001
-5.6972308E-002, 1.6140909E+002, 2.5194259E+002, 1.6469214E-001, 2.8858374E+002, 4.0437607E+002, 1.5209433E-001
-4.4311795E-002, 2.7068882E+002, 3.8146346E+002, 1.5296091E-001, 4.2667202E+002, 5.3197492E+002, 1.3596100E-001
-3.1651282E-002, 4.4984047E+002, 5.3579840E+002, 1.3302613E-001, 5.5104695E+002, 6.2677251E+002, 1.2081951E-001
-1.8990769E-002, 7.2040232E+002, 7.1720187E+002, 9.9946653E-002, 6.8105239E+002, 7.1460826E+002, 1.0523626E-001
-6.3302564E-003, 8.2139110E+002, 7.5824416E+002, 7.7573103E-002, 7.5692300E+002, 7.5402507E+002, 9.6154714E-002
 6.3302564E-003, 7.9944456E+002, 7.4801755E+002, 8.0587401E-002, 7.3640197E+002, 7.3963452E+002, 9.6955788E-002
 1.8990769E-002, 6.4552188E+002, 6.7681037E+002, 1.0732731E-001, 6.7973281E+002, 7.0228881E+002, 1.0385276E-001
 3.1651282E-002, 4.1616155E+002, 5.0592671E+002, 1.3761867E-001, 5.9531602E+002, 6.4250286E+002, 1.1671559E-001
 4.4311795E-002, 2.3424519E+002, 3.3071637E+002, 1.5746638E-001, 4.3097369E+002, 5.0314305E+002, 1.3655675E-001
 5.6972308E-002, 1.1170511E+002, 1.7799418E+002, 1.6985483E-001, 2.8049115E+002, 3.6312181E+002, 1.5391462E-001
 6.9632821E-002, 4.4954159E+001, 7.7044706E+001, 1.7623631E-001, 1.7771428E+002, 2.4834937E+002, 1.6688866E-001
 8.2293333E-002, 2.3258565E+001, 4.7011014E+001, 1.7817431E-001, 1.0902186E+002, 1.6147463E+002, 1.7807160E-001
 9.4953846E-002, 2.0598099E+001, 4.1833758E+001, 1.7840166E-001, 6.8485315E+001, 1.0546018E+002, 1.8832145E-001
 1.0761436E-001, 2.0439340E+001, 3.9423429E+001, 1.7840506E-001, 4.2697980E+001, 6.7571803E+001, 1.9623011E-001
 1.2027487E-001, 2.0390799E+001, 3.7504611E+001, 1.7840116E-001, 2.9999797E+001, 5.1051690E+001, 2.0155394E-001
 1.3293538E-001, 2.0357369E+001, 3.6099613E+001, 1.7839818E-001, 2.5546222E+001, 4.4017797E+001, 2.0475620E-001
 1.4559590E-001, 2.0322176E+001, 3.4379648E+001, 1.7839864E-001, 2.2136648E+001, 3.9199660E+001, 2.0653794E-001
 1.5825641E-001, 2.0304521E+001, 3.3067027E+001, 1.7850482E-001, 2.1354763E+001, 3.7376080E+001, 2.0735482E-001
 1.7091692E-001, 2.0341047E+001, 3.2350338E+001, 1.7987209E-001, 2.1270790E+001, 3.6037688E+001, 2.0770146E-001
 1.8357744E-001, 2.0488630E+001, 3.1560879E+001, 1.8493006E-001, 2.1227185E+001, 3.4971964E+001, 2.0777685E-001
 1.9623795E-001, 2.0714764E+001, 3.1642900E+001, 1.9334897E-001, 2.1191572E+001, 3.3909828E+001, 2.0781734E-001
 2.0889846E-001, 2.0858921E+001, 3.1651435E+001, 2.0050717E-001, 2.1154086E+001, 3.3012093E+001, 2.0782165E-001
 2.2155897E-001, 2.0881358E+001, 3.1246325E+001, 2.0460347E-001, 2.1114773E+001, 3.2133070E+001, 2.0782259E-001
 2.3421949E-001, 2.0795527E+001, 3.0235925E+001, 2.0644284E-001, 2.1080772E+001, 3.1448063E+001, 2.0782280E-001
 2.4688000E-001, 2.0685604E+001, 2.9373392E+001, 2.0727150E-001, 2.1046439E+001, 3.0631339E+001, 2.0782284E-001
