s,mol/mol,kW/kW,s,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","CHI_R","tcpu","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001, 0.0000000E+000, 1.3570000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003762E+000, 2.0549562E-001, 3.2045025E-001, 2.0544400E+002, 1.1241367E-003, 2.7988705E-003, 0.0000000E+000, 2.8114283E+001, 1.7503989E+001, 1.6646799E+001, 1.5282055E+001, 1.3345919E+001, 1.1772554E+001, 9.2197385E+000, 6.6366532E+000, 5.1258886E+000, 3.6910025E+000, 2.8963720E+000, 2.0621493E+000, 1.4672889E+000, 1.0163414E+000, 7.6563424E-001, 5.4793543E-001, 4.2184006E-001, 3.5427157E-001, 2.1772093E-001, 1.2936775E-001, 6.9717812E-002, 2.6860946E-002, 6.9608153E-003, 1.5342696E-003, 1.2849275E-004, 2.9013168E-005, 5.2971861E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002424E+000, 2.0412709E-001, 3.1750500E-001, 6.1792100E+002, 6.5804780E-001, 5.6592348E-001, 0.0000000E+000, 5.2750634E+001, 3.6897673E+001, 3.2490998E+001, 3.1331413E+001, 3.0210019E+001, 2.7654029E+001, 2.5323346E+001, 2.3399795E+001, 2.2493776E+001, 2.1063827E+001, 1.9381838E+001, 1.7559265E+001, 1.6142502E+001, 1.4537723E+001, 1.2589316E+001, 9.4700089E+000, 7.4913918E+000, 6.3485496E+000, 5.2548951E+000, 4.4670021E+000, 3.8261574E+000, 3.2693099E+000, 2.6359991E+000, 2.1892655E+000, 1.6948036E+000, 1.3972252E+000, 1.0825131E+000, 8.2921322E-001, 6.4738947E-001, 5.1335555E-001, 4.3952692E-001, 3.8970716E-001, 3.5254069E-001, 3.3261054E-001, 3.1513564E-001, 2.7155069E-001, 1.6320146E-001, 7.2464772E-002, 3.9846789E-002, 2.1479700E-002, 1.3799310E-002, 7.1802274E-003, 4.4703007E-003, 2.7075871E-003, 1.4612753E-003, 6.6189691E-004, 4.3415465E-004, 2.7285848E-004, 1.0290653E-004
 3.0007663E+000, 2.0243684E-001, 3.1393500E-001, 1.0454980E+003, 1.2381216E+000, 1.2923419E+000, 2.1141350E-002, 5.5388732E+001, 3.6989668E+001, 3.1904784E+001, 3.2845469E+001, 3.3521887E+001, 3.2679520E+001, 3.1339998E+001, 2.9819721E+001, 2.9480168E+001, 2.7426805E+001, 2.4700333E+001, 2.1259611E+001, 1.8949319E+001, 1.6766460E+001, 1.5244928E+001, 1.2568134E+001, 1.0943505E+001, 9.4893506E+000, 7.5896231E+000, 6.5048158E+000, 5.4286062E+000, 4.3347089E+000, 3.1652774E+000, 2.3746139E+000, 1.8076138E+000, 1.2670701E+000, 7.5527678E-001, 5.3771372E-001, 4.2614058E-001, 3.5690651E-001, 2.7176018E-001, 1.9372229E-001, 1.4238691E-001, 8.6850473E-002, 6.9154277E-002, 5.5970039E-002, 4.0335131E-002, 1.9371702E-002, 1.2030497E-002, 8.7540076E-003, 7.1465194E-003, 5.8457775E-003, 5.0988259E-003, 4.1592715E-003, 3.4828288E-003, 2.5357219E-003, 1.8306025E-003, 1.3730064E-003, 9.2604969E-004
 4.0000971E+000, 2.0066337E-001, 3.1018650E-001, 1.4773240E+003, 1.3064209E+000, 1.3498002E+000, 3.2143291E-001, 5.3516566E+001, 3.5933599E+001, 3.0214541E+001, 2.9966656E+001, 2.9958284E+001, 2.9774626E+001, 2.9076461E+001, 2.7624954E+001, 2.6741700E+001, 2.5938377E+001, 2.5091368E+001, 2.3375574E+001, 2.2525238E+001, 2.1201609E+001, 1.8979440E+001, 1.6529352E+001, 1.4745423E+001, 1.3021243E+001, 1.1437463E+001, 1.0622232E+001, 9.3137135E+000, 7.4474987E+000, 5.2579665E+000, 3.9621642E+000, 2.9542003E+000, 2.1964998E+000, 1.4451969E+000, 1.1172120E+000, 9.4493769E-001, 7.5054216E-001, 4.8701480E-001, 3.5559881E-001, 2.8112067E-001, 2.2072994E-001, 1.8888350E-001, 1.4980107E-001, 8.7992527E-002, 3.7586748E-002, 2.0304208E-002, 1.1441713E-002, 7.0355872E-003, 4.0583744E-003, 2.7344792E-003, 1.8601590E-003, 1.1981239E-003, 6.2258085E-004, 3.4865100E-004, 1.7351821E-004, 3.9212408E-005
 5.0005764E+000, 1.9886932E-001, 3.0634875E-001, 1.9166690E+003, 1.3814681E+000, 1.3327763E+000, 4.8837086E-002, 5.4818416E+001, 3.6200203E+001, 3.1938164E+001, 3.5914481E+001, 3.6349929E+001, 3.5333096E+001, 3.4919998E+001, 3.3868473E+001, 3.3105848E+001, 3.2043960E+001, 3.0771576E+001, 2.7545632E+001, 2.6009082E+001, 2.5207256E+001, 2.3737880E+001, 2.1436735E+001, 1.9275169E+001, 1.6923676E+001, 1.4600766E+001, 1.2717481E+001, 1.1026372E+001, 9.4270358E+000, 7.5044629E+000, 6.4263732E+000, 5.4843282E+000, 4.3916772E+000, 3.2515121E+000, 2.6166210E+000, 2.1995242E+000, 1.8727786E+000, 1.4714941E+000, 1.2612234E+000, 1.0231076E+000, 7.1548148E-001, 5.6443140E-001, 4.0772353E-001, 2.5497778E-001, 1.3006068E-001, 7.2957971E-002, 3.7377786E-002, 2.0537710E-002, 1.0483037E-002, 6.5131138E-003, 4.0686823E-003, 2.7017667E-003, 1.6504168E-003, 1.0423598E-003, 7.0135991E-004, 4.4539776E-004
 6.0003292E+000, 1.9707247E-001, 3.0251100E-001, 2.3910580E+003, 1.3335436E+000, 1.3935490E+000, 9.6420539E-002, 5.0718968E+001, 3.8445772E+001, 3.3239955E+001, 3.2939999E+001, 3.3866106E+001, 3.4258398E+001, 3.3998181E+001, 3.2540240E+001, 3.1325675E+001, 2.9673308E+001, 2.7562140E+001, 2.3471881E+001, 2.0014722E+001, 1.6285409E+001, 1.3309265E+001, 1.1326742E+001, 1.0356368E+001, 9.7327966E+000, 9.0845600E+000, 8.2579896E+000, 7.1131393E+000, 6.1144198E+000, 4.9992642E+000, 4.2088291E+000, 3.4241248E+000, 2.8631736E+000, 2.1563880E+000, 1.7480470E+000, 1.3879964E+000, 1.0310635E+000, 7.4515845E-001, 6.1052896E-001, 4.3374953E-001, 2.6910849E-001, 1.9289470E-001, 1.2341548E-001, 7.1482090E-002, 4.4545510E-002, 3.3251051E-002, 2.6721623E-002, 1.9751381E-002, 1.2645055E-002, 8.1455925E-003, 5.2276864E-003, 3.3727511E-003, 1.9898872E-003, 1.3257774E-003, 8.6841381E-004, 4.3718242E-004
 7.0001356E+000, 1.9527667E-001, 2.9867325E-001, 2.8429590E+003, 1.3442532E+000, 1.3465191E+000, 6.9240158E-003, 5.2146042E+001, 3.5910819E+001, 3.1592318E+001, 3.1310955E+001, 3.1282573E+001, 3.0981621E+001, 3.0849725E+001, 3.0262925E+001, 3.0339558E+001, 3.0938939E+001, 3.0472732E+001, 2.9939535E+001, 2.8626066E+001, 2.5908026E+001, 2.2425793E+001, 1.7795277E+001, 1.5425430E+001, 1.3892893E+001, 1.2165812E+001, 1.0526614E+001, 8.7049568E+000, 7.1558087E+000, 5.2564239E+000, 3.9973510E+000, 3.1273293E+000, 2.4697460E+000, 1.4707990E+000, 9.2993116E-001, 6.1859262E-001, 4.6219601E-001, 2.5825276E-001, 1.3401150E-001, 7.0191375E-002, 3.2743200E-002, 1.9583148E-002, 1.2623459E-002, 8.6170721E-003, 5.8938053E-003, 4.4370345E-003, 3.2296004E-003, 2.4172209E-003, 2.0488987E-003, 1.8614298E-003, 1.5527631E-003, 1.3435003E-003, 1.1239936E-003, 1.0129912E-003, 9.3286058E-004, 7.9245704E-004
 8.0002038E+000, 1.9347958E-001, 2.9492475E-001, 3.2683460E+003, 1.3550521E+000, 1.3211844E+000, 5.5060350E-002, 5.1259286E+001, 3.6490241E+001, 3.0703471E+001, 3.1235083E+001, 3.4210866E+001, 3.5533325E+001, 3.5628841E+001, 3.4182520E+001, 3.2106510E+001, 2.9342847E+001, 2.7061345E+001, 2.4856400E+001, 2.3469128E+001, 2.2020508E+001, 1.9562898E+001, 1.5636013E+001, 1.3077898E+001, 1.0822124E+001, 8.6135764E+000, 6.7305081E+000, 4.9905689E+000, 4.1816590E+000, 3.2456460E+000, 2.4187109E+000, 1.9956766E+000, 1.8558365E+000, 1.4640145E+000, 1.1589946E+000, 8.9540485E-001, 6.9382058E-001, 5.2920358E-001, 4.5394672E-001, 3.9825695E-001, 3.2997325E-001, 2.9942807E-001, 1.8978536E-001, 1.5075867E-001, 8.3608694E-002, 4.5259360E-002, 2.6338457E-002, 1.4663920E-002, 6.6950475E-003, 4.2972368E-003, 2.8113100E-003, 2.0211130E-003, 1.3615382E-003, 1.0288481E-003, 6.9656408E-004, 3.5444355E-004
