s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001,-9.4190510E-005,-1.0201282E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000667E+000, 2.0782285E-001, 1.5636747E-001, 1.6814918E-001, 2.6404024E+001, 1.1008837E+001, 8.7502046E+000, 5.7286228E+000, 3.7496582E+000, 2.6158736E+000, 2.0335882E+000, 1.4441411E+000, 1.2525598E+000, 1.0774988E+000, 1.0230248E+000, 9.1833413E-001, 8.5796600E-001, 8.2973317E-001, 8.3873992E-001, 7.4325489E-001, 5.2903395E-001, 3.4622128E-001, 3.0038912E-001, 2.4450085E-001, 1.6848306E-001, 1.2229606E-001, 4.3132744E-002, 1.5634678E-002, 3.6403024E-003, 4.8752123E-004, 1.1926634E-004, 4.5163511E-005, 2.6442660E-005, 1.6451987E-005, 5.2435264E-006, 1.8601951E-006, 7.6267794E-007, 1.2098939E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000468E+000, 2.0782285E-001, 8.3382134E-001, 8.9645811E-001, 2.9553064E+001, 1.9374785E+001, 1.6151418E+001, 1.6093697E+001, 1.6339646E+001, 1.4876904E+001, 1.3739197E+001, 1.3231118E+001, 1.3422048E+001, 1.3445996E+001, 1.3120535E+001, 1.2688730E+001, 1.1501206E+001, 9.9826666E+000, 8.4224789E+000, 7.4448401E+000, 7.1080242E+000, 7.1557747E+000, 6.2324069E+000, 4.9791593E+000, 4.1107742E+000, 3.4429513E+000, 3.0400714E+000, 2.1982327E+000, 1.5762901E+000, 1.1072497E+000, 8.5997279E-001, 7.5856112E-001, 6.2325553E-001, 5.3539979E-001, 4.3493907E-001, 3.9508285E-001, 3.8652855E-001, 3.5865240E-001, 3.0637347E-001, 2.7525258E-001, 2.4824070E-001, 2.3449275E-001, 2.0234754E-001, 1.5832746E-001, 1.3576889E-001, 1.0896188E-001, 8.0077459E-002, 6.4172775E-002, 5.6082725E-002, 4.9155868E-002, 4.4544017E-002, 4.1605801E-002, 3.4147247E-002, 3.4406196E-002
 3.0000750E+000, 2.0782285E-001, 1.1304737E+000, 1.1918062E+000, 3.2005514E+001, 2.1245727E+001, 1.7392287E+001, 1.6696377E+001, 1.6699645E+001, 1.6722551E+001, 1.6162605E+001, 1.6763509E+001, 1.7226122E+001, 1.6778941E+001, 1.5992743E+001, 1.5763440E+001, 1.5379538E+001, 1.4866423E+001, 1.3447325E+001, 1.2320970E+001, 1.0292037E+001, 9.2101769E+000, 8.5611673E+000, 7.8604927E+000, 6.7553223E+000, 5.8937029E+000, 5.2335137E+000, 4.6409853E+000, 4.2284325E+000, 3.5594541E+000, 2.9843336E+000, 2.4238179E+000, 1.9143136E+000, 1.3939905E+000, 8.9888034E-001, 6.7807499E-001, 4.5623416E-001, 2.3426376E-001, 1.3733009E-001, 1.1589280E-001, 1.0867956E-001, 1.0004643E-001, 9.1740397E-002, 6.9680105E-002, 5.1100716E-002, 3.2552722E-002, 1.3579764E-002, 1.5425507E-003, 4.4574833E-004, 2.4075608E-004, 1.7804291E-004, 1.3731999E-004, 1.1106641E-004, 8.6627895E-005
 4.0002492E+000, 2.0782285E-001, 1.2107015E+000, 1.2677741E+000, 3.3091011E+001, 2.0820325E+001, 1.6934294E+001, 1.6181946E+001, 1.6319228E+001, 1.6120531E+001, 1.5067533E+001, 1.4831176E+001, 1.5426876E+001, 1.5880379E+001, 1.5417929E+001, 1.4323807E+001, 1.2740245E+001, 1.2149204E+001, 1.1265324E+001, 9.8649981E+000, 8.3727932E+000, 7.1191205E+000, 6.2617478E+000, 5.9975618E+000, 5.9337720E+000, 5.7151920E+000, 5.3693783E+000, 5.3037501E+000, 4.8684327E+000, 3.9616846E+000, 3.5648934E+000, 3.1429703E+000, 2.7081098E+000, 2.2912237E+000, 1.9184973E+000, 1.6783226E+000, 1.3649485E+000, 1.2787109E+000, 9.1874605E-001, 7.5408163E-001, 7.0584311E-001, 6.9963670E-001, 5.7555541E-001, 3.7458260E-001, 2.5949221E-001, 1.6054859E-001, 8.7200201E-002, 3.3916529E-002, 7.0362158E-003, 1.2576111E-003, 3.3738548E-004, 1.8939310E-004, 1.1341426E-004, 7.1025007E-005
 5.0000588E+000, 2.0782285E-001, 1.1917647E+000, 1.2654802E+000, 3.3156378E+001, 2.1027228E+001, 1.7448506E+001, 1.6440962E+001, 1.5918361E+001, 1.5478828E+001, 1.5338097E+001, 1.5712114E+001, 1.6358760E+001, 1.6637521E+001, 1.5783387E+001, 1.5111345E+001, 1.4481924E+001, 1.4077545E+001, 1.3047688E+001, 1.2384123E+001, 1.1859116E+001, 1.0919503E+001, 9.3429025E+000, 8.1546964E+000, 7.3272367E+000, 6.8438575E+000, 6.7685316E+000, 6.3455767E+000, 5.9197436E+000, 5.2554584E+000, 4.2456624E+000, 3.5270952E+000, 2.9771220E+000, 2.5502237E+000, 1.9430571E+000, 1.6565753E+000, 1.4150595E+000, 1.3021390E+000, 1.1234525E+000, 8.9513178E-001, 6.9320374E-001, 5.6512801E-001, 4.4857459E-001, 3.2276028E-001, 2.7192542E-001, 2.3472505E-001, 1.6959735E-001, 1.1570822E-001, 1.1365058E-001, 1.1026352E-001, 9.9816253E-002, 5.8402940E-002, 3.4629115E-002, 2.1754957E-002
 6.0002516E+000, 2.0782285E-001, 1.2345129E+000, 1.2946494E+000, 3.2594418E+001, 2.1033480E+001, 1.6746253E+001, 1.6270367E+001, 1.6311765E+001, 1.6191179E+001, 1.6384119E+001, 1.6188531E+001, 1.6405177E+001, 1.7477654E+001, 1.8365503E+001, 1.7741135E+001, 1.6750003E+001, 1.5743073E+001, 1.4229660E+001, 1.2915268E+001, 1.1054192E+001, 9.6297999E+000, 8.4009883E+000, 7.0182309E+000, 6.0167322E+000, 5.1235680E+000, 4.4448996E+000, 3.5393402E+000, 2.7111812E+000, 1.8505366E+000, 1.2886795E+000, 9.4713333E-001, 7.8758994E-001, 6.3532886E-001, 5.2965185E-001, 4.5734501E-001, 3.7113723E-001, 3.0357249E-001, 2.8169045E-001, 2.6996683E-001, 2.4463160E-001, 2.2038756E-001, 2.0454663E-001, 1.9895384E-001, 2.3180528E-001, 2.2446614E-001, 2.1534608E-001, 1.6473356E-001, 1.0721654E-001, 6.3657291E-002, 4.3007317E-002, 1.8506285E-002, 3.4755578E-003, 1.1964498E-003
 7.0002215E+000, 2.0782285E-001, 1.2306332E+000, 1.3027943E+000, 3.1976844E+001, 2.2232509E+001, 1.7047862E+001, 1.5996612E+001, 1.6492280E+001, 1.7088213E+001, 1.7422033E+001, 1.7081965E+001, 1.6796714E+001, 1.6318105E+001, 1.6060983E+001, 1.5697174E+001, 1.4730365E+001, 1.4162469E+001, 1.3609881E+001, 1.3514136E+001, 1.2932530E+001, 1.1999690E+001, 1.0610249E+001, 9.9388954E+000, 8.9320353E+000, 7.5435380E+000, 6.3042576E+000, 4.4925191E+000, 3.3183666E+000, 2.3586402E+000, 1.8925357E+000, 1.6112075E+000, 1.5335104E+000, 1.5270749E+000, 1.3566247E+000, 1.1604956E+000, 1.0971016E+000, 9.8679649E-001, 8.8683310E-001, 8.5500762E-001, 7.8777857E-001, 7.8850184E-001, 7.5751783E-001, 6.2385916E-001, 5.5119014E-001, 4.6753415E-001, 3.9848421E-001, 2.4638716E-001, 1.5355418E-001, 1.0844226E-001, 7.7738494E-002, 4.9910669E-002, 2.5684847E-002, 1.6476326E-002
 8.0001691E+000, 2.0782285E-001, 1.1982229E+000, 1.2734507E+000, 3.3223600E+001, 2.0911453E+001, 1.7151422E+001, 1.6628803E+001, 1.7134110E+001, 1.7253561E+001, 1.7300670E+001, 1.7126475E+001, 1.6740608E+001, 1.6146503E+001, 1.5066117E+001, 1.4669798E+001, 1.4053443E+001, 1.3182316E+001, 1.2990277E+001, 1.2211686E+001, 1.1402935E+001, 1.0351714E+001, 9.7807587E+000, 9.2307753E+000, 8.7669178E+000, 7.8433910E+000, 7.1688985E+000, 6.7346627E+000, 6.3171053E+000, 5.3111122E+000, 4.5098522E+000, 3.3996601E+000, 2.6434755E+000, 1.9924086E+000, 1.5335835E+000, 1.4060040E+000, 1.0125784E+000, 6.7449938E-001, 4.1775939E-001, 3.4046615E-001, 3.0794130E-001, 2.6526389E-001, 2.4128723E-001, 1.4838210E-001, 6.4567953E-002, 4.6540340E-002, 3.0579953E-002, 1.4993213E-002, 3.5256312E-003, 6.3602560E-004, 4.2361323E-004, 3.1272447E-004, 2.0584145E-004, 1.1791492E-004
