m,m/s,C
z,u,T
 2.0000000E-001, 2.9704317E+000, 1.6181774E+001
 7.2203390E-001, 3.5691343E+000, 1.5773590E+001
 1.2440678E+000, 3.7162665E+000, 1.5603282E+001
 1.7661017E+000, 3.8357349E+000, 1.5500080E+001
 2.2881356E+000, 3.9035902E+000, 1.5439142E+001
 2.8101695E+000, 3.9648767E+000, 1.5399047E+001
 3.3322034E+000, 4.0184009E+000, 1.5359690E+001
 3.8542373E+000, 4.0690841E+000, 1.5316726E+001
 4.3762712E+000, 4.1192445E+000, 1.5278757E+001
 4.8983051E+000, 4.1574525E+000, 1.5250086E+001
 5.4203390E+000, 4.1574525E+000, 1.5250086E+001
 5.9423729E+000, 4.1792696E+000, 1.5225826E+001
 6.4644068E+000, 4.1840013E+000, 1.5201053E+001
 6.9864407E+000, 4.1840013E+000, 1.5201053E+001
 7.5084746E+000, 4.1998778E+000, 1.5181457E+001
 8.0305085E+000, 4.1998778E+000, 1.5181457E+001
 8.5525424E+000, 4.2287674E+000, 1.5157845E+001
 9.0745763E+000, 4.2433191E+000, 1.5140474E+001
 9.5966102E+000, 4.2433191E+000, 1.5140474E+001
 1.0118644E+001, 4.2580572E+000, 1.5124097E+001
 1.0640678E+001, 4.2580572E+000, 1.5124097E+001
 1.1162712E+001, 4.2565185E+000, 1.5100052E+001
 1.1684746E+001, 4.2565185E+000, 1.5100052E+001
 1.2206780E+001, 4.2651797E+000, 1.5080827E+001
 1.2728814E+001, 4.2651797E+000, 1.5080827E+001
 1.3250847E+001, 4.2716738E+000, 1.5067664E+001
 1.3772881E+001, 4.2716738E+000, 1.5067664E+001
 1.4294915E+001, 4.2716738E+000, 1.5067664E+001
 1.4816949E+001, 4.2970646E+000, 1.5045072E+001
 1.5338983E+001, 4.2970646E+000, 1.5045072E+001
 1.5861017E+001, 4.3175193E+000, 1.5021746E+001
 1.6383051E+001, 4.3175193E+000, 1.5021746E+001
 1.6905085E+001, 4.3451253E+000, 1.4996485E+001
 1.7427119E+001, 4.3451253E+000, 1.4996485E+001
 1.7949153E+001, 4.3451253E+000, 1.4996485E+001
 1.8471186E+001, 4.3613834E+000, 1.4969991E+001
 1.8993220E+001, 4.3613834E+000, 1.4969991E+001
 1.9515254E+001, 4.3722207E+000, 1.4947832E+001
 2.0037288E+001, 4.3722207E+000, 1.4947832E+001
 2.0559322E+001, 4.3722207E+000, 1.4947832E+001
 2.1081356E+001, 4.3865883E+000, 1.4923368E+001
 2.1603390E+001, 4.3865883E+000, 1.4923368E+001
 2.2125424E+001, 4.3865883E+000, 1.4923368E+001
 2.2647458E+001, 4.3968687E+000, 1.4898559E+001
 2.3169492E+001, 4.3968687E+000, 1.4898559E+001
 2.3691525E+001, 4.3968687E+000, 1.4898559E+001
 2.4213559E+001, 4.4287195E+000, 1.4876238E+001
 2.4735593E+001, 4.4287195E+000, 1.4876238E+001
 2.5257627E+001, 4.4287195E+000, 1.4876238E+001
 2.5779661E+001, 4.4702862E+000, 1.4852880E+001
 2.6301695E+001, 4.4702862E+000, 1.4852880E+001
 2.6823729E+001, 4.4702862E+000, 1.4852880E+001
 2.7345763E+001, 4.5084189E+000, 1.4828907E+001
 2.7867797E+001, 4.5084189E+000, 1.4828907E+001
 2.8389831E+001, 4.5084189E+000, 1.4828907E+001
 2.8911864E+001, 4.5399247E+000, 1.4807888E+001
 2.9433898E+001, 4.5399247E+000, 1.4807888E+001
 2.9955932E+001, 4.5399247E+000, 1.4807888E+001
 3.0477966E+001, 4.6496833E+000, 1.4792366E+001
 3.1000000E+001, 4.6496833E+000, 1.4792366E+001
