m,m/s,C
z,u,T
 2.0000000E-001, 7.5652689E+000, 3.1644507E+001
 7.2203390E-001, 9.3655140E+000, 3.0270547E+001
 1.2440678E+000, 9.8115445E+000, 2.9716534E+001
 1.7661017E+000, 1.0129522E+001, 2.9329044E+001
 2.2881356E+000, 1.0389243E+001, 2.9023935E+001
 2.8101695E+000, 1.0608836E+001, 2.8769465E+001
 3.3322034E+000, 1.0782920E+001, 2.8555348E+001
 3.8542373E+000, 1.0948633E+001, 2.8372095E+001
 4.3762712E+000, 1.1104852E+001, 2.8195362E+001
 4.8983051E+000, 1.1241219E+001, 2.8027789E+001
 5.4203390E+000, 1.1241219E+001, 2.8027789E+001
 5.9423729E+000, 1.1361976E+001, 2.7885744E+001
 6.4644068E+000, 1.1492477E+001, 2.7755417E+001
 6.9864407E+000, 1.1492477E+001, 2.7755417E+001
 7.5084746E+000, 1.1592125E+001, 2.7632357E+001
 8.0305085E+000, 1.1592125E+001, 2.7632357E+001
 8.5525424E+000, 1.1685296E+001, 2.7514680E+001
 9.0745763E+000, 1.1754802E+001, 2.7412606E+001
 9.5966102E+000, 1.1754802E+001, 2.7412606E+001
 1.0118644E+001, 1.1821528E+001, 2.7318572E+001
 1.0640678E+001, 1.1821528E+001, 2.7318572E+001
 1.1162712E+001, 1.1889885E+001, 2.7236677E+001
 1.1684746E+001, 1.1889885E+001, 2.7236677E+001
 1.2206780E+001, 1.1960343E+001, 2.7146990E+001
 1.2728814E+001, 1.1960343E+001, 2.7146990E+001
 1.3250847E+001, 1.2034353E+001, 2.7048971E+001
 1.3772881E+001, 1.2034353E+001, 2.7048971E+001
 1.4294915E+001, 1.2034353E+001, 2.7048971E+001
 1.4816949E+001, 1.2081095E+001, 2.6963352E+001
 1.5338983E+001, 1.2081095E+001, 2.6963352E+001
 1.5861017E+001, 1.2154152E+001, 2.6883867E+001
 1.6383051E+001, 1.2154152E+001, 2.6883867E+001
 1.6905085E+001, 1.2278240E+001, 2.6804516E+001
 1.7427119E+001, 1.2278240E+001, 2.6804516E+001
 1.7949153E+001, 1.2278240E+001, 2.6804516E+001
 1.8471186E+001, 1.2410388E+001, 2.6723125E+001
 1.8993220E+001, 1.2410388E+001, 2.6723125E+001
 1.9515254E+001, 1.2469911E+001, 2.6645868E+001
 2.0037288E+001, 1.2469911E+001, 2.6645868E+001
 2.0559322E+001, 1.2469911E+001, 2.6645868E+001
 2.1081356E+001, 1.2448993E+001, 2.6587823E+001
 2.1603390E+001, 1.2448993E+001, 2.6587823E+001
 2.2125424E+001, 1.2448993E+001, 2.6587823E+001
 2.2647458E+001, 1.2460424E+001, 2.6537770E+001
 2.3169492E+001, 1.2460424E+001, 2.6537770E+001
 2.3691525E+001, 1.2460424E+001, 2.6537770E+001
 2.4213559E+001, 1.2533024E+001, 2.6496009E+001
 2.4735593E+001, 1.2533024E+001, 2.6496009E+001
 2.5257627E+001, 1.2533024E+001, 2.6496009E+001
 2.5779661E+001, 1.2551051E+001, 2.6456664E+001
 2.6301695E+001, 1.2551051E+001, 2.6456664E+001
 2.6823729E+001, 1.2551051E+001, 2.6456664E+001
 2.7345763E+001, 1.2678235E+001, 2.6424917E+001
 2.7867797E+001, 1.2678235E+001, 2.6424917E+001
 2.8389831E+001, 1.2678235E+001, 2.6424917E+001
 2.8911864E+001, 1.2767969E+001, 2.6395385E+001
 2.9433898E+001, 1.2767969E+001, 2.6395385E+001
 2.9955932E+001, 1.2767969E+001, 2.6395385E+001
 3.0477966E+001, 1.2963949E+001, 2.6367994E+001
 3.1000000E+001, 1.2963949E+001, 2.6367994E+001
