m,m/s,C
z,u,T
 2.0000000E-001, 1.9355633E+000, 3.5189446E+001
 7.2203390E-001, 3.1754688E+000, 3.5103443E+001
 1.2440678E+000, 3.4395856E+000, 3.5078054E+001
 1.7661017E+000, 3.6800622E+000, 3.5056851E+001
 2.2881356E+000, 3.8667862E+000, 3.5038883E+001
 2.8101695E+000, 4.0339964E+000, 3.5023364E+001
 3.3322034E+000, 4.1627962E+000, 3.5009921E+001
 3.8542373E+000, 4.2568637E+000, 3.4998200E+001
 4.3762712E+000, 4.3398304E+000, 3.4987422E+001
 4.8983051E+000, 4.4110436E+000, 3.4977402E+001
 5.4203390E+000, 4.4110436E+000, 3.4977402E+001
 5.9423729E+000, 4.4508645E+000, 3.4968515E+001
 6.4644068E+000, 4.4815549E+000, 3.4960140E+001
 6.9864407E+000, 4.4815549E+000, 3.4960140E+001
 7.5084746E+000, 4.5356108E+000, 3.4952556E+001
 8.0305085E+000, 4.5356108E+000, 3.4952556E+001
 8.5525424E+000, 4.5852716E+000, 3.4945330E+001
 9.0745763E+000, 4.6420232E+000, 3.4938640E+001
 9.5966102E+000, 4.6420232E+000, 3.4938640E+001
 1.0118644E+001, 4.7212938E+000, 3.4931642E+001
 1.0640678E+001, 4.7212938E+000, 3.4931642E+001
 1.1162712E+001, 4.8017684E+000, 3.4925281E+001
 1.1684746E+001, 4.8017684E+000, 3.4925281E+001
 1.2206780E+001, 4.8740107E+000, 3.4919019E+001
 1.2728814E+001, 4.8740107E+000, 3.4919019E+001
 1.3250847E+001, 4.9410780E+000, 3.4913805E+001
 1.3772881E+001, 4.9410780E+000, 3.4913805E+001
 1.4294915E+001, 4.9410780E+000, 3.4913805E+001
 1.4816949E+001, 5.0267922E+000, 3.4908373E+001
 1.5338983E+001, 5.0267922E+000, 3.4908373E+001
 1.5861017E+001, 5.1227900E+000, 3.4903976E+001
 1.6383051E+001, 5.1227900E+000, 3.4903976E+001
 1.6905085E+001, 5.2247648E+000, 3.4901676E+001
 1.7427119E+001, 5.2247648E+000, 3.4901676E+001
 1.7949153E+001, 5.2247648E+000, 3.4901676E+001
 1.8471186E+001, 5.3499552E+000, 3.4899745E+001
 1.8993220E+001, 5.3499552E+000, 3.4899745E+001
 1.9515254E+001, 5.4776954E+000, 3.4900955E+001
 2.0037288E+001, 5.4776954E+000, 3.4900955E+001
 2.0559322E+001, 5.4776954E+000, 3.4900955E+001
 2.1081356E+001, 5.5835119E+000, 3.4902153E+001
 2.1603390E+001, 5.5835119E+000, 3.4902153E+001
 2.2125424E+001, 5.5835119E+000, 3.4902153E+001
 2.2647458E+001, 5.6655871E+000, 3.4900662E+001
 2.3169492E+001, 5.6655871E+000, 3.4900662E+001
 2.3691525E+001, 5.6655871E+000, 3.4900662E+001
 2.4213559E+001, 5.7372056E+000, 3.4897349E+001
 2.4735593E+001, 5.7372056E+000, 3.4897349E+001
 2.5257627E+001, 5.7372056E+000, 3.4897349E+001
 2.5779661E+001, 5.8323882E+000, 3.4893456E+001
 2.6301695E+001, 5.8323882E+000, 3.4893456E+001
 2.6823729E+001, 5.8323882E+000, 3.4893456E+001
 2.7345763E+001, 5.8664966E+000, 3.4888134E+001
 2.7867797E+001, 5.8664966E+000, 3.4888134E+001
 2.8389831E+001, 5.8664966E+000, 3.4888134E+001
 2.8911864E+001, 5.9240870E+000, 3.4880011E+001
 2.9433898E+001, 5.9240870E+000, 3.4880011E+001
 2.9955932E+001, 5.9240870E+000, 3.4880011E+001
 3.0477966E+001, 6.0294030E+000, 3.4869888E+001
 3.1000000E+001, 6.0294030E+000, 3.4869888E+001
