m,m/s,C
z,u,T
 2.0000000E-001, 3.2197337E+000, 2.3529053E+001
 7.2203390E-001, 4.1804606E+000, 2.3804586E+001
 1.2440678E+000, 4.4452340E+000, 2.3973906E+001
 1.7661017E+000, 4.6220408E+000, 2.4094182E+001
 2.2881356E+000, 4.7831016E+000, 2.4173535E+001
 2.8101695E+000, 4.9175801E+000, 2.4226410E+001
 3.3322034E+000, 5.0468971E+000, 2.4263134E+001
 3.8542373E+000, 5.1531717E+000, 2.4289150E+001
 4.3762712E+000, 5.2595791E+000, 2.4308182E+001
 4.8983051E+000, 5.3557512E+000, 2.4324251E+001
 5.4203390E+000, 5.3557512E+000, 2.4324251E+001
 5.9423729E+000, 5.4365054E+000, 2.4337152E+001
 6.4644068E+000, 5.5222824E+000, 2.4348065E+001
 6.9864407E+000, 5.5222824E+000, 2.4348065E+001
 7.5084746E+000, 5.6119687E+000, 2.4356846E+001
 8.0305085E+000, 5.6119687E+000, 2.4356846E+001
 8.5525424E+000, 5.7023189E+000, 2.4365348E+001
 9.0745763E+000, 5.7811963E+000, 2.4372563E+001
 9.5966102E+000, 5.7811963E+000, 2.4372563E+001
 1.0118644E+001, 5.8681842E+000, 2.4379351E+001
 1.0640678E+001, 5.8681842E+000, 2.4379351E+001
 1.1162712E+001, 5.9668038E+000, 2.4385429E+001
 1.1684746E+001, 5.9668038E+000, 2.4385429E+001
 1.2206780E+001, 6.0332682E+000, 2.4389256E+001
 1.2728814E+001, 6.0332682E+000, 2.4389256E+001
 1.3250847E+001, 6.1008877E+000, 2.4392399E+001
 1.3772881E+001, 6.1008877E+000, 2.4392399E+001
 1.4294915E+001, 6.1008877E+000, 2.4392399E+001
 1.4816949E+001, 6.1427576E+000, 2.4395037E+001
 1.5338983E+001, 6.1427576E+000, 2.4395037E+001
 1.5861017E+001, 6.2230860E+000, 2.4397796E+001
 1.6383051E+001, 6.2230860E+000, 2.4397796E+001
 1.6905085E+001, 6.3512152E+000, 2.4400688E+001
 1.7427119E+001, 6.3512152E+000, 2.4400688E+001
 1.7949153E+001, 6.3512152E+000, 2.4400688E+001
 1.8471186E+001, 6.4495290E+000, 2.4402644E+001
 1.8993220E+001, 6.4495290E+000, 2.4402644E+001
 1.9515254E+001, 6.5182344E+000, 2.4403237E+001
 2.0037288E+001, 6.5182344E+000, 2.4403237E+001
 2.0559322E+001, 6.5182344E+000, 2.4403237E+001
 2.1081356E+001, 6.5963877E+000, 2.4403458E+001
 2.1603390E+001, 6.5963877E+000, 2.4403458E+001
 2.2125424E+001, 6.5963877E+000, 2.4403458E+001
 2.2647458E+001, 6.7322313E+000, 2.4403377E+001
 2.3169492E+001, 6.7322313E+000, 2.4403377E+001
 2.3691525E+001, 6.7322313E+000, 2.4403377E+001
 2.4213559E+001, 6.7864623E+000, 2.4403067E+001
 2.4735593E+001, 6.7864623E+000, 2.4403067E+001
 2.5257627E+001, 6.7864623E+000, 2.4403067E+001
 2.5779661E+001, 6.9036718E+000, 2.4401576E+001
 2.6301695E+001, 6.9036718E+000, 2.4401576E+001
 2.6823729E+001, 6.9036718E+000, 2.4401576E+001
 2.7345763E+001, 7.0281809E+000, 2.4398945E+001
 2.7867797E+001, 7.0281809E+000, 2.4398945E+001
 2.8389831E+001, 7.0281809E+000, 2.4398945E+001
 2.8911864E+001, 7.0396741E+000, 2.4396259E+001
 2.9433898E+001, 7.0396741E+000, 2.4396259E+001
 2.9955932E+001, 7.0396741E+000, 2.4396259E+001
 3.0477966E+001, 7.0982870E+000, 2.4394698E+001
 3.1000000E+001, 7.0982870E+000, 2.4394698E+001
