m,m/s,C
z,u,T
 2.0000000E-001, 1.1434992E+000, 3.2580939E+001
 7.2203390E-001, 1.5174876E+000, 3.2769785E+001
 1.2440678E+000, 1.6223884E+000, 3.2857207E+001
 1.7661017E+000, 1.7101518E+000, 3.2907313E+001
 2.2881356E+000, 1.7888034E+000, 3.2936370E+001
 2.8101695E+000, 1.8582413E+000, 3.2957929E+001
 3.3322034E+000, 1.9359377E+000, 3.2977812E+001
 3.8542373E+000, 2.0087568E+000, 3.2996406E+001
 4.3762712E+000, 2.0732986E+000, 3.3012599E+001
 4.8983051E+000, 2.1431969E+000, 3.3026352E+001
 5.4203390E+000, 2.1431969E+000, 3.3026352E+001
 5.9423729E+000, 2.2099147E+000, 3.3038834E+001
 6.4644068E+000, 2.2681316E+000, 3.3050488E+001
 6.9864407E+000, 2.2681316E+000, 3.3050488E+001
 7.5084746E+000, 2.3386249E+000, 3.3063464E+001
 8.0305085E+000, 2.3386249E+000, 3.3063464E+001
 8.5525424E+000, 2.4166396E+000, 3.3079034E+001
 9.0745763E+000, 2.4887556E+000, 3.3095045E+001
 9.5966102E+000, 2.4887556E+000, 3.3095045E+001
 1.0118644E+001, 2.5658573E+000, 3.3112291E+001
 1.0640678E+001, 2.5658573E+000, 3.3112291E+001
 1.1162712E+001, 2.6434276E+000, 3.3129239E+001
 1.1684746E+001, 2.6434276E+000, 3.3129239E+001
 1.2206780E+001, 2.7193288E+000, 3.3147553E+001
 1.2728814E+001, 2.7193288E+000, 3.3147553E+001
 1.3250847E+001, 2.8072315E+000, 3.3167740E+001
 1.3772881E+001, 2.8072315E+000, 3.3167740E+001
 1.4294915E+001, 2.8072315E+000, 3.3167740E+001
 1.4816949E+001, 2.9011273E+000, 3.3188048E+001
 1.5338983E+001, 2.9011273E+000, 3.3188048E+001
 1.5861017E+001, 2.9808038E+000, 3.3207271E+001
 1.6383051E+001, 2.9808038E+000, 3.3207271E+001
 1.6905085E+001, 3.0568503E+000, 3.3224176E+001
 1.7427119E+001, 3.0568503E+000, 3.3224176E+001
 1.7949153E+001, 3.0568503E+000, 3.3224176E+001
 1.8471186E+001, 3.1468864E+000, 3.3241258E+001
 1.8993220E+001, 3.1468864E+000, 3.3241258E+001
 1.9515254E+001, 3.2472435E+000, 3.3258278E+001
 2.0037288E+001, 3.2472435E+000, 3.3258278E+001
 2.0559322E+001, 3.2472435E+000, 3.3258278E+001
 2.1081356E+001, 3.3230303E+000, 3.3277458E+001
 2.1603390E+001, 3.3230303E+000, 3.3277458E+001
 2.2125424E+001, 3.3230303E+000, 3.3277458E+001
 2.2647458E+001, 3.4295101E+000, 3.3297357E+001
 2.3169492E+001, 3.4295101E+000, 3.3297357E+001
 2.3691525E+001, 3.4295101E+000, 3.3297357E+001
 2.4213559E+001, 3.5087726E+000, 3.3315590E+001
 2.4735593E+001, 3.5087726E+000, 3.3315590E+001
 2.5257627E+001, 3.5087726E+000, 3.3315590E+001
 2.5779661E+001, 3.6083313E+000, 3.3329310E+001
 2.6301695E+001, 3.6083313E+000, 3.3329310E+001
 2.6823729E+001, 3.6083313E+000, 3.3329310E+001
 2.7345763E+001, 3.7158167E+000, 3.3340141E+001
 2.7867797E+001, 3.7158167E+000, 3.3340141E+001
 2.8389831E+001, 3.7158167E+000, 3.3340141E+001
 2.8911864E+001, 3.8106252E+000, 3.3348646E+001
 2.9433898E+001, 3.8106252E+000, 3.3348646E+001
 2.9955932E+001, 3.8106252E+000, 3.3348646E+001
 3.0477966E+001, 3.8613636E+000, 3.3354680E+001
 3.1000000E+001, 3.8613636E+000, 3.3354680E+001
