m,m/s,C
z,u,T
 2.0000000E-001, 6.1282198E+000, 1.5858577E+001
 7.2203390E-001, 7.1093727E+000, 1.5636626E+001
 1.2440678E+000, 7.3751174E+000, 1.5514384E+001
 1.7661017E+000, 7.5668999E+000, 1.5437321E+001
 2.2881356E+000, 7.7200844E+000, 1.5380366E+001
 2.8101695E+000, 7.8589995E+000, 1.5334429E+001
 3.3322034E+000, 7.9794342E+000, 1.5294748E+001
 3.8542373E+000, 8.0764975E+000, 1.5258596E+001
 4.3762712E+000, 8.1781299E+000, 1.5227221E+001
 4.8983051E+000, 8.2708668E+000, 1.5197220E+001
 5.4203390E+000, 8.2708668E+000, 1.5197220E+001
 5.9423729E+000, 8.3591758E+000, 1.5169367E+001
 6.4644068E+000, 8.4242114E+000, 1.5145075E+001
 6.9864407E+000, 8.4242114E+000, 1.5145075E+001
 7.5084746E+000, 8.4948456E+000, 1.5122447E+001
 8.0305085E+000, 8.4948456E+000, 1.5122447E+001
 8.5525424E+000, 8.5477987E+000, 1.5100722E+001
 9.0745763E+000, 8.6152869E+000, 1.5079720E+001
 9.5966102E+000, 8.6152869E+000, 1.5079720E+001
 1.0118644E+001, 8.6776305E+000, 1.5060693E+001
 1.0640678E+001, 8.6776305E+000, 1.5060693E+001
 1.1162712E+001, 8.7201419E+000, 1.5043762E+001
 1.1684746E+001, 8.7201419E+000, 1.5043762E+001
 1.2206780E+001, 8.7809673E+000, 1.5029322E+001
 1.2728814E+001, 8.7809673E+000, 1.5029322E+001
 1.3250847E+001, 8.8410567E+000, 1.5017378E+001
 1.3772881E+001, 8.8410567E+000, 1.5017378E+001
 1.4294915E+001, 8.8410567E+000, 1.5017378E+001
 1.4816949E+001, 8.8860932E+000, 1.5006869E+001
 1.5338983E+001, 8.8860932E+000, 1.5006869E+001
 1.5861017E+001, 8.9113865E+000, 1.4997458E+001
 1.6383051E+001, 8.9113865E+000, 1.4997458E+001
 1.6905085E+001, 8.9511265E+000, 1.4989682E+001
 1.7427119E+001, 8.9511265E+000, 1.4989682E+001
 1.7949153E+001, 8.9511265E+000, 1.4989682E+001
 1.8471186E+001, 8.9745997E+000, 1.4982679E+001
 1.8993220E+001, 8.9745997E+000, 1.4982679E+001
 1.9515254E+001, 9.0132398E+000, 1.4976217E+001
 2.0037288E+001, 9.0132398E+000, 1.4976217E+001
 2.0559322E+001, 9.0132398E+000, 1.4976217E+001
 2.1081356E+001, 9.0710213E+000, 1.4970023E+001
 2.1603390E+001, 9.0710213E+000, 1.4970023E+001
 2.2125424E+001, 9.0710213E+000, 1.4970023E+001
 2.2647458E+001, 9.1351579E+000, 1.4964245E+001
 2.3169492E+001, 9.1351579E+000, 1.4964245E+001
 2.3691525E+001, 9.1351579E+000, 1.4964245E+001
 2.4213559E+001, 9.1524782E+000, 1.4957942E+001
 2.4735593E+001, 9.1524782E+000, 1.4957942E+001
 2.5257627E+001, 9.1524782E+000, 1.4957942E+001
 2.5779661E+001, 9.1634338E+000, 1.4950594E+001
 2.6301695E+001, 9.1634338E+000, 1.4950594E+001
 2.6823729E+001, 9.1634338E+000, 1.4950594E+001
 2.7345763E+001, 9.2158397E+000, 1.4942058E+001
 2.7867797E+001, 9.2158397E+000, 1.4942058E+001
 2.8389831E+001, 9.2158397E+000, 1.4942058E+001
 2.8911864E+001, 9.2855891E+000, 1.4932940E+001
 2.9433898E+001, 9.2855891E+000, 1.4932940E+001
 2.9955932E+001, 9.2855891E+000, 1.4932940E+001
 3.0477966E+001, 9.3975432E+000, 1.4923685E+001
 3.1000000E+001, 9.3975432E+000, 1.4923685E+001
