s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,Tf01,Tf02,Tf03,Tf04,Tl01,Tl02,Tl03,Tl04,Tl05,Tl06,Tl07,Tl08,Tl09,Tp01,Tp10,Tp02,Tp09,Tp05,Tp04,Tp06,Tp08,Tp07,Tp03
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 1.000E+01, 1.904E+02, 1.338E+02, 9.365E+01, 6.848E+01, 2.068E+01, 2.152E+01, 2.367E+01, 3.030E+01, 4.057E+01, 2.938E+01, 2.384E+01, 2.149E+01, 2.059E+01, 2.085E+01, 2.460E+01, 2.065E+01, 2.410E+01, 2.311E+01, 2.079E+01, 2.241E+01, 2.074E+01, 2.094E+01, 2.307E+01
 2.001E+01, 7.623E+02, 6.428E+02, 4.670E+02, 3.297E+02, 4.631E+01, 5.240E+01, 6.508E+01, 1.039E+02, 1.872E+02, 9.612E+01, 6.374E+01, 5.240E+01, 4.608E+01, 2.595E+01, 3.627E+01, 2.485E+01, 3.314E+01, 3.275E+01, 2.289E+01, 3.028E+01, 2.493E+01, 2.600E+01, 3.276E+01
 3.001E+01, 9.363E+02, 8.440E+02, 6.544E+02, 4.810E+02, 8.215E+01, 8.933E+01, 1.062E+02, 1.635E+02, 3.180E+02, 1.496E+02, 1.015E+02, 8.726E+01, 8.081E+01, 3.289E+01, 4.377E+01, 3.079E+01, 3.936E+01, 4.000E+01, 2.443E+01, 3.639E+01, 3.088E+01, 3.291E+01, 3.996E+01
 4.001E+01, 9.604E+02, 8.891E+02, 7.112E+02, 5.305E+02, 1.005E+02, 1.066E+02, 1.229E+02, 1.831E+02, 3.785E+02, 1.694E+02, 1.166E+02, 1.035E+02, 9.831E+01, 3.951E+01, 4.837E+01, 3.647E+01, 4.316E+01, 4.530E+01, 2.559E+01, 4.084E+01, 3.666E+01, 3.961E+01, 4.511E+01
 5.000E+01, 9.548E+02, 8.830E+02, 7.079E+02, 5.267E+02, 1.089E+02, 1.148E+02, 1.307E+02, 1.915E+02, 3.936E+02, 1.764E+02, 1.241E+02, 1.116E+02, 1.076E+02, 4.592E+01, 5.201E+01, 4.201E+01, 4.610E+01, 4.953E+01, 2.655E+01, 4.440E+01, 4.214E+01, 4.592E+01, 4.932E+01
 6.000E+01, 9.598E+02, 8.874E+02, 7.100E+02, 5.347E+02, 1.139E+02, 1.193E+02, 1.337E+02, 1.942E+02, 4.065E+02, 1.844E+02, 1.297E+02, 1.169E+02, 1.121E+02, 5.188E+01, 5.478E+01, 4.722E+01, 4.882E+01, 5.298E+01, 2.733E+01, 4.729E+01, 4.756E+01, 5.210E+01, 5.259E+01
 7.001E+01, 9.623E+02, 8.696E+02, 6.955E+02, 5.289E+02, 1.176E+02, 1.221E+02, 1.356E+02, 2.002E+02, 4.159E+02, 1.861E+02, 1.318E+02, 1.193E+02, 1.147E+02, 5.774E+01, 5.761E+01, 5.235E+01, 5.101E+01, 5.625E+01, 2.818E+01, 4.994E+01, 5.266E+01, 5.792E+01, 5.612E+01
 8.001E+01, 9.636E+02, 8.776E+02, 7.040E+02, 5.350E+02, 1.178E+02, 1.223E+02, 1.370E+02, 2.016E+02, 4.183E+02, 1.862E+02, 1.324E+02, 1.201E+02, 1.158E+02, 6.318E+01, 5.950E+01, 5.713E+01, 5.266E+01, 5.939E+01, 2.892E+01, 5.265E+01, 5.742E+01, 6.330E+01, 5.920E+01
 9.000E+01, 9.639E+02, 8.777E+02, 7.006E+02, 5.244E+02, 1.184E+02, 1.223E+02, 1.362E+02, 2.032E+02, 4.179E+02, 1.886E+02, 1.345E+02, 1.223E+02, 1.181E+02, 6.831E+01, 6.154E+01, 6.170E+01, 5.415E+01, 6.186E+01, 2.952E+01, 5.472E+01, 6.184E+01, 6.822E+01, 6.160E+01
 1.000E+02, 9.640E+02, 8.922E+02, 7.233E+02, 5.371E+02, 1.196E+02, 1.237E+02, 1.375E+02, 2.039E+02, 4.188E+02, 1.896E+02, 1.367E+02, 1.240E+02, 1.196E+02, 7.290E+01, 6.298E+01, 6.584E+01, 5.547E+01, 6.419E+01, 3.013E+01, 5.672E+01, 6.607E+01, 7.288E+01, 6.407E+01
 1.100E+02, 9.688E+02, 8.932E+02, 7.228E+02, 5.421E+02, 1.203E+02, 1.246E+02, 1.390E+02, 2.067E+02, 4.223E+02, 1.914E+02, 1.407E+02, 1.277E+02, 1.236E+02, 7.770E+01, 6.550E+01, 7.020E+01, 5.753E+01, 6.689E+01, 3.077E+01, 5.904E+01, 7.037E+01, 7.758E+01, 6.673E+01
 1.200E+02, 9.751E+02, 9.173E+02, 7.585E+02, 5.763E+02, 1.228E+02, 1.280E+02, 1.440E+02, 2.148E+02, 4.460E+02, 1.945E+02, 1.409E+02, 1.275E+02, 1.241E+02, 8.237E+01, 6.730E+01, 7.452E+01, 5.903E+01, 6.955E+01, 3.145E+01, 6.133E+01, 7.453E+01, 8.211E+01, 6.944E+01
 1.300E+02, 9.676E+02, 9.019E+02, 7.379E+02, 5.633E+02, 1.245E+02, 1.293E+02, 1.448E+02, 2.133E+02, 4.478E+02, 1.978E+02, 1.431E+02, 1.296E+02, 1.260E+02, 8.689E+01, 6.923E+01, 7.872E+01, 5.996E+01, 7.160E+01, 3.197E+01, 6.318E+01, 7.843E+01, 8.629E+01, 7.154E+01
 1.400E+02, 9.713E+02, 8.887E+02, 7.172E+02, 5.463E+02, 1.247E+02, 1.293E+02, 1.453E+02, 2.156E+02, 4.434E+02, 1.983E+02, 1.442E+02, 1.304E+02, 1.264E+02, 9.112E+01, 7.059E+01, 8.262E+01, 6.153E+01, 7.357E+01, 3.257E+01, 6.475E+01, 8.211E+01, 9.027E+01, 7.361E+01
 1.500E+02, 9.632E+02, 8.830E+02, 7.205E+02, 5.517E+02, 1.228E+02, 1.274E+02, 1.443E+02, 2.153E+02, 4.406E+02, 2.014E+02, 1.459E+02, 1.312E+02, 1.264E+02, 9.496E+01, 7.179E+01, 8.619E+01, 6.285E+01, 7.536E+01, 3.309E+01, 6.625E+01, 8.555E+01, 9.404E+01, 7.544E+01
 1.600E+02, 9.687E+02, 9.001E+02, 7.362E+02, 5.640E+02, 1.213E+02, 1.258E+02, 1.426E+02, 2.112E+02, 4.431E+02, 2.007E+02, 1.447E+02, 1.306E+02, 1.257E+02, 9.844E+01, 7.263E+01, 8.942E+01, 6.392E+01, 7.733E+01, 3.368E+01, 6.792E+01, 8.895E+01, 9.771E+01, 7.734E+01
