s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,"SFP","CAP","PRES","POSTS","HA","CP","VIEW SF1V","VIEW SF1S","FAST SF1V","FAST SF1S","SIMPLEX SF1V","SIMPLEX SF1S","BI FLOW SF1","T SF1","VIEW SF2V","VIEW SF2S","FAST SF2V","FAST SF2S","SIMPLEX SF2V","SIMPLEX SF2S","BI FLOW SF2","T SF2","VIEW SF3V","VIEW SF3S","FAST SF3V","FAST SF3S","FM SF3S","SIMPLEX SF3V","SIMPLEX SF3S","BI FLOW SF3","T SF3","VIEW C1V","VIEW C1S","FAST C1V","FAST C1S","SIMPLEX C1V","SIMPLEX C1S","BI FLOW C1","BI FLOW C1","T C1","VIEW C2V","VIEW C2S","FAST C2V","FAST C2S","FM C2S","SIMPLEX C2V","SIMPLEX C2S","BI FLOW C2","BI FLOW C2","T C2","VIEW C3V","VIEW C3S","FAST C3V","FAST C3S","SIMPLEX C3V","SIMPLEX C3S","BI FLOW C3","BI FLOW C3","T C3","VIEW P1V","VIEW P1S","FAST P1V","FAST P1S","FM P1S","SIMPLEX P1V","SIMPLEX P1S","BI FLOW P1","T P1","VIEW P2V","VIEW P2S","FAST P2V","FAST P2S","SIMPLEX P2V","SIMPLEX P2S","BI FLOW P2","T P2","VIEW P3V","VIEW P3S","FAST P3V","FAST P3S","SIMPLEX P3V","SIMPLEX P3S","BI FLOW P3","T P3"
-2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6526745E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5850410E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1251661E-003, 9.1379047E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2825003E-004, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0213392E-003, 1.0527584E-002, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0544989E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1757825E-003, 2.0000000E+001
-9.9981086E+000,-1.9601214E+001,-3.5984155E+001,-3.8314785E+001,-4.1620010E+001,-4.8933743E+001,-6.7844767E+001, 3.6509448E+000, 0.0000000E+000, 1.0101250E+000, 0.0000000E+000, 3.7948342E+000, 0.0000000E+000, 2.9803622E+000, 2.0000654E+001, 1.8597092E+000, 0.0000000E+000, 2.7465412E+000, 0.0000000E+000, 8.3043933E-001, 0.0000000E+000, 1.8519808E+000, 2.0000176E+001, 9.3238101E-001, 0.0000000E+000, 9.7387535E-001, 0.0000000E+000, 0.0000000E+000, 1.0759619E+000, 0.0000000E+000, 1.9208570E-001, 1.9998893E+001, 6.7005631E-001, 0.0000000E+000, 5.2797048E-001, 0.0000000E+000, 6.4514949E-001, 0.0000000E+000, 2.6722112E-001, 1.2255382E-001, 1.9997359E+001, 7.4227803E-001, 0.0000000E+000, 6.6772284E-001, 0.0000000E+000, 0.0000000E+000, 2.7320000E-001, 0.0000000E+000,-4.8998050E-001, 2.9060752E-001, 1.9991569E+001, 9.1599742E-001, 0.0000000E+000, 7.8944585E-001, 0.0000000E+000, 8.2616949E-001, 0.0000000E+000, 2.6593174E-001,-3.6542730E-003, 1.9992635E+001, 2.8571778E+000, 0.0000000E+000, 2.7193656E+000, 0.0000000E+000, 0.0000000E+000, 2.5985851E+000, 0.0000000E+000,-2.5849600E+000, 1.9990620E+001, 2.0002381E+000, 0.0000000E+000, 2.1370962E+000, 0.0000000E+000, 1.9682966E+000, 0.0000000E+000,-2.1159716E+000, 1.9985180E+001, 1.7873992E+000, 0.0000000E+000, 1.7702664E+000, 0.0000000E+000, 1.9410151E+000, 0.0000000E+000,-1.0498748E+000, 1.9988448E+001
 3.5615287E-003,-2.5364134E+001,-4.2625442E+001,-4.5661057E+001,-4.9294578E+001,-5.7553889E+001,-7.8108052E+001, 4.0167429E+000, 0.0000000E+000, 1.0949394E+000, 0.0000000E+000, 4.1882119E+000, 0.0000000E+000, 3.3024349E+000, 2.0000448E+001, 2.1916773E+000, 0.0000000E+000, 2.9817645E+000, 0.0000000E+000, 9.2606992E-001, 0.0000000E+000, 2.1459184E+000, 2.0000059E+001, 9.4095770E-001, 0.0000000E+000, 9.5501605E-001, 0.0000000E+000, 0.0000000E+000, 1.1916343E+000, 0.0000000E+000, 2.4190878E-001, 1.9997934E+001, 1.1105809E+000, 0.0000000E+000, 1.0677483E+000, 0.0000000E+000, 1.1051158E+000, 0.0000000E+000, 9.4414734E-001, 1.5074734E-001, 1.9976996E+001, 1.0068413E+000, 0.0000000E+000, 8.4776185E-001, 0.0000000E+000, 0.0000000E+000, 4.2111715E-001, 0.0000000E+000,-6.6751837E-001, 3.0444547E-001, 1.9972691E+001, 1.2249702E+000, 0.0000000E+000, 1.0273905E+000, 0.0000000E+000, 1.2173190E+000, 0.0000000E+000, 4.5782492E-001, 1.1887752E-001, 1.9993483E+001, 3.1350559E+000, 0.0000000E+000, 3.0377005E+000, 0.0000000E+000, 0.0000000E+000, 2.8497335E+000, 0.0000000E+000,-2.8221214E+000, 1.9970090E+001, 2.3957410E+000, 0.0000000E+000, 2.5029828E+000, 0.0000000E+000, 2.2468264E+000, 0.0000000E+000,-2.4657585E+000, 1.9963762E+001, 2.2829436E+000, 0.0000000E+000, 2.1442287E+000, 0.0000000E+000, 2.4107246E+000, 0.0000000E+000,-1.1339440E+000, 1.9983182E+001
 1.0001215E+001,-2.8537910E+001,-4.5730564E+001,-4.9045190E+001,-5.2662391E+001,-6.1026314E+001,-8.1692374E+001, 3.9905773E+000, 2.7904407E-054, 1.0460058E+000, 6.0455166E-050, 4.1499545E+000, 2.5848506E-044, 3.2718692E+000, 2.0000397E+001, 2.1793018E+000, 8.3121470E-030, 3.0456680E+000, 6.3874271E-033, 8.3937784E-001, 9.1160352E-029, 1.9985478E+000, 2.0000007E+001, 8.9213832E-001, 7.1948177E-005, 8.4684140E-001, 1.3286293E-004, 1.5369572E-006, 1.1633453E+000, 2.6029369E-003, 2.2025952E-001, 1.9997782E+001, 1.2269954E+000, 6.2209949E-015, 1.0169980E+000, 3.1277516E-016, 1.0195401E+000, 1.0053686E-016, 9.5392338E-001, 1.4991373E-001, 1.9972108E+001, 1.0255166E+000, 1.9594357E-006, 8.8368067E-001, 4.2262574E-006, 3.2719040E-006, 5.1866494E-001, 2.5459953E-006,-7.0270534E-001, 2.9134704E-001, 1.9969518E+001, 1.2189592E+000, 9.3494778E-003, 1.0078275E+000, 1.2491793E-002, 1.1494715E+000, 1.1166781E-002, 4.6129714E-001, 1.3248898E-001, 2.0004413E+001, 3.1725073E+000, 4.6020720E-006, 3.0034836E+000, 1.2176723E-005, 1.1061872E-005, 2.8661173E+000, 1.1343715E-005,-2.8782575E+000, 1.9966929E+001, 2.4524502E+000, 3.9457932E-004, 2.5297670E+000, 2.2017358E-004, 2.3071888E+000, 8.5300812E-004,-2.5043330E+000, 1.9963460E+001, 2.2569751E+000, 9.8087210E-003, 2.1142689E+000, 1.3787641E-002, 2.3698918E+000, 1.2562144E-002,-1.1294848E+000, 1.9983310E+001
 2.0002885E+001,-2.9959115E+001,-4.7178799E+001,-5.0582780E+001,-5.4213196E+001,-6.2673068E+001,-8.3302989E+001, 4.0024383E+000, 2.3451140E-044, 1.0862565E+000, 5.1595553E-040, 4.1537278E+000, 1.8748606E-034, 3.2758389E+000, 2.0000652E+001, 2.1869724E+000, 1.3429602E-020, 3.0922169E+000, 7.2181057E-023, 8.6499613E-001, 2.8442927E-021, 2.0822613E+000, 2.0000055E+001, 9.2478888E-001, 7.4248540E-004, 9.5225425E-001, 8.3234800E-003, 2.2304709E-004, 1.1783653E+000, 2.0615726E-002, 2.6707511E-001, 1.9998198E+001, 1.2528123E+000, 8.0716473E-006, 1.0555909E+000, 6.3981676E-006, 1.0763375E+000, 3.8756171E-006, 1.0750598E+000, 1.8731864E-001, 1.9971180E+001, 1.0550420E+000, 9.6257180E-004, 9.4260233E-001, 9.7521905E-004, 7.0161390E-004, 4.7043393E-001, 1.1251407E-003,-6.9318301E-001, 2.7881517E-001, 1.9969423E+001, 1.2069285E+000, 7.1931254E-001, 1.0101085E+000, 8.0303476E-001, 1.1608796E+000, 6.5487511E-001, 3.6527556E-001, 5.6864384E-002, 2.0003937E+001, 3.1541772E+000, 4.8563885E-003, 3.0246488E+000, 5.6630418E-003, 6.5213190E-003, 2.7737342E+000, 5.3925178E-003,-2.8242842E+000, 1.9966665E+001, 2.3547475E+000, 2.8018095E-002, 2.4747952E+000, 2.5379645E-002, 2.2633697E+000, 4.3651578E-002,-2.4274732E+000, 1.9963807E+001, 2.2594532E+000, 3.1896804E-001, 2.1118922E+000, 3.1308188E-001, 2.4003925E+000, 2.9596261E-001,-1.2593589E+000, 1.9984178E+001
 3.0000538E+001,-3.0644082E+001,-4.7881520E+001,-5.1342569E+001,-5.4991517E+001,-6.3410135E+001,-8.4104968E+001, 4.0129952E+000, 8.7760370E-041, 1.0814821E+000, 1.9207337E-036, 4.1721930E+000, 7.4935797E-031, 3.2911164E+000, 2.0000722E+001, 2.1811811E+000, 2.8320159E-018, 2.9662790E+000, 4.2603635E-020, 8.6735249E-001, 3.9486415E-019, 2.1830586E+000, 2.0000178E+001, 9.1595674E-001, 5.5658099E-003, 1.0708641E+000, 2.1898933E-004, 7.2080241E-005, 1.2157778E+000, 7.4865260E-002, 2.7725212E-001, 1.9998284E+001, 1.1905081E+000, 1.5116712E-004, 1.0541022E+000, 1.0142303E-004, 1.0419328E+000, 6.7320204E-005, 1.0189697E+000, 1.3489471E-001, 1.9971343E+001, 1.0753679E+000, 3.7689790E-003, 8.4616788E-001, 3.6301758E-003, 3.0696092E-003, 4.8592627E-001, 5.0932487E-003,-7.2140840E-001, 2.8516722E-001, 1.9969298E+001, 1.1812921E+000, 1.5141028E+000, 1.0210051E+000, 1.6519362E+000, 1.1037626E+000, 1.4670747E+000, 4.4526613E-001, 9.2659974E-002, 2.0004869E+001, 3.2335607E+000, 4.2111758E-002, 3.0520332E+000, 4.5191993E-002, 4.7553970E-002, 2.9309783E+000, 4.6573241E-002,-2.9800027E+000, 1.9967172E+001, 2.3803358E+000, 1.0528307E-001, 2.5205349E+000, 1.0301676E-001, 2.2870841E+000, 1.9244888E-001,-2.4799535E+000, 1.9963611E+001, 2.3636663E+000, 9.0255882E-001, 2.1584991E+000, 9.4269267E-001, 2.4547248E+000, 9.8407443E-001,-1.2091753E+000, 1.9985433E+001
 4.0002209E+001,-3.0942056E+001,-4.8308510E+001,-5.1654302E+001,-5.5324907E+001,-6.3786711E+001,-8.4471274E+001, 4.0019375E+000, 1.3180837E-039, 1.0585813E+000, 2.9874996E-035, 4.1609333E+000, 1.1834734E-029, 3.2828932E+000, 2.0000764E+001, 2.2099899E+000, 1.0890624E-017, 2.9789706E+000, 2.2571367E-019, 8.4746398E-001, 2.9344113E-018, 2.1309513E+000, 2.0000209E+001, 9.3496193E-001, 2.8328430E-003, 9.3840432E-001, 2.4166655E-003, 4.9155239E-005, 1.1607879E+000, 6.1674202E-002, 3.1613167E-001, 1.9998412E+001, 1.2623769E+000, 4.1273289E-004, 1.0620325E+000, 2.4876124E-004, 1.1068235E+000, 2.1598683E-004, 1.0706772E+000, 1.5947513E-001, 1.9971101E+001, 1.0306114E+000, 8.1800261E-003, 9.3707722E-001, 1.0713091E-002, 8.9440197E-003, 4.8069877E-001, 1.8009935E-002,-6.9076386E-001, 3.1931560E-001, 1.9969083E+001, 1.2131575E+000, 2.5963435E+000, 1.0239391E+000, 2.6494015E+000, 1.0803203E+000, 2.4016620E+000, 3.5327489E-001, 3.2126671E-002, 2.0003069E+001, 3.1415643E+000, 5.9297202E-002, 3.0201983E+000, 5.9343828E-002, 6.8803805E-002, 2.8225590E+000, 5.8133264E-002,-2.8424739E+000, 1.9966411E+001, 2.4194059E+000, 2.0882550E-001, 2.5347555E+000, 1.8416042E-001, 2.2982463E+000, 2.7958910E-001,-2.4866033E+000, 1.9964696E+001, 2.3193235E+000, 1.5020816E+000, 2.1754460E+000, 1.4930733E+000, 2.4486622E+000, 1.5071231E+000,-1.1694249E+000, 1.9987569E+001
 5.0003879E+001,-3.1098715E+001,-4.8426871E+001,-5.1821783E+001,-5.5483258E+001,-6.3920898E+001,-8.4612882E+001, 4.0243266E+000, 6.6096802E-041, 1.0786561E+000, 1.4469652E-036, 4.1880972E+000, 4.1075720E-031, 3.3013121E+000, 2.0000551E+001, 2.2177570E+000, 1.7886968E-018, 2.8705844E+000, 3.0424946E-020, 9.3287783E-001, 5.0834639E-019, 2.1904544E+000, 2.0000103E+001, 9.5707330E-001, 2.4953892E-003, 1.0797464E+000, 7.8953354E-003, 4.7134330E-005, 1.2057790E+000, 5.3035406E-002, 3.2196144E-001, 1.9998035E+001, 1.2574256E+000, 1.0486161E-003, 1.0446152E+000, 8.9490802E-004, 1.0459328E+000, 5.9403979E-004, 9.7200507E-001, 1.4807440E-001, 1.9971411E+001, 1.0534377E+000, 1.3890321E-002, 8.3564752E-001, 1.1904019E-002, 8.4337403E-003, 4.6239131E-001, 2.8415108E-002,-7.2853738E-001, 2.8467935E-001, 1.9969136E+001, 1.2306643E+000, 3.5992956E+000, 1.0044899E+000, 3.6296669E+000, 1.1287149E+000, 3.2185366E+000, 3.9958244E-001, 9.8029471E-002, 2.0006558E+001, 3.1099968E+000, 1.0485740E-001, 3.0344364E+000, 1.2139145E-001, 1.4836856E-001, 2.8309894E+000, 1.1459635E-001,-2.8128075E+000, 1.9966247E+001, 2.4057027E+000, 1.7552284E-001, 2.5015954E+000, 1.5278211E-001, 2.2468546E+000, 2.6021804E-001,-2.4622580E+000, 1.9963130E+001, 2.3105344E+000, 1.4906436E+000, 2.1593961E+000, 1.4696074E+000, 2.3743986E+000, 1.7559901E+000,-1.2370027E+000, 1.9983452E+001
 6.0001532E+001,-3.1208076E+001,-4.8476531E+001,-5.1936559E+001,-5.5600651E+001,-6.4027936E+001,-8.4580551E+001, 4.0129720E+000, 1.9308913E-040, 1.0457346E+000, 4.8068607E-036, 4.1769716E+000, 2.4280717E-030, 3.2941357E+000, 2.0000551E+001, 2.1943244E+000, 6.6364900E-018, 3.0151247E+000, 1.0311192E-019, 8.7944013E-001, 1.2710663E-018, 2.0638042E+000, 2.0000232E+001, 9.3325773E-001, 2.4334808E-002, 8.3336124E-001, 7.2882909E-002, 6.1093432E-003, 1.1053749E+000, 3.8095994E-001, 3.1966652E-001, 1.9998540E+001, 1.1967260E+000, 5.5308550E-004, 1.0276620E+000, 3.5003457E-004, 9.5651559E-001, 2.5792596E-004, 1.0037352E+000, 1.4259320E-001, 1.9971174E+001, 1.0622540E+000, 1.9704044E-002, 8.8892877E-001, 2.1470712E-002, 1.6651944E-002, 5.1616863E-001, 4.4030668E-002,-7.3383198E-001, 3.0134666E-001, 1.9969337E+001, 1.2009726E+000, 3.8183741E+000, 9.3096373E-001, 4.2967712E+000, 1.1233449E+000, 3.9818234E+000, 3.7591677E-001, 1.0346832E-001, 2.0005812E+001, 3.1402404E+000, 1.1982470E-001, 2.9896312E+000, 1.3607841E-001, 1.4674432E-001, 2.8295056E+000, 1.3374629E-001,-2.8104937E+000, 1.9965736E+001, 2.4124714E+000, 2.5157243E-001, 2.4473303E+000, 2.6084546E-001, 2.2859914E+000, 3.7121574E-001,-2.4731747E+000, 1.9963027E+001, 2.1986033E+000, 2.5050792E+000, 2.1597396E+000, 2.3080591E+000, 2.0913630E+000, 2.2692319E+000,-1.2668910E+000, 1.9983680E+001
