s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,SFP,CAP,PRES,POSTS,HA,CP,VIEW SF1V,VIEW SF1S,FAST SF1V,FAST SF1S,SIMPLEX SF1V,SIMPLEX SF1S,BI FLOW SF1,T SF1,VIEW SF2V,VIEW SF2S,FAST SF2V,FAST SF2S,SIMPLEX SF2V,SIMPLEX SF2S,BI FLOW SF2,T SF2,VIEW SF3V,VIEW SF3S,FAST SF3V,FAST SF3S,FM SF3S,SIMPLEX SF3V,SIMPLEX SF3S,BI FLOW SF3,T SF3,VIEW C1V,VIEW C1S,FAST C1V,FAST C1S,SIMPLEX C1V,SIMPLEX C1S,BI FLOW C1,BI FLOW C1,T C1,VIEW C2V,VIEW C2S,FAST C2V,FAST C2S,FM C2S,SIMPLEX C2V,SIMPLEX C2S,BI FLOW C2,BI FLOW C2,T C2,VIEW C3V,VIEW C3S,FAST C3V,FAST C3S,SIMPLEX C3V,SIMPLEX C3S,BI FLOW C3,BI FLOW C3,T C3,VIEW P1V,VIEW P1S,FAST P1V,FAST P1S,FM P1S,SIMPLEX P1V,SIMPLEX P1S,BI FLOW P1,T P1,VIEW P2V,VIEW P2S,FAST P2V,FAST P2S,SIMPLEX P2V,SIMPLEX P2S,BI FLOW P2,T P2,VIEW P3V,VIEW P3S,FAST P3V,FAST P3S,SIMPLEX P3V,SIMPLEX P3S,BI FLOW P3,T P3
-2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.59E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.13E-03,9.14E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-04,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-03,1.05E-02,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.05E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.18E-03,2.00E+01
-9.98E+00,-1.94E+00,-3.43E+00,-3.53E+00,-4.44E+00,-5.62E+00,-7.24E+00,9.99E-01,0.00E+00,3.60E-01,0.00E+00,1.05E+00,0.00E+00,7.90E-01,2.00E+01,4.22E-01,0.00E+00,6.91E-01,0.00E+00,3.12E-01,0.00E+00,6.01E-01,2.00E+01,2.54E-01,0.00E+00,2.57E-01,0.00E+00,0.00E+00,2.74E-01,0.00E+00,5.06E-02,2.01E+01,1.76E-01,0.00E+00,1.35E-01,0.00E+00,1.71E-01,0.00E+00,-4.67E-02,2.51E-02,2.00E+01,1.68E-01,0.00E+00,1.21E-01,0.00E+00,0.00E+00,3.48E-02,0.00E+00,-1.01E-01,4.47E-02,2.00E+01,8.34E-02,0.00E+00,9.83E-02,0.00E+00,9.88E-02,0.00E+00,2.00E-02,1.63E-02,2.00E+01,7.73E-01,0.00E+00,7.20E-01,0.00E+00,0.00E+00,6.95E-01,0.00E+00,-6.96E-01,2.00E+01,4.51E-01,0.00E+00,5.60E-01,0.00E+00,5.13E-01,0.00E+00,-5.28E-01,2.00E+01,3.34E-01,0.00E+00,4.11E-01,0.00E+00,4.18E-01,0.00E+00,-2.53E-01,2.00E+01
3.17E-03,-1.71E+00,-3.27E+00,-3.50E+00,-4.54E+00,-5.97E+00,-7.75E+00,1.21E+00,0.00E+00,3.08E-01,0.00E+00,1.23E+00,0.00E+00,9.52E-01,2.00E+01,5.22E-01,0.00E+00,6.79E-01,0.00E+00,2.79E-01,0.00E+00,5.79E-01,2.00E+01,2.70E-01,0.00E+00,2.99E-01,0.00E+00,0.00E+00,3.43E-01,0.00E+00,4.86E-02,2.02E+01,1.47E-01,0.00E+00,1.24E-01,0.00E+00,1.39E-01,0.00E+00,2.28E-03,2.04E-02,2.00E+01,2.51E-01,0.00E+00,2.25E-01,0.00E+00,0.00E+00,1.01E-01,0.00E+00,-1.61E-01,8.17E-02,2.00E+01,3.78E-01,0.00E+00,3.16E-01,0.00E+00,3.53E-01,0.00E+00,1.14E-01,-7.42E-03,2.00E+01,9.21E-01,0.00E+00,8.79E-01,0.00E+00,0.00E+00,8.49E-01,0.00E+00,-8.46E-01,2.00E+01,6.83E-01,0.00E+00,6.92E-01,0.00E+00,6.45E-01,0.00E+00,-7.05E-01,2.00E+01,5.94E-01,0.00E+00,6.02E-01,0.00E+00,6.51E-01,0.00E+00,-3.54E-01,2.00E+01
1.00E+01,-1.87E+00,-3.43E+00,-3.68E+00,-4.72E+00,-6.16E+00,-7.93E+00,1.21E+00,1.67E-105,3.34E-01,9.57E-101,1.26E+00,5.16E-90,9.63E-01,2.00E+01,4.69E-01,4.88E-49,6.48E-01,2.91E-39,2.42E-01,9.00E-35,5.09E-01,2.00E+01,2.60E-01,6.22E-05,3.28E-01,7.53E-04,5.18E-06,3.57E-01,4.44E-03,1.07E-01,2.01E+01,2.30E-01,2.47E-60,1.71E-01,1.21E-68,2.01E-01,5.68E-61,1.49E-01,4.67E-02,2.00E+01,2.49E-01,1.23E-28,2.32E-01,2.29E-28,6.49E-30,1.03E-01,6.49E-26,-1.65E-01,1.04E-01,2.00E+01,3.74E-01,2.59E-19,2.94E-01,1.28E-19,3.16E-01,5.02E-20,9.68E-02,1.77E-05,2.00E+01,9.13E-01,2.82E-42,8.66E-01,1.68E-41,5.50E-42,8.12E-01,1.32E-40,-8.31E-01,2.00E+01,7.02E-01,9.13E-27,7.00E-01,9.78E-27,6.51E-01,3.41E-25,-7.08E-01,2.00E+01,6.30E-01,2.12E-22,6.30E-01,5.97E-22,6.99E-01,2.36E-22,-3.55E-01,2.00E+01
2.00E+01,-2.02E+00,-3.57E+00,-3.83E+00,-4.87E+00,-6.30E+00,-8.10E+00,1.20E+00,3.72E-79,3.26E-01,3.17E-74,1.24E+00,6.23E-65,9.45E-01,2.00E+01,5.29E-01,5.29E-41,7.31E-01,5.61E-39,2.05E-01,8.23E-29,5.14E-01,2.00E+01,3.06E-01,1.00E-04,3.04E-01,1.08E-01,4.27E-02,3.33E-01,4.11E-01,1.31E-01,2.00E+01,3.34E-01,1.78E-31,2.92E-01,7.16E-34,3.75E-01,2.06E-33,3.41E-01,5.56E-02,2.00E+01,2.71E-01,2.10E-14,2.38E-01,1.57E-14,2.61E-15,1.38E-01,3.26E-13,-1.67E-01,8.73E-02,2.00E+01,3.66E-01,1.78E-04,3.00E-01,5.23E-05,3.62E-01,1.31E-03,1.12E-01,3.35E-02,2.00E+01,9.05E-01,1.17E-16,8.62E-01,6.94E-18,9.31E-19,8.23E-01,4.28E-16,-8.35E-01,2.00E+01,6.82E-01,7.13E-13,7.45E-01,9.89E-13,6.69E-01,4.95E-12,-7.27E-01,2.00E+01,6.70E-01,1.00E-08,6.05E-01,4.32E-08,7.02E-01,1.84E-09,-3.25E-01,2.00E+01
3.00E+01,-2.13E+00,-3.68E+00,-3.95E+00,-4.99E+00,-6.44E+00,-8.23E+00,1.20E+00,1.53E-60,3.23E-01,1.76E-55,1.23E+00,2.92E-45,9.43E-01,2.00E+01,5.06E-01,8.43E-31,6.81E-01,1.96E-33,2.85E-01,3.27E-23,4.92E-01,2.00E+01,2.76E-01,3.41E-01,3.08E-01,1.27E+01,1.00E+01,3.31E-01,1.19E+01,9.40E-02,2.00E+01,3.05E-01,1.52E-18,2.81E-01,3.20E-21,3.44E-01,1.24E-21,2.76E-01,4.49E-02,2.00E+01,2.58E-01,2.71E-07,2.35E-01,1.82E-06,6.66E-06,1.15E-01,1.73E-05,-1.62E-01,6.97E-02,2.00E+01,3.68E-01,1.61E-01,3.31E-01,3.06E-01,3.20E-01,3.26E-01,1.50E-01,6.91E-02,2.00E+01,9.31E-01,1.22E-04,8.46E-01,1.25E-04,5.61E-05,8.36E-01,5.13E-04,-8.48E-01,2.00E+01,6.82E-01,2.30E-03,7.23E-01,7.05E-03,6.44E-01,1.10E-02,-7.01E-01,2.00E+01,6.37E-01,1.96E-01,6.26E-01,2.33E-01,6.79E-01,3.04E-01,-3.62E-01,2.00E+01
4.00E+01,-2.22E+00,-3.79E+00,-4.05E+00,-5.09E+00,-6.56E+00,-8.34E+00,1.20E+00,2.40E-54,3.26E-01,1.80E-48,1.24E+00,7.59E-40,9.49E-01,2.00E+01,5.08E-01,4.89E-25,6.79E-01,1.53E-27,2.13E-01,7.01E-19,5.64E-01,2.00E+01,2.69E-01,9.54E-03,3.34E-01,7.77E-01,9.10E-02,3.48E-01,4.97E+00,1.10E-01,2.01E+01,3.38E-01,2.92E-12,2.75E-01,2.43E-13,2.94E-01,5.38E-13,2.47E-01,3.91E-02,2.00E+01,2.58E-01,7.83E-04,2.48E-01,1.45E-03,1.24E-03,1.40E-01,4.52E-03,-1.68E-01,9.04E-02,2.00E+01,3.77E-01,1.63E+00,2.46E-01,2.13E+00,3.48E-01,1.92E+00,1.10E-01,4.62E-02,2.00E+01,9.35E-01,2.33E-02,8.95E-01,2.53E-02,1.71E-02,8.41E-01,3.02E-02,-8.50E-01,2.00E+01,6.64E-01,1.30E-01,7.43E-01,6.64E-02,6.56E-01,2.80E-01,-7.05E-01,2.00E+01,6.34E-01,1.56E+00,6.03E-01,1.95E+00,6.71E-01,1.60E+00,-3.30E-01,2.00E+01
5.00E+01,-2.30E+00,-3.86E+00,-4.13E+00,-5.18E+00,-6.63E+00,-8.40E+00,1.21E+00,7.97E-50,3.11E-01,2.46E-44,1.24E+00,5.82E-36,9.50E-01,2.00E+01,4.06E-01,7.32E-22,6.58E-01,7.56E-25,2.51E-01,1.43E-19,4.63E-01,2.00E+01,2.67E-01,2.23E-02,2.95E-01,4.10E+00,2.96E+00,3.10E-01,1.22E+01,1.58E-01,2.01E+01,2.44E-01,1.22E-07,2.25E-01,9.04E-10,2.19E-01,9.15E-12,1.73E-01,4.68E-02,2.00E+01,2.75E-01,2.74E-02,2.36E-01,3.45E-02,2.98E-02,1.74E-01,6.30E-02,-1.98E-01,6.84E-02,2.00E+01,3.59E-01,3.22E+00,2.69E-01,3.47E+00,3.45E-01,3.82E+00,1.43E-01,3.65E-02,2.00E+01,9.09E-01,7.28E-02,8.69E-01,6.99E-02,8.33E-02,8.10E-01,7.34E-02,-7.99E-01,2.00E+01,6.94E-01,4.33E-01,6.98E-01,3.89E-01,6.41E-01,8.96E-01,-6.98E-01,2.00E+01,6.14E-01,2.95E+00,6.15E-01,3.10E+00,6.96E-01,3.22E+00,-3.57E-01,2.00E+01
6.00E+01,-2.35E+00,-3.91E+00,-4.20E+00,-5.23E+00,-6.69E+00,-8.48E+00,1.21E+00,1.48E-46,3.31E-01,2.74E-41,1.25E+00,1.62E-33,9.54E-01,2.00E+01,4.82E-01,1.08E-19,6.47E-01,1.30E-21,2.41E-01,9.46E-21,4.80E-01,2.00E+01,2.51E-01,1.39E-02,3.05E-01,2.14E+01,2.68E+01,3.16E-01,1.89E+01,1.40E-01,2.00E+01,3.34E-01,4.28E-06,2.77E-01,1.12E-06,3.05E-01,7.22E-07,2.81E-01,6.12E-02,2.00E+01,2.79E-01,3.04E-02,2.53E-01,2.96E-02,4.05E-02,1.31E-01,3.60E-02,-1.72E-01,1.03E-01,2.00E+01,3.44E-01,4.76E+00,2.70E-01,5.14E+00,3.20E-01,5.79E+00,9.75E-02,1.07E-02,2.00E+01,9.17E-01,1.96E-01,8.53E-01,1.85E-01,1.72E-01,8.21E-01,1.96E-01,-8.34E-01,2.00E+01,7.30E-01,7.70E-01,7.49E-01,8.70E-01,6.64E-01,1.14E+00,-7.50E-01,2.00E+01,6.16E-01,4.97E+00,5.97E-01,5.18E+00,6.68E-01,5.58E+00,-3.20E-01,2.00E+01
