s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,SFP,CAP,PRES,POSTS,HA,CP,VIEW SF1V,VIEW SF1S,FAST SF1V,FAST SF1S,SIMPLEX SF1V,SIMPLEX SF1S,BI FLOW SF1,T SF1,VIEW SF2V,VIEW SF2S,FAST SF2V,FAST SF2S,SIMPLEX SF2V,SIMPLEX SF2S,BI FLOW SF2,T SF2,VIEW SF3V,VIEW SF3S,FAST SF3V,FAST SF3S,FM SF3S,SIMPLEX SF3V,SIMPLEX SF3S,BI FLOW SF3,T SF3,VIEW C1V,VIEW C1S,FAST C1V,FAST C1S,SIMPLEX C1V,SIMPLEX C1S,BI FLOW C1,BI FLOW C1,T C1,VIEW C2V,VIEW C2S,FAST C2V,FAST C2S,FM C2S,SIMPLEX C2V,SIMPLEX C2S,BI FLOW C2,BI FLOW C2,T C2,VIEW C3V,VIEW C3S,FAST C3V,FAST C3S,SIMPLEX C3V,SIMPLEX C3S,BI FLOW C3,BI FLOW C3,T C3,VIEW P1V,VIEW P1S,FAST P1V,FAST P1S,FM P1S,SIMPLEX P1V,SIMPLEX P1S,BI FLOW P1,T P1,VIEW P2V,VIEW P2S,FAST P2V,FAST P2S,SIMPLEX P2V,SIMPLEX P2S,BI FLOW P2,T P2,VIEW P3V,VIEW P3S,FAST P3V,FAST P3S,SIMPLEX P3V,SIMPLEX P3S,BI FLOW P3,T P3
-2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.59E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.13E-03,9.14E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-04,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-03,1.05E-02,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.05E-03,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.18E-03,2.00E+01
-9.99E+00,-1.86E+00,-3.34E+00,-3.44E+00,-4.34E+00,-5.52E+00,-7.14E+00,9.99E-01,0.00E+00,3.60E-01,0.00E+00,1.05E+00,0.00E+00,7.90E-01,2.00E+01,4.21E-01,0.00E+00,6.92E-01,0.00E+00,3.12E-01,0.00E+00,5.99E-01,2.00E+01,2.52E-01,0.00E+00,2.62E-01,0.00E+00,0.00E+00,2.66E-01,0.00E+00,6.39E-02,2.00E+01,1.76E-01,0.00E+00,1.35E-01,0.00E+00,1.71E-01,0.00E+00,-4.68E-02,2.51E-02,2.00E+01,1.68E-01,0.00E+00,1.21E-01,0.00E+00,0.00E+00,3.48E-02,0.00E+00,-1.01E-01,4.46E-02,2.00E+01,8.34E-02,0.00E+00,9.81E-02,0.00E+00,9.88E-02,0.00E+00,1.99E-02,1.64E-02,2.00E+01,7.73E-01,0.00E+00,7.19E-01,0.00E+00,0.00E+00,6.95E-01,0.00E+00,-6.96E-01,2.00E+01,4.51E-01,0.00E+00,5.60E-01,0.00E+00,5.12E-01,0.00E+00,-5.28E-01,2.00E+01,3.33E-01,0.00E+00,4.11E-01,0.00E+00,4.18E-01,0.00E+00,-2.52E-01,2.00E+01
1.07E-02,-1.57E+00,-3.13E+00,-3.35E+00,-4.39E+00,-5.82E+00,-7.59E+00,1.21E+00,0.00E+00,3.11E-01,0.00E+00,1.24E+00,0.00E+00,9.53E-01,2.00E+01,5.24E-01,0.00E+00,6.68E-01,0.00E+00,2.40E-01,0.00E+00,5.40E-01,2.00E+01,2.96E-01,0.00E+00,3.29E-01,0.00E+00,0.00E+00,3.51E-01,0.00E+00,7.92E-02,2.00E+01,1.46E-01,0.00E+00,1.24E-01,0.00E+00,1.39E-01,0.00E+00,2.14E-03,2.08E-02,2.00E+01,2.51E-01,0.00E+00,2.26E-01,0.00E+00,0.00E+00,1.01E-01,0.00E+00,-1.60E-01,8.13E-02,2.00E+01,3.72E-01,0.00E+00,3.13E-01,0.00E+00,3.53E-01,0.00E+00,1.15E-01,-6.77E-03,2.00E+01,9.12E-01,0.00E+00,8.72E-01,0.00E+00,0.00E+00,8.42E-01,0.00E+00,-8.30E-01,2.00E+01,6.57E-01,0.00E+00,7.05E-01,0.00E+00,6.26E-01,0.00E+00,-6.80E-01,2.00E+01,5.80E-01,0.00E+00,6.14E-01,0.00E+00,6.54E-01,0.00E+00,-3.71E-01,2.00E+01
1.00E+01,-1.74E+00,-3.29E+00,-3.53E+00,-4.56E+00,-5.99E+00,-7.77E+00,1.20E+00,5.04E-104,3.19E-01,2.32E-97,1.24E+00,1.02E-87,9.50E-01,2.00E+01,5.03E-01,7.50E-61,6.63E-01,7.08E-63,2.75E-01,8.69E-55,5.43E-01,2.00E+01,2.64E-01,6.09E-37,2.92E-01,9.41E-46,1.27E-51,3.22E-01,2.17E-41,1.26E-01,2.00E+01,2.30E-01,1.20E-33,1.72E-01,3.25E-43,2.00E-01,1.79E-33,1.47E-01,4.39E-02,2.00E+01,2.39E-01,2.57E-15,2.32E-01,2.18E-14,8.11E-12,1.08E-01,4.70E-13,-1.64E-01,1.00E-01,2.00E+01,6.76E-01,1.71E+01,7.37E-01,2.23E+01,6.20E-01,1.50E+01,3.03E-01,1.38E-02,2.13E+01,9.44E-01,4.40E-16,8.76E-01,8.78E-16,3.38E-16,8.56E-01,9.58E-15,-8.48E-01,2.00E+01,7.10E-01,6.60E-01,7.31E-01,4.93E-01,6.63E-01,1.42E+00,-7.31E-01,2.00E+01,7.04E-01,2.22E+00,6.62E-01,2.65E+00,7.33E-01,1.10E+00,-3.42E-01,2.01E+01
2.00E+01,-2.00E+00,-3.56E+00,-3.82E+00,-4.84E+00,-6.27E+00,-8.05E+00,1.20E+00,2.38E-84,3.29E-01,1.68E-79,1.24E+00,5.13E-70,9.46E-01,2.00E+01,4.58E-01,6.73E-51,6.36E-01,9.12E-54,2.21E-01,1.28E-46,5.22E-01,2.00E+01,2.77E-01,7.99E-33,3.02E-01,3.57E-39,5.88E-43,3.36E-01,6.23E-36,1.36E-01,2.00E+01,3.36E-01,9.40E-11,3.00E-01,8.56E-14,3.73E-01,2.27E-13,3.40E-01,6.41E-02,2.00E+01,2.56E-01,1.55E-04,2.12E-01,3.98E-05,8.75E-06,1.73E-01,3.17E-04,-1.78E-01,7.23E-02,2.01E+01,1.17E+00,4.58E+01,1.31E+00,5.35E+01,1.19E+00,4.42E+01,6.69E-01,2.94E-02,3.00E+01,8.88E-01,1.57E+00,8.69E-01,1.35E+00,1.15E+00,7.90E-01,1.62E+00,-8.01E-01,2.01E+01,7.40E-01,7.19E+00,7.42E-01,8.47E+00,7.18E-01,1.18E+01,-7.68E-01,2.15E+01,7.93E-01,2.29E+01,7.29E-01,2.23E+01,7.62E-01,9.84E+00,-3.11E-01,2.26E+01
3.00E+01,-2.23E+00,-3.79E+00,-4.07E+00,-5.09E+00,-6.51E+00,-8.32E+00,1.19E+00,1.69E-66,2.95E-01,7.66E-62,1.23E+00,4.03E-54,9.37E-01,2.00E+01,4.58E-01,1.60E-39,6.81E-01,2.22E-42,2.40E-01,7.75E-41,5.09E-01,2.00E+01,2.82E-01,3.33E-32,3.26E-01,7.19E-38,5.10E-42,3.47E-01,2.13E-34,1.41E-01,2.00E+01,2.83E-01,3.34E-10,2.99E-01,3.35E-11,3.67E-01,5.89E-11,2.90E-01,4.22E-02,2.00E+01,2.50E-01,1.12E-04,2.35E-01,8.33E-05,9.07E-05,2.02E-01,9.15E-05,-1.81E-01,7.67E-02,2.03E+01,1.16E+00,5.21E+01,1.32E+00,5.88E+01,1.09E+00,5.02E+01,6.61E-01,1.10E-02,3.39E+01,9.08E-01,3.89E+00,8.88E-01,4.20E+00,5.51E+00,8.30E-01,4.30E+00,-8.30E-01,2.06E+01,7.47E-01,1.11E+01,7.74E-01,9.63E+00,7.27E-01,1.63E+01,-7.82E-01,2.30E+01,7.21E-01,2.85E+01,7.51E-01,2.75E+01,7.43E-01,1.91E+01,-2.83E-01,2.48E+01
4.00E+01,-2.44E+00,-4.01E+00,-4.28E+00,-5.31E+00,-6.72E+00,-8.55E+00,1.19E+00,7.59E-64,3.08E-01,6.69E-59,1.23E+00,3.71E-51,9.33E-01,2.00E+01,5.10E-01,4.24E-35,6.34E-01,9.09E-38,2.48E-01,2.34E-36,5.10E-01,2.00E+01,2.76E-01,2.06E-31,2.98E-01,5.02E-37,3.91E-41,3.16E-01,1.76E-33,1.85E-01,2.00E+01,2.99E-01,1.04E-03,2.52E-01,1.09E-04,2.88E-01,9.50E-04,2.14E-01,4.75E-02,2.00E+01,2.45E-01,7.58E-06,2.49E-01,7.22E-05,5.53E-04,1.17E-01,1.83E-05,-1.41E-01,9.21E-02,2.05E+01,1.15E+00,5.02E+01,1.29E+00,5.40E+01,1.10E+00,4.75E+01,6.52E-01,-6.40E-03,3.38E+01,9.11E-01,4.42E+00,9.00E-01,4.62E+00,5.19E+00,8.21E-01,4.82E+00,-8.24E-01,2.10E+01,7.15E-01,7.71E+00,7.35E-01,7.40E+00,6.95E-01,1.20E+01,-7.32E-01,2.28E+01,6.85E-01,2.63E+01,6.77E-01,2.48E+01,7.06E-01,2.47E+01,-2.81E-01,2.58E+01
5.00E+01,-2.62E+00,-4.18E+00,-4.47E+00,-5.50E+00,-6.91E+00,-8.74E+00,1.19E+00,2.44E-61,3.08E-01,1.78E-56,1.23E+00,8.26E-49,9.36E-01,2.00E+01,5.13E-01,7.65E-34,6.47E-01,8.43E-36,2.34E-01,1.76E-34,5.51E-01,2.00E+01,3.02E-01,1.39E-31,3.19E-01,1.08E-37,4.48E-40,3.31E-01,1.60E-33,1.46E-01,2.00E+01,2.82E-01,1.88E-04,2.19E-01,1.06E-05,2.36E-01,1.19E-02,1.09E-01,4.25E-02,2.00E+01,2.45E-01,7.38E-07,2.43E-01,3.23E-05,6.72E-04,7.26E-02,1.04E-05,-1.43E-01,7.72E-02,2.05E+01,1.11E+00,4.50E+01,1.33E+00,5.56E+01,1.17E+00,4.99E+01,7.41E-01,1.45E-02,3.45E+01,9.37E-01,4.36E+00,8.88E-01,4.42E+00,4.99E+00,8.24E-01,4.33E+00,-8.32E-01,2.09E+01,6.92E-01,1.04E+01,7.10E-01,1.11E+01,6.21E-01,1.53E+01,-7.00E-01,2.29E+01,7.19E-01,3.16E+01,7.10E-01,2.92E+01,6.81E-01,2.71E+01,-3.51E-01,2.60E+01
6.00E+01,-2.76E+00,-4.32E+00,-4.63E+00,-5.65E+00,-7.09E+00,-8.89E+00,1.20E+00,2.27E-61,3.11E-01,2.97E-57,1.24E+00,1.88E-49,9.47E-01,2.00E+01,5.02E-01,2.08E-33,6.51E-01,4.35E-35,2.30E-01,4.79E-34,5.84E-01,2.00E+01,3.26E-01,6.12E-32,2.95E-01,3.43E-38,2.75E-39,3.37E-01,1.73E-34,7.83E-02,2.00E+01,2.59E-01,4.84E-03,2.15E-01,2.18E-03,1.87E-01,8.49E-03,1.42E-01,7.51E-02,2.00E+01,2.15E-01,1.85E-06,2.20E-01,6.76E-06,3.57E-04,1.70E-01,3.66E-04,-1.51E-01,6.58E-02,2.04E+01,1.26E+00,5.95E+01,1.37E+00,5.73E+01,1.15E+00,5.25E+01,7.57E-01,-5.38E-02,3.48E+01,9.26E-01,4.01E+00,8.90E-01,4.81E+00,5.87E+00,7.99E-01,4.44E+00,-8.34E-01,2.10E+01,7.26E-01,8.63E+00,7.58E-01,6.13E+00,7.22E-01,1.34E+01,-7.71E-01,2.31E+01,7.44E-01,2.96E+01,7.22E-01,2.50E+01,6.72E-01,2.70E+01,-3.99E-01,2.60E+01
