s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,"SFP","CAP","PRES","POSTS","HA","CP","VIEW SF1V","VIEW SF1S","FAST SF1V","FAST SF1S","SIMPLEX SF1V","SIMPLEX SF1S","BI FLOW SF1","T SF1","VIEW SF2V","VIEW SF2S","FAST SF2V","FAST SF2S","SIMPLEX SF2V","SIMPLEX SF2S","BI FLOW SF2","T SF2","VIEW SF3V","VIEW SF3S","FAST SF3V","FAST SF3S","FM SF3S","SIMPLEX SF3V","SIMPLEX SF3S","BI FLOW SF3","T SF3","VIEW C1V","VIEW C1S","FAST C1V","FAST C1S","SIMPLEX C1V","SIMPLEX C1S","BI FLOW C1","BI FLOW C1","T C1","VIEW C2V","VIEW C2S","FAST C2V","FAST C2S","FM C2S","SIMPLEX C2V","SIMPLEX C2S","BI FLOW C2","BI FLOW C2","T C2","VIEW C3V","VIEW C3S","FAST C3V","FAST C3S","SIMPLEX C3V","SIMPLEX C3S","BI FLOW C3","BI FLOW C3","T C3","VIEW P1V","VIEW P1S","FAST P1V","FAST P1S","FM P1S","SIMPLEX P1V","SIMPLEX P1S","BI FLOW P1","T P1","VIEW P2V","VIEW P2S","FAST P2V","FAST P2S","SIMPLEX P2V","SIMPLEX P2S","BI FLOW P2","T P2","VIEW P3V","VIEW P3S","FAST P3V","FAST P3S","SIMPLEX P3V","SIMPLEX P3S","BI FLOW P3","T P3"
-2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6526745E-003, 1.9999991E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999966E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5850410E-003, 1.9999993E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1251661E-003, 9.1379047E-003, 1.9999980E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2825003E-004, 1.9999854E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0213392E-003, 1.0527584E-002, 1.9999978E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0544989E-003, 1.9999968E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999840E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1757825E-003, 1.9999985E+001
-9.9981086E+000,-1.6407024E+000,-3.2340651E+000,-3.3710216E+000,-4.3354860E+000,-5.6203666E+000,-7.3081709E+000, 1.0609462E+000, 0.0000000E+000, 3.5416493E-001, 0.0000000E+000, 1.1009701E+000, 0.0000000E+000, 8.3885213E-001, 2.0000334E+001, 4.1927402E-001, 0.0000000E+000, 7.6645489E-001, 0.0000000E+000, 3.2738133E-001, 0.0000000E+000, 5.9829912E-001, 1.9999708E+001, 2.8435039E-001, 0.0000000E+000, 2.8529031E-001, 0.0000000E+000, 0.0000000E+000, 2.8008006E-001, 0.0000000E+000, 7.1519263E-002, 1.9999524E+001, 1.7982125E-001, 0.0000000E+000, 1.3866764E-001, 0.0000000E+000, 1.7692616E-001, 0.0000000E+000,-4.9235731E-002, 2.4135678E-002, 1.9999756E+001, 1.7591788E-001, 0.0000000E+000, 1.2701971E-001, 0.0000000E+000, 0.0000000E+000, 3.9632266E-002, 0.0000000E+000,-1.0724536E-001, 4.7440067E-002, 1.9998976E+001, 9.0657560E-002, 0.0000000E+000, 1.0856122E-001, 0.0000000E+000, 1.0274346E-001, 0.0000000E+000, 2.1239965E-002, 1.5199670E-002, 1.9999799E+001, 7.8215137E-001, 0.0000000E+000, 7.3365760E-001, 0.0000000E+000, 0.0000000E+000, 6.9846834E-001, 0.0000000E+000,-6.9422933E-001, 1.9998663E+001, 4.5418735E-001, 0.0000000E+000, 5.6992048E-001, 0.0000000E+000, 5.1834001E-001, 0.0000000E+000,-5.4239355E-001, 1.9996752E+001, 3.4129127E-001, 0.0000000E+000, 4.0889742E-001, 0.0000000E+000, 4.2075553E-001, 0.0000000E+000,-2.5433495E-001, 1.9997869E+001
 3.5615783E-003,-1.2691737E+000,-2.8302312E+000,-3.0350349E+000,-4.0767803E+000,-5.4924718E+000,-7.2620587E+000, 1.2134248E+000, 0.0000000E+000, 3.1392005E-001, 0.0000000E+000, 1.2348603E+000, 0.0000000E+000, 9.4951714E-001, 2.0001044E+001, 4.5121164E-001, 0.0000000E+000, 6.6749521E-001, 0.0000000E+000, 2.2927151E-001, 0.0000000E+000, 4.7797276E-001, 2.0000013E+001, 2.6074793E-001, 0.0000000E+000, 2.9763753E-001, 0.0000000E+000, 0.0000000E+000, 3.2747165E-001, 0.0000000E+000, 9.8823203E-002, 1.9997850E+001, 1.4446294E-001, 0.0000000E+000, 1.2575645E-001, 0.0000000E+000, 1.4496276E-001, 0.0000000E+000, 1.8941799E-003, 1.6326637E-002, 1.9997924E+001, 2.5051916E-001, 0.0000000E+000, 2.3267860E-001, 0.0000000E+000, 0.0000000E+000, 1.0339281E-001, 0.0000000E+000,-1.6351450E-001, 8.3166535E-002, 1.9988152E+001, 4.0064632E-001, 0.0000000E+000, 2.9239073E-001, 0.0000000E+000, 3.0983726E-001, 0.0000000E+000, 1.0134761E-001, 4.8617854E-003, 1.9990230E+001, 9.1340787E-001, 0.0000000E+000, 8.7743838E-001, 0.0000000E+000, 0.0000000E+000, 8.2273752E-001, 0.0000000E+000,-8.4687062E-001, 1.9989437E+001, 6.6918403E-001, 0.0000000E+000, 7.3266965E-001, 0.0000000E+000, 6.8384288E-001, 0.0000000E+000,-7.3041464E-001, 1.9980655E+001, 5.8453555E-001, 0.0000000E+000, 5.9760098E-001, 0.0000000E+000, 6.6135355E-001, 0.0000000E+000,-3.6205018E-001, 1.9982873E+001
 1.0001215E+001,-1.4550564E+000,-3.0134932E+000,-3.2422550E+000,-4.2803456E+000,-5.7128987E+000,-7.4815883E+000, 1.1923481E+000, 1.4682655E-102, 3.0085642E-001, 1.1912811E-097, 1.2245993E+000, 2.4684147E-086, 9.3687981E-001, 2.0002770E+001, 4.7418283E-001, 5.4019052E-041, 6.7321173E-001, 5.3357670E-034, 2.3441496E-001, 2.2313817E-025, 4.7538092E-001, 2.0037028E+001, 3.6086827E-001, 2.3184761E+001, 6.3298572E-001, 6.5856938E+001, 6.5951801E+001, 4.3589013E-001, 4.2542654E+001, 1.9510925E-001, 2.4053754E+001, 2.1632334E-001, 4.0755141E-054, 1.6728400E-001, 7.2785335E-064, 2.1173809E-001, 1.6958519E-052, 1.6759908E-001, 3.7655707E-002, 1.9992672E+001, 2.4431709E-001, 3.2889163E-024, 2.3584702E-001, 6.3412711E-024, 2.0242560E-025, 1.1394392E-001, 8.6758391E-021,-1.5886167E-001, 8.3007915E-002, 1.9975702E+001, 3.8864635E-001, 1.6040444E-017, 3.0658856E-001, 7.1786241E-018, 3.1624193E-001, 1.1357634E-017, 1.1732957E-001, 2.0550224E-002, 1.9979116E+001, 9.0136272E-001, 4.8006869E-036, 8.8087902E-001, 5.5356923E-036, 2.6619096E-037, 8.2862597E-001, 1.8985737E-033,-8.3418725E-001, 1.9979133E+001, 6.8124652E-001, 8.6888543E-023, 7.1639531E-001, 1.9176181E-022, 6.4621153E-001, 3.1858794E-021,-6.8994002E-001, 1.9967634E+001, 6.7505207E-001, 4.6981482E-020, 6.1594659E-001, 2.2930787E-019, 6.9772127E-001, 3.1155386E-020,-3.2765697E-001, 1.9973028E+001
 2.0002885E+001,-1.6352768E+000,-3.1780578E+000,-3.4251559E+000,-4.4638707E+000,-5.8962055E+000,-7.6781735E+000, 1.2060052E+000, 2.5259860E-075, 3.1579232E-001, 6.5957549E-070, 1.2396291E+000, 1.9195528E-060, 9.4721887E-001, 2.0004725E+001, 4.3282045E-001, 1.1539130E-030, 6.2898468E-001, 1.6545321E-023, 2.6531381E-001, 5.6404883E-016, 5.3164040E-001, 2.0093281E+001, 3.0686799E-001, 3.4566930E+001, 7.1106480E-001, 1.1042043E+002, 1.0760540E+002, 5.3238563E-001, 7.1162521E+001, 1.5155471E-001, 3.3867888E+001, 3.3788723E-001, 1.2337991E-023, 3.0447547E-001, 6.2829521E-026, 3.7233675E-001, 1.4208587E-026, 3.2734265E-001, 6.9555721E-002, 1.9978628E+001, 2.7081927E-001, 2.0079965E-004, 2.4066361E-001, 2.1964415E-004, 2.7679983E-004, 1.4141719E-001, 1.0398999E-003,-1.9262666E-001, 8.8510969E-002, 1.9972167E+001, 4.6122615E-001, 5.6986418E+000, 4.3578789E-001, 5.4116100E+000, 4.4766033E-001, 4.2217671E+000, 1.9908623E-001,-9.4582134E-003, 2.0137501E+001, 8.8914019E-001, 1.5660074E-009, 8.7499769E-001, 4.4134899E-009, 3.1467632E-008, 7.8699847E-001, 1.3505537E-008,-8.0399471E-001, 1.9973237E+001, 6.6143732E-001, 2.2801469E-003, 6.9854693E-001, 3.4084451E-003, 6.5708139E-001, 8.7387527E-003,-6.9370710E-001, 1.9964602E+001, 6.4043731E-001, 2.6719333E-001, 6.0165413E-001, 3.2834327E-001, 6.7718415E-001, 1.2611129E-001,-3.2160501E-001, 1.9971224E+001
 3.0000539E+001,-1.8078101E+000,-3.3462402E+000,-3.5921565E+000,-4.6378432E+000,-6.0770863E+000,-7.8564540E+000, 1.2014946E+000, 1.4694929E-059, 3.1083165E-001, 2.0832611E-054, 1.2401004E+000, 6.1553635E-046, 9.4918866E-001, 2.0005516E+001, 5.2735618E-001, 1.0902822E-028, 7.0932117E-001, 1.0554758E-023, 2.7933499E-001, 9.5283213E-015, 5.6858350E-001, 2.0100516E+001, 2.6370793E-001, 4.5132328E+001, 7.3117821E-001, 1.1461362E+002, 1.0831089E+002, 5.4079779E-001, 8.2769091E+001, 1.4302606E-001, 3.5947602E+001, 3.1137545E-001, 1.2322498E-012, 3.0610829E-001, 2.1037471E-014, 3.2981400E-001, 2.5248007E-015, 2.8417389E-001, 4.6698439E-002, 1.9974253E+001, 2.3795750E-001, 3.7713585E-001, 2.1132204E-001, 2.9640024E-001, 3.2495952E-001, 1.3257838E-001, 2.9410321E-001,-1.4933598E-001, 6.4570652E-002, 1.9978575E+001, 5.7695607E-001, 2.6022407E+001, 5.5787649E-001, 2.0443407E+001, 6.0042348E-001, 1.8840875E+001, 2.3489002E-001, 1.7549695E-002, 2.1548685E+001, 9.0288985E-001, 2.9844581E-001, 8.6722056E-001, 3.5041052E-001, 3.7944622E-001, 8.1498437E-001, 5.1157183E-001,-8.3136865E-001, 1.9979114E+001, 7.1528758E-001, 4.0460258E+000, 7.2968062E-001, 4.6455305E+000, 6.5930625E-001, 7.3543393E+000,-7.3827540E-001, 2.0097464E+001, 7.1196058E-001, 1.3952910E+001, 6.9844865E-001, 1.6541354E+001, 7.6605969E-001, 1.3848580E+001,-4.0449857E-001, 2.0796098E+001
 4.0002209E+001,-2.0151272E+000,-3.5569155E+000,-3.8085897E+000,-4.8566700E+000,-6.3119540E+000,-8.0754636E+000, 1.1994004E+000, 2.8592953E-049, 3.1244480E-001, 6.8956925E-044, 1.2403834E+000, 3.9048853E-035, 9.4355914E-001, 2.0005919E+001, 4.2483537E-001, 1.2328945E-021, 6.4515099E-001, 1.3788661E-021, 2.1560961E-001, 1.4639589E-014, 4.4873147E-001, 2.0107607E+001, 2.8687779E-001, 3.8630098E+001, 7.9681497E-001, 1.1701270E+002, 1.1817691E+002, 5.7358386E-001, 8.1290013E+001, 1.7444662E-001, 3.8719885E+001, 3.2550283E-001, 9.8526513E-004, 2.6592137E-001, 2.8027766E-004, 2.9853758E-001, 2.9018580E-004, 2.4442453E-001, 3.8057035E-002, 1.9974491E+001, 3.0348300E-001, 1.5307800E+000, 2.1666613E-001, 1.6814337E+000, 1.0071186E+000, 2.1488802E-001, 4.4005651E+000,-2.2902926E-001, 6.5846936E-002, 2.0045407E+001, 5.8893135E-001, 2.7726324E+001, 5.7156925E-001, 2.3865282E+001, 6.0250613E-001, 2.2822026E+001,-2.1322298E-002, 4.0424700E-002, 2.2042247E+001, 9.1631848E-001, 2.5629151E+000, 8.7366415E-001, 2.9878393E+000, 2.8311039E+000, 8.5276716E-001, 3.0303082E+000,-8.3774264E-001, 2.0050859E+001, 6.8117482E-001, 7.8533267E+000, 7.2006138E-001, 6.1328285E+000, 6.4057321E-001, 1.2139094E+001,-6.9081945E-001, 2.0274328E+001, 6.3502087E-001, 1.9217711E+001, 6.4547295E-001, 2.0940659E+001, 7.6924394E-001, 2.0041012E+001,-4.0228570E-001, 2.1965364E+001
 5.0003879E+001,-2.1590102E+000,-3.7017886E+000,-3.9685503E+000,-5.0129721E+000,-6.4523469E+000,-8.2473199E+000, 1.2001099E+000, 7.1979306E-046, 2.8045994E-001, 7.0165457E-041, 1.2328224E+000, 7.3644291E-033, 9.4306129E-001, 2.0006166E+001, 4.9504678E-001, 1.9574206E-019, 6.8855376E-001, 2.8727789E-021, 2.7234953E-001, 3.6447374E-016, 5.4858106E-001, 2.0108871E+001, 2.7471526E-001, 4.2059499E+001, 7.4987604E-001, 1.1719297E+002, 9.7239380E+001, 5.1059920E-001, 8.0412147E+001, 1.2856220E-001, 3.8251916E+001, 2.6639718E-001, 3.3894110E-003, 2.1840064E-001, 1.8633075E-003, 2.3363466E-001, 1.2789262E-003, 1.7177259E-001, 3.3493769E-002, 1.9975647E+001, 2.8624939E-001, 1.3551707E+000, 2.2527993E-001, 1.1024127E+000, 1.0530612E+000, 1.7538321E-001, 3.0394721E+000,-1.8237923E-001, 8.3910638E-002, 2.0078009E+001, 5.7807650E-001, 2.8825437E+001, 5.5416006E-001, 2.6316105E+001, 5.8538530E-001, 2.2989219E+001, 7.9238231E-002, 3.0415446E-003, 2.2301185E+001, 9.1014531E-001, 3.4823679E+000, 8.6104384E-001, 4.0227464E+000, 4.5111700E+000, 8.1778221E-001, 3.5671033E+000,-8.2890831E-001, 2.0081178E+001, 6.9982850E-001, 1.0671864E+001, 7.3377802E-001, 7.7088632E+000, 6.7837527E-001, 1.3119055E+001,-7.3043831E-001, 2.0371505E+001, 6.6064880E-001, 2.3371078E+001, 7.1430126E-001, 2.4138629E+001, 7.8612805E-001, 2.3123774E+001,-3.9785068E-001, 2.2458656E+001
 6.0002276E+001,-2.2997665E+000,-3.8415273E+000,-4.1145178E+000,-5.1580004E+000,-6.6093631E+000,-8.3981479E+000, 1.1917630E+000, 6.6795297E-044, 3.2136114E-001, 1.0812101E-039, 1.2296161E+000, 8.2949235E-032, 9.3700913E-001, 2.0006327E+001, 4.9315226E-001, 1.4787857E-018, 6.3667710E-001, 1.2526383E-019, 2.2825777E-001, 1.3018487E-012, 5.0793545E-001, 2.0113746E+001, 2.7822008E-001, 3.7592515E+001, 8.4510812E-001, 1.2080063E+002, 1.1399612E+002, 5.6315075E-001, 8.3390944E+001, 1.8712822E-001, 3.8825681E+001, 2.9847774E-001, 1.3446584E-003, 2.6349569E-001, 1.0747226E-003, 2.5763090E-001, 1.0348147E-003, 2.3648849E-001, 7.2547268E-002, 1.9975991E+001, 3.2893157E-001, 2.9473283E+000, 2.3374806E-001, 1.8508910E+000, 1.3025374E+000, 1.8666342E-001, 4.2737462E+000,-2.2383580E-001, 6.2498293E-002, 2.0105551E+001, 6.3826756E-001, 3.4568251E+001, 5.5402064E-001, 2.9718339E+001, 6.1477534E-001, 2.6192637E+001, 2.5920256E-001, 3.3417385E-002, 2.2732498E+001, 8.7647726E-001, 3.7799530E+000, 8.8952868E-001, 4.8463411E+000, 6.4875470E+000, 8.1639040E-001, 4.1816794E+000,-8.0350952E-001, 2.0112025E+001, 6.8226711E-001, 7.9883226E+000, 7.2769112E-001, 5.6447744E+000, 6.6685976E-001, 1.1283919E+001,-7.1229205E-001, 2.0377611E+001, 6.4685966E-001, 2.3468077E+001, 6.9984303E-001, 2.4128311E+001, 7.6880518E-001, 2.2627662E+001,-4.0010551E-001, 2.2528144E+001
