s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C
Time,"SFP","CAP","PRES","POSTS","HA","CP","VIEW SF1V","VIEW SF1S","FAST SF1V","FAST SF1S","SIMPLEX SF1V","SIMPLEX SF1S","BI FLOW SF1","T SF1","VIEW SF2V","VIEW SF2S","FAST SF2V","FAST SF2S","SIMPLEX SF2V","SIMPLEX SF2S","BI FLOW SF2","T SF2","VIEW SF3V","VIEW SF3S","FAST SF3V","FAST SF3S","FM SF3S","SIMPLEX SF3V","SIMPLEX SF3S","BI FLOW SF3","T SF3","VIEW C1V","VIEW C1S","FAST C1V","FAST C1S","SIMPLEX C1V","SIMPLEX C1S","BI FLOW C1","BI FLOW C1","T C1","VIEW C2V","VIEW C2S","FAST C2V","FAST C2S","FM C2S","SIMPLEX C2V","SIMPLEX C2S","BI FLOW C2","BI FLOW C2","T C2","VIEW C3V","VIEW C3S","FAST C3V","FAST C3S","SIMPLEX C3V","SIMPLEX C3S","BI FLOW C3","BI FLOW C3","T C3","VIEW P1V","VIEW P1S","FAST P1V","FAST P1S","FM P1S","SIMPLEX P1V","SIMPLEX P1S","BI FLOW P1","T P1","VIEW P2V","VIEW P2S","FAST P2V","FAST P2S","SIMPLEX P2V","SIMPLEX P2S","BI FLOW P2","T P2","VIEW P3V","VIEW P3S","FAST P3V","FAST P3S","SIMPLEX P3V","SIMPLEX P3S","BI FLOW P3","T P3"
-2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6526745E-003, 1.9999991E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999966E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5850410E-003, 1.9999993E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1251661E-003, 9.1379047E-003, 1.9999980E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2825003E-004, 1.9999854E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0213392E-003, 1.0527584E-002, 1.9999978E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0544989E-003, 1.9999968E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999840E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1757825E-003, 1.9999985E+001
-9.9981086E+000,-1.9598911E+001,-3.5976128E+001,-3.8307738E+001,-4.1612224E+001,-4.8925086E+001,-6.7844218E+001, 3.6550568E+000, 0.0000000E+000, 1.0077883E+000, 0.0000000E+000, 3.8039910E+000, 0.0000000E+000, 2.9858618E+000, 2.0000638E+001, 1.8393180E+000, 0.0000000E+000, 2.7374320E+000, 0.0000000E+000, 8.2276861E-001, 0.0000000E+000, 1.7992319E+000, 2.0000151E+001, 9.0612040E-001, 0.0000000E+000, 9.9878155E-001, 0.0000000E+000, 0.0000000E+000, 1.0780303E+000, 0.0000000E+000, 1.9017936E-001, 1.9998786E+001, 6.6991124E-001, 0.0000000E+000, 5.2781030E-001, 0.0000000E+000, 6.4500353E-001, 0.0000000E+000, 2.6708011E-001, 1.2294406E-001, 1.9997339E+001, 7.4226497E-001, 0.0000000E+000, 6.6945009E-001, 0.0000000E+000, 0.0000000E+000, 2.6726968E-001, 0.0000000E+000,-4.8713303E-001, 2.9432029E-001, 1.9991475E+001, 9.1969036E-001, 0.0000000E+000, 7.9210189E-001, 0.0000000E+000, 8.2462216E-001, 0.0000000E+000, 2.6835052E-001,-4.3192547E-003, 1.9992290E+001, 2.8595622E+000, 0.0000000E+000, 2.7142532E+000, 0.0000000E+000, 0.0000000E+000, 2.5996027E+000, 0.0000000E+000,-2.5885717E+000, 1.9990633E+001, 2.0332855E+000, 0.0000000E+000, 2.1409618E+000, 0.0000000E+000, 1.9830779E+000, 0.0000000E+000,-2.1369094E+000, 1.9985139E+001, 1.7811706E+000, 0.0000000E+000, 1.7549382E+000, 0.0000000E+000, 1.9417681E+000, 0.0000000E+000,-1.0190020E+000, 1.9987645E+001
 3.5615799E-003,-2.5428986E+001,-4.2624669E+001,-4.5712459E+001,-4.9330399E+001,-5.7596837E+001,-7.8108695E+001, 3.9912752E+000, 0.0000000E+000, 1.0705009E+000, 0.0000000E+000, 4.1512768E+000, 0.0000000E+000, 3.2767763E+000, 2.0000413E+001, 2.1647810E+000, 0.0000000E+000, 2.9983629E+000, 0.0000000E+000, 7.7952517E-001, 0.0000000E+000, 1.9655901E+000, 2.0000057E+001, 9.4015668E-001, 0.0000000E+000, 1.0871982E+000, 0.0000000E+000, 0.0000000E+000, 1.2076727E+000, 0.0000000E+000, 3.2081793E-001, 1.9997758E+001, 1.1309802E+000, 0.0000000E+000, 1.0754161E+000, 0.0000000E+000, 1.1394414E+000, 0.0000000E+000, 1.0009177E+000, 1.4495719E-001, 1.9976993E+001, 9.6305887E-001, 0.0000000E+000, 8.4990316E-001, 0.0000000E+000, 0.0000000E+000, 4.3355692E-001, 0.0000000E+000,-6.5275665E-001, 3.0496984E-001, 1.9972637E+001, 1.1850702E+000, 0.0000000E+000, 1.0756940E+000, 0.0000000E+000, 1.2038131E+000, 0.0000000E+000, 4.4500385E-001, 9.8138843E-002, 1.9973110E+001, 3.1176530E+000, 0.0000000E+000, 3.0026181E+000, 0.0000000E+000, 0.0000000E+000, 2.8428734E+000, 0.0000000E+000,-2.8166510E+000, 1.9970194E+001, 2.3662352E+000, 0.0000000E+000, 2.4981508E+000, 0.0000000E+000, 2.2372091E+000, 0.0000000E+000,-2.4667969E+000, 1.9963129E+001, 2.2090880E+000, 0.0000000E+000, 2.1077009E+000, 0.0000000E+000, 2.3877979E+000, 0.0000000E+000,-1.1209526E+000, 1.9966285E+001
 1.0001215E+001,-2.8421147E+001,-4.5686482E+001,-4.8876455E+001,-5.2559465E+001,-6.0861988E+001,-8.1543411E+001, 4.0208693E+000, 3.4713375E-061, 1.0878970E+000, 5.6737550E-057, 4.1846898E+000, 1.7659269E-050, 3.3017079E+000, 2.0000469E+001, 2.1992670E+000, 4.9354962E-033, 2.9889044E+000, 2.9855908E-035, 1.0080992E+000, 4.8226651E-033, 2.1803302E+000, 1.9999960E+001, 9.2583943E-001, 1.8206645E-031, 1.0391989E+000, 3.4618884E-037, 1.4437834E-040, 1.1339017E+000, 2.8706822E-034, 3.0548827E-001, 1.9997564E+001, 1.2306009E+000, 3.1445649E-005, 1.0300292E+000, 3.4282555E-007, 1.0791002E+000, 3.0996916E-008, 1.0028392E+000, 1.5731390E-001, 1.9974580E+001, 1.0736799E+000, 1.1252863E-001, 8.6539882E-001, 1.1551529E-001, 8.2758157E-002, 4.9502766E-001, 1.4149213E-001,-7.0895209E-001, 3.1247627E-001, 2.0051987E+001, 1.3926703E+000, 9.9327429E+000, 1.1145953E+000, 4.8523433E+000, 1.1837443E+000, 2.0085826E+000, 4.9042426E-001, 8.1245577E-002, 2.0416520E+001, 3.1267867E+000, 1.5507248E-001, 2.9981657E+000, 1.8877253E-001, 2.1851790E-001, 2.8290524E+000, 2.1781582E-001,-2.7853015E+000, 1.9983257E+001, 2.4348117E+000, 6.8873204E-001, 2.4459995E+000, 8.0362625E-001, 2.3067141E+000, 1.3421774E+000,-2.5074067E+000, 2.0071238E+001, 2.2168026E+000, 1.4141163E-001, 2.1502053E+000, 6.5833195E-002, 2.1719357E+000, 1.0726556E-001,-1.3098153E+000, 1.9980180E+001
 2.0002885E+001,-2.9906060E+001,-4.7134046E+001,-5.0433366E+001,-5.4091653E+001,-6.2494284E+001,-8.3080591E+001, 4.0020761E+000, 9.1479860E-057, 1.0613477E+000, 2.0228316E-052, 4.1532148E+000, 7.5966190E-047, 3.2791155E+000, 2.0000512E+001, 2.2191523E+000, 2.0328849E-031, 3.0033232E+000, 1.7173818E-033, 8.6374172E-001, 6.3467684E-032, 2.0726936E+000, 1.9999962E+001, 9.6780785E-001, 1.2246803E-029, 1.0611234E+000, 1.9327019E-035, 1.9745730E-037, 1.2257860E+000, 2.6311505E-032, 3.6547262E-001, 1.9997587E+001, 1.1763793E+000, 2.5839428E-003, 1.0002113E+000, 2.6711974E-003, 1.0363981E+000, 1.7671703E-003, 8.7246788E-001, 1.7462439E-001, 1.9999646E+001, 1.0267922E+000, 1.9789328E-001, 8.3619197E-001, 1.3169951E-001, 8.9754363E-002, 5.2834898E-001, 2.3299878E-001,-6.5376994E-001, 3.0334799E-001, 2.0440762E+001, 1.3940518E+000, 1.7095060E+001, 1.1492211E+000, 1.0245867E+001, 1.2170035E+000, 4.9615393E+000, 5.2620801E-001, 5.8922778E-002, 2.2461498E+001, 3.1102787E+000, 2.0719030E+000, 2.9443706E+000, 2.4358783E+000, 3.1333585E+000, 2.7466582E+000, 2.1766110E+000,-2.7324489E+000, 2.0350959E+001, 2.3690901E+000, 2.3783848E+000, 2.5004326E+000, 2.8959043E+000, 2.2923933E+000, 3.7855842E+000,-2.4570474E+000, 2.0744866E+001, 2.1657758E+000, 6.0469304E-001, 2.1989508E+000, 4.6582160E-001, 2.0639995E+000, 9.3795085E-001,-1.3724390E+000, 2.0113901E+001
 3.0000539E+001,-3.0618368E+001,-4.7825879E+001,-5.1260712E+001,-5.4890935E+001,-6.3332880E+001,-8.3978940E+001, 3.9827253E+000, 5.2926929E-056, 1.0775913E+000, 1.1733161E-051, 4.1357319E+000, 3.9600066E-046, 3.2628574E+000, 2.0000350E+001, 2.1350402E+000, 9.9538720E-031, 2.9655858E+000, 1.3282653E-032, 8.8120053E-001, 2.7636351E-031, 2.0113351E+000, 1.9999852E+001, 8.5931549E-001, 5.8398394E-031, 9.1089286E-001, 6.9887947E-036, 1.1645261E-036, 1.1935282E+000, 1.0670579E-033, 2.3379717E-001, 1.9997513E+001, 1.1787357E+000, 2.4503540E-003, 9.6961506E-001, 1.4574879E-003, 1.0130638E+000, 1.9850239E-003, 9.3783500E-001, 1.6374902E-001, 2.0034417E+001, 1.0362142E+000, 2.6330045E-001, 9.1496914E-001, 2.5771258E-001, 1.8206132E-001, 5.7110190E-001, 2.8971551E-001,-7.1423206E-001, 3.0466246E-001, 2.0724587E+001, 1.3407462E+000, 1.9361088E+001, 1.2619455E+000, 1.3998915E+001, 1.3124589E+000, 7.9375866E+000, 5.5949335E-001, 5.8924216E-002, 2.3487316E+001, 3.2183033E+000, 2.4786535E+000, 3.0401511E+000, 3.0443655E+000, 3.5768058E+000, 2.8875994E+000, 2.7141485E+000,-2.8700505E+000, 2.0524945E+001, 2.3438430E+000, 2.9069346E+000, 2.4804073E+000, 2.5599012E+000, 2.2337983E+000, 4.4309461E+000,-2.4528567E+000, 2.1035759E+001, 2.1732876E+000, 1.2710600E+000, 2.1954770E+000, 9.1442046E-001, 2.1159685E+000, 1.6175431E+000,-1.4585638E+000, 2.0251197E+001
 4.0002209E+001,-3.0858503E+001,-4.8084880E+001,-5.1475397E+001,-5.5130483E+001,-6.3577294E+001,-8.4126514E+001, 3.9942973E+000, 1.1961266E-056, 1.0851272E+000, 2.6881409E-052, 4.1500238E+000, 8.7389474E-047, 3.2735758E+000, 2.0000767E+001, 2.1811759E+000, 2.3079517E-031, 2.9111638E+000, 3.7315260E-033, 8.3731612E-001, 5.6755565E-032, 2.0882434E+000, 2.0000114E+001, 9.4070600E-001, 2.0023179E-030, 9.0562199E-001, 6.3214139E-036, 7.1339877E-037, 1.1766510E+000, 3.6528981E-033, 2.8797495E-001, 1.9997776E+001, 1.1722256E+000, 2.8684603E-003, 9.7892954E-001, 1.1714851E-003, 1.0031510E+000, 1.5516158E-003, 9.0903334E-001, 1.4726800E-001, 2.0050703E+001, 1.0440235E+000, 6.1361707E-002, 8.3555609E-001, 6.1822655E-002, 3.8323651E-002, 5.1824951E-001, 7.8676238E-002,-6.5346848E-001, 2.6307413E-001, 2.0723126E+001, 1.3496800E+000, 1.7769091E+001, 1.1809319E+000, 1.3447026E+001, 1.2714106E+000, 9.3117323E+000, 5.4983316E-001, 8.2198749E-002, 2.3296866E+001, 3.0936084E+000, 2.7959957E+000, 2.9454069E+000, 3.0907155E+000, 3.9940885E+000, 2.7349400E+000, 2.8484231E+000,-2.7572535E+000, 2.0613471E+001, 2.3847295E+000, 2.4670996E+000, 2.4256033E+000, 2.7687424E+000, 2.1957008E+000, 3.9002310E+000,-2.4234227E+000, 2.0959539E+001, 2.2301898E+000, 9.9969809E-001, 2.1395464E+000, 8.2089423E-001, 2.0847597E+000, 1.7748323E+000,-1.3892456E+000, 2.0336214E+001
 5.0003879E+001,-3.1066143E+001,-4.8294182E+001,-5.1721322E+001,-5.5348211E+001,-6.3756579E+001,-8.4323801E+001, 3.9911090E+000, 9.6521700E-056, 1.0672610E+000, 2.0200080E-051, 4.1436283E+000, 6.4367967E-046, 3.2663934E+000, 2.0000621E+001, 2.2139169E+000, 2.1040533E-031, 3.1038259E+000, 3.0767395E-033, 8.6679340E-001, 4.1130101E-032, 2.0845133E+000, 2.0000061E+001, 8.8331481E-001, 3.2380570E-031, 9.4207260E-001, 1.9070715E-036, 3.2905362E-037, 1.1561142E+000, 1.3334697E-033, 2.9012647E-001, 1.9997894E+001, 1.1618718E+000, 2.7021166E-003, 9.5581292E-001, 1.6062740E-003, 9.8097109E-001, 1.7057481E-003, 9.0043954E-001, 1.5192675E-001, 2.0051693E+001, 1.0432476E+000, 2.9336135E-001, 8.6019066E-001, 1.7580715E-001, 1.1228471E-001, 5.2972414E-001, 3.3247198E-001,-6.8912363E-001, 3.0208889E-001, 2.0933142E+001, 1.3859576E+000, 1.9086262E+001, 1.2583228E+000, 1.7499522E+001, 1.2721702E+000, 9.7334601E+000, 5.8021455E-001, 5.2335945E-002, 2.3356572E+001, 3.1192522E+000, 2.1015620E+000, 2.9648033E+000, 2.5017447E+000, 3.0328932E+000, 2.7240189E+000, 2.1877934E+000,-2.7642252E+000, 2.0576494E+001, 2.3696520E+000, 2.7586188E+000, 2.4985285E+000, 3.3813381E+000, 2.2661880E+000, 4.2608828E+000,-2.4401169E+000, 2.1158477E+001, 2.1917323E+000, 1.6127286E+000, 2.1334671E+000, 1.1983803E+000, 2.0884671E+000, 2.2134507E+000,-1.4225674E+000, 2.0437517E+001
 6.0001532E+001,-3.1097012E+001,-4.8381185E+001,-5.1752487E+001,-5.5402916E+001,-6.3782345E+001,-8.4428897E+001, 3.9984774E+000, 1.8154051E-056, 1.0801951E+000, 4.3505642E-052, 4.1611209E+000, 1.5021854E-046, 3.2789206E+000, 2.0000554E+001, 2.1629119E+000, 2.3057857E-031, 2.8532600E+000, 4.1102577E-033, 9.0798360E-001, 5.2166628E-032, 2.1176818E+000, 2.0000061E+001, 1.0207709E+000, 2.4072628E-031, 1.0202435E+000, 1.9372150E-036, 4.6408817E-037, 1.1841640E+000, 3.9225875E-034, 2.5933596E-001, 1.9998249E+001, 1.1860780E+000, 3.1180334E-003, 1.0553048E+000, 1.7463716E-003, 1.0510870E+000, 1.4769339E-003, 9.9200517E-001, 1.5223810E-001, 2.0062379E+001, 1.0716939E+000, 1.7525359E-001, 8.6536168E-001, 1.4204708E-001, 8.0087413E-002, 5.2341731E-001, 2.5551135E-001,-7.2805512E-001, 3.3199455E-001, 2.1140158E+001, 1.3059760E+000, 1.9727308E+001, 1.2520740E+000, 1.4226088E+001, 1.2784091E+000, 8.5544658E+000, 5.7058666E-001, 6.1544787E-002, 2.4474096E+001, 3.0833812E+000, 2.0695800E+000, 2.9598206E+000, 2.2331774E+000, 2.4813931E+000, 2.7419361E+000, 2.0591148E+000,-2.7668751E+000, 2.0543693E+001, 2.3988105E+000, 2.3436382E+000, 2.4986832E+000, 2.6051421E+000, 2.2681568E+000, 3.3721486E+000,-2.4587529E+000, 2.1191234E+001, 2.1105888E+000, 1.7559190E+000, 2.0997170E+000, 1.2771286E+000, 2.0911019E+000, 2.2870712E+000,-1.3875610E+000, 2.0476860E+001
