s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,TC01,GHF01,TC02,GHF02,TC03,GHF03,TC04,GHF04,TC05,GHF05,TC06,GHF06,TC07,GHF07,TC08,GHF08,TC09,GHF09
 0.0000000E+000, 2.0000000E+001,-3.5154833E-003, 2.0000000E+001,-2.2818294E-003, 2.0000000E+001,-1.6043314E-003, 2.0000000E+001,-1.5893586E-003, 2.0000000E+001,-1.5893586E-003, 2.0000000E+001,-1.5893586E-003, 2.0000000E+001,-1.5893586E-003, 2.0000000E+001,-1.5893586E-003, 2.0000000E+001,-1.5893586E-003
 1.1290019E+000, 1.9999967E+001, 7.5383792E-004, 1.9999960E+001,-1.9814838E-004, 1.9999978E+001,-8.7881532E-005, 1.9999990E+001, 1.6262720E-004, 1.9999991E+001, 1.9383234E-004, 1.9999991E+001, 1.9863460E-004, 1.9999992E+001, 1.9863526E-004, 1.9999993E+001, 1.9864036E-004, 1.9999992E+001, 1.9863704E-004
 2.0829092E+000, 2.0000289E+001, 5.2383308E-003, 2.0000050E+001, 1.9926856E-003, 2.0000037E+001, 4.9889402E-004, 2.0000093E+001, 7.4711513E-004, 2.0000099E+001, 7.8657182E-004, 2.0000105E+001, 8.8420668E-004, 2.0000105E+001, 8.8434596E-004, 2.0000108E+001, 8.8438989E-004, 2.0000107E+001, 8.8438482E-004
 3.1008621E+000, 2.0001667E+001, 2.8465696E-002, 2.0000603E+001, 6.6368044E-003, 2.0000291E+001, 6.9830078E-004, 2.0000403E+001, 7.4866490E-004, 2.0000411E+001, 8.0049751E-004, 2.0000439E+001, 9.7041577E-004, 2.0000440E+001, 9.7085450E-004, 2.0000441E+001, 9.7092389E-004, 2.0000443E+001, 9.7093365E-004
 4.0042391E+000, 2.0010804E+001, 1.8432191E-001, 2.0003609E+001, 6.0055098E-002, 2.0000759E+001, 1.0669324E-003, 2.0000896E+001, 6.2061867E-004, 2.0000903E+001, 7.0111082E-004, 2.0000976E+001, 7.8177705E-004, 2.0000979E+001, 7.8624045E-004, 2.0000973E+001, 8.7259539E-004, 2.0000986E+001, 8.7265237E-004
 5.0489597E+000, 2.0055997E+001, 6.4128292E-001, 2.0015658E+001, 1.4644206E-001, 2.0001569E+001, 7.3416591E-003, 2.0001605E+001, 8.0935063E-004, 2.0001606E+001, 8.3669814E-004, 2.0001723E+001, 7.7461672E-004, 2.0001731E+001, 7.8421378E-004, 2.0001726E+001, 8.9039915E-004, 2.0001757E+001, 9.1524101E-004
 6.0002649E+000, 2.0316725E+001, 4.3017427E+000, 2.0086071E+001, 1.4395682E+000, 2.0005638E+001, 1.0381540E-001, 2.0002594E+001, 3.9167861E-003, 2.0002543E+001, 2.1136485E-003, 2.0002676E+001, 1.0499195E-003, 2.0002695E+001, 1.0546820E-003, 2.0002683E+001, 9.9683573E-004, 2.0002749E+001, 1.0858589E-003
 7.0100327E+000, 2.3283711E+001, 9.3947133E+000, 2.0476968E+001, 2.9419755E+000, 2.0057744E+001, 8.8368681E-001, 2.0008475E+001, 1.2458607E-001, 2.0006511E+001, 7.1387131E-002, 2.0003847E+001, 8.5539906E-003, 2.0003855E+001, 5.4178245E-003, 2.0003779E+001, 8.6928230E-004, 2.0003888E+001, 7.6955169E-004
 8.0180083E+000, 1.6269746E+002, 1.5152973E+001, 2.1200751E+001, 3.9766392E+000, 2.0263842E+001, 1.3237954E+000, 2.0056230E+001, 4.8128122E-001, 2.0032185E+001, 2.4094254E-001, 2.0011281E+001, 1.0154918E-001, 2.0008788E+001, 6.1237642E-002, 2.0005456E+001, 1.3116998E-002, 2.0005180E+001, 2.5923547E-003
 9.0086854E+000, 8.6879991E+002, 3.0917043E+001, 8.1512203E+001, 5.4050507E+000, 2.0580705E+001, 1.4679400E+000, 2.0164196E+001, 5.4989453E-001, 2.0086921E+001, 2.7332301E-001, 2.0038581E+001, 1.6217995E-001, 2.0025441E+001, 9.3801262E-002, 2.0011675E+001, 4.4499119E-002, 2.0007685E+001, 1.6510445E-002
 1.0015983E+001, 7.6006871E+002, 3.6395889E+001, 8.9070712E+002, 2.2007888E+001, 3.4338098E+001, 2.0912943E+000, 2.0332807E+001, 5.3504948E-001, 2.0156382E+001, 2.4872121E-001, 2.0075293E+001, 1.4128236E-001, 2.0046919E+001, 7.8154829E-002, 2.0021700E+001, 3.7973655E-002, 2.0012472E+001, 1.7496097E-002
 1.1007341E+001, 9.4115714E+002, 3.1255391E+001, 9.8848523E+002, 2.7823775E+001, 9.1254858E+002, 1.6462526E+001, 2.1258113E+001, 1.3171789E+000, 2.0254385E+001, 4.2084259E-001, 2.0117272E+001, 1.7752286E-001, 2.0069494E+001, 8.9639355E-002, 2.0031925E+001, 3.2722360E-002, 2.0017580E+001, 1.3497667E-002
