m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 2.0794517E-002, 2.0471703E+001
 2.2500000E-002, 4.8800721E+001, 1.0382842E+003
 4.5000000E-002, 4.6990619E+001, 1.0093682E+003
 6.7500000E-002, 4.1210959E+001, 9.0777695E+002
 9.0000000E-002, 3.5166272E+001, 7.8124465E+002
 1.1250000E-001, 3.0138877E+001, 6.7666542E+002
 1.3500000E-001, 2.6123023E+001, 5.9839574E+002
 1.5750000E-001, 2.2937356E+001, 5.4168917E+002
 1.8000000E-001, 2.0338548E+001, 4.9936910E+002
 2.0250000E-001, 1.8136161E+001, 4.6658797E+002
 2.2500000E-001, 1.8136161E+001, 4.6658797E+002
 2.4750000E-001, 1.6362803E+001, 4.3681799E+002
 2.7000000E-001, 1.4666380E+001, 4.1726572E+002
 2.9250000E-001, 1.2894968E+001, 3.9655186E+002
 3.1500000E-001, 1.1496574E+001, 3.7886356E+002
 3.3750000E-001, 1.0234917E+001, 3.6268596E+002
 3.6000000E-001, 9.1166109E+000, 3.4832612E+002
 3.8250000E-001, 8.1382552E+000, 3.3610224E+002
 4.0500000E-001, 7.5618361E+000, 3.3711313E+002
 4.2750000E-001, 6.7865605E+000, 3.2636186E+002
 4.5000000E-001, 6.5476688E+000, 3.1550771E+002
 4.7250000E-001, 5.9050265E+000, 3.0623327E+002
 4.9500000E-001, 5.5258803E+000, 3.0605592E+002
 5.1750000E-001, 5.0220983E+000, 2.9697748E+002
 5.4000000E-001, 4.4609133E+000, 2.8092595E+002
 5.6250000E-001, 4.1054999E+000, 2.7317314E+002
 5.8500000E-001, 3.8000953E+000, 2.6621299E+002
 6.0750000E-001, 3.5327384E+000, 2.5952222E+002
 6.3000000E-001, 3.2972887E+000, 2.5291839E+002
 6.5250000E-001, 3.0902858E+000, 2.4656037E+002
 6.7500000E-001, 2.9067056E+000, 2.4017636E+002
 6.9750000E-001, 2.7413173E+000, 2.3395393E+002
 7.2000000E-001, 2.7413173E+000, 2.3395393E+002
 7.4250000E-001, 2.5940601E+000, 2.2821015E+002
 7.6500000E-001, 2.4911860E+000, 2.2553293E+002
 7.8750000E-001, 2.3711418E+000, 2.2030829E+002
 8.1000000E-001, 2.2614098E+000, 2.1544730E+002
 8.3250000E-001, 2.1320447E+000, 2.0858971E+002
 8.5500000E-001, 2.0410021E+000, 2.0385522E+002
 8.7750000E-001, 1.9926959E+000, 2.0104816E+002
 9.0000000E-001, 1.8893666E+000, 1.9503178E+002
 9.2250000E-001, 1.8893666E+000, 1.9503178E+002
 9.4500000E-001, 1.8283188E+000, 1.9113192E+002
 9.6750000E-001, 1.7736739E+000, 1.8726764E+002
 9.9000000E-001, 1.7235814E+000, 1.8342059E+002
 1.0125000E+000, 1.6753973E+000, 1.7941824E+002
 1.0350000E+000, 1.6230527E+000, 1.7409380E+002
 1.0575000E+000, 1.5762735E+000, 1.7019607E+002
 1.0800000E+000, 1.5402584E+000, 1.6773768E+002
 1.1025000E+000, 1.4964987E+000, 1.6390625E+002
 1.1250000E+000, 1.4964987E+000, 1.6390625E+002
 1.1475000E+000, 1.4461893E+000, 1.5906810E+002
 1.1700000E+000, 1.4122161E+000, 1.5644066E+002
 1.1925000E+000, 1.3707625E+000, 1.5276428E+002
 1.2150000E+000, 1.3303036E+000, 1.4911842E+002
 1.2375000E+000, 1.2928215E+000, 1.4563838E+002
 1.2600000E+000, 1.2599926E+000, 1.4255990E+002
 1.2825000E+000, 1.2250883E+000, 1.3924633E+002
 1.3050000E+000, 1.1947732E+000, 1.3640977E+002
 1.3275000E+000, 1.1672666E+000, 1.3384414E+002
 1.3500000E+000, 1.1434920E+000, 1.3221011E+002
