m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 5.1104735E-001, 2.7133302E+001
-2.0711667E-002, 8.7916667E-003, 1.8588181E+001, 9.5507399E+001
-4.1423333E-002, 1.7583333E-002, 1.4687064E+001, 6.2501843E+001
-6.2135000E-002, 2.6375000E-002, 1.0947650E+001, 5.9553062E+001
-8.2846667E-002, 3.5166667E-002, 9.4675237E+000, 6.9833746E+001
-1.0355833E-001, 4.3958333E-002, 8.0346714E+000, 4.8949582E+001
-1.2427000E-001, 5.2750000E-002, 7.2238196E+000, 4.8949582E+001
-1.4498167E-001, 6.1541667E-002, 6.4186318E+000, 5.2409565E+001
-1.6569333E-001, 7.0333333E-002, 5.6975860E+000, 4.6391187E+001
-1.8640500E-001, 7.9125000E-002, 4.5887411E+000, 4.9635059E+001
-2.0711667E-001, 8.7916667E-002, 4.0979078E+000, 4.3393954E+001
-2.2782833E-001, 9.6708333E-002, 3.7720376E+000, 4.4686023E+001
-2.4854000E-001, 1.0550000E-001, 3.4500028E+000, 4.4686023E+001
-2.6925167E-001, 1.1429167E-001, 3.1740007E+000, 4.9258026E+001
-2.8996333E-001, 1.2308333E-001, 2.8679246E+000, 4.2700942E+001
-3.1067500E-001, 1.3187500E-001, 2.4281706E+000, 4.4609574E+001
-3.3138667E-001, 1.4066667E-001, 2.1992723E+000, 4.0103310E+001
-3.5209833E-001, 1.4945833E-001, 2.0662439E+000, 4.1502654E+001
-3.7281000E-001, 1.5825000E-001, 1.8597218E+000, 4.1502654E+001
-3.9352167E-001, 1.6704167E-001, 1.7004268E+000, 3.9144721E+001
-4.1423333E-001, 1.7583333E-001, 1.4470048E+000, 3.8424977E+001
-4.3494500E-001, 1.8462500E-001, 1.3458273E+000, 3.9831962E+001
-4.5565667E-001, 1.9341667E-001, 1.2297923E+000, 3.7752304E+001
-4.7636833E-001, 2.0220833E-001, 1.1314319E+000, 3.6884681E+001
-4.9708000E-001, 2.1100000E-001, 1.0491086E+000, 3.7267408E+001
-5.1779167E-001, 2.1979167E-001, 9.5056836E-001, 3.4577212E+001
-5.3850333E-001, 2.2858333E-001, 8.0211560E-001, 3.4223951E+001
-5.5921500E-001, 2.3737500E-001, 7.2636362E-001, 3.1996645E+001
-5.7992667E-001, 2.4616667E-001, 6.8762106E-001, 3.0994355E+001
-6.0063833E-001, 2.5495833E-001, 6.1863114E-001, 3.0994355E+001
-6.2135000E-001, 2.6375000E-001, 5.7472337E-001, 3.1059584E+001
-6.4206167E-001, 2.7254167E-001, 4.8214034E-001, 2.9368112E+001
-6.6277333E-001, 2.8133333E-001, 4.4747977E-001, 2.9470438E+001
-6.8348500E-001, 2.9012500E-001, 4.0932160E-001, 2.7731891E+001
-7.0419667E-001, 2.9891667E-001, 3.8499333E-001, 2.8139861E+001
-7.2490833E-001, 3.0770833E-001, 3.4073727E-001, 2.8139861E+001
-7.4562000E-001, 3.1650000E-001, 3.1287846E-001, 2.6943038E+001
-7.6633167E-001, 3.2529167E-001, 2.6787116E-001, 2.6116577E+001
-7.8704333E-001, 3.3408333E-001, 2.4913954E-001, 2.6277871E+001
-8.0775500E-001, 3.4287500E-001, 2.2640280E-001, 2.5624115E+001
-8.2846667E-001, 3.5166667E-001, 2.1012067E-001, 2.5578897E+001
-8.4917833E-001, 3.6045833E-001, 1.9085098E-001, 2.5542124E+001
-8.6989000E-001, 3.6925000E-001, 1.7573921E-001, 2.4969966E+001
-8.9060167E-001, 3.7804167E-001, 1.4946678E-001, 2.4822833E+001
-9.1131333E-001, 3.8683333E-001, 1.3593560E-001, 2.4657395E+001
-9.3202500E-001, 3.9562500E-001, 1.2687894E-001, 2.3993569E+001
-9.5273667E-001, 4.0441667E-001, 1.1413230E-001, 2.3993569E+001
-9.7344833E-001, 4.1320833E-001, 1.0822760E-001, 2.3890045E+001
-9.9416000E-001, 4.2200000E-001, 9.5872625E-002, 2.3539083E+001
-1.0148717E+000, 4.3079167E-001, 8.2620265E-002, 2.3307211E+001
-1.0355833E+000, 4.3958333E-001, 7.3246765E-002, 2.2731878E+001
-1.0562950E+000, 4.4837500E-001, 6.9920863E-002, 2.2396731E+001
-1.0770067E+000, 4.5716667E-001, 6.3051629E-002, 2.2396731E+001
-1.0977183E+000, 4.6595833E-001, 5.9060035E-002, 2.2187567E+001
-1.1184300E+000, 4.7475000E-001, 5.0496702E-002, 2.2021607E+001
-1.1391417E+000, 4.8354167E-001, 4.7340706E-002, 2.1963289E+001
-1.1598533E+000, 4.9233333E-001, 4.3121569E-002, 2.1786541E+001
-1.1805650E+000, 5.0112500E-001, 4.1591689E-002, 2.1590657E+001
-1.2012767E+000, 5.0991667E-001, 3.3296693E-002, 2.1581878E+001
-1.2219883E+000, 5.1870833E-001, 3.1899116E-002, 2.1395332E+001
-1.2427000E+000, 5.2750000E-001, 2.8428880E-002, 2.1395332E+001
