m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 6.0110460E-002, 2.8258491E+001
-1.2905000E-002, 1.8431667E-002, 4.9427591E+001, 1.0815202E+003
-2.5810000E-002, 3.6863333E-002, 4.2845647E+001, 9.8252215E+002
-3.8715000E-002, 5.5295000E-002, 3.3152410E+001, 5.5511732E+002
-5.1620000E-002, 7.3726667E-002, 3.1162787E+001, 5.5511732E+002
-6.4525000E-002, 9.2158333E-002, 2.5105441E+001, 3.8317495E+002
-7.7430000E-002, 1.1059000E-001, 2.0728790E+001, 2.8431344E+002
-9.0335000E-002, 1.2902167E-001, 1.8656038E+001, 2.4494402E+002
-1.0324000E-001, 1.4745333E-001, 1.7685974E+001, 2.4494402E+002
-1.1614500E-001, 1.6588500E-001, 1.6162707E+001, 2.2045382E+002
-1.2905000E-001, 1.8431667E-001, 1.3150334E+001, 1.8112650E+002
-1.4195500E-001, 2.0274833E-001, 1.2208362E+001, 1.8774020E+002
-1.5486000E-001, 2.2118000E-001, 1.1574959E+001, 1.8774020E+002
-1.6776500E-001, 2.3961167E-001, 1.0559767E+001, 1.7346709E+002
-1.8067000E-001, 2.5804333E-001, 8.6959046E+000, 1.3628507E+002
-1.9357500E-001, 2.7647500E-001, 7.9038587E+000, 1.2938863E+002
-2.0648000E-001, 2.9490667E-001, 7.5077077E+000, 1.2938863E+002
-2.1938500E-001, 3.1333833E-001, 6.7860521E+000, 1.2037689E+002
-2.3229000E-001, 3.3177000E-001, 5.8148601E+000, 1.1076439E+002
-2.4519500E-001, 3.5020167E-001, 5.2867236E+000, 1.0175843E+002
-2.5810000E-001, 3.6863333E-001, 5.0067977E+000, 1.0175843E+002
-2.7100500E-001, 3.8706500E-001, 4.5313863E+000, 1.0132902E+002
-2.8391000E-001, 4.0549667E-001, 3.9879949E+000, 9.8705774E+001
-2.9681500E-001, 4.2392833E-001, 3.5572046E+000, 8.9078906E+001
-3.0972000E-001, 4.4236000E-001, 3.3441379E+000, 8.8899293E+001
-3.2262500E-001, 4.6079167E-001, 3.0183320E+000, 8.7041472E+001
-3.3553000E-001, 4.7922333E-001, 2.6217479E+000, 8.5364797E+001
-3.4843500E-001, 4.9765500E-001, 2.5986825E+000, 8.4275099E+001
-3.6134000E-001, 5.1608667E-001, 2.2109925E+000, 7.8540591E+001
-3.7424500E-001, 5.3451833E-001, 2.0152489E+000, 7.6511379E+001
-3.8715000E-001, 5.5295000E-001, 1.7286255E+000, 7.4095913E+001
-4.0005500E-001, 5.7138167E-001, 1.6848979E+000, 7.4095913E+001
-4.1296000E-001, 5.8981333E-001, 1.4694708E+000, 7.0090502E+001
-4.2586500E-001, 6.0824500E-001, 1.2665971E+000, 6.6350322E+001
-4.3877000E-001, 6.2667667E-001, 1.2491123E+000, 6.5535011E+001
-4.5167500E-001, 6.4510833E-001, 1.0955213E+000, 6.4460716E+001
-4.6458000E-001, 6.6354000E-001, 1.0418059E+000, 6.3843965E+001
-4.7748500E-001, 6.8197167E-001, 9.5157390E-001, 6.0890510E+001
-4.9039000E-001, 7.0040333E-001, 7.9339232E-001, 5.9348139E+001
-5.0329500E-001, 7.1883500E-001, 7.9357969E-001, 5.6615854E+001
-5.1620000E-001, 7.3726667E-001, 7.3632588E-001, 5.7137540E+001
-5.2910500E-001, 7.5569833E-001, 5.7634580E-001, 5.4970717E+001
-5.4201000E-001, 7.7413000E-001, 5.6041261E-001, 5.4206576E+001
-5.5491500E-001, 7.9256167E-001, 5.1364555E-001, 5.4206576E+001
-5.6782000E-001, 8.1099333E-001, 4.6569794E-001, 5.2610941E+001
-5.8072500E-001, 8.2942500E-001, 4.5147099E-001, 5.2610941E+001
-5.9363000E-001, 8.4785667E-001, 4.0792100E-001, 4.9943051E+001
-6.0653500E-001, 8.6628833E-001, 3.5316122E-001, 4.9521610E+001
-6.1944000E-001, 8.8472000E-001, 3.4797514E-001, 4.9506783E+001
-6.3234500E-001, 9.0315167E-001, 3.2112084E-001, 4.9074364E+001
-6.4525000E-001, 9.2158333E-001, 3.0961408E-001, 4.7129502E+001
-6.5815500E-001, 9.4001500E-001, 2.6271000E-001, 4.7129502E+001
-6.7106000E-001, 9.5844667E-001, 2.6962210E-001, 4.6850415E+001
-6.8396500E-001, 9.7687833E-001, 2.4530677E-001, 4.6850415E+001
-6.9687000E-001, 9.9531000E-001, 2.4363949E-001, 4.6791841E+001
-7.0977500E-001, 1.0137417E+000, 2.0335426E-001, 4.4948287E+001
-7.2268000E-001, 1.0321733E+000, 2.1208761E-001, 4.4555110E+001
-7.3558500E-001, 1.0506050E+000, 1.8596242E-001, 4.4706444E+001
-7.4849000E-001, 1.0690367E+000, 1.7666203E-001, 4.4260308E+001
-7.6139500E-001, 1.0874683E+000, 1.6109196E-001, 4.2851092E+001
-7.7430000E-001, 1.1059000E+000, 1.7185266E-001, 4.1663767E+001
