s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,TC01,GHF01,TC02,GHF02,TC03,GHF03,TC04,GHF04,TC05,GHF05,TC06,GHF06,TC07,GHF07,TC08,GHF08,TC09,GHF09
 0.0000000E+000, 2.0000000E+001,-1.5901758E-003, 2.0000000E+001,-1.5897257E-003, 2.0000000E+001,-1.5895989E-003, 2.0000000E+001,-1.5895237E-003, 2.0000000E+001,-1.5894849E-003, 2.0000000E+001,-1.5912389E-003, 2.0000000E+001,-1.5908663E-003, 2.0000000E+001,-1.5906517E-003, 2.0000000E+001,-1.5904322E-003
 1.0753751E+000, 2.0002247E+001, 2.3833212E-001, 2.0000863E+001, 8.1004609E-002, 2.0000496E+001, 3.9055137E-002, 2.0000283E+001, 1.7320575E-002, 2.0000181E+001, 8.8487531E-003, 1.9999996E+001,-7.2175553E-005, 1.9999995E+001,-7.9479777E-005, 1.9999996E+001,-7.9683266E-005, 1.9999995E+001,-7.9728028E-005
 2.0724579E+000, 2.0028014E+001, 2.2157434E+000, 2.0010423E+001, 5.4820319E-001, 2.0006071E+001, 2.9264976E-001, 2.0003826E+001, 1.9189099E-001, 2.0002671E+001, 1.4015361E-001, 2.0000036E+001, 2.5598975E-003, 2.0000034E+001, 2.1724881E-003, 2.0000019E+001, 1.2319579E-003, 2.0000017E+001, 1.0393571E-003
 3.0325271E+000, 2.0215773E+001, 6.0445400E+000, 2.0061717E+001, 1.5885036E+000, 2.0036282E+001, 8.7462248E-001, 2.0024180E+001, 4.9073648E-001, 2.0017738E+001, 3.0764525E-001, 2.0000373E+001, 5.9004107E-003, 2.0000307E+001, 4.2852626E-003, 2.0000211E+001, 3.0705555E-003, 2.0000175E+001, 2.2055241E-003
 4.0191676E+000, 2.7043778E+001, 1.2645130E+001, 2.0212938E+001, 3.7024889E+000, 2.0113191E+001, 1.8459490E+000, 2.0066439E+001, 8.3569811E-001, 2.0044984E+001, 4.0137873E-001, 2.0001001E+001, 6.7483367E-003, 2.0000792E+001, 4.9589250E-003, 2.0000586E+001, 3.7237701E-003, 2.0000474E+001, 2.8501105E-003
 5.0913336E+000, 1.8563112E+002, 2.0870411E+001, 2.0627728E+001, 5.0175951E+000, 2.0290377E+001, 2.3281050E+000, 2.0142956E+001, 1.0470183E+000, 2.0084018E+001, 5.2385132E-001, 2.0003785E+001, 1.1566661E-001, 2.0003196E+001, 9.3065250E-002, 2.0001954E+001, 5.1554904E-002, 2.0001645E+001, 3.7633596E-002
 6.0679845E+000, 4.5335408E+002, 4.3816829E+001, 2.6757224E+001, 8.0352105E+000, 2.0622756E+001, 3.6074369E+000, 2.0272754E+001, 1.5489594E+000, 2.0146293E+001, 7.3982213E-001, 2.0017668E+001, 2.1541214E-001, 2.0013834E+001, 1.4959328E-001, 2.0008423E+001, 9.3896148E-002, 2.0006177E+001, 5.9511249E-002
 7.0185791E+000, 6.6463862E+002, 7.0583071E+001, 1.0432613E+002, 1.4249606E+001, 2.3890594E+001, 5.2326131E+000, 2.0487453E+001, 2.0677173E+000, 2.0237026E+001, 9.5282932E-001, 2.0041223E+001, 3.4937045E-001, 2.0030181E+001, 2.1619097E-001, 2.0018742E+001, 1.3558413E-001, 2.0012829E+001, 7.8695734E-002
 8.0388608E+000, 7.4759054E+002, 7.2963999E+001, 5.1096115E+002, 3.7211557E+001, 7.2729510E+001, 9.9608879E+000, 2.0950359E+001, 2.9851044E+000, 2.0378890E+001, 1.2387571E+000, 2.0081394E+001, 4.6254521E-001, 2.0054780E+001, 2.6962186E-001, 2.0034107E+001, 1.5924597E-001, 2.0022056E+001, 9.0993597E-002
 9.0048853E+000, 7.1506210E+002, 5.9744666E+001, 8.6529505E+002, 5.7142272E+001, 6.3147922E+002, 3.3417181E+001, 8.9144273E+001, 8.6083279E+000, 2.0665167E+001, 2.1330331E+000, 2.0142480E+001, 6.1585930E-001, 2.0087312E+001, 3.3092079E-001, 2.0053298E+001, 1.8568729E-001, 2.0033373E+001, 1.0562750E-001
 1.0018120E+001, 8.1315153E+002, 4.8304920E+001, 8.3211213E+002, 3.8110010E+001, 9.5979700E+002, 3.9437221E+001, 7.0195393E+002, 2.6131881E+001, 1.0401973E+002, 7.8444093E+000, 2.0247337E+001, 1.3336691E+000, 2.0141055E+001, 5.8609023E-001, 2.0080318E+001, 3.0584808E-001, 2.0048855E+001, 1.7799939E-001
 1.1006327E+001, 9.4845336E+002, 4.9673304E+001, 1.1514006E+003, 3.4863961E+001, 1.0858987E+003, 2.9929792E+001, 1.0497290E+003, 2.9379593E+001, 8.5711951E+002, 2.1872156E+001, 5.7516514E+001, 3.7078712E+000, 2.0274037E+001, 1.0263711E+000, 2.0131015E+001, 4.1908289E-001, 2.0073827E+001, 2.0345336E-001
 1.2014822E+001, 1.0109011E+003, 5.2973133E+001, 1.1515134E+003, 3.7717587E+001, 1.1493976E+003, 2.8373420E+001, 9.8397009E+002, 1.9201271E+001, 8.2484194E+002, 1.4489564E+001, 5.9900490E+002, 9.1023281E+000, 4.3470143E+002, 6.4873784E+000, 1.1837155E+002, 1.3765267E+000, 2.0112431E+001, 1.7307033E-001
 1.3001544E+001, 9.7153944E+002, 5.4630786E+001, 1.0951425E+003, 5.2225528E+001, 1.1264554E+003, 3.8502659E+001, 1.1175248E+003, 2.6035090E+001, 8.9901897E+002, 1.5757398E+001, 6.8174174E+002, 9.8261648E+000, 5.9627481E+002, 8.1685309E+000, 3.3370721E+002, 3.8596483E+000, 3.2357450E+002, 3.3568152E+000
 1.4015725E+001, 9.9427873E+002, 4.7591546E+001, 1.1065418E+003, 5.9030699E+001, 1.0994456E+003, 5.4408725E+001, 1.1054094E+003, 3.8809702E+001, 1.0885611E+003, 2.5720473E+001, 8.8768750E+002, 1.5771181E+001, 5.4932795E+002, 7.8825366E+000, 5.2199978E+002, 6.8574276E+000, 3.7940636E+002, 4.9227665E+000
