m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 1.4550295E-002, 2.0229914E+001
 2.2500000E-002, 3.7420086E+001, 6.8930666E+002
 4.5000000E-002, 4.3966586E+001, 7.9854996E+002
 6.7500000E-002, 4.7126791E+001, 8.4980459E+002
 9.0000000E-002, 4.8404101E+001, 8.8918151E+002
 1.1250000E-001, 4.8936841E+001, 9.1309931E+002
 1.3500000E-001, 4.9012217E+001, 9.1589410E+002
 1.5750000E-001, 4.8947714E+001, 9.1331486E+002
 1.8000000E-001, 4.8564670E+001, 9.0419700E+002
 2.0250000E-001, 4.7887470E+001, 8.9032654E+002
 2.2500000E-001, 4.7490469E+001, 8.8428622E+002
 2.4750000E-001, 4.6621132E+001, 8.7476342E+002
 2.7000000E-001, 4.5701297E+001, 8.7043828E+002
 2.9250000E-001, 4.4809409E+001, 8.7637220E+002
 3.1500000E-001, 4.3451845E+001, 8.6066340E+002
 3.3750000E-001, 4.2047685E+001, 8.5271197E+002
 3.6000000E-001, 4.1268559E+001, 8.4671092E+002
 3.8250000E-001, 3.9547910E+001, 8.3029958E+002
 4.0500000E-001, 3.7708524E+001, 8.1118813E+002
 4.2750000E-001, 3.5729977E+001, 7.8842018E+002
 4.5000000E-001, 3.3707572E+001, 7.6552364E+002
 4.7250000E-001, 3.2697643E+001, 7.5359577E+002
 4.9500000E-001, 3.0668464E+001, 7.2698261E+002
 5.1750000E-001, 2.8661051E+001, 6.9871879E+002
 5.4000000E-001, 2.6802754E+001, 6.7716892E+002
 5.6250000E-001, 2.5782293E+001, 6.5938001E+002
 5.8500000E-001, 2.4077533E+001, 6.3386527E+002
 6.0750000E-001, 2.2401793E+001, 6.0861775E+002
 6.3000000E-001, 2.0745426E+001, 5.8274662E+002
 6.5250000E-001, 1.9084515E+001, 5.5265670E+002
 6.7500000E-001, 1.7466755E+001, 5.1919706E+002
 6.9750000E-001, 1.6704159E+001, 5.0312188E+002
 7.2000000E-001, 1.5257957E+001, 4.7259509E+002
 7.4250000E-001, 1.3896679E+001, 4.4472289E+002
 7.6500000E-001, 1.2624156E+001, 4.1911821E+002
 7.8750000E-001, 1.2021813E+001, 4.0720799E+002
 8.1000000E-001, 1.0837334E+001, 3.8577009E+002
 8.3250000E-001, 9.8842214E+000, 3.6799535E+002
 8.5500000E-001, 9.0224651E+000, 3.5190766E+002
 8.7750000E-001, 8.2548117E+000, 3.3831969E+002
 9.0000000E-001, 7.5583457E+000, 3.2590172E+002
 9.2250000E-001, 7.2297918E+000, 3.1978254E+002
 9.4500000E-001, 6.6033541E+000, 3.0629777E+002
 9.6750000E-001, 6.0153865E+000, 2.9120011E+002
 9.9000000E-001, 5.4848232E+000, 2.7712981E+002
 1.0125000E+000, 5.0219929E+000, 2.6511825E+002
 1.0350000E+000, 4.8145702E+000, 2.6009132E+002
 1.0575000E+000, 4.4279665E+000, 2.5074324E+002
 1.0800000E+000, 4.0822778E+000, 2.4162750E+002
 1.1025000E+000, 3.7784370E+000, 2.3388848E+002
 1.1250000E+000, 3.5106344E+000, 2.2674023E+002
 1.1475000E+000, 3.3929071E+000, 2.2345134E+002
 1.1700000E+000, 3.1793064E+000, 2.1774204E+002
 1.1925000E+000, 2.9848308E+000, 2.1269229E+002
 1.2150000E+000, 2.8081566E+000, 2.0730441E+002
 1.2375000E+000, 2.6423077E+000, 2.0117667E+002
 1.2600000E+000, 2.5641884E+000, 1.9810309E+002
 1.2825000E+000, 2.4226020E+000, 1.9263260E+002
 1.3050000E+000, 2.3045647E+000, 1.8802978E+002
 1.3275000E+000, 2.1932885E+000, 1.8356751E+002
 1.3500000E+000, 2.0926810E+000, 1.7911003E+002
