m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 2.4631586E-002, 2.0644372E+001
 2.2500000E-002, 4.8173900E+001, 1.0137630E+003
 4.5000000E-002, 5.0544580E+001, 1.0249555E+003
 6.7500000E-002, 4.8114806E+001, 9.6994207E+002
 9.0000000E-002, 4.4598176E+001, 8.9221650E+002
 1.1250000E-001, 4.1328753E+001, 8.1845037E+002
 1.3500000E-001, 3.8645631E+001, 7.5819284E+002
 1.5750000E-001, 3.6448800E+001, 7.1050829E+002
 1.8000000E-001, 3.4571978E+001, 6.7564982E+002
 2.0250000E-001, 3.2860157E+001, 6.4915752E+002
 2.2500000E-001, 3.2860157E+001, 6.4915752E+002
 2.4750000E-001, 3.1224624E+001, 6.2970150E+002
 2.7000000E-001, 2.9459223E+001, 6.2832923E+002
 2.9250000E-001, 2.7996467E+001, 6.0199189E+002
 3.1500000E-001, 2.6364029E+001, 5.8898858E+002
 3.3750000E-001, 2.4709566E+001, 5.7543682E+002
 3.6000000E-001, 2.3086567E+001, 5.6241539E+002
 3.8250000E-001, 2.1489584E+001, 5.4886167E+002
 4.0500000E-001, 1.9354684E+001, 5.1617624E+002
 4.2750000E-001, 1.7867277E+001, 5.0156861E+002
 4.5000000E-001, 1.8402333E+001, 5.1912084E+002
 4.7250000E-001, 1.6942417E+001, 5.0435621E+002
 4.9500000E-001, 1.5146271E+001, 4.7524202E+002
 5.1750000E-001, 1.3906994E+001, 4.6221656E+002
 5.4000000E-001, 1.3027199E+001, 4.5936060E+002
 5.6250000E-001, 1.1909872E+001, 4.4526333E+002
 5.8500000E-001, 1.0892625E+001, 4.3215043E+002
 6.0750000E-001, 9.9608036E+000, 4.1914588E+002
 6.3000000E-001, 9.1046247E+000, 4.0571091E+002
 6.5250000E-001, 8.3302302E+000, 3.9208180E+002
 6.7500000E-001, 7.6409786E+000, 3.7874372E+002
 6.9750000E-001, 7.0281249E+000, 3.6556645E+002
 7.2000000E-001, 7.0281249E+000, 3.6556645E+002
 7.4250000E-001, 6.4783845E+000, 3.5236971E+002
 7.6500000E-001, 5.9192788E+000, 3.3754171E+002
 7.8750000E-001, 5.4968879E+000, 3.2758352E+002
 8.1000000E-001, 5.0741465E+000, 3.1437608E+002
 8.3250000E-001, 4.7743072E+000, 3.0406636E+002
 8.5500000E-001, 4.4511678E+000, 2.9315455E+002
 8.7750000E-001, 4.1321341E+000, 2.8287162E+002
 9.0000000E-001, 3.8908932E+000, 2.7270737E+002
 9.2250000E-001, 3.8908932E+000, 2.7270737E+002
 9.4500000E-001, 3.6467107E+000, 2.6286309E+002
 9.6750000E-001, 3.4242872E+000, 2.5348719E+002
 9.9000000E-001, 3.2208461E+000, 2.4465559E+002
 1.0125000E+000, 3.0359125E+000, 2.3640752E+002
 1.0350000E+000, 2.8900101E+000, 2.3169147E+002
 1.0575000E+000, 2.7403992E+000, 2.2479045E+002
 1.0800000E+000, 2.5783183E+000, 2.1522216E+002
 1.1025000E+000, 2.4546737E+000, 2.0916030E+002
 1.1250000E+000, 2.4546737E+000, 2.0916030E+002
 1.1475000E+000, 2.3607046E+000, 2.0570423E+002
 1.1700000E+000, 2.2387495E+000, 1.9842661E+002
 1.1925000E+000, 2.1455391E+000, 1.9376056E+002
 1.2150000E+000, 2.0612746E+000, 1.8940488E+002
 1.2375000E+000, 1.9856870E+000, 1.8535975E+002
 1.2600000E+000, 1.9137793E+000, 1.8039252E+002
 1.2825000E+000, 1.8539426E+000, 1.7740800E+002
 1.3050000E+000, 1.7948644E+000, 1.7352631E+002
 1.3275000E+000, 1.7417311E+000, 1.6989569E+002
 1.3500000E+000, 1.6918603E+000, 1.6654276E+002
