m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 3.0964466E-002, 2.0902509E+001
 2.2500000E-002, 3.9523548E+001, 8.0353466E+002
 4.5000000E-002, 4.3402129E+001, 8.5476563E+002
 6.7500000E-002, 4.4763795E+001, 9.0122366E+002
 9.0000000E-002, 4.4445727E+001, 9.1455338E+002
 1.1250000E-001, 4.3405395E+001, 9.0129954E+002
 1.3500000E-001, 4.2257053E+001, 8.7202144E+002
 1.5750000E-001, 4.1377090E+001, 8.4328885E+002
 1.8000000E-001, 4.0786168E+001, 8.2008728E+002
 2.0250000E-001, 4.0427785E+001, 8.0279707E+002
 2.2500000E-001, 4.0427785E+001, 8.0279707E+002
 2.4750000E-001, 4.0143446E+001, 7.6863968E+002
 2.7000000E-001, 4.0081844E+001, 7.6550094E+002
 2.9250000E-001, 3.9899641E+001, 7.7486875E+002
 3.1500000E-001, 3.9678181E+001, 7.7026448E+002
 3.3750000E-001, 3.9376291E+001, 7.6565179E+002
 3.6000000E-001, 3.8975468E+001, 7.6014003E+002
 3.8250000E-001, 3.8472197E+001, 7.5376488E+002
 4.0500000E-001, 3.8201029E+001, 7.4565636E+002
 4.2750000E-001, 3.7556174E+001, 7.4321440E+002
 4.5000000E-001, 3.7227396E+001, 7.4001282E+002
 4.7250000E-001, 3.6454546E+001, 7.3273708E+002
 4.9500000E-001, 3.5941122E+001, 7.3480698E+002
 5.1750000E-001, 3.4988472E+001, 7.2842653E+002
 5.4000000E-001, 3.3617442E+001, 7.0912716E+002
 5.6250000E-001, 3.2530412E+001, 7.0008938E+002
 5.8500000E-001, 3.1393980E+001, 6.9115137E+002
 6.0750000E-001, 3.0217496E+001, 6.8155774E+002
 6.3000000E-001, 2.9034635E+001, 6.7149569E+002
 6.5250000E-001, 2.7857168E+001, 6.6168837E+002
 6.7500000E-001, 2.6675975E+001, 6.5166986E+002
 6.9750000E-001, 2.5473406E+001, 6.4102544E+002
 7.2000000E-001, 2.5473406E+001, 6.4102544E+002
 7.4250000E-001, 2.4254653E+001, 6.2963082E+002
 7.6500000E-001, 2.3561805E+001, 6.2969127E+002
 7.8750000E-001, 2.2319563E+001, 6.1417892E+002
 8.1000000E-001, 2.1155029E+001, 5.9864634E+002
 8.3250000E-001, 1.9487016E+001, 5.6597314E+002
 8.5500000E-001, 1.8419523E+001, 5.4884686E+002
 8.7750000E-001, 1.7907491E+001, 5.4715957E+002
 9.0000000E-001, 1.6392420E+001, 5.1417779E+002
 9.2250000E-001, 1.6392420E+001, 5.1417779E+002
 9.4500000E-001, 1.5460503E+001, 4.9776772E+002
 9.6750000E-001, 1.4593378E+001, 4.8279458E+002
 9.9000000E-001, 1.3785469E+001, 4.6938127E+002
 1.0125000E+000, 1.3024876E+001, 4.5666040E+002
 1.0350000E+000, 1.2582268E+001, 4.5329181E+002
 1.0575000E+000, 1.1847488E+001, 4.3825758E+002
 1.0800000E+000, 1.0938107E+001, 4.1697242E+002
 1.1025000E+000, 1.0288155E+001, 4.0252605E+002
 1.1250000E+000, 1.0288155E+001, 4.0252605E+002
 1.1475000E+000, 9.8470671E+000, 3.9470160E+002
 1.1700000E+000, 9.0735991E+000, 3.7432399E+002
 1.1925000E+000, 8.5245187E+000, 3.6154347E+002
 1.2150000E+000, 8.0106663E+000, 3.4932031E+002
 1.2375000E+000, 7.5252989E+000, 3.3764290E+002
 1.2600000E+000, 7.1822003E+000, 3.3477139E+002
 1.2825000E+000, 6.6430767E+000, 3.1613205E+002
 1.3050000E+000, 6.2535011E+000, 3.0728683E+002
 1.3275000E+000, 5.8981735E+000, 2.9957613E+002
 1.3500000E+000, 5.6207763E+000, 2.9604221E+002
