s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,TC01,GHF01,TC02,GHF02,TC03,GHF03,TC04,GHF04,TC05,GHF05,TC06,GHF06,TC07,GHF07,TC08,GHF08,TC09,GHF09
 0.0000000E+000, 2.0000000E+001,-7.8279872E-007, 2.0000000E+001,-4.0287929E-007, 2.0000000E+001,-2.4800084E-007, 2.0000000E+001,-1.7444997E-007, 2.0000000E+001,-1.3500947E-007, 2.0000000E+001,-2.0499614E-006, 2.0000000E+001,-1.6263596E-006, 2.0000000E+001,-1.4083709E-006, 2.0000000E+001,-1.1286682E-006
 1.1290019E+000, 1.9998468E+001, 2.0911907E-001, 2.0000078E+001, 8.2388804E-002, 2.0000256E+001, 3.4566734E-002, 2.0000206E+001, 1.5590924E-002, 2.0000148E+001, 8.2796104E-003, 1.9999998E+001, 1.1658316E-005, 2.0000000E+001, 8.3822334E-007, 1.9999999E+001, 5.0418589E-008, 2.0000002E+001,-5.0694086E-008
 2.0829488E+000, 2.0015583E+001, 1.9324700E+000, 2.0007202E+001, 5.9349657E-001, 2.0004130E+001, 2.9097035E-001, 2.0002820E+001, 2.0176864E-001, 2.0002071E+001, 1.5124636E-001, 2.0000014E+001, 2.3560094E-003, 2.0000012E+001, 1.4676163E-003, 2.0000007E+001, 9.9164290E-004, 2.0000011E+001, 5.2937423E-004
 3.1259175E+000, 2.0146931E+001, 5.3938667E+000, 2.0055772E+001, 1.8289580E+000, 2.0031612E+001, 9.2491717E-001, 2.0022135E+001, 5.3820405E-001, 2.0016473E+001, 3.4715230E-001, 2.0000241E+001, 5.3266992E-003, 2.0000162E+001, 3.3870228E-003, 2.0000110E+001, 2.3325037E-003, 2.0000072E+001, 1.2791853E-003
 4.1187373E+000, 2.0527518E+001, 8.1774970E+000, 2.0173270E+001, 3.0016793E+000, 2.0094830E+001, 1.4247342E+000, 2.0062608E+001, 7.1930732E-001, 2.0044695E+001, 3.9606010E-001, 2.0000679E+001, 5.5772357E-003, 2.0000441E+001, 3.4155125E-003, 2.0000300E+001, 2.3379824E-003, 2.0000180E+001, 1.2798172E-003
 5.0946211E+000, 2.1414468E+001, 9.4176262E+000, 2.0426613E+001, 3.4413831E+000, 2.0208501E+001, 1.5195264E+000, 2.0120122E+001, 7.3755839E-001, 2.0076647E+001, 3.9936719E-001, 2.0002763E+001, 1.3768821E-001, 2.0001788E+001, 9.0407308E-002, 2.0001225E+001, 6.3329986E-002, 2.0000688E+001, 3.5530345E-002
 6.0777355E+000, 5.9176614E+001, 1.2593184E+001, 2.0810757E+001, 4.2309237E+000, 2.0355748E+001, 1.8600701E+000, 2.0190613E+001, 8.5640570E-001, 2.0114969E+001, 4.3765046E-001, 2.0015741E+001, 2.6332697E-001, 2.0010397E+001, 1.6809553E-001, 2.0007295E+001, 1.1898925E-001, 2.0004140E+001, 6.8504066E-002
 7.0517143E+000, 2.9626830E+002, 3.2277416E+001, 2.1720978E+001, 8.0439544E+000, 2.0602762E+001, 3.0131824E+000, 2.0292794E+001, 1.2902942E+000, 2.0164953E+001, 6.3000117E-001, 2.0036726E+001, 2.7430930E-001, 2.0024094E+001, 1.6681199E-001, 2.0016948E+001, 1.1455190E-001, 2.0009664E+001, 6.3256349E-002
 8.0423186E+000, 6.8149151E+002, 6.2198337E+001, 1.2656097E+002, 2.2985124E+001, 2.1160471E+001, 5.9440722E+000, 2.0475328E+001, 2.2408049E+000, 2.0244070E+001, 9.8569079E-001, 2.0063219E+001, 3.8223595E-001, 2.0040483E+001, 2.1141653E-001, 2.0028168E+001, 1.3798556E-001, 2.0015848E+001, 7.2480530E-002
