m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 4.1135359E+001, 8.3986012E+002
 2.2500000E-002, 4.1135359E+001, 8.3986012E+002
 4.5000000E-002, 4.4818338E+001, 9.3232867E+002
 6.7500000E-002, 4.4389480E+001, 9.4238436E+002
 9.0000000E-002, 4.2166286E+001, 8.8679259E+002
 1.1250000E-001, 3.9646741E+001, 8.1448999E+002
 1.3500000E-001, 3.7570831E+001, 7.5503598E+002
 1.5750000E-001, 3.6016683E+001, 7.0940516E+002
 1.8000000E-001, 3.4875053E+001, 6.7404844E+002
 2.0250000E-001, 3.3975253E+001, 6.4531160E+002
 2.2500000E-001, 3.3185603E+001, 6.2125303E+002
 2.4750000E-001, 3.3185603E+001, 6.2125303E+002
 2.7000000E-001, 3.2406376E+001, 6.0078501E+002
 2.9250000E-001, 3.1613544E+001, 5.8425550E+002
 3.1500000E-001, 3.0795824E+001, 5.7057527E+002
 3.3750000E-001, 2.9929848E+001, 5.5863172E+002
 3.6000000E-001, 2.9031320E+001, 5.4809362E+002
 3.8250000E-001, 2.8049575E+001, 5.3703346E+002
 4.0500000E-001, 2.7000555E+001, 5.2649721E+002
 4.2750000E-001, 2.5931218E+001, 5.1848679E+002
 4.5000000E-001, 2.4857274E+001, 5.1276528E+002
 4.7250000E-001, 2.4857274E+001, 5.1276528E+002
 4.9500000E-001, 2.3765322E+001, 5.0787305E+002
 5.1750000E-001, 2.2679125E+001, 5.0370658E+002
 5.4000000E-001, 2.1591324E+001, 4.9920035E+002
 5.6250000E-001, 2.0512355E+001, 4.9412049E+002
 5.8500000E-001, 1.9431182E+001, 4.8770076E+002
 6.0750000E-001, 1.8361329E+001, 4.8043431E+002
 6.3000000E-001, 1.7314646E+001, 4.7253507E+002
 6.5250000E-001, 1.6306589E+001, 4.6459587E+002
 6.7500000E-001, 1.5323853E+001, 4.5579321E+002
 6.9750000E-001, 1.5323853E+001, 4.5579321E+002
 7.2000000E-001, 1.4368697E+001, 4.4597834E+002
 7.4250000E-001, 1.3454882E+001, 4.3474838E+002
 7.6500000E-001, 1.2583906E+001, 4.2334573E+002
 7.8750000E-001, 1.1737028E+001, 4.1152883E+002
 8.1000000E-001, 1.0902076E+001, 4.0046675E+002
 8.3250000E-001, 1.0195908E+001, 3.8879290E+002
 8.5500000E-001, 9.5249889E+000, 3.7677781E+002
 8.7750000E-001, 8.8795006E+000, 3.6423229E+002
 9.0000000E-001, 8.8795006E+000, 3.6423229E+002
 9.2250000E-001, 8.2740045E+000, 3.5246701E+002
 9.4500000E-001, 7.7083972E+000, 3.4115523E+002
 9.6750000E-001, 7.1865597E+000, 3.3047308E+002
 9.9000000E-001, 6.6984539E+000, 3.1994992E+002
 1.0125000E+000, 6.2539287E+000, 3.1039436E+002
 1.0350000E+000, 5.8474594E+000, 3.0145048E+002
 1.0575000E+000, 5.4802311E+000, 2.9344970E+002
 1.0800000E+000, 5.1365651E+000, 2.8541271E+002
 1.1025000E+000, 4.8234445E+000, 2.7807105E+002
 1.1250000E+000, 4.8234445E+000, 2.7807105E+002
 1.1475000E+000, 4.5285361E+000, 2.7065425E+002
 1.1700000E+000, 4.2562558E+000, 2.6308026E+002
 1.1925000E+000, 4.0059311E+000, 2.5594252E+002
 1.2150000E+000, 3.7793845E+000, 2.4908343E+002
 1.2375000E+000, 3.5688046E+000, 2.4302216E+002
 1.2600000E+000, 3.3739716E+000, 2.3641283E+002
 1.2825000E+000, 3.1889760E+000, 2.3042655E+002
 1.3050000E+000, 3.0251361E+000, 2.2398798E+002
 1.3275000E+000, 2.8678157E+000, 2.1875848E+002
 1.3500000E+000, 2.7272918E+000, 2.1288215E+002
