m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 5.9671531E-001, 2.8008728E+001
-2.0711667E-002, 8.7916667E-003, 2.2383552E+001, 1.2018120E+002
-4.1423333E-002, 1.7583333E-002, 1.7961804E+001, 7.3112062E+001
-6.2135000E-002, 2.6375000E-002, 1.3954182E+001, 6.8622130E+001
-8.2846667E-002, 3.5166667E-002, 1.2149156E+001, 7.9931714E+001
-1.0355833E-001, 4.3958333E-002, 1.0452934E+001, 5.8202446E+001
-1.2427000E-001, 5.2750000E-002, 9.6691279E+000, 5.8202446E+001
-1.4498167E-001, 6.1541667E-002, 8.6594719E+000, 6.5133500E+001
-1.6569333E-001, 7.0333333E-002, 7.7277917E+000, 5.7200141E+001
-1.8640500E-001, 7.9125000E-002, 6.4500057E+000, 6.2485561E+001
-2.0711667E-001, 8.7916667E-002, 5.8014689E+000, 5.3857637E+001
-2.2782833E-001, 9.6708333E-002, 5.3642480E+000, 5.5684050E+001
-2.4854000E-001, 1.0550000E-001, 5.0230803E+000, 5.5684050E+001
-2.6925167E-001, 1.1429167E-001, 4.6366775E+000, 6.1341850E+001
-2.8996333E-001, 1.2308333E-001, 4.1974827E+000, 5.0820497E+001
-3.1067500E-001, 1.3187500E-001, 3.6415934E+000, 5.2312523E+001
-3.3138667E-001, 1.4066667E-001, 3.3033787E+000, 4.5405189E+001
-3.5209833E-001, 1.4945833E-001, 3.0922632E+000, 4.6196295E+001
-3.7281000E-001, 1.5825000E-001, 2.8590812E+000, 4.6196295E+001
-3.9352167E-001, 1.6704167E-001, 2.6162439E+000, 4.2528471E+001
-4.1423333E-001, 1.7583333E-001, 2.3012978E+000, 4.4424102E+001
-4.3494500E-001, 1.8462500E-001, 2.1440489E+000, 4.6519156E+001
-4.5565667E-001, 1.9341667E-001, 1.9592730E+000, 4.2995667E+001
-4.7636833E-001, 2.0220833E-001, 1.8565390E+000, 4.3379929E+001
-4.9708000E-001, 2.1100000E-001, 1.7242658E+000, 4.4061680E+001
-5.1779167E-001, 2.1979167E-001, 1.5708376E+000, 4.0353256E+001
-5.3850333E-001, 2.2858333E-001, 1.3677303E+000, 4.0454056E+001
-5.5921500E-001, 2.3737500E-001, 1.2444821E+000, 3.7422040E+001
-5.7992667E-001, 2.4616667E-001, 1.1825838E+000, 3.7901343E+001
-6.0063833E-001, 2.5495833E-001, 1.0962921E+000, 3.7901343E+001
-6.2135000E-001, 2.6375000E-001, 1.0227015E+000, 3.8471005E+001
-6.4206167E-001, 2.7254167E-001, 8.8330619E-001, 3.5670543E+001
-6.6277333E-001, 2.8133333E-001, 8.1974655E-001, 3.5320012E+001
-6.8348500E-001, 2.9012500E-001, 7.5341851E-001, 3.3219075E+001
-7.0419667E-001, 2.9891667E-001, 7.0549239E-001, 3.2782161E+001
-7.2490833E-001, 3.0770833E-001, 6.4624062E-001, 3.2782161E+001
-7.4562000E-001, 3.1650000E-001, 5.9553322E-001, 3.1072056E+001
-7.6633167E-001, 3.2529167E-001, 5.2667359E-001, 3.0946487E+001
-7.8704333E-001, 3.3408333E-001, 4.9170223E-001, 3.1166471E+001
-8.0775500E-001, 3.4287500E-001, 4.4807270E-001, 2.9566030E+001
-8.2846667E-001, 3.5166667E-001, 4.2775452E-001, 2.9999981E+001
-8.4917833E-001, 3.6045833E-001, 3.9141027E-001, 2.9435952E+001
-8.6989000E-001, 3.6925000E-001, 3.6156299E-001, 2.8396885E+001
-8.9060167E-001, 3.7804167E-001, 3.1789396E-001, 2.8169244E+001
-9.1131333E-001, 3.8683333E-001, 2.9286629E-001, 2.8211088E+001
-9.3202500E-001, 3.9562500E-001, 2.7352641E-001, 2.7100686E+001
-9.5273667E-001, 4.0441667E-001, 2.5432866E-001, 2.7100686E+001
-9.7344833E-001, 4.1320833E-001, 2.3972517E-001, 2.7073412E+001
-9.9416000E-001, 4.2200000E-001, 2.1932740E-001, 2.6355413E+001
-1.0148717E+000, 4.3079167E-001, 1.9105433E-001, 2.6182217E+001
-1.0355833E+000, 4.3958333E-001, 1.7392753E-001, 2.5418549E+001
-1.0562950E+000, 4.4837500E-001, 1.6518212E-001, 2.5041962E+001
-1.0770067E+000, 4.5716667E-001, 1.5196425E-001, 2.5041962E+001
-1.0977183E+000, 4.6595833E-001, 1.4208391E-001, 2.4910940E+001
-1.1184300E+000, 4.7475000E-001, 1.2497687E-001, 2.4055331E+001
-1.1391417E+000, 4.8354167E-001, 1.1665199E-001, 2.4021999E+001
-1.1598533E+000, 4.9233333E-001, 1.0778859E-001, 2.3292653E+001
-1.1805650E+000, 5.0112500E-001, 1.0314889E-001, 2.2923100E+001
-1.2012767E+000, 5.0991667E-001, 8.5112217E-002, 2.2682783E+001
-1.2219883E+000, 5.1870833E-001, 8.2193681E-002, 2.2618541E+001
-1.2427000E+000, 5.2750000E-001, 7.4847556E-002, 2.2618541E+001
