s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,TC01,GHF01,TC02,GHF02,TC03,GHF03,TC04,GHF04,TC05,GHF05,TC06,GHF06,TC07,GHF07,TC08,GHF08,TC09,GHF09
 0.0000000E+000, 2.0000000E+001,-1.5903250E-003, 2.0000000E+001,-1.5897906E-003, 2.0000000E+001,-1.5896683E-003, 2.0000000E+001,-1.5895406E-003, 2.0000000E+001,-1.5895049E-003, 2.0000000E+001,-1.5914750E-003, 2.0000000E+001,-1.5908787E-003, 2.0000000E+001,-1.5906464E-003, 2.0000000E+001,-1.5903128E-003
 1.1290019E+000, 2.0003084E+001, 4.9338298E-001, 2.0001147E+001, 1.6554290E-001, 2.0000771E+001, 1.0156948E-001, 2.0000398E+001, 4.2344265E-002, 2.0000301E+001, 2.8664704E-002, 2.0000000E+001,-1.5894650E-003, 2.0000000E+001,-1.5894377E-003, 2.0000000E+001,-1.5894269E-003, 2.0000000E+001,-1.5894100E-003
 2.2580038E+000, 2.0031119E+001, 7.4615865E-001, 2.0006862E+001, 2.4606587E-001, 2.0004522E+001, 1.4569655E-001, 2.0002242E+001, 5.6453063E-002, 2.0001662E+001, 3.7378266E-002, 2.0000003E+001, 1.8731264E-003, 1.9999999E+001, 1.7205025E-003, 1.9999998E+001, 1.6449563E-003, 1.9999998E+001, 1.5985242E-003
 3.3870057E+000, 2.1270916E+001, 1.8660760E+000, 2.0016544E+001, 4.8498249E-001, 2.0010368E+001, 2.8701207E-001, 2.0004728E+001, 1.3115941E-001, 2.0003421E+001, 9.7250698E-002, 2.0000052E+001, 5.3642600E-003, 2.0000024E+001, 2.7857803E-003, 2.0000018E+001, 2.3045725E-003, 2.0000014E+001, 1.6615355E-003
 4.3626261E+000, 3.0260979E+001, 3.0078588E+000, 2.0038920E+001, 7.2392634E-001, 2.0024855E+001, 4.2834347E-001, 2.0012152E+001, 2.0587268E-001, 2.0009111E+001, 1.5712789E-001, 2.0000416E+001, 8.8557166E-003, 2.0000211E+001, 3.8512242E-003, 2.0000174E+001, 2.9643284E-003, 2.0000129E+001, 1.7246480E-003
 5.0943131E+000, 6.0437293E+001, 7.5626941E+000, 2.0067997E+001, 1.5659361E+000, 2.0043849E+001, 9.6982436E-001, 2.0022334E+001, 5.2274301E-001, 2.0017109E+001, 4.1653753E-001, 2.0000886E+001, 1.5218146E-002, 2.0000488E+001, 9.8921292E-003, 2.0000408E+001, 7.9206791E-003, 2.0000304E+001, 4.9271668E-003
 6.1244865E+000, 1.3194578E+002, 1.1422514E+001, 2.0135370E+001, 2.0824203E+000, 2.0087703E+001, 1.2545933E+000, 2.0046261E+001, 6.1430544E-001, 2.0036185E+001, 4.6754560E-001, 2.0001695E+001, 1.7580204E-002, 2.0001055E+001, 1.1212158E-002, 2.0000888E+001, 9.1089320E-003, 2.0000658E+001, 6.0124588E-003
 7.0819938E+000, 2.3841478E+002, 1.9618219E+001, 2.0324122E+001, 3.6539905E+000, 2.0162757E+001, 2.0835647E+000, 2.0082141E+001, 8.5190065E-001, 2.0063650E+001, 5.9265506E-001, 2.0002736E+001, 1.9892264E-002, 2.0001782E+001, 1.2275790E-002, 2.0001502E+001, 9.9239496E-003, 2.0001119E+001, 6.6440323E-003
 8.0758825E+000, 3.2255858E+002, 3.0846808E+001, 7.4566687E+001, 7.3324200E+000, 2.0544959E+001, 3.4158943E+000, 2.0137089E+001, 1.1122833E+000, 2.0101825E+001, 7.1152894E-001, 2.0004415E+001, 7.9827433E-002, 2.0002817E+001, 3.8250030E-002, 2.0002359E+001, 3.0026578E-002, 2.0001748E+001, 1.8212895E-002
