m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 2.3056155E-002, 2.0499998E+001
 2.2500000E-002, 4.5020704E+001, 8.0297453E+002
 4.5000000E-002, 4.5020704E+001, 8.0297453E+002
 6.7500000E-002, 3.8168501E+001, 6.9527571E+002
 9.0000000E-002, 3.8168501E+001, 6.9527571E+002
 1.1250000E-001, 2.9361272E+001, 5.8343669E+002
 1.3500000E-001, 2.9361272E+001, 5.8343669E+002
 1.5750000E-001, 2.2723971E+001, 5.0500336E+002
 1.8000000E-001, 2.2723971E+001, 5.0500336E+002
 2.0250000E-001, 1.7883046E+001, 4.5139355E+002
 2.2500000E-001, 1.7883046E+001, 4.5139355E+002
 2.4750000E-001, 1.7883046E+001, 4.5139355E+002
 2.7000000E-001, 1.4229189E+001, 4.1131123E+002
 2.9250000E-001, 1.4229189E+001, 4.1131123E+002
 3.1500000E-001, 1.1472297E+001, 3.7931217E+002
 3.3750000E-001, 1.1472297E+001, 3.7931217E+002
 3.6000000E-001, 9.3910186E+000, 3.5213807E+002
 3.8250000E-001, 9.3910186E+000, 3.5213807E+002
 4.0500000E-001, 7.8082900E+000, 3.2883015E+002
 4.2750000E-001, 7.8082900E+000, 3.2883015E+002
 4.5000000E-001, 7.8082900E+000, 3.2883015E+002
 4.7250000E-001, 6.5965814E+000, 3.0884233E+002
 4.9500000E-001, 6.5965814E+000, 3.0884233E+002
 5.1750000E-001, 5.6594403E+000, 2.9110332E+002
 5.4000000E-001, 5.6594403E+000, 2.9110332E+002
 5.6250000E-001, 4.9196340E+000, 2.7501322E+002
 5.8500000E-001, 4.9196340E+000, 2.7501322E+002
 6.0750000E-001, 4.3221179E+000, 2.6028969E+002
 6.3000000E-001, 4.3221179E+000, 2.6028969E+002
 6.5250000E-001, 3.8288056E+000, 2.4650187E+002
 6.7500000E-001, 3.8288056E+000, 2.4650187E+002
 6.9750000E-001, 3.4128108E+000, 2.3323826E+002
 7.2000000E-001, 3.4128108E+000, 2.3323826E+002
 7.4250000E-001, 3.4128108E+000, 2.3323826E+002
 7.6500000E-001, 2.9374308E+000, 2.1293625E+002
 7.8750000E-001, 2.9374308E+000, 2.1293625E+002
 8.1000000E-001, 2.6382221E+000, 2.0183526E+002
 8.3250000E-001, 2.6382221E+000, 2.0183526E+002
 8.5500000E-001, 2.6382221E+000, 2.0183526E+002
 8.7750000E-001, 2.3852802E+000, 1.9199084E+002
 9.0000000E-001, 2.3852802E+000, 1.9199084E+002
 9.2250000E-001, 2.2192183E+000, 1.8601197E+002
 9.4500000E-001, 2.2192183E+000, 1.8601197E+002
 9.6750000E-001, 1.9718470E+000, 1.7420607E+002
 9.9000000E-001, 1.9718470E+000, 1.7420607E+002
 1.0125000E+000, 1.8185899E+000, 1.6728567E+002
 1.0350000E+000, 1.8185899E+000, 1.6728567E+002
 1.0575000E+000, 1.6655623E+000, 1.5911154E+002
 1.0800000E+000, 1.6655623E+000, 1.5911154E+002
 1.1025000E+000, 1.5327883E+000, 1.5185224E+002
 1.1250000E+000, 1.5327883E+000, 1.5185224E+002
 1.1475000E+000, 1.5327883E+000, 1.5185224E+002
 1.1700000E+000, 1.4204997E+000, 1.4521146E+002
 1.1925000E+000, 1.4204997E+000, 1.4521146E+002
 1.2150000E+000, 1.3260228E+000, 1.3912675E+002
 1.2375000E+000, 1.3260228E+000, 1.3912675E+002
 1.2600000E+000, 1.2447806E+000, 1.3347637E+002
 1.2825000E+000, 1.2447806E+000, 1.3347637E+002
 1.3050000E+000, 1.1757502E+000, 1.2817035E+002
 1.3275000E+000, 1.1757502E+000, 1.2817035E+002
 1.3500000E+000, 1.1245565E+000, 1.2348988E+002
