m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 4.2353078E-001, 2.6387882E+001
-2.0711667E-002, 8.7916667E-003, 1.4887550E+001, 7.2257345E+001
-4.1423333E-002, 1.7583333E-002, 1.1755352E+001, 5.5287130E+001
-6.2135000E-002, 2.6375000E-002, 8.4058988E+000, 5.1103150E+001
-8.2846667E-002, 3.5166667E-002, 7.2650302E+000, 6.3008298E+001
-1.0355833E-001, 4.3958333E-002, 6.1200182E+000, 4.5654331E+001
-1.2427000E-001, 5.2750000E-002, 5.3637186E+000, 4.5654331E+001
-1.4498167E-001, 6.1541667E-002, 4.7565079E+000, 4.9972205E+001
-1.6569333E-001, 7.0333333E-002, 4.2016527E+000, 4.3776389E+001
-1.8640500E-001, 7.9125000E-002, 3.2710771E+000, 4.5922468E+001
-2.0711667E-001, 8.7916667E-002, 2.8944021E+000, 3.9380933E+001
-2.2782833E-001, 9.6708333E-002, 2.6556375E+000, 4.0102702E+001
-2.4854000E-001, 1.0550000E-001, 2.3650057E+000, 4.0102702E+001
-2.6925167E-001, 1.1429167E-001, 2.1678814E+000, 4.3560222E+001
-2.8996333E-001, 1.2308333E-001, 1.9484288E+000, 3.7587936E+001
-3.1067500E-001, 1.3187500E-001, 1.6017109E+000, 3.9692828E+001
-3.3138667E-001, 1.4066667E-001, 1.4460599E+000, 3.6059520E+001
-3.5209833E-001, 1.4945833E-001, 1.3884597E+000, 3.7522371E+001
-3.7281000E-001, 1.5825000E-001, 1.2109901E+000, 3.7522371E+001
-3.9352167E-001, 1.6704167E-001, 1.1040928E+000, 3.5113134E+001
-4.1423333E-001, 1.7583333E-001, 8.8487802E-001, 3.3953710E+001
-4.3494500E-001, 1.8462500E-001, 8.1762647E-001, 3.4170807E+001
-4.5565667E-001, 1.9341667E-001, 7.6814176E-001, 3.2186284E+001
-4.7636833E-001, 2.0220833E-001, 6.6294843E-001, 3.1923648E+001
-4.9708000E-001, 2.1100000E-001, 6.1227171E-001, 3.2028041E+001
-5.1779167E-001, 2.1979167E-001, 5.5736048E-001, 3.0406642E+001
-5.3850333E-001, 2.2858333E-001, 4.5284682E-001, 3.0400189E+001
-5.5921500E-001, 2.3737500E-001, 4.2867869E-001, 2.9174397E+001
-5.7992667E-001, 2.4616667E-001, 3.8967199E-001, 2.8386484E+001
-6.0063833E-001, 2.5495833E-001, 3.3628244E-001, 2.8386484E+001
-6.2135000E-001, 2.6375000E-001, 3.1071595E-001, 2.8160421E+001
-6.4206167E-001, 2.7254167E-001, 2.4920480E-001, 2.6250319E+001
-6.6277333E-001, 2.8133333E-001, 2.2950349E-001, 2.6042806E+001
-6.8348500E-001, 2.9012500E-001, 2.0968109E-001, 2.5056736E+001
-7.0419667E-001, 2.9891667E-001, 2.0912925E-001, 2.5145011E+001
-7.2490833E-001, 3.0770833E-001, 1.7663505E-001, 2.5145011E+001
-7.4562000E-001, 3.1650000E-001, 1.6190625E-001, 2.4381477E+001
-7.6633167E-001, 3.2529167E-001, 1.2426984E-001, 2.3399094E+001
-7.8704333E-001, 3.3408333E-001, 1.1462236E-001, 2.3372430E+001
-8.0775500E-001, 3.4287500E-001, 1.1200823E-001, 2.3128168E+001
-8.2846667E-001, 3.5166667E-001, 9.2297028E-002, 2.2712371E+001
-8.4917833E-001, 3.6045833E-001, 9.0897146E-002, 2.3161584E+001
-8.6989000E-001, 3.6925000E-001, 8.3183099E-002, 2.2652299E+001
-8.9060167E-001, 3.7804167E-001, 6.2448390E-002, 2.2327056E+001
-9.1131333E-001, 3.8683333E-001, 6.2468895E-002, 2.2308249E+001
-9.3202500E-001, 3.9562500E-001, 5.7810955E-002, 2.1926816E+001
-9.5273667E-001, 4.0441667E-001, 5.0344331E-002, 2.1926816E+001
-9.7344833E-001, 4.1320833E-001, 4.3073585E-002, 2.1956367E+001
-9.9416000E-001, 4.2200000E-001, 4.0118896E-002, 2.1610784E+001
-1.0148717E+000, 4.3079167E-001, 3.0748797E-002, 2.1498662E+001
-1.0355833E+000, 4.3958333E-001, 2.9551659E-002, 2.1038192E+001
-1.0562950E+000, 4.4837500E-001, 2.8448400E-002, 2.0844517E+001
-1.0770067E+000, 4.5716667E-001, 2.4931729E-002, 2.0844517E+001
-1.0977183E+000, 4.6595833E-001, 2.3073554E-002, 2.0725020E+001
-1.1184300E+000, 4.7475000E-001, 1.6494020E-002, 2.0609906E+001
-1.1391417E+000, 4.8354167E-001, 1.5090700E-002, 2.0557689E+001
-1.1598533E+000, 4.9233333E-001, 1.3519290E-002, 2.0457252E+001
-1.1805650E+000, 5.0112500E-001, 1.2755883E-002, 2.0300733E+001
-1.2012767E+000, 5.0991667E-001, 9.4924533E-003, 2.0426470E+001
-1.2219883E+000, 5.1870833E-001, 8.8575602E-003, 2.0336098E+001
-1.2427000E+000, 5.2750000E-001, 7.3639231E-003, 2.0336098E+001
