m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 3.2378833E-002, 2.0819938E+001
 2.2500000E-002, 5.8223264E+001, 1.0463861E+003
 4.5000000E-002, 5.8223264E+001, 1.0463861E+003
 6.7500000E-002, 5.6031446E+001, 9.7599990E+002
 9.0000000E-002, 5.6031446E+001, 9.7599990E+002
 1.1250000E-001, 5.0537621E+001, 8.9159849E+002
 1.3500000E-001, 5.0537621E+001, 8.9159849E+002
 1.5750000E-001, 4.5614724E+001, 8.1220727E+002
 1.8000000E-001, 4.5614724E+001, 8.1220727E+002
 2.0250000E-001, 4.1297122E+001, 7.4833923E+002
 2.2500000E-001, 4.1297122E+001, 7.4833923E+002
 2.4750000E-001, 4.1297122E+001, 7.4833923E+002
 2.7000000E-001, 3.7188849E+001, 7.0095594E+002
 2.9250000E-001, 3.7188849E+001, 7.0095594E+002
 3.1500000E-001, 3.3111511E+001, 6.6205503E+002
 3.3750000E-001, 3.3111511E+001, 6.6205503E+002
 3.6000000E-001, 2.9120011E+001, 6.2858210E+002
 3.8250000E-001, 2.9120011E+001, 6.2858210E+002
 4.0500000E-001, 2.5281396E+001, 5.9521196E+002
 4.2750000E-001, 2.5281396E+001, 5.9521196E+002
 4.5000000E-001, 2.5281396E+001, 5.9521196E+002
 4.7250000E-001, 2.1713808E+001, 5.6236179E+002
 4.9500000E-001, 2.1713808E+001, 5.6236179E+002
 5.1750000E-001, 1.8514106E+001, 5.3058375E+002
 5.4000000E-001, 1.8514106E+001, 5.3058375E+002
 5.6250000E-001, 1.5779288E+001, 5.0240822E+002
 5.8500000E-001, 1.5779288E+001, 5.0240822E+002
 6.0750000E-001, 1.3481787E+001, 4.7611654E+002
 6.3000000E-001, 1.3481787E+001, 4.7611654E+002
 6.5250000E-001, 1.1558493E+001, 4.5067886E+002
 6.7500000E-001, 1.1558493E+001, 4.5067886E+002
 6.9750000E-001, 9.9605760E+000, 4.2597120E+002
 7.2000000E-001, 9.9605760E+000, 4.2597120E+002
 7.4250000E-001, 9.9605760E+000, 4.2597120E+002
 7.6500000E-001, 8.7258485E+000, 4.0518307E+002
 7.8750000E-001, 8.7258485E+000, 4.0518307E+002
 8.1000000E-001, 7.6035863E+000, 3.8031684E+002
 8.3250000E-001, 7.6035863E+000, 3.8031684E+002
 8.5500000E-001, 7.6035863E+000, 3.8031684E+002
 8.7750000E-001, 6.7031019E+000, 3.5836386E+002
 9.0000000E-001, 6.7031019E+000, 3.5836386E+002
 9.2250000E-001, 5.9105922E+000, 3.3739258E+002
 9.4500000E-001, 5.9105922E+000, 3.3739258E+002
 9.6750000E-001, 5.3259264E+000, 3.1834646E+002
 9.9000000E-001, 5.3259264E+000, 3.1834646E+002
 1.0125000E+000, 4.7427481E+000, 2.9999791E+002
 1.0350000E+000, 4.7427481E+000, 2.9999791E+002
 1.0575000E+000, 4.2857425E+000, 2.8282853E+002
 1.0800000E+000, 4.2857425E+000, 2.8282853E+002
 1.1025000E+000, 3.8928513E+000, 2.6728312E+002
 1.1250000E+000, 3.8928513E+000, 2.6728312E+002
 1.1475000E+000, 3.8928513E+000, 2.6728312E+002
 1.1700000E+000, 3.5617005E+000, 2.5338349E+002
 1.1925000E+000, 3.5617005E+000, 2.5338349E+002
 1.2150000E+000, 3.2824320E+000, 2.4129879E+002
 1.2375000E+000, 3.2824320E+000, 2.4129879E+002
 1.2600000E+000, 3.0461908E+000, 2.3068702E+002
 1.2825000E+000, 3.0461908E+000, 2.3068702E+002
 1.3050000E+000, 2.8442304E+000, 2.2027967E+002
 1.3275000E+000, 2.8442304E+000, 2.2027967E+002
 1.3500000E+000, 2.6838451E+000, 2.1132445E+002
