m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 4.3132275E-002, 2.3839225E+001
-4.2933333E-003, 2.2086667E-002, 4.5619746E+001, 9.2726313E+002
-8.5866667E-003, 4.4173333E-002, 4.6128092E+001, 9.4217296E+002
-1.2880000E-002, 6.6260000E-002, 4.3724794E+001, 9.1450068E+002
-1.7173333E-002, 8.8346667E-002, 4.1200277E+001, 8.2508245E+002
-2.1466667E-002, 1.1043333E-001, 3.7100439E+001, 7.1073649E+002
-2.5760000E-002, 1.3252000E-001, 3.4905883E+001, 6.4730482E+002
-3.0053333E-002, 1.5460667E-001, 3.2690243E+001, 6.0981654E+002
-3.4346667E-002, 1.7669333E-001, 3.1613077E+001, 6.1631415E+002
-3.8640000E-002, 1.9878000E-001, 3.1164034E+001, 5.7363303E+002
-4.2933333E-002, 2.2086667E-001, 3.0111930E+001, 5.3081229E+002
-4.7226667E-002, 2.4295333E-001, 2.8432374E+001, 4.8258538E+002
-5.1520000E-002, 2.6504000E-001, 2.6775216E+001, 4.5954942E+002
-5.5813333E-002, 2.8712667E-001, 2.5569201E+001, 4.4871456E+002
-6.0106667E-002, 3.0921333E-001, 2.4172795E+001, 4.4762729E+002
-6.4400000E-002, 3.3130000E-001, 2.3003397E+001, 4.1548192E+002
-6.8693333E-002, 3.5338667E-001, 2.1421564E+001, 3.9245199E+002
-7.2986667E-002, 3.7547333E-001, 2.0207365E+001, 3.7443488E+002
-7.7280000E-002, 3.9756000E-001, 1.9557034E+001, 3.7443488E+002
-8.1573333E-002, 4.1964667E-001, 1.8340755E+001, 3.6499327E+002
-8.5866667E-002, 4.4173333E-001, 1.7108574E+001, 3.5466171E+002
-9.0160000E-002, 4.6382000E-001, 1.5914084E+001, 3.3792272E+002
-9.4453333E-002, 4.8590667E-001, 1.4640476E+001, 3.2147925E+002
-9.8746667E-002, 5.0799333E-001, 1.3580983E+001, 3.0573314E+002
-1.0304000E-001, 5.3008000E-001, 1.1981947E+001, 2.9571719E+002
-1.0733333E-001, 5.5216667E-001, 1.1066601E+001, 2.8596464E+002
-1.1162667E-001, 5.7425333E-001, 1.1066601E+001, 2.8596464E+002
-1.1592000E-001, 5.9634000E-001, 1.0033308E+001, 2.6202488E+002
-1.2021333E-001, 6.1842667E-001, 9.1078149E+000, 2.4698051E+002
-1.2450667E-001, 6.4051333E-001, 7.9075540E+000, 2.3993929E+002
-1.2880000E-001, 6.6260000E-001, 7.2446318E+000, 2.2864685E+002
-1.3309333E-001, 6.8468667E-001, 6.6945059E+000, 2.1873174E+002
-1.3738667E-001, 7.0677333E-001, 6.0966264E+000, 2.0455163E+002
-1.4168000E-001, 7.2886000E-001, 5.5244887E+000, 1.9225364E+002
-1.4597333E-001, 7.5094667E-001, 5.4492815E+000, 1.8870188E+002
-1.5026667E-001, 7.7303333E-001, 4.9965394E+000, 1.7942719E+002
-1.5456000E-001, 7.9512000E-001, 4.0478700E+000, 1.6986518E+002
-1.5885333E-001, 8.1720667E-001, 3.9281538E+000, 1.6515266E+002
-1.6314667E-001, 8.3929333E-001, 3.6146567E+000, 1.5556912E+002
-1.6744000E-001, 8.6138000E-001, 3.2977105E+000, 1.4745015E+002
-1.7173333E-001, 8.8346667E-001, 3.0171713E+000, 1.4056650E+002
-1.7602667E-001, 9.0555333E-001, 2.8501471E+000, 1.3670922E+002
-1.8032000E-001, 9.2764000E-001, 2.4102236E+000, 1.3352368E+002
-1.8461333E-001, 9.4972667E-001, 2.3956915E+000, 1.3097380E+002
-1.8890667E-001, 9.7181333E-001, 2.2522522E+000, 1.2763024E+002
-1.9320000E-001, 9.9390000E-001, 2.1185451E+000, 1.2552284E+002
-1.9749333E-001, 1.0159867E+000, 1.9728332E+000, 1.2120686E+002
-2.0178667E-001, 1.0380733E+000, 1.5664669E+000, 1.1542345E+002
-2.0608000E-001, 1.0601600E+000, 1.5629817E+000, 1.1362576E+002
-2.1037333E-001, 1.0822467E+000, 1.5074139E+000, 1.1163764E+002
-2.1466667E-001, 1.1043333E+000, 1.4278764E+000, 1.0909321E+002
-2.1896000E-001, 1.1264200E+000, 1.3513353E+000, 1.0614010E+002
-2.2325333E-001, 1.1485067E+000, 1.3100992E+000, 1.0355060E+002
-2.2754667E-001, 1.1705933E+000, 1.0395754E+000, 1.0402938E+002
-2.3184000E-001, 1.1926800E+000, 1.0857630E+000, 1.0300256E+002
-2.3613333E-001, 1.2147667E+000, 1.0841850E+000, 1.0166014E+002
-2.4042667E-001, 1.2368533E+000, 1.0401161E+000, 9.8741137E+001
-2.4472000E-001, 1.2589400E+000, 1.0108716E+000, 9.7254240E+001
-2.4901333E-001, 1.2810267E+000, 9.8478043E-001, 9.3834967E+001
-2.5330667E-001, 1.3031133E+000, 7.9415216E-001, 9.2610042E+001
-2.5760000E-001, 1.3252000E+000, 8.2456939E-001, 9.1552127E+001
