s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,TC01,GHF01,TC02,GHF02,TC03,GHF03,TC04,GHF04,TC05,GHF05,TC06,GHF06,TC07,GHF07,TC08,GHF08,TC09,GHF09
 0.0000000E+000, 2.0000000E+001,-4.7657287E-003, 2.0000000E+001,-4.3504302E-003, 2.0000000E+001,-4.2863877E-003, 2.0000000E+001,-4.2759765E-003, 2.0000000E+001,-4.2713809E-003, 2.0000000E+001,-4.2698243E-003, 2.0000000E+001,-4.6318563E-003, 2.0000000E+001,-4.3294481E-003, 2.0000000E+001,-4.2830428E-003
 1.0891936E+000, 2.0000414E+001, 1.2008445E-002, 2.0000140E+001, 2.2339743E-003, 2.0000066E+001,-2.1475344E-003, 1.9999996E+001,-4.2706876E-003, 1.9999996E+001,-4.2706213E-003, 1.9999993E+001,-4.2698125E-003, 1.9999973E+001,-4.6319005E-003, 1.9999991E+001,-4.3294596E-003, 1.9999990E+001,-4.2830564E-003
 2.1811436E+000, 2.0011973E+001, 7.5013397E-001, 2.0004903E+001, 4.5599615E-001, 2.0002463E+001, 1.9495046E-001, 1.9999973E+001,-3.7464888E-003, 1.9999958E+001,-4.0127613E-003, 1.9999936E+001,-4.1972972E-003, 1.9999781E+001,-4.6024281E-003, 1.9999916E+001,-4.3175108E-003, 1.9999903E+001,-4.2796751E-003
 3.0314899E+000, 2.0084522E+001, 1.4994276E+000, 2.0033607E+001, 8.8663778E-001, 2.0017648E+001, 3.8928097E-001, 1.9999964E+001,-3.3021623E-003, 1.9999924E+001,-3.8031603E-003, 1.9999874E+001,-4.1090289E-003, 1.9999566E+001,-4.5646915E-003, 1.9999830E+001,-4.3015304E-003, 1.9999800E+001,-4.2749109E-003
 4.0707212E+000, 2.0287471E+001, 2.3792793E+000, 2.0100678E+001, 1.0230337E+000, 2.0051538E+001, 4.0812024E-001, 1.9999991E+001,-3.2799368E-003, 1.9999924E+001,-3.7999729E-003, 1.9999847E+001,-4.1089157E-003, 1.9999427E+001,-4.5649141E-003, 1.9999774E+001,-4.3015983E-003, 1.9999729E+001,-4.2750081E-003
 5.1019589E+000, 2.0721105E+001, 4.8434613E+000, 2.0221542E+001, 1.4798393E+000, 2.0113320E+001, 7.3051767E-001, 2.0002584E+001, 1.7282549E-001, 2.0001225E+001, 8.5600985E-002, 2.0000380E+001, 2.5482933E-002, 1.9999616E+001, 8.3638938E-003, 1.9999827E+001, 1.2284783E-003, 1.9999722E+001,-2.5587980E-003
 6.0324924E+000, 2.1379345E+001, 8.6201501E+000, 2.0396829E+001, 2.0746152E+000, 2.0212501E+001, 8.7777405E-001, 2.0012811E+001, 2.3569431E-001, 2.0006224E+001, 1.1863687E-001, 2.0002652E+001, 3.8369854E-002, 2.0000868E+001, 1.4161590E-002, 2.0000185E+001, 3.7690007E-003, 1.9999873E+001,-1.7466179E-003
 7.0335690E+000, 2.2450956E+001, 1.3004296E+001, 2.0699855E+001, 5.0020837E+000, 2.0358758E+001, 1.4181606E+000, 2.0034281E+001, 4.5597404E-001, 2.0017055E+001, 2.4494265E-001, 2.0007696E+001, 9.3298629E-002, 2.0003619E+001, 3.9536924E-002, 2.0001005E+001, 1.5206148E-002, 2.0000255E+001, 2.1076860E-003
 8.0336387E+000, 2.4253047E+001, 1.3040292E+001, 2.1266625E+001, 5.4420315E+000, 2.0620538E+001, 2.5905440E+000, 2.0081199E+001, 7.5559157E-001, 2.0044057E+001, 4.9603263E-001, 2.0022278E+001, 2.8932440E-001, 2.0012060E+001, 1.6953785E-001, 2.0003779E+001, 9.6460619E-002, 2.0001671E+001, 4.2801061E-002
