m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 5.9719009E-001, 3.9588345E+001
-1.6981667E-002, 1.4761667E-002, 3.3714952E+001, 4.2974414E+002
-3.3963333E-002, 2.9523333E-002, 2.4534220E+001, 2.3975655E+002
-5.0945000E-002, 4.4285000E-002, 2.1498586E+001, 1.6665529E+002
-6.7926667E-002, 5.9046667E-002, 1.8560939E+001, 1.6665529E+002
-8.4908333E-002, 7.3808333E-002, 1.6672697E+001, 1.4234181E+002
-1.0189000E-001, 8.8570000E-002, 1.3188594E+001, 1.1511826E+002
-1.1887167E-001, 1.0333167E-001, 1.2062990E+001, 1.2962053E+002
-1.3585333E-001, 1.1809333E-001, 1.0686423E+001, 1.0169835E+002
-1.5283500E-001, 1.3285500E-001, 9.6658739E+000, 1.0169835E+002
-1.6981667E-001, 1.4761667E-001, 8.1704360E+000, 8.9837334E+001
-1.8679833E-001, 1.6237833E-001, 7.3602234E+000, 7.7193989E+001
-2.0378000E-001, 1.7714000E-001, 6.0566032E+000, 7.2282834E+001
-2.2076167E-001, 1.9190167E-001, 5.7012514E+000, 6.4996008E+001
-2.3774333E-001, 2.0666333E-001, 5.2140855E+000, 6.4996008E+001
-2.5472500E-001, 2.2142500E-001, 4.8790001E+000, 5.8067990E+001
-2.7170667E-001, 2.3618667E-001, 4.4588800E+000, 5.9764167E+001
-2.8868833E-001, 2.5094833E-001, 3.7997019E+000, 5.3547432E+001
-3.0567000E-001, 2.6571000E-001, 3.5506170E+000, 5.0679821E+001
-3.2265167E-001, 2.8047167E-001, 3.2722348E+000, 5.0679821E+001
-3.3963333E-001, 2.9523333E-001, 3.0537835E+000, 4.8779924E+001
-3.5661500E-001, 3.0999500E-001, 2.6345844E+000, 4.6938167E+001
-3.7359667E-001, 3.2475667E-001, 2.4540703E+000, 4.6938167E+001
-3.9057833E-001, 3.3951833E-001, 2.2987170E+000, 4.8115955E+001
-4.0756000E-001, 3.5428000E-001, 2.2053485E+000, 4.6981478E+001
-4.2454167E-001, 3.6904167E-001, 1.9070246E+000, 4.5903983E+001
-4.4152333E-001, 3.8380333E-001, 1.7312670E+000, 4.5903983E+001
-4.5850500E-001, 3.9856500E-001, 1.6498951E+000, 4.4646599E+001
-4.7548667E-001, 4.1332667E-001, 1.4274948E+000, 4.2998958E+001
-4.9246833E-001, 4.2808833E-001, 1.3072680E+000, 4.2998958E+001
-5.0945000E-001, 4.4285000E-001, 1.2032650E+000, 4.1608073E+001
-5.2643167E-001, 4.5761167E-001, 1.0556691E+000, 4.0428630E+001
-5.4341333E-001, 4.7237333E-001, 9.7257956E-001, 4.0428630E+001
-5.6039500E-001, 4.8713500E-001, 9.1840558E-001, 3.9701944E+001
-5.7737667E-001, 5.0189667E-001, 9.0543228E-001, 3.9789245E+001
-5.9435833E-001, 5.1665833E-001, 7.8295365E-001, 3.9162554E+001
-6.1134000E-001, 5.3142000E-001, 6.7797290E-001, 3.8022408E+001
-6.2832167E-001, 5.4618167E-001, 6.6299661E-001, 3.6674483E+001
-6.4530333E-001, 5.6094333E-001, 5.9605740E-001, 3.6674483E+001
-6.6228500E-001, 5.7570500E-001, 5.1577521E-001, 3.5380218E+001
-6.7926667E-001, 5.9046667E-001, 4.9352937E-001, 3.4198297E+001
-6.9624833E-001, 6.0522833E-001, 4.4616675E-001, 3.4198297E+001
-7.1323000E-001, 6.1999000E-001, 4.2490047E-001, 3.3299155E+001
-7.3021167E-001, 6.3475167E-001, 3.5835522E-001, 3.2797295E+001
-7.4719333E-001, 6.4951333E-001, 3.3604430E-001, 3.2430621E+001
-7.6417500E-001, 6.6427500E-001, 3.1900202E-001, 3.2077676E+001
-7.8115667E-001, 6.7903667E-001, 2.6164533E-001, 3.1564549E+001
-7.9813833E-001, 6.9379833E-001, 2.4641532E-001, 3.1040773E+001
-8.1512000E-001, 7.0856000E-001, 2.3172914E-001, 3.0899375E+001
-8.3210167E-001, 7.2332167E-001, 2.2498291E-001, 3.0162460E+001
-8.4908333E-001, 7.3808333E-001, 2.0397038E-001, 3.0162460E+001
-8.6606500E-001, 7.5284500E-001, 1.7557312E-001, 2.9447633E+001
-8.8304667E-001, 7.6760667E-001, 1.6862842E-001, 2.8593900E+001
-9.0002833E-001, 7.8236833E-001, 1.5588049E-001, 2.8593900E+001
-9.1701000E-001, 7.9713000E-001, 1.4300832E-001, 2.8671410E+001
-9.3399167E-001, 8.1189167E-001, 1.2709320E-001, 2.7810648E+001
-9.5097333E-001, 8.2665333E-001, 1.1908164E-001, 2.7845353E+001
-9.6795500E-001, 8.4141500E-001, 1.1241688E-001, 2.7372016E+001
-9.8493667E-001, 8.5617667E-001, 9.5452574E-002, 2.7050580E+001
-1.0019183E+000, 8.7093833E-001, 9.1805782E-002, 2.6732410E+001
-1.0189000E+000, 8.8570000E-001, 8.3540346E-002, 2.6732410E+001
