m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 2.0954288E-002, 2.0333461E+001
 2.2500000E-002, 5.0013554E+001, 1.0519990E+003
 4.5000000E-002, 4.8573359E+001, 9.8741964E+002
 6.7500000E-002, 4.3405751E+001, 9.2426947E+002
 9.0000000E-002, 3.7558790E+001, 8.3656777E+002
 1.1250000E-001, 3.2841849E+001, 7.5431532E+002
 1.3500000E-001, 3.0929741E+001, 7.2282786E+002
 1.5750000E-001, 2.7633792E+001, 6.7253142E+002
 1.8000000E-001, 2.4730233E+001, 6.3048178E+002
 2.0250000E-001, 2.2137737E+001, 5.9592233E+002
 2.2500000E-001, 2.0957518E+001, 5.8099676E+002
 2.4750000E-001, 1.8773984E+001, 5.5328869E+002
 2.7000000E-001, 1.6789476E+001, 5.2552588E+002
 2.9250000E-001, 1.5016785E+001, 5.0006795E+002
 3.1500000E-001, 1.3458410E+001, 4.7588385E+002
 3.3750000E-001, 1.2052083E+001, 4.5307245E+002
 3.6000000E-001, 1.1399555E+001, 4.4208396E+002
 3.8250000E-001, 1.0187930E+001, 4.2089606E+002
 4.0500000E-001, 9.0897686E+000, 4.0077298E+002
 4.2750000E-001, 8.0990399E+000, 3.8141581E+002
 4.5000000E-001, 7.2183217E+000, 3.6386907E+002
 4.7250000E-001, 6.8222209E+000, 3.5617569E+002
 4.9500000E-001, 6.1061194E+000, 3.4154640E+002
 5.1750000E-001, 5.4686826E+000, 3.2653725E+002
 5.4000000E-001, 4.8980104E+000, 3.1116805E+002
 5.6250000E-001, 4.6271043E+000, 3.0360763E+002
 5.8500000E-001, 4.1670166E+000, 2.8908486E+002
 6.0750000E-001, 3.7689662E+000, 2.7599913E+002
 6.3000000E-001, 3.4270452E+000, 2.6366618E+002
 6.5250000E-001, 3.1252810E+000, 2.5154701E+002
 6.7500000E-001, 2.8675317E+000, 2.4040211E+002
 6.9750000E-001, 2.7556026E+000, 2.3558881E+002
 7.2000000E-001, 2.5578082E+000, 2.2682398E+002
 7.4250000E-001, 2.3825185E+000, 2.1799730E+002
 7.6500000E-001, 2.2240193E+000, 2.0929992E+002
 7.8750000E-001, 2.1530684E+000, 2.0529563E+002
 8.1000000E-001, 2.0212825E+000, 1.9740673E+002
 8.3250000E-001, 1.9027125E+000, 1.8983858E+002
 8.5500000E-001, 1.8005450E+000, 1.8338433E+002
 8.7750000E-001, 1.7090777E+000, 1.7744048E+002
 9.0000000E-001, 1.6308142E+000, 1.7213887E+002
 9.2250000E-001, 1.5972158E+000, 1.6993846E+002
 9.4500000E-001, 1.5362807E+000, 1.6594508E+002
 9.6750000E-001, 1.4796073E+000, 1.6182636E+002
 9.9000000E-001, 1.4268065E+000, 1.5773661E+002
 1.0125000E+000, 1.3753390E+000, 1.5375108E+002
 1.0350000E+000, 1.3498249E+000, 1.5174249E+002
 1.0575000E+000, 1.3014941E+000, 1.4773986E+002
 1.0800000E+000, 1.2544927E+000, 1.4387659E+002
 1.1025000E+000, 1.2098142E+000, 1.4017215E+002
 1.1250000E+000, 1.1693094E+000, 1.3671834E+002
 1.1475000E+000, 1.1502123E+000, 1.3504557E+002
 1.1700000E+000, 1.1154533E+000, 1.3196071E+002
 1.1925000E+000, 1.0861431E+000, 1.2938856E+002
 1.2150000E+000, 1.0594287E+000, 1.2714598E+002
 1.2375000E+000, 1.0321357E+000, 1.2486097E+002
 1.2600000E+000, 1.0173931E+000, 1.2365013E+002
 1.2825000E+000, 9.8668228E-001, 1.2118124E+002
 1.3050000E+000, 9.5869995E-001, 1.1895997E+002
 1.3275000E+000, 9.3414950E-001, 1.1694701E+002
 1.3500000E+000, 9.1181939E-001, 1.1491341E+002
