m,kW/m2,C
GHF-z,GHF,TGAS
 0.0000000E+000, 2.7644972E-002, 2.0838456E+001
 2.2500000E-002, 4.4024809E+001, 9.0472999E+002
 4.5000000E-002, 4.6765018E+001, 9.4771905E+002
 6.7500000E-002, 4.6043737E+001, 9.5716472E+002
 9.0000000E-002, 4.3557092E+001, 9.1948210E+002
 1.1250000E-001, 4.0878677E+001, 8.6118748E+002
 1.3500000E-001, 3.8654809E+001, 8.0478093E+002
 1.5750000E-001, 3.7020265E+001, 7.6111993E+002
 1.8000000E-001, 3.5788922E+001, 7.2819106E+002
 2.0250000E-001, 3.4811771E+001, 7.0354398E+002
 2.2500000E-001, 3.4811771E+001, 7.0354398E+002
 2.4750000E-001, 3.4462943E+001, 7.1246900E+002
 2.7000000E-001, 3.3621267E+001, 6.9423596E+002
 2.9250000E-001, 3.2501639E+001, 6.6159086E+002
 3.1500000E-001, 3.1721505E+001, 6.5298451E+002
 3.3750000E-001, 3.0863291E+001, 6.4421121E+002
 3.6000000E-001, 2.9922347E+001, 6.3482272E+002
 3.8250000E-001, 2.8896739E+001, 6.2502843E+002
 4.0500000E-001, 2.7845691E+001, 6.1954095E+002
 4.2750000E-001, 2.6684794E+001, 6.0893373E+002
 4.5000000E-001, 2.6591907E+001, 6.0309450E+002
 4.7250000E-001, 2.5338709E+001, 5.9037498E+002
 4.9500000E-001, 2.4302668E+001, 5.8861386E+002
 5.1750000E-001, 2.3102416E+001, 5.7886435E+002
 5.4000000E-001, 2.1550522E+001, 5.5118491E+002
 5.6250000E-001, 2.0345102E+001, 5.3895844E+002
 5.8500000E-001, 1.9192739E+001, 5.2794824E+002
 6.0750000E-001, 1.8091204E+001, 5.1727151E+002
 6.3000000E-001, 1.7025954E+001, 5.0646753E+002
 6.5250000E-001, 1.5982255E+001, 4.9452525E+002
 6.7500000E-001, 1.4971587E+001, 4.8142368E+002
 6.9750000E-001, 1.4012274E+001, 4.6869687E+002
 7.2000000E-001, 1.4012274E+001, 4.6869687E+002
 7.4250000E-001, 1.3109382E+001, 4.5653873E+002
 7.6500000E-001, 1.2630184E+001, 4.5876551E+002
 7.8750000E-001, 1.1766126E+001, 4.4613680E+002
 8.1000000E-001, 1.0918817E+001, 4.3337553E+002
 8.3250000E-001, 9.9541217E+000, 4.1045559E+002
 8.5500000E-001, 9.3039993E+000, 3.9898979E+002
 8.7750000E-001, 8.8184233E+000, 3.9142781E+002
 9.0000000E-001, 8.1100549E+000, 3.7494958E+002
 9.2250000E-001, 8.1100549E+000, 3.7494958E+002
 9.4500000E-001, 7.5752476E+000, 3.6296703E+002
 9.6750000E-001, 7.0818408E+000, 3.5140959E+002
 9.9000000E-001, 6.6169649E+000, 3.4013969E+002
 1.0125000E+000, 6.1824682E+000, 3.2906148E+002
 1.0350000E+000, 5.7898053E+000, 3.1858445E+002
 1.0575000E+000, 5.4155938E+000, 3.0810079E+002
 1.0800000E+000, 5.0326253E+000, 2.9508634E+002
 1.1025000E+000, 4.7063679E+000, 2.8477068E+002
 1.1250000E+000, 4.7063679E+000, 2.8477068E+002
 1.1475000E+000, 4.4556951E+000, 2.7884501E+002
 1.1700000E+000, 4.1203338E+000, 2.6491098E+002
 1.1925000E+000, 3.8645247E+000, 2.5562440E+002
 1.2150000E+000, 3.6352294E+000, 2.4686264E+002
 1.2375000E+000, 3.4332154E+000, 2.3929242E+002
 1.2600000E+000, 3.2969855E+000, 2.3527945E+002
 1.2825000E+000, 3.0869221E+000, 2.2632274E+002
 1.3050000E+000, 2.9362843E+000, 2.2060792E+002
 1.3275000E+000, 2.7988729E+000, 2.1543778E+002
 1.3500000E+000, 2.7025595E+000, 2.1249586E+002
