m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 1.3297375E-001, 2.8066349E+001
-1.2905000E-002, 1.8431667E-002, 5.5147553E+001, 9.7432780E+002
-2.5810000E-002, 3.6863333E-002, 5.6681237E+001, 9.9420229E+002
-3.8715000E-002, 5.5295000E-002, 4.3897326E+001, 7.7658811E+002
-5.1620000E-002, 7.3726667E-002, 3.6949542E+001, 7.4614683E+002
-6.4525000E-002, 9.2158333E-002, 3.6949542E+001, 7.4614683E+002
-7.7430000E-002, 1.1059000E-001, 2.5632332E+001, 4.3599819E+002
-9.0335000E-002, 1.2902167E-001, 2.6141694E+001, 4.4984060E+002
-1.0324000E-001, 1.4745333E-001, 2.3147343E+001, 4.3599819E+002
-1.1614500E-001, 1.6588500E-001, 1.7135365E+001, 3.0797964E+002
-1.2905000E-001, 1.8431667E-001, 1.7235895E+001, 3.0781853E+002
-1.4195500E-001, 2.0274833E-001, 1.3263116E+001, 2.2344438E+002
-1.5486000E-001, 2.2118000E-001, 1.1788793E+001, 2.2344438E+002
-1.6776500E-001, 2.3961167E-001, 1.1788793E+001, 2.2344438E+002
-1.8067000E-001, 2.5804333E-001, 9.0464719E+000, 1.8202768E+002
-1.9357500E-001, 2.7647500E-001, 9.0314603E+000, 1.6965757E+002
-2.0648000E-001, 2.9490667E-001, 8.3882433E+000, 1.8202768E+002
-2.1938500E-001, 3.1333833E-001, 6.4232857E+000, 1.5543241E+002
-2.3229000E-001, 3.3177000E-001, 6.3959733E+000, 1.4217884E+002
-2.4519500E-001, 3.5020167E-001, 5.1291761E+000, 1.1669274E+002
-2.5810000E-001, 3.6863333E-001, 4.6157051E+000, 1.2617876E+002
-2.7100500E-001, 3.8706500E-001, 4.6157051E+000, 1.2617876E+002
-2.8391000E-001, 4.0549667E-001, 3.6178764E+000, 1.0484485E+002
-2.9681500E-001, 4.2392833E-001, 3.6170333E+000, 1.1133637E+002
-3.0972000E-001, 4.4236000E-001, 3.3576439E+000, 1.1133637E+002
-3.2262500E-001, 4.6079167E-001, 2.6266273E+000, 9.5467410E+001
-3.3553000E-001, 4.7922333E-001, 2.6266273E+000, 9.5467410E+001
-3.4843500E-001, 4.9765500E-001, 2.6259598E+000, 9.5467410E+001
-3.6134000E-001, 5.1608667E-001, 1.9383137E+000, 8.3626330E+001
-3.7424500E-001, 5.3451833E-001, 1.9383137E+000, 8.3626330E+001
-3.8715000E-001, 5.5295000E-001, 1.5914099E+000, 7.7752584E+001
-4.0005500E-001, 5.7138167E-001, 1.4723555E+000, 7.7752584E+001
-4.1296000E-001, 5.8981333E-001, 1.4723555E+000, 7.7752584E+001
-4.2586500E-001, 6.0824500E-001, 1.1953801E+000, 7.0298015E+001
-4.3877000E-001, 6.2667667E-001, 1.2028605E+000, 7.2297545E+001
-4.5167500E-001, 6.4510833E-001, 1.1586605E+000, 7.2297545E+001
-4.6458000E-001, 6.6354000E-001, 1.1586605E+000, 7.2297545E+001
-4.7748500E-001, 6.8197167E-001, 9.3409178E-001, 6.7184330E+001
-4.9039000E-001, 7.0040333E-001, 8.1655886E-001, 6.1315524E+001
-5.0329500E-001, 7.1883500E-001, 6.9978678E-001, 5.5516314E+001
-5.1620000E-001, 7.3726667E-001, 6.9978678E-001, 5.5516314E+001
-5.2910500E-001, 7.5569833E-001, 6.0045035E-001, 5.2998712E+001
-5.4201000E-001, 7.7413000E-001, 6.1182322E-001, 5.5516314E+001
-5.5491500E-001, 7.9256167E-001, 5.5587922E-001, 5.2998712E+001
-5.6782000E-001, 8.1099333E-001, 4.7176473E-001, 5.1686273E+001
-5.8072500E-001, 8.2942500E-001, 4.8229526E-001, 5.4119547E+001
-5.9363000E-001, 8.4785667E-001, 4.4995612E-001, 4.9801412E+001
-6.0653500E-001, 8.6628833E-001, 3.8329578E-001, 4.9801412E+001
-6.1944000E-001, 8.8472000E-001, 3.8329578E-001, 4.9801412E+001
-6.3234500E-001, 9.0315167E-001, 3.4054986E-001, 4.5907098E+001
-6.4525000E-001, 9.2158333E-001, 3.5154361E-001, 4.7621152E+001
-6.5815500E-001, 9.4001500E-001, 3.1752753E-001, 4.7621152E+001
-6.7106000E-001, 9.5844667E-001, 2.7083261E-001, 4.4554385E+001
-6.8396500E-001, 9.7687833E-001, 2.7882403E-001, 4.5911596E+001
-6.9687000E-001, 9.9531000E-001, 2.7085771E-001, 4.4554385E+001
-7.0977500E-001, 1.0137417E+000, 2.1263237E-001, 4.2012045E+001
-7.2268000E-001, 1.0321733E+000, 2.1263237E-001, 4.2012045E+001
-7.3558500E-001, 1.0506050E+000, 2.0798368E-001, 4.1332431E+001
-7.4849000E-001, 1.0690367E+000, 2.1566083E-001, 4.2145499E+001
-7.6139500E-001, 1.0874683E+000, 1.8790223E-001, 4.2145499E+001
-7.7430000E-001, 1.1059000E+000, 1.7323805E-001, 4.0405432E+001
