m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000,-8.5306947E-003, 2.0989760E+001
-1.2905000E-002, 1.8431667E-002, 3.6677475E+001, 9.4731247E+002
-2.5810000E-002, 3.6863333E-002, 3.3225101E+001, 8.3128615E+002
-3.8715000E-002, 5.5295000E-002, 2.6233450E+001, 4.6659759E+002
-5.1620000E-002, 7.3726667E-002, 2.4651926E+001, 4.3183212E+002
-6.4525000E-002, 9.2158333E-002, 2.1171850E+001, 3.4730540E+002
-7.7430000E-002, 1.1059000E-001, 1.9728455E+001, 3.2118766E+002
-9.0335000E-002, 1.2902167E-001, 1.7194355E+001, 2.7016627E+002
-1.0324000E-001, 1.4745333E-001, 1.6099371E+001, 2.5503992E+002
-1.1614500E-001, 1.6588500E-001, 1.4162650E+001, 2.1163307E+002
-1.2905000E-001, 1.8431667E-001, 1.3236199E+001, 1.9449681E+002
-1.4195500E-001, 2.0274833E-001, 1.2011381E+001, 1.7773342E+002
-1.5486000E-001, 2.2118000E-001, 1.1082198E+001, 1.6503106E+002
-1.6776500E-001, 2.3961167E-001, 9.9950711E+000, 1.4823639E+002
-1.8067000E-001, 2.5804333E-001, 9.2456111E+000, 1.3640380E+002
-1.9357500E-001, 2.7647500E-001, 8.3238054E+000, 1.2133722E+002
-2.0648000E-001, 2.9490667E-001, 7.7675237E+000, 1.1332114E+002
-2.1938500E-001, 3.1333833E-001, 7.0259263E+000, 1.0320287E+002
-2.3229000E-001, 3.3177000E-001, 6.5618854E+000, 9.9946531E+001
-2.4519500E-001, 3.5020167E-001, 5.9073794E+000, 9.3826081E+001
-2.5810000E-001, 3.6863333E-001, 5.5225409E+000, 9.2643186E+001
-2.7100500E-001, 3.8706500E-001, 4.9547285E+000, 8.7794832E+001
-2.8391000E-001, 4.0549667E-001, 4.6083784E+000, 8.6082778E+001
-2.9681500E-001, 4.2392833E-001, 4.1396910E+000, 8.0955107E+001
-3.0972000E-001, 4.4236000E-001, 3.8355966E+000, 7.9640874E+001
-3.2262500E-001, 4.6079167E-001, 3.4556891E+000, 7.5553965E+001
-3.3553000E-001, 4.7922333E-001, 3.1883681E+000, 7.4085818E+001
-3.4843500E-001, 4.9765500E-001, 2.9662869E+000, 7.3370579E+001
-3.6134000E-001, 5.1608667E-001, 2.6457639E+000, 6.9692229E+001
-3.7424500E-001, 5.3451833E-001, 2.4110386E+000, 6.8878140E+001
-3.8715000E-001, 5.5295000E-001, 2.2058611E+000, 6.5539649E+001
-4.0005500E-001, 5.7138167E-001, 1.9891670E+000, 6.4898597E+001
-4.1296000E-001, 5.8981333E-001, 1.8493344E+000, 6.2109120E+001
-4.2586500E-001, 6.0824500E-001, 1.6398101E+000, 6.1193429E+001
-4.3877000E-001, 6.2667667E-001, 1.4373138E+000, 5.8749044E+001
-4.5167500E-001, 6.4510833E-001, 1.3477051E+000, 5.8004123E+001
-4.6458000E-001, 6.6354000E-001, 1.2608701E+000, 5.7167584E+001
-4.7748500E-001, 6.8197167E-001, 1.1138300E+000, 5.4355900E+001
-4.9039000E-001, 7.0040333E-001, 1.0429021E+000, 5.3740925E+001
-5.0329500E-001, 7.1883500E-001, 9.2146709E-001, 5.0628164E+001
-5.1620000E-001, 7.3726667E-001, 8.6305516E-001, 5.0628164E+001
-5.2910500E-001, 7.5569833E-001, 7.5798448E-001, 4.9259874E+001
-5.4201000E-001, 7.7413000E-001, 7.1434555E-001, 4.8746845E+001
-5.5491500E-001, 7.9256167E-001, 6.3906622E-001, 4.7085857E+001
-5.6782000E-001, 8.1099333E-001, 5.9234978E-001, 4.6315875E+001
-5.8072500E-001, 8.2942500E-001, 5.3899505E-001, 4.5696700E+001
-5.9363000E-001, 8.4785667E-001, 4.9795496E-001, 4.4576408E+001
-6.0653500E-001, 8.6628833E-001, 4.6143591E-001, 4.3853829E+001
-6.1944000E-001, 8.8472000E-001, 4.0944747E-001, 4.3019908E+001
-6.3234500E-001, 9.0315167E-001, 3.8473567E-001, 4.2316886E+001
-6.4525000E-001, 9.2158333E-001, 3.4951375E-001, 4.1632086E+001
-6.5815500E-001, 9.4001500E-001, 3.3000959E-001, 4.0888890E+001
-6.7106000E-001, 9.5844667E-001, 3.0199290E-001, 4.0742213E+001
-6.8396500E-001, 9.7687833E-001, 2.9347252E-001, 3.9783618E+001
-6.9687000E-001, 9.9531000E-001, 2.6525922E-001, 3.9597367E+001
-7.0977500E-001, 1.0137417E+000, 2.5369420E-001, 3.8899042E+001
-7.2268000E-001, 1.0321733E+000, 2.2606120E-001, 3.8699820E+001
-7.3558500E-001, 1.0506050E+000, 2.2766462E-001, 3.7972713E+001
-7.4849000E-001, 1.0690367E+000, 2.0201006E-001, 3.7816466E+001
-7.6139500E-001, 1.0874683E+000, 2.0734931E-001, 3.7287919E+001
-7.7430000E-001, 1.1059000E+000, 1.8196892E-001, 3.7071685E+001
