m,m,kW/m2,C
GHF-x,GHF-z,GHF,TGAS
 0.0000000E+000, 0.0000000E+000, 4.5183710E-002, 2.6006053E+001
-8.7916667E-003, 2.0711667E-002, 4.9507785E+001, 1.0418116E+003
-1.7583333E-002, 4.1423333E-002, 4.6584777E+001, 7.2160879E+002
-2.6375000E-002, 6.2135000E-002, 3.9374792E+001, 6.9380722E+002
-3.5166667E-002, 8.2846667E-002, 3.4663297E+001, 5.9756176E+002
-4.3958333E-002, 1.0355833E-001, 3.1854893E+001, 4.7681116E+002
-5.2750000E-002, 1.2427000E-001, 3.0799511E+001, 4.7681116E+002
-6.1541667E-002, 1.4498167E-001, 2.7380490E+001, 4.1036888E+002
-7.0333333E-002, 1.6569333E-001, 2.5915311E+001, 3.5936231E+002
-7.9125000E-002, 1.8640500E-001, 2.2863312E+001, 3.2258515E+002
-8.7916667E-002, 2.0711667E-001, 2.1975683E+001, 3.0705337E+002
-9.6708333E-002, 2.2782833E-001, 2.0090224E+001, 2.7813522E+002
-1.0550000E-001, 2.4854000E-001, 1.9188166E+001, 2.7813522E+002
-1.1429167E-001, 2.6925167E-001, 1.7394029E+001, 2.5098862E+002
-1.2308333E-001, 2.8996333E-001, 1.6145671E+001, 2.1805568E+002
-1.3187500E-001, 3.1067500E-001, 1.4467998E+001, 2.1354404E+002
-1.4066667E-001, 3.3138667E-001, 1.3334476E+001, 1.9349494E+002
-1.4945833E-001, 3.5209833E-001, 1.2207971E+001, 1.6648183E+002
-1.5825000E-001, 3.7281000E-001, 1.1674339E+001, 1.7519386E+002
-1.6704167E-001, 3.9352167E-001, 1.0674647E+001, 1.6066004E+002
-1.7583333E-001, 4.1423333E-001, 9.3273865E+000, 1.5153778E+002
-1.8462500E-001, 4.3494500E-001, 8.4350302E+000, 1.4348450E+002
-1.9341667E-001, 4.5565667E-001, 7.6498144E+000, 1.2959455E+002
-2.0220833E-001, 4.7636833E-001, 7.4037403E+000, 1.2959455E+002
-2.1100000E-001, 4.9708000E-001, 6.6634601E+000, 1.2609388E+002
-2.1979167E-001, 5.1779167E-001, 6.0211640E+000, 1.1668327E+002
-2.2858333E-001, 5.3850333E-001, 5.2515255E+000, 1.1038068E+002
-2.3737500E-001, 5.5921500E-001, 4.8192528E+000, 1.1036590E+002
-2.4616667E-001, 5.7992667E-001, 4.3751383E+000, 1.0498471E+002
-2.5495833E-001, 6.0063833E-001, 4.1692128E+000, 1.0679328E+002
-2.6375000E-001, 6.2135000E-001, 3.7739355E+000, 1.0274252E+002
-2.7254167E-001, 6.4206167E-001, 3.3022055E+000, 1.0013109E+002
-2.8133333E-001, 6.6277333E-001, 2.9794007E+000, 9.8310868E+001
-2.9012500E-001, 6.8348500E-001, 2.7336058E+000, 9.6668809E+001
-2.9891667E-001, 7.0419667E-001, 2.5526708E+000, 9.4072539E+001
-3.0770833E-001, 7.2490833E-001, 2.3901888E+000, 9.4072539E+001
-3.1650000E-001, 7.4562000E-001, 2.2453592E+000, 9.4633661E+001
-3.2529167E-001, 7.6633167E-001, 1.9148561E+000, 9.1603471E+001
-3.3408333E-001, 7.8704333E-001, 1.7639241E+000, 8.9792916E+001
-3.4287500E-001, 8.0775500E-001, 1.6303499E+000, 8.8331442E+001
-3.5166667E-001, 8.2846667E-001, 1.3828445E+000, 8.4476275E+001
-3.6045833E-001, 8.4917833E-001, 1.3774251E+000, 8.2343738E+001
-3.6925000E-001, 8.6989000E-001, 1.3309834E+000, 8.3244369E+001
-3.7804167E-001, 8.9060167E-001, 1.1435889E+000, 7.9733889E+001
-3.8683333E-001, 9.1131333E-001, 1.0867736E+000, 7.8899543E+001
-3.9562500E-001, 9.3202500E-001, 1.0403581E+000, 7.5025180E+001
-4.0441667E-001, 9.5273667E-001, 9.3792464E-001, 7.6088883E+001
-4.1320833E-001, 9.7344833E-001, 8.8424940E-001, 7.3490832E+001
-4.2200000E-001, 9.9416000E-001, 8.5168608E-001, 6.9802977E+001
-4.3079167E-001, 1.0148717E+000, 7.2311391E-001, 7.0547639E+001
-4.3958333E-001, 1.0355833E+000, 7.2432826E-001, 7.1400844E+001
-4.4837500E-001, 1.0562950E+000, 7.1263371E-001, 6.8855009E+001
-4.5716667E-001, 1.0770067E+000, 6.1629647E-001, 6.8855009E+001
-4.6595833E-001, 1.0977183E+000, 5.9924056E-001, 6.7101169E+001
-4.7475000E-001, 1.1184300E+000, 5.1696047E-001, 6.4771793E+001
-4.8354167E-001, 1.1391417E+000, 5.0027430E-001, 6.3820839E+001
-4.9233333E-001, 1.1598533E+000, 4.9942706E-001, 6.2802623E+001
-5.0112500E-001, 1.1805650E+000, 4.7851710E-001, 5.9582205E+001
-5.0991667E-001, 1.2012767E+000, 4.6171732E-001, 5.9582205E+001
-5.1870833E-001, 1.2219883E+000, 4.3584891E-001, 5.8160886E+001
-5.2750000E-001, 1.2427000E+000, 3.6475921E-001, 5.8160886E+001
