m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000775E+001, 2.0002297E+001, 2.0004673E+001, 2.0008140E+001, 2.0012432E+001, 2.0017217E+001, 2.0022538E+001, 0.0000000E+000
 5.0100503E+000, 2.0000850E+001, 2.0002509E+001, 2.0005084E+001, 2.0008837E+001, 2.0013470E+001, 2.0018627E+001, 2.0024359E+001, 0.0000000E+000
 5.0201005E+000, 2.0000890E+001, 2.0002622E+001, 2.0005303E+001, 2.0009206E+001, 2.0014019E+001, 2.0019372E+001, 2.0025325E+001, 0.0000000E+000
 5.0301508E+000, 2.0000931E+001, 2.0002740E+001, 2.0005530E+001, 2.0009592E+001, 2.0014593E+001, 2.0020151E+001, 2.0026327E+001, 0.0000000E+000
 5.0402010E+000, 2.0000974E+001, 2.0002862E+001, 2.0005767E+001, 2.0009992E+001, 2.0015188E+001, 2.0020956E+001, 2.0027370E+001, 0.0000000E+000
 5.0502513E+000, 2.0001019E+001, 2.0002989E+001, 2.0006014E+001, 2.0010410E+001, 2.0015809E+001, 2.0021797E+001, 2.0028451E+001, 0.0000000E+000
 5.0603015E+000, 2.0001065E+001, 2.0003122E+001, 2.0006270E+001, 2.0010844E+001, 2.0016452E+001, 2.0022667E+001, 2.0029577E+001, 0.0000000E+000
 5.0703518E+000, 2.0001114E+001, 2.0003259E+001, 2.0006537E+001, 2.0011296E+001, 2.0017123E+001, 2.0023575E+001, 2.0030744E+001, 0.0000000E+000
 5.0804020E+000, 2.0001164E+001, 2.0003403E+001, 2.0006814E+001, 2.0011765E+001, 2.0017818E+001, 2.0024514E+001, 2.0031958E+001, 0.0000000E+000
 5.0904523E+000, 2.0001216E+001, 2.0003551E+001, 2.0007103E+001, 2.0012254E+001, 2.0018543E+001, 2.0025494E+001, 2.0033216E+001, 0.0000000E+000
 5.1005025E+000, 2.0001269E+001, 2.0003705E+001, 2.0007402E+001, 2.0012761E+001, 2.0019294E+001, 2.0026507E+001, 2.0034526E+001, 0.0000000E+000
 5.1105528E+000, 2.0001325E+001, 2.0003865E+001, 2.0007714E+001, 2.0013290E+001, 2.0020077E+001, 2.0027565E+001, 2.0035882E+001, 0.0000000E+000
 5.1206030E+000, 2.0001382E+001, 2.0004031E+001, 2.0008037E+001, 2.0013837E+001, 2.0020888E+001, 2.0028657E+001, 2.0037293E+001, 0.0000000E+000
 5.1306533E+000, 2.0001442E+001, 2.0004202E+001, 2.0008372E+001, 2.0014408E+001, 2.0021733E+001, 2.0029797E+001, 2.0038754E+001, 0.0000000E+000
 5.1407035E+000, 2.0001503E+001, 2.0004380E+001, 2.0008721E+001, 2.0014998E+001, 2.0022607E+001, 2.0030974E+001, 2.0040274E+001, 0.0000000E+000
 5.1507538E+000, 2.0001566E+001, 2.0004564E+001, 2.0009082E+001, 2.0015614E+001, 2.0023518E+001, 2.0032203E+001, 2.0041848E+001, 0.0000000E+000
 5.1608040E+000, 2.0001631E+001, 2.0004754E+001, 2.0009456E+001, 2.0016251E+001, 2.0024461E+001, 2.0033471E+001, 2.0043484E+001, 0.0000000E+000
 5.1708543E+000, 2.0001698E+001, 2.0004950E+001, 2.0009845E+001, 2.0016914E+001, 2.0025442E+001, 2.0034794E+001, 2.0045177E+001, 0.0000000E+000
 5.1809045E+000, 2.0001767E+001, 2.0005154E+001, 2.0010247E+001, 2.0017600E+001, 2.0026458E+001, 2.0036159E+001, 2.0046938E+001, 0.0000000E+000
 5.1909548E+000, 2.0001837E+001, 2.0005362E+001, 2.0010664E+001, 2.0018315E+001, 2.0027515E+001, 2.0037583E+001, 2.0048759E+001, 0.0000000E+000
 5.2010050E+000, 2.0001910E+001, 2.0005579E+001, 2.0011095E+001, 2.0019053E+001, 2.0028609E+001, 2.0039052E+001, 2.0050652E+001, 0.0000000E+000
 5.2110553E+000, 2.0001984E+001, 2.0005800E+001, 2.0011542E+001, 2.0019821E+001, 2.0029747E+001, 2.0040584E+001, 2.0052610E+001, 0.0000000E+000
 5.2211055E+000, 2.0002060E+001, 2.0006030E+001, 2.0012004E+001, 2.0020616E+001, 2.0030924E+001, 2.0042165E+001, 2.0054645E+001, 0.0000000E+000
 5.2311558E+000, 2.0002138E+001, 2.0006265E+001, 2.0012482E+001, 2.0021441E+001, 2.0032148E+001, 2.0043813E+001, 2.0056749E+001, 0.0000000E+000
 5.2412060E+000, 2.0002218E+001, 2.0006507E+001, 2.0012976E+001, 2.0022296E+001, 2.0033415E+001, 2.0045513E+001, 2.0058936E+001, 0.0000000E+000
 5.2512563E+000, 2.0002299E+001, 2.0006755E+001, 2.0013487E+001, 2.0023182E+001, 2.0034732E+001, 2.0047284E+001, 2.0061195E+001, 0.0000000E+000
 5.2613065E+000, 2.0002382E+001, 2.0007011E+001, 2.0014015E+001, 2.0024100E+001, 2.0036093E+001, 2.0049112E+001, 2.0063544E+001, 0.0000000E+000
 5.2713568E+000, 2.0002466E+001, 2.0007272E+001, 2.0014560E+001, 2.0025051E+001, 2.0037509E+001, 2.0051015E+001, 2.0065969E+001, 0.0000000E+000
 5.2814070E+000, 2.0002551E+001, 2.0007542E+001, 2.0015124E+001, 2.0026037E+001, 2.0038972E+001, 2.0052980E+001, 2.0068491E+001, 0.0000000E+000
 5.2914573E+000, 2.0002639E+001, 2.0007816E+001, 2.0015705E+001, 2.0027057E+001, 2.0040495E+001, 2.0055026E+001, 2.0071094E+001, 0.0000000E+000
 5.3015075E+000, 2.0002727E+001, 2.0008098E+001, 2.0016307E+001, 2.0028115E+001, 2.0042068E+001, 2.0057139E+001, 2.0073802E+001, 0.0000000E+000
 5.3115578E+000, 2.0002817E+001, 2.0008385E+001, 2.0016926E+001, 2.0029210E+001, 2.0043706E+001, 2.0059338E+001, 2.0076596E+001, 0.0000000E+000
 5.3216080E+000, 2.0002907E+001, 2.0008681E+001, 2.0017567E+001, 2.0030346E+001, 2.0045397E+001, 2.0061610E+001, 2.0079503E+001, 0.0000000E+000
 5.3316583E+000, 2.0002999E+001, 2.0008981E+001, 2.0018226E+001, 2.0031520E+001, 2.0047158E+001, 2.0063974E+001, 2.0082501E+001, 0.0000000E+000
 5.3417085E+000, 2.0003092E+001, 2.0009289E+001, 2.0018908E+001, 2.0032740E+001, 2.0048977E+001, 2.0066419E+001, 2.0085622E+001, 0.0000000E+000
 5.3517588E+000, 2.0003186E+001, 2.0009601E+001, 2.0019610E+001, 2.0033999E+001, 2.0050873E+001, 2.0068962E+001, 2.0088841E+001, 0.0000000E+000
 5.3618090E+000, 2.0003281E+001, 2.0009922E+001, 2.0020337E+001, 2.0035310E+001, 2.0052831E+001, 2.0071594E+001, 2.0092192E+001, 0.0000000E+000
 5.3718593E+000, 2.0003376E+001, 2.0010247E+001, 2.0021084E+001, 2.0036661E+001, 2.0054873E+001, 2.0074332E+001, 2.0095649E+001, 0.0000000E+000
 5.3819095E+000, 2.0003473E+001, 2.0010581E+001, 2.0021858E+001, 2.0038070E+001, 2.0056981E+001, 2.0077168E+001, 2.0099249E+001, 0.0000000E+000
 5.3919598E+000, 2.0003570E+001, 2.0010918E+001, 2.0022654E+001, 2.0039523E+001, 2.0059185E+001, 2.0080119E+001, 2.0102964E+001, 0.0000000E+000
 5.4020101E+000, 2.0003667E+001, 2.0011264E+001, 2.0023479E+001, 2.0041039E+001, 2.0061458E+001, 2.0083178E+001, 2.0106834E+001, 0.0000000E+000
 5.4120603E+000, 2.0003765E+001, 2.0011614E+001, 2.0024327E+001, 2.0042602E+001, 2.0063839E+001, 2.0086363E+001, 2.0110829E+001, 0.0000000E+000
 5.4221106E+000, 2.0003864E+001, 2.0011972E+001, 2.0025207E+001, 2.0044235E+001, 2.0066294E+001, 2.0089668E+001, 2.0114992E+001, 0.0000000E+000
 5.4321608E+000, 2.0003963E+001, 2.0012334E+001, 2.0026113E+001, 2.0045920E+001, 2.0068872E+001, 2.0093111E+001, 2.0119293E+001, 0.0000000E+000
 5.4422111E+000, 2.0004063E+001, 2.0012706E+001, 2.0027053E+001, 2.0047684E+001, 2.0071529E+001, 2.0096688E+001, 2.0123777E+001, 0.0000000E+000
 5.4522613E+000, 2.0004163E+001, 2.0013082E+001, 2.0028021E+001, 2.0049505E+001, 2.0074329E+001, 2.0100418E+001, 2.0128413E+001, 0.0000000E+000
 5.4623116E+000, 2.0004264E+001, 2.0013468E+001, 2.0029029E+001, 2.0051415E+001, 2.0077213E+001, 2.0104300E+001, 2.0133250E+001, 0.0000000E+000
 5.4723618E+000, 2.0004365E+001, 2.0013858E+001, 2.0030068E+001, 2.0053388E+001, 2.0080262E+001, 2.0108353E+001, 2.0138255E+001, 0.0000000E+000
 5.4824121E+000, 2.0004468E+001, 2.0014260E+001, 2.0031151E+001, 2.0055465E+001, 2.0083403E+001, 2.0112578E+001, 2.0143482E+001, 0.0000000E+000
 5.4924623E+000, 2.0004572E+001, 2.0014665E+001, 2.0032270E+001, 2.0057608E+001, 2.0086733E+001, 2.0116992E+001, 2.0148900E+001, 0.0000000E+000
 5.5025126E+000, 2.0004677E+001, 2.0015087E+001, 2.0033439E+001, 2.0059878E+001, 2.0090177E+001, 2.0121612E+001, 2.0154572E+001, 0.0000000E+000
 5.5125628E+000, 2.0004786E+001, 2.0015516E+001, 2.0034655E+001, 2.0062232E+001, 2.0093848E+001, 2.0126460E+001, 2.0160471E+001, 0.0000000E+000
 5.5226131E+000, 2.0004897E+001, 2.0015961E+001, 2.0035926E+001, 2.0064725E+001, 2.0097637E+001, 2.0131529E+001, 2.0166636E+001, 0.0000000E+000
 5.5326633E+000, 2.0005011E+001, 2.0016415E+001, 2.0037252E+001, 2.0067313E+001, 2.0101691E+001, 2.0136857E+001, 2.0173057E+001, 0.0000000E+000
 5.5427136E+000, 2.0005129E+001, 2.0016892E+001, 2.0038643E+001, 2.0070069E+001, 2.0105885E+001, 2.0142445E+001, 2.0179774E+001, 0.0000000E+000
 5.5527638E+000, 2.0005253E+001, 2.0017380E+001, 2.0040102E+001, 2.0072938E+001, 2.0110394E+001, 2.0148333E+001, 2.0186783E+001, 0.0000000E+000
 5.5628141E+000, 2.0005382E+001, 2.0017899E+001, 2.0041642E+001, 2.0076010E+001, 2.0115073E+001, 2.0154532E+001, 2.0194126E+001, 0.0000000E+000
 5.5728643E+000, 2.0005521E+001, 2.0018436E+001, 2.0043266E+001, 2.0079221E+001, 2.0120133E+001, 2.0161093E+001, 2.0201809E+001, 0.0000000E+000
 5.5829146E+000, 2.0005669E+001, 2.0019015E+001, 2.0044992E+001, 2.0082682E+001, 2.0125407E+001, 2.0168025E+001, 2.0209877E+001, 0.0000000E+000
