m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000048E+001, 2.0000116E+001, 2.0000165E+001, 2.0000248E+001, 2.0000357E+001, 2.0000454E+001, 0.0000000E+000, 0.0000000E+000
 5.0100503E+000, 2.0000057E+001, 2.0000132E+001, 2.0000190E+001, 2.0000284E+001, 2.0000408E+001, 2.0000516E+001, 0.0000000E+000, 0.0000000E+000
 5.0201005E+000, 2.0000061E+001, 2.0000141E+001, 2.0000203E+001, 2.0000305E+001, 2.0000436E+001, 2.0000549E+001, 0.0000000E+000, 0.0000000E+000
 5.0301508E+000, 2.0000067E+001, 2.0000150E+001, 2.0000217E+001, 2.0000326E+001, 2.0000466E+001, 2.0000585E+001, 0.0000000E+000, 0.0000000E+000
 5.0402010E+000, 2.0000072E+001, 2.0000160E+001, 2.0000233E+001, 2.0000349E+001, 2.0000498E+001, 2.0000623E+001, 0.0000000E+000, 0.0000000E+000
 5.0502513E+000, 2.0000078E+001, 2.0000171E+001, 2.0000249E+001, 2.0000373E+001, 2.0000532E+001, 2.0000664E+001, 0.0000000E+000, 0.0000000E+000
 5.0603015E+000, 2.0000084E+001, 2.0000182E+001, 2.0000266E+001, 2.0000399E+001, 2.0000569E+001, 2.0000709E+001, 0.0000000E+000, 0.0000000E+000
 5.0703518E+000, 2.0000091E+001, 2.0000194E+001, 2.0000285E+001, 2.0000426E+001, 2.0000608E+001, 2.0000756E+001, 0.0000000E+000, 0.0000000E+000
 5.0804020E+000, 2.0000098E+001, 2.0000206E+001, 2.0000305E+001, 2.0000456E+001, 2.0000649E+001, 2.0000808E+001, 0.0000000E+000, 0.0000000E+000
 5.0904523E+000, 2.0000106E+001, 2.0000220E+001, 2.0000326E+001, 2.0000486E+001, 2.0000692E+001, 2.0000863E+001, 0.0000000E+000, 0.0000000E+000
 5.1005025E+000, 2.0000113E+001, 2.0000233E+001, 2.0000348E+001, 2.0000518E+001, 2.0000739E+001, 2.0000922E+001, 0.0000000E+000, 0.0000000E+000
 5.1105528E+000, 2.0000122E+001, 2.0000248E+001, 2.0000372E+001, 2.0000553E+001, 2.0000788E+001, 2.0000984E+001, 0.0000000E+000, 0.0000000E+000
 5.1206030E+000, 2.0000131E+001, 2.0000264E+001, 2.0000397E+001, 2.0000589E+001, 2.0000841E+001, 2.0001050E+001, 0.0000000E+000, 0.0000000E+000
 5.1306533E+000, 2.0000140E+001, 2.0000280E+001, 2.0000423E+001, 2.0000627E+001, 2.0000897E+001, 2.0001121E+001, 0.0000000E+000, 0.0000000E+000
 5.1407035E+000, 2.0000149E+001, 2.0000297E+001, 2.0000451E+001, 2.0000668E+001, 2.0000956E+001, 2.0001195E+001, 0.0000000E+000, 0.0000000E+000
 5.1507538E+000, 2.0000159E+001, 2.0000315E+001, 2.0000481E+001, 2.0000711E+001, 2.0001018E+001, 2.0001275E+001, 0.0000000E+000, 0.0000000E+000
 5.1608040E+000, 2.0000170E+001, 2.0000335E+001, 2.0000512E+001, 2.0000756E+001, 2.0001085E+001, 2.0001358E+001, 0.0000000E+000, 0.0000000E+000
