m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000412E+001, 2.0000988E+001, 2.0001714E+001, 2.0002673E+001, 2.0003465E+001, 2.0004718E+001, 2.0006076E+001, 2.0008002E+001
 5.0100503E+000, 2.0000465E+001, 2.0001116E+001, 2.0001940E+001, 2.0003015E+001, 2.0003905E+001, 2.0005310E+001, 2.0006853E+001, 2.0009010E+001
 5.0201005E+000, 2.0000493E+001, 2.0001185E+001, 2.0002062E+001, 2.0003202E+001, 2.0004145E+001, 2.0005633E+001, 2.0007278E+001, 2.0009554E+001
 5.0301508E+000, 2.0000524E+001, 2.0001259E+001, 2.0002192E+001, 2.0003399E+001, 2.0004400E+001, 2.0005975E+001, 2.0007729E+001, 2.0010131E+001
 5.0402010E+000, 2.0000556E+001, 2.0001336E+001, 2.0002329E+001, 2.0003608E+001, 2.0004671E+001, 2.0006335E+001, 2.0008202E+001, 2.0010744E+001
 5.0502513E+000, 2.0000589E+001, 2.0001417E+001, 2.0002474E+001, 2.0003828E+001, 2.0004959E+001, 2.0006713E+001, 2.0008700E+001, 2.0011401E+001
 5.0603015E+000, 2.0000624E+001, 2.0001503E+001, 2.0002626E+001, 2.0004061E+001, 2.0005265E+001, 2.0007106E+001, 2.0009224E+001, 2.0012101E+001
 5.0703518E+000, 2.0000661E+001, 2.0001593E+001, 2.0002788E+001, 2.0004306E+001, 2.0005592E+001, 2.0007519E+001, 2.0009782E+001, 2.0012850E+001
 5.0804020E+000, 2.0000700E+001, 2.0001688E+001, 2.0002957E+001, 2.0004564E+001, 2.0005938E+001, 2.0007953E+001, 2.0010375E+001, 2.0013645E+001
 5.0904523E+000, 2.0000740E+001, 2.0001787E+001, 2.0003137E+001, 2.0004834E+001, 2.0006297E+001, 2.0008409E+001, 2.0011004E+001, 2.0014492E+001
 5.1005025E+000, 2.0000782E+001, 2.0001891E+001, 2.0003324E+001, 2.0005120E+001, 2.0006668E+001, 2.0008890E+001, 2.0011666E+001, 2.0015373E+001
