m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000607E+001, 2.0001712E+001, 2.0003706E+001, 2.0006659E+001, 2.0010311E+001, 2.0014836E+001, 2.0020490E+001, 2.0024335E+001
 5.0100503E+000, 2.0000643E+001, 2.0001818E+001, 2.0003953E+001, 2.0007122E+001, 2.0011042E+001, 2.0015909E+001, 2.0022007E+001, 2.0026117E+001
 5.0201005E+000, 2.0000662E+001, 2.0001872E+001, 2.0004080E+001, 2.0007362E+001, 2.0011421E+001, 2.0016467E+001, 2.0022796E+001, 2.0027041E+001
 5.0301508E+000, 2.0000680E+001, 2.0001927E+001, 2.0004210E+001, 2.0007606E+001, 2.0011809E+001, 2.0017037E+001, 2.0023609E+001, 2.0027999E+001
 5.0402010E+000, 2.0000700E+001, 2.0001983E+001, 2.0004342E+001, 2.0007856E+001, 2.0012206E+001, 2.0017623E+001, 2.0024440E+001, 2.0028975E+001
 5.0502513E+000, 2.0000719E+001, 2.0002040E+001, 2.0004477E+001, 2.0008111E+001, 2.0012611E+001, 2.0018221E+001, 2.0025297E+001, 2.0029986E+001
 5.0603015E+000, 2.0000739E+001, 2.0002097E+001, 2.0004614E+001, 2.0008372E+001, 2.0013027E+001, 2.0018836E+001, 2.0026172E+001, 2.0031018E+001
 5.0703518E+000, 2.0000758E+001, 2.0002156E+001, 2.0004755E+001, 2.0008638E+001, 2.0013451E+001, 2.0019463E+001, 2.0027074E+001, 2.0032084E+001
 5.0804020E+000, 2.0000779E+001, 2.0002215E+001, 2.0004897E+001, 2.0008910E+001, 2.0013885E+001, 2.0020107E+001, 2.0027996E+001, 2.0033176E+001
 5.0904523E+000, 2.0000799E+001, 2.0002275E+001, 2.0005043E+001, 2.0009187E+001, 2.0014329E+001, 2.0020763E+001, 2.0028944E+001, 2.0034300E+001
 5.1005025E+000, 2.0000820E+001, 2.0002336E+001, 2.0005190E+001, 2.0009470E+001, 2.0014782E+001, 2.0021438E+001, 2.0029913E+001, 2.0035455E+001
 5.1105528E+000, 2.0000840E+001, 2.0002398E+001, 2.0005341E+001, 2.0009758E+001, 2.0015245E+001, 2.0022125E+001, 2.0030910E+001, 2.0036641E+001
 5.1206030E+000, 2.0000862E+001, 2.0002461E+001, 2.0005494E+001, 2.0010054E+001, 2.0015719E+001, 2.0022830E+001, 2.0031928E+001, 2.0037862E+001
 5.1306533E+000, 2.0000883E+001, 2.0002524E+001, 2.0005650E+001, 2.0010354E+001, 2.0016203E+001, 2.0023550E+001, 2.0032976E+001, 2.0039115E+001
 5.1407035E+000, 2.0000905E+001, 2.0002588E+001, 2.0005808E+001, 2.0010661E+001, 2.0016698E+001, 2.0024288E+001, 2.0034046E+001, 2.0040402E+001
 5.1507538E+000, 2.0000926E+001, 2.0002654E+001, 2.0005970E+001, 2.0010974E+001, 2.0017203E+001, 2.0025041E+001, 2.0035147E+001, 2.0041727E+001
 5.1608040E+000, 2.0000949E+001, 2.0002720E+001, 2.0006134E+001, 2.0011294E+001, 2.0017721E+001, 2.0025813E+001, 2.0036272E+001, 2.0043083E+001
 5.1708543E+000, 2.0000971E+001, 2.0002787E+001, 2.0006302E+001, 2.0011620E+001, 2.0018249E+001, 2.0026601E+001, 2.0037429E+001, 2.0044484E+001
 5.1809045E+000, 2.0000994E+001, 2.0002855E+001, 2.0006472E+001, 2.0011954E+001, 2.0018790E+001, 2.0027410E+001, 2.0038611E+001, 2.0045912E+001
 5.1909548E+000, 2.0001017E+001, 2.0002924E+001, 2.0006647E+001, 2.0012294E+001, 2.0019342E+001, 2.0028236E+001, 2.0039828E+001, 2.0047391E+001
 5.2010050E+000, 2.0001040E+001, 2.0002994E+001, 2.0006824E+001, 2.0012644E+001, 2.0019909E+001, 2.0029083E+001, 2.0041070E+001, 2.0048899E+001
 5.2110553E+000, 2.0001064E+001, 2.0003065E+001, 2.0007006E+001, 2.0012999E+001, 2.0020487E+001, 2.0029950E+001, 2.0042351E+001, 2.0050456E+001
 5.2211055E+000, 2.0001088E+001, 2.0003138E+001, 2.0007190E+001, 2.0013364E+001, 2.0021082E+001, 2.0030840E+001, 2.0043657E+001, 2.0052050E+001
 5.2311558E+000, 2.0001113E+001, 2.0003212E+001, 2.0007379E+001, 2.0013737E+001, 2.0021689E+001, 2.0031751E+001, 2.0045009E+001, 2.0053693E+001
 5.2412060E+000, 2.0001138E+001, 2.0003287E+001, 2.0007572E+001, 2.0014120E+001, 2.0022315E+001, 2.0032688E+001, 2.0046385E+001, 2.0055375E+001
 5.2512563E+000, 2.0001163E+001, 2.0003363E+001, 2.0007770E+001, 2.0014511E+001, 2.0022954E+001, 2.0033648E+001, 2.0047811E+001, 2.0057115E+001
 5.2613065E+000, 2.0001189E+001, 2.0003441E+001, 2.0007972E+001, 2.0014915E+001, 2.0023613E+001, 2.0034638E+001, 2.0049265E+001, 2.0058890E+001
 5.2713568E+000, 2.0001216E+001, 2.0003521E+001, 2.0008180E+001, 2.0015328E+001, 2.0024289E+001, 2.0035656E+001, 2.0050772E+001, 2.0060734E+001
 5.2814070E+000, 2.0001243E+001, 2.0003603E+001, 2.0008392E+001, 2.0015755E+001, 2.0024987E+001, 2.0036705E+001, 2.0052313E+001, 2.0062616E+001
 5.2914573E+000, 2.0001270E+001, 2.0003687E+001, 2.0008612E+001, 2.0016192E+001, 2.0025704E+001, 2.0037787E+001, 2.0053912E+001, 2.0064573E+001
 5.3015075E+000, 2.0001299E+001, 2.0003772E+001, 2.0008836E+001, 2.0016645E+001, 2.0026445E+001, 2.0038907E+001, 2.0055551E+001, 2.0066575E+001
 5.3115578E+000, 2.0001328E+001, 2.0003861E+001, 2.0009069E+001, 2.0017110E+001, 2.0027208E+001, 2.0040062E+001, 2.0057258E+001, 2.0068658E+001
 5.3216080E+000, 2.0001358E+001, 2.0003951E+001, 2.0009308E+001, 2.0017594E+001, 2.0027998E+001, 2.0041261E+001, 2.0059011E+001, 2.0070799E+001
 5.3316583E+000, 2.0001389E+001, 2.0004045E+001, 2.0009556E+001, 2.0018092E+001, 2.0028815E+001, 2.0042502E+001, 2.0060844E+001, 2.0073027E+001
 5.3417085E+000, 2.0001421E+001, 2.0004141E+001, 2.0009812E+001, 2.0018612E+001, 2.0029662E+001, 2.0043792E+001, 2.0062737E+001, 2.0075329E+001
